table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
6878,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"HHS, CMS","Baltimore, MD","['348,269', '']","['0', '']","['7,952', '']","['340,317', '']","['348,269', '']","['0', '']","['7,952', '']","['340,317', '']"
6878,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"DHS, S&T","Pentagon City, VA","['34,888', '']","['0', '']","['34,888', '']","['0', '']","['34,888', '']","['0', '']","['34,888', '']","['0', '']"
6878,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"DHS, S&T","McLean, VA","['183,588', '']","['0', '']","['4,759', '']","['178,829', '']","['182,413', '']","['0', '']","['4,729', '']","['177,684', '']"
6878,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,U.S. Courts,"McLean, VA","['5,493', '']","['0', '']","['274', '']","['5,219', '']","['5,493', '']","['0', '']","['274', '']","['5,219', '']"
6878,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"DHS, S&T","Frederick, MD","['44,968', '']","['0', '']","['44,968', '']","['0', '']","['44,968', '']","['0', '']","['44,968', '']","['0', '']"
6878,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,NIST,"Rockville, MD","['33,671', '']","['0', '']","['857', '']","['32,814', '']","['33,671', '']","['0', '']","['857', '']","['32,814', '']"
6878,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"DOD, OSD","Santa Monica, CA","['66,170', '']","['0', '']","['66,170', '']","['0', '']","['66,170', '']","['0', '']","['66,170', '']","['0', '']"
6878,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,DOE,"Golden, CO","['559,151', '']","['49,705', '']","['310,638', '']","['198,808', '']","['497,047', '']","['49,705', '']","['273,376', '']","['173,966', '']"
6878,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"DOD,OSD","Bedford, MA/McLean, VA","['1,468,298', '']","['0', '']","['87,886', '']","['1,380,412', '']","['1,463,965', '']","['0', '']","['87,627', '']","['1,376,338', '']"
6878,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,DOE,"Oak Ridge, TN","['1,760,578', '']","['940,199', '']","['820,379', '']","['0', '']","['1,746,756', '']","['940,199', '']","['806,557', '']","['0', '']"
6878,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,DOE,"Richland, WA","['1,168,268', '']","['220,611', '']","['295,197', '']","['652,460', '']","['1,142,925', '']","['215,825', '']","['288,793', '']","['638,307', '']"
6878,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"DOD, Air Force","Santa Monica, CA","['47,966', '']","['0', '']","['47,966', '']","['0', '']","['47,966', '']","['0', '']","['47,966', '']","['0', '']"
6878,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,NSF,"Washington, DC","['9,784', '']","['0', '']","['9,784', '']","['0', '']","['9,784', '']","['0', '']","['9,784', '']","['0', '']"
6878,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"DOD, OSD","Alexandria, VA","['173,792', '']","['0', '']","['173,792', '']","['0', '']","['173,320', '']","['0', '']","['173,320', '']","['0', '']"
6878,r041,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,-,-,"['9,700,692', ' ']","['865,891', ' ']","['5,783,178', ' ']","['3,051,623', ' ']","['9,593,260', ' ']","['856,027', ' ']","['5,718,059', ' ']","['3,019,174', ' ']"
6878,r042,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"HHS, NIH","Frederick, MD","['861,605', '']","['164,556', '']","['697,049', '']","['0', '']","['861,605', '']","['164,556', '']","['697,049', '']","['0', '']"
6878,r043,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,DOE,"Idaho Falls, ID","['516,691', '']","['31,002', '']","['273,846', '']","['211,843', '']","['503,977', '']","['30,239', '']","['267,108', '']","['206,630', '']"
6878,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,DOE,"Livermore, CA","['1,613,673', '']","['138,694', '']","['1,155,340', '']","['319,639', '']","['1,580,263', '']","['131,615', '']","['1,129,009', '']","['319,639', '']"
6878,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,DOE,"Los Alamos, NM","['2,974,164', '']","['237,933', '']","['2,706,490', '']","['29,741', '']","['2,950,380', '']","['236,030', '']","['2,684,846', '']","['29,504', '']"
6878,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,DOE,"Albuquerque, NM","['3,542,756', '']","['284,116', '']","['854,551', '']","['2,404,089', '']","['3,507,607', '']","['284,116', '']","['845,333', '']","['2,378,158', '']"
6878,r047,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,DOE,"Aiken, SC","['191,803', '']","['9,590', '']","['95,902', '']","['86,311', '']","['189,428', '']","['9,471', '']","['94,714', '']","['85,243', '']"
