table_id,row_id,nice_class_full_path,nice_class_level_1,nice_class_level_2,nice_class_hierarchy_depth,field_1998_uspto,field_1998_euipo,field_1999_uspto,field_1999_euipo,field_2000_uspto,field_2000_euipo,field_2001_uspto,field_2001_euipo,field_2002_uspto,field_2002_euipo,field_2003_uspto,field_2003_euipo,field_2004_uspto,field_2004_euipo,field_2005_uspto,field_2005_euipo,field_2006_uspto,field_2006_euipo,field_2007_uspto,field_2007_euipo,field_2008_uspto,field_2008_euipo,field_2009_uspto,field_2009_euipo,field_2010_uspto,field_2010_euipo,field_2011_uspto,field_2011_euipo,field_2012_uspto,field_2012_euipo,field_2013_uspto,field_2013_euipo,field_2014_uspto,field_2014_euipo,field_2015_uspto,field_2015_euipo,field_2016_uspto,field_2016_euipo,field_2017_uspto,field_2017_euipo,field_2018_uspto,field_2018_euipo
1949,r014,All classes -> 13,All classes,13,2,161,9,145,15,164,11,209,14,221,10,181,17,193,16,224,22,333,18,336,18,403,35,383,31,409,34,399,26,430,27,425,39,517,34,577,31,648,50,620,58,759,42
1949,r015,All classes -> 14,All classes,14,2,697,57,631,74,912,68,804,65,1050,66,970,51,895,60,1062,98,1372,104,1536,107,1699,97,1563,127,1518,124,1766,132,1865,127,1927,130,2051,140,1961,132,2026,197,2040,136,1983,138
1949,r016,All classes -> 15,All classes,15,2,118,28,137,16,212,31,177,20,259,24,208,15,160,18,205,31,269,23,301,22,300,30,253,24,287,23,303,33,269,27,319,33,364,41,314,27,294,37,315,34,281,48
1949,r017,All classes -> 16,All classes,16,2,5924,463,5578,592,6353,602,5599,534,6875,451,6008,357,5157,401,5565,628,6631,516,6895,493,7568,567,6282,512,5197,437,5587,419,5237,366,5090,345,4756,336,4634,320,4689,339,4624,294,4715,257
1949,r018,All classes -> 17,All classes,17,2,449,82,395,92,575,101,477,71,660,51,661,65,529,75,532,108,602,109,648,107,742,132,678,116,632,121,660,107,603,103,604,131,636,116,629,98,654,116,675,123,690,105
1949,r019,All classes -> 18,All classes,18,2,529,88,486,126,616,97,550,77,829,76,743,69,692,93,828,171,1048,173,1174,155,1460,179,1349,206,1247,196,1324,199,1407,189,1425,189,1394,194,1548,180,1569,204,1722,228,1899,221
1949,r020,All classes -> 19,All classes,19,2,644,59,659,62,815,50,843,48,1151,37,1010,68,901,53,983,70,1282,76,1372,90,1516,84,1285,74,1111,85,1088,81,1092,67,1071,60,1027,60,1071,62,1113,69,1136,69,1116,56
1949,r021,All classes -> 20,All classes,20,2,1196,66,1351,96,1623,108,1371,92,1814,75,1741,81,1563,70,1627,119,1783,147,1984,156,2274,160,1849,146,1745,142,1962,144,1985,140,2056,117,1981,100,2114,161,2116,181,2464,157,2805,164
1949,r022,All classes -> 21,All classes,21,2,908,76,969,86,1226,89,1009,97,1431,78,1319,72,1207,96,1383,141,1421,129,1569,137,1760,144,1679,173,1581,179,1866,216,1830,178,2086,184,2136,202,2388,181,2597,256,2996,253,3353,244
1949,r023,All classes -> 22,All classes,22,2,111,13,115,19,144,14,153,14,170,5,201,11,175,17,204,20,218,34,227,18,242,23,222,26,216,14,225,29,253,24,240,18,236,23,258,18,290,21,374,35,370,36
1949,r024,All classes -> 23,All classes,23,2,34,2,46,9,35,5,28,1,31,3,38,13,44,5,30,5,86,12,61,4,52,1,52,12,44,8,50,5,51,6,66,9,71,19,74,3,70,6,65,6,62,10
1949,r025,All classes -> 24,All classes,24,2,415,45,361,51,506,47,416,46,626,46,602,52,542,47,591,82,667,81,721,65,912,73,762,76,720,81,758,73,764,63,830,69,895,60,921,68,938,82,1091,68,1346,85
1949,r026,All classes -> 25,All classes,25,2,4065,333,3488,401,4826,347,3924,301,5154,271,4666,267,4587,333,5502,541,6843,554,7961,584,9153,647,8736,638,8575,715,9737,680,10253,586,11098,626,12094,693,12598,699,13062,776,13927,762,14446,779
1949,r027,All classes -> 26,All classes,26,2,139,7,128,13,226,15,167,7,208,10,226,5,194,10,199,23,270,19,303,28,337,27,328,24,350,33,388,30,431,26,448,24,456,27,422,30,510,41,491,35,614,41
1949,r028,All classes -> 27,All classes,27,2,155,17,186,11,301,26,258,17,287,17,285,17,225,11,237,21,251,18,272,17,366,24,300,22,240,39,255,21,235,26,276,20,308,17,297,18,313,26,366,30,493,40
1949,r029,All classes -> 28,All classes,28,2,3298,181,2989,236,3293,241,3281,218,3960,196,3486,212,3383,281,3355,379,4270,378,4024,310,4353,363,3761,331,3580,385,3869,407,3864,382,4036,354,4496,350,4416,415,4447,484,4677,585,4949,590
1949,r030,All classes -> 29,All classes,29,2,1436,100,1247,89,1213,87,1089,104,1716,77,1533,67,1468,67,1619,120,1928,120,2054,115,2378,134,2023,122,1956,129,2079,117,2073,110,2212,99,2381,135,2391,125,2622,142,2678,129,2733,156
1949,r031,All classes -> 30,All classes,30,2,2450,145,2361,175,1987,158,1893,134,2945,109,2595,132,2374,132,2767,186,3362,179,3602,206,3809,215,3507,211,3417,270,3955,224,3988,219,4165,220,4965,239,4775,195,4780,283,5045,216,5142,229
1949,r032,All classes -> 31,All classes,31,2,843,62,817,72,736,88,680,73,1022,57,1005,64,906,59,949,97,1171,102,1265,95,1320,85,1202,104,1103,98,1337,80,1267,114,1224,95,1265,89,1325,114,1347,125,1594,137,1653,120
1949,r033,All classes -> 32,All classes,32,2,891,92,831,71,597,72,521,59,813,79,775,62,641,67,839,111,1040,120,1067,161,1387,154,1258,163,1308,181,1506,134,1698,156,2161,197,2817,150,3211,209,3568,183,3734,191,3490,196
1949,r034,All classes -> 33,All classes,33,2,414,43,438,62,368,78,421,81,671,66,710,78,681,79,911,109,1340,150,1575,119,1987,146,1752,169,1720,165,1900,138,2023,177,2141,188,2563,199,2911,190,2746,241,2927,196,2911,229
1949,r035,All classes -> 34,All classes,34,2,313,19,257,19,193,34,164,27,273,18,275,18,275,17,273,41,322,52,319,47,464,56,541,73,474,51,524,41,655,72,794,122,975,148,1134,169,1364,234,1169,164,847,138
1949,r036,All classes -> 35,All classes,35,2,5996,126,6631,240,9917,339,10524,470,14424,603,11970,416,9729,353,10530,541,14040,531,16437,636,19166,765,17694,851,16678,805,18210,810,19160,868,19139,883,19615,910,19876,970,20040,1031,20009,930,19705,884
1949,r037,All classes -> 36,All classes,36,2,3870,132,3910,197,5665,227,5811,348,7783,292,6514,218,5780,191,5933,318,8065,322,8972,502,9932,559,8226,498,7199,372,7527,407,7802,330,7783,379,8327,364,8270,396,8877,448,8865,383,8676,436
1949,r038,All classes -> 37,All classes,37,2,1113,71,1257,103,1743,101,1517,92,2328,83,1887,89,1674,71,1919,129,2714,103,3087,117,3567,138,3085,159,2733,116,2768,119,2911,104,2886,116,3042,131,3186,115,3369,130,3456,101,3608,109
1949,r039,All classes -> 38,All classes,38,2,1152,90,1034,140,1697,159,1873,289,2289,228,1617,179,1339,130,1320,237,1656,193,1981,215,2274,275,1933,268,1697,226,1691,229,1689,242,1633,219,1571,204,1482,231,1449,228,1318,209,1221,177
1949,r040,All classes -> 39,All classes,39,2,928,93,992,94,1396,109,1297,96,1678,98,1344,66,1064,58,1137,114,1462,91,1728,96,1950,121,1754,124,1583,126,1755,93,1845,126,1880,109,1839,115,1908,124,1953,125,2126,130,1970,133
1949,r041,All classes -> 40,All classes,40,2,535,28,570,43,760,41,677,49,1000,42,959,55,830,43,883,75,1150,53,1295,75,1548,101,1554,109,1248,98,1352,78,1394,97,1388,87,1330,97,1445,85,1400,114,1510,100,1451,94
1949,r042,All classes -> 41,All classes,41,2,5139,208,5313,289,7459,305,7119,378,10062,336,9122,289,8312,294,9038,512,12047,485,14342,576,16986,694,15532,712,14793,664,16324,633,17586,741,18220,752,18663,750,19359,801,20934,905,21851,897,21560,842
1949,r043,All classes -> 42,All classes,42,2,8434,344,8238,626,11470,722,11448,848,15496,819,8907,575,5240,398,4900,590,5690,548,6581,616,7397,691,7311,814,6961,771,7900,726,8788,854,9198,881,9756,927,10289,1036,10550,1221,11252,1154,11451,1212
1949,r044,All classes -> 43,All classes,43,2,9,0,4,0,2,0,3,0,164,0,1304,26,1759,57,2181,94,3069,98,3523,126,3911,182,3615,154,3268,128,3882,145,4153,116,4300,143,4587,162,5105,179,5477,200,5929,202,5941,189
1949,r045,All classes -> 44,All classes,44,2,2,0,1,0,1,0,1,0,121,0,1172,23,1691,59,2121,116,2843,100,3466,142,4129,170,3920,182,3786,162,4195,148,4486,173,4878,190,5011,189,5026,197,5648,270,6028,277,6058,209
1949,r046,All classes -> 45,All classes,45,2,1,0,1,0,4,0,5,0,46,0,406,6,601,16,764,34,1139,32,1679,41,2669,105,2762,134,2748,117,3113,139,3502,160,3500,141,3508,126,3493,137,3643,182,3643,154,3515,146
1949,r047,All classes -> Unclassified,All classes,Unclassified,2,196,0,161,0,256,0,226,0,384,0,295,0,278,0,264,0,391,0,431,0,422,0,462,0,435,1,378,0,388,0,363,1,381,0,373,0,333,1,381,0,361,0
