table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_in_use,field_in_testing_but_not_in_use,field_not_in_use_nor_testing,field_don_t_know,field_did_not_answer
9023,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['514', '&nbsp;']","['0.0', '&nbsp;']","['0.4', '&nbsp;']","['87.2', '&nbsp;']","['12.5', 'r']","['0.0', '&nbsp;']"
9023,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,417', '&nbsp;']","['0.3', 'r']","['0.3', '&nbsp;']","['85.1', '&nbsp;']","['13.5', '&nbsp;']","['0.8', 'r']"
9023,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,807', '&nbsp;']","['0.0', '&nbsp;']","['0.2', '&nbsp;']","['86.3', '&nbsp;']","['13.3', '&nbsp;']","['0.2', 'r']"
9023,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['4,357', '&nbsp;']","['0.2', '&nbsp;']","['0.6', 'r']","['87.6', '&nbsp;']","['11.1', '&nbsp;']","['0.5', 'r']"
9023,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,478', '&nbsp;']","['0.7', 'r']","['1.4', 'r']","['82.9', '&nbsp;']","['14.8', '&nbsp;']","['0.1', '&nbsp;']"
9023,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,300', '&nbsp;']","['0.9', 'r']","['0.2', '&nbsp;']","['85.0', '&nbsp;']","['13.8', '&nbsp;']","['0.0', 'r']"
9023,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,394', '&nbsp;']","['0.0', '&nbsp;']","['0.0', 'r']","['79.4', '&nbsp;']","['20.2', '&nbsp;']","['0.3', 'r']"
9023,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['46,992', '&nbsp;']","['0.3', '&nbsp;']","['0.2', 'r']","['85.2', '&nbsp;']","['13.8', '&nbsp;']","['0.5', '&nbsp;']"
9023,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['18,052', '&nbsp;']","['0.3', '&nbsp;']","['0.9', 'r']","['81.9', '&nbsp;']","['16.8', '&nbsp;']","['0.1', '&nbsp;']"
9023,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,732', '&nbsp;']","['1.0', 'r']","['0.5', '&nbsp;']","['85.4', '&nbsp;']","['12.7', '&nbsp;']","['0.4', 'r']"
9023,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['836', '&nbsp;']","['0.0', '&nbsp;']","['0.4', '&nbsp;']","['91.5', '&nbsp;']","['7.9', '&nbsp;']","['0.2', '&nbsp;']"
9023,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,773', '&nbsp;']","['1.0', 'r']","['0.0', '&nbsp;']","['82.7', '&nbsp;']","['16.4', '&nbsp;']","['0.0', '&nbsp;']"
9023,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,753', '&nbsp;']","['1.1', 'r']","['0.5', '&nbsp;']","['85.7', '&nbsp;']","['12.0', '&nbsp;']","['0.7', 'r']"
9023,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1,369', '&nbsp;']","['1.2', 'r']","['1.7', '&nbsp;']","['86.6', '&nbsp;']","['10.4', '&nbsp;']","['0.1', '&nbsp;']"
9023,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,064', '&nbsp;']","['0.4', '&nbsp;']","['0.3', '&nbsp;']","['85.8', '&nbsp;']","['13.1', '&nbsp;']","['0.3', 'r']"
9023,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,786', '&nbsp;']","['0.5', '&nbsp;']","['0.6', '&nbsp;']","['85.8', '&nbsp;']","['12.6', '&nbsp;']","['0.4', '&nbsp;']"
9023,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['5,054', '&nbsp;']","['0.2', 'r']","['0.7', '&nbsp;']","['85.7', '&nbsp;']","['12.9', '&nbsp;']","['0.5', '&nbsp;']"
9023,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['994', '&nbsp;']","['2.4', '&nbsp;']","['1.3', '&nbsp;']","['83.4', '&nbsp;']","['12.6', '&nbsp;']","['0.3', 'r']"
9023,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,738', '&nbsp;']","['0.2', 'r']","['0.1', '&nbsp;']","['87.7', '&nbsp;']","['11.8', '&nbsp;']","['0.2', '&nbsp;']"
9023,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['12,594', '&nbsp;']","['0.5', '&nbsp;']","['0.4', '&nbsp;']","['85.9', '&nbsp;']","['12.7', '&nbsp;']","['0.4', 'r']"
9023,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['19,761', '&nbsp;']","['0.6', '&nbsp;']","['0.5', '&nbsp;']","['83.9', '&nbsp;']","['14.6', '&nbsp;']","['0.3', '&nbsp;']"
9023,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['7,588', '&nbsp;']","['0.4', '&nbsp;']","['0.5', '&nbsp;']","['82.3', '&nbsp;']","['16.6', '&nbsp;']","['0.2', 'r']"
9023,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['12,172', '&nbsp;']","['0.8', '&nbsp;']","['0.5', '&nbsp;']","['85.0', '&nbsp;']","['13.4', '&nbsp;']","['0.4', 'r']"
9023,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['4,651,784', '&nbsp;']","['0.5', '&nbsp;']","['0.4', '&nbsp;']","['83.1', '&nbsp;']","['15.8', '&nbsp;']","['0.2', '&nbsp;']"
9023,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['21,859', '&nbsp;']","['0.2', 'r']","['0.0', '&nbsp;']","['85.4', '&nbsp;']","['14.4', '&nbsp;']","['0.0', '&nbsp;']"
9023,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['15,323', '&nbsp;']","['0.1', '&nbsp;']","['0.1', '&nbsp;']","['82.5', '&nbsp;']","['17.1', '&nbsp;']","['0.3', 'r']"
9023,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['2,729', '&nbsp;']","['0.1', '&nbsp;']","['0.6', '&nbsp;']","['86.6', '&nbsp;']","['12.5', '&nbsp;']","['0.2', 'r']"
9023,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['627,170', '&nbsp;']","['0.3', '&nbsp;']","['0.2', '&nbsp;']","['84.2', '&nbsp;']","['15.1', '&nbsp;']","['0.2', '&nbsp;']"
9023,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['246,019', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['83.6', '&nbsp;']","['15.2', '&nbsp;']","['0.4', '&nbsp;']"
9023,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['548,126', '&nbsp;']","['0.4', '&nbsp;']","['0.3', '&nbsp;']","['82.1', '&nbsp;']","['17.1', '&nbsp;']","['0.1', '&nbsp;']"
9023,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['160,599', '&nbsp;']","['0.3', '&nbsp;']","['0.2', '&nbsp;']","['82.3', '&nbsp;']","['17.0', '&nbsp;']","['0.3', '&nbsp;']"
9023,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['63,631', '&nbsp;']","['1.2', '&nbsp;']","['2.3', '&nbsp;']","['84.7', '&nbsp;']","['11.5', '&nbsp;']","['0.2', '&nbsp;']"
9023,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['17,644', '&nbsp;']","['1.7', '&nbsp;']","['1.4', '&nbsp;']","['85.1', '&nbsp;']","['11.6', '&nbsp;']","['0.2', '&nbsp;']"
9023,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['9,186', '&nbsp;']","['0.5', 'r']","['0.6', '&nbsp;']","['87.4', '&nbsp;']","['11.4', '&nbsp;']","['0.1', '&nbsp;']"
9023,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['8,459', '&nbsp;']","['3.1', '&nbsp;']","['2.2', '&nbsp;']","['82.6', '&nbsp;']","['11.8', '&nbsp;']","['0.4', '&nbsp;']"
9023,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['7,670', '&nbsp;']","['0.6', 'r']","['0.9', 'r']","['82.0', '&nbsp;']","['16.1', '&nbsp;']","['0.4', 'r']"
9023,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['8,311', '&nbsp;']","['0.9', '&nbsp;']","['1.7', '&nbsp;']","['86.8', '&nbsp;']","['10.3', '&nbsp;']","['0.4', '&nbsp;']"
9023,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['30,006', '&nbsp;']","['1.2', '&nbsp;']","['3.4', '&nbsp;']","['84.7', '&nbsp;']","['10.5', '&nbsp;']","['0.2', '&nbsp;']"
9023,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['198,294', '&nbsp;']","['0.5', '&nbsp;']","['0.4', '&nbsp;']","['80.0', '&nbsp;']","['19.0', '&nbsp;']","['0.2', '&nbsp;']"
9023,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['272,733', '&nbsp;']","['1.0', '&nbsp;']","['0.3', '&nbsp;']","['80.7', '&nbsp;']","['17.8', '&nbsp;']","['0.2', '&nbsp;']"
9023,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['1,581', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['97.0', '&nbsp;']","['3.0', 'r']","['0.0', '&nbsp;']"
9023,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['271,153', '&nbsp;']","['1.0', '&nbsp;']","['0.3', '&nbsp;']","['80.6', '&nbsp;']","['17.9', '&nbsp;']","['0.2', '&nbsp;']"
9023,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['709,564', '&nbsp;']","['0.9', '&nbsp;']","['0.8', '&nbsp;']","['86.3', '&nbsp;']","['11.6', '&nbsp;']","['0.3', '&nbsp;']"
9023,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['153,271', '&nbsp;']","['0.2', '&nbsp;']","['0.1', 'r']","['86.0', '&nbsp;']","['13.3', '&nbsp;']","['0.4', '&nbsp;']"
9023,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['106,909', '&nbsp;']","['0.4', '&nbsp;']","['0.1', '&nbsp;']","['85.6', '&nbsp;']","['13.5', '&nbsp;']","['0.4', '&nbsp;']"
9023,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['88,331', '&nbsp;']","['2.2', '&nbsp;']","['1.3', '&nbsp;']","['85.8', '&nbsp;']","['10.4', '&nbsp;']","['0.3', '&nbsp;']"
9023,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['29,243', '&nbsp;']","['2.5', '&nbsp;']","['2.5', '&nbsp;']","['84.9', '&nbsp;']","['10.2', '&nbsp;']","['0.0', '&nbsp;']"
9023,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['98,634', '&nbsp;']","['1.4', '&nbsp;']","['2.1', '&nbsp;']","['86.0', '&nbsp;']","['10.0', '&nbsp;']","['0.4', '&nbsp;']"
9023,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['139,202', '&nbsp;']","['0.6', '&nbsp;']","['0.7', '&nbsp;']","['87.9', '&nbsp;']","['10.7', '&nbsp;']","['0.2', '&nbsp;']"
9023,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['10,785', '&nbsp;']","['0.8', '&nbsp;']","['1.7', '&nbsp;']","['86.5', '&nbsp;']","['10.3', '&nbsp;']","['0.7', '&nbsp;']"
9023,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['27,701', '&nbsp;']","['1.8', '&nbsp;']","['1.2', '&nbsp;']","['86.3', '&nbsp;']","['10.5', '&nbsp;']","['0.1', 'r']"
9023,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['55,490', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['87.2', '&nbsp;']","['11.8', '&nbsp;']","['0.2', 'r']"
9023,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['2,331', '&nbsp;']","['2.7', 'r']","['0.0', '&nbsp;']","['85.7', '&nbsp;']","['11.6', '&nbsp;']","['0.0', '&nbsp;']"
9023,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['291,891', '&nbsp;']","['0.1', 'r']","['0.2', '&nbsp;']","['85.6', '&nbsp;']","['13.9', '&nbsp;']","['0.2', '&nbsp;']"
9023,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['56,639', '&nbsp;']","['0.8', '&nbsp;']","['0.7', '&nbsp;']","['84.6', '&nbsp;']","['13.9', '&nbsp;']","['0.1', 'r']"
9023,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['531,069', '&nbsp;']","['0.4', '&nbsp;']","['0.2', '&nbsp;']","['83.1', '&nbsp;']","['16.0', '&nbsp;']","['0.3', '&nbsp;']"
9023,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['466,688', '&nbsp;']","['0.4', '&nbsp;']","['0.2', '&nbsp;']","['83.5', '&nbsp;']","['15.6', '&nbsp;']","['0.3', '&nbsp;']"
9023,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['64,382', '&nbsp;']","['0.3', 'r']","['0.1', 'r']","['80.2', '&nbsp;']","['18.9', '&nbsp;']","['0.4', '&nbsp;']"
9023,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['90,143', '&nbsp;']","['0.9', '&nbsp;']","['0.7', '&nbsp;']","['84.0', '&nbsp;']","['14.4', '&nbsp;']","['0.1', 'r']"
9023,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['464,142', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['79.5', '&nbsp;']","['19.6', '&nbsp;']","['0.2', '&nbsp;']"
9023,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['349,519', '&nbsp;']","['0.1', '&nbsp;']","['0.3', '&nbsp;']","['81.6', '&nbsp;']","['17.7', '&nbsp;']","['0.3', '&nbsp;']"
