table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_researcha,field_applied_researcha,field_developmenta
1415,r023,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All industries,Manufacturing industries,Transportation equipment,Other transportation equipment,,4,other 336,"['58', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['53', '&nbsp;']"
1415,r024,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1415,r025,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,"322, 324, 339","['245', '&nbsp;']","['4', '&nbsp;']","['21', '&nbsp;']","['220', '&nbsp;']"
1415,r026,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['1,411', '&nbsp;']","['65', '&nbsp;']","['331', 'i']","['1,015', '&nbsp;']"
1415,r027,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['876', '&nbsp;']","['22', '&nbsp;']","['234', 'i']","['620', '&nbsp;']"
1415,r028,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['563', '&nbsp;']","['6', '&nbsp;']","['191', 'i']","['365', '&nbsp;']"
1415,r029,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']"
1415,r030,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['D', '&nbsp;']","['D', '&nbsp;']","['40', '&nbsp;']","['D', '&nbsp;']"
1415,r031,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['D', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
1415,r032,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['131', '&nbsp;']","['23', '&nbsp;']","['43', '&nbsp;']","['65', '&nbsp;']"
1415,r033,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['26', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['21', '&nbsp;']"
1415,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['47', '&nbsp;']","['8', '&nbsp;']","['7', '&nbsp;']","['32', '&nbsp;']"
1415,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['58', '&nbsp;']","['15', '&nbsp;']","['32', '&nbsp;']","['11', '&nbsp;']"
1415,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']"
1415,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['53', '&nbsp;']","['15', '&nbsp;']","['32', '&nbsp;']","['6', '&nbsp;']"
1415,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
1415,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']"
1415,r040,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 42–49, 52, 53, 55–81","['404', '&nbsp;']","['19', '&nbsp;']","['55', '&nbsp;']","['330', '&nbsp;']"
1415,r041,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['11,120', '&nbsp;']","['400', '&nbsp;']","['1,787', '&nbsp;']","['8,933', '&nbsp;']"
1415,r042,All companies (number of domestic employees) -> Micro companies<sup>b</sup>,All companies (number of domestic employees),Micro companies<sup>b</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1415,r043,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5&#8211;9,,,3,–,"['2', '&nbsp;']","['*', 'i']","['1', 'i']","['1', 'i']"
1415,r044,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1415,r045,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['9', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['5', '&nbsp;']"
1415,r046,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['74', '&nbsp;']","['14', '&nbsp;']","['5', '&nbsp;']","['54', '&nbsp;']"
1415,r047,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1415,r048,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['132', '&nbsp;']","['27', '&nbsp;']","['8', '&nbsp;']","['97', '&nbsp;']"
1415,r049,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['270', '&nbsp;']","['15', '&nbsp;']","['79', '&nbsp;']","['176', '&nbsp;']"
1415,r050,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1415,r051,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['272', '&nbsp;']","['10', '&nbsp;']","['33', '&nbsp;']","['229', '&nbsp;']"
1415,r052,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['545', '&nbsp;']","['60', '&nbsp;']","['92', '&nbsp;']","['393', '&nbsp;']"
1415,r053,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['2,127', '&nbsp;']","['74', '&nbsp;']","['718', '&nbsp;']","['1,336', '&nbsp;']"
1415,r054,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['1,094', '&nbsp;']","['5', '&nbsp;']","['160', '&nbsp;']","['929', '&nbsp;']"
1415,r055,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['538', '&nbsp;']","['21', '&nbsp;']","['68', '&nbsp;']","['449', '&nbsp;']"
1415,r056,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['6,056', '&nbsp;']","['171', '&nbsp;']","['620', '&nbsp;']","['5,265', '&nbsp;']"
