table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
6533,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['164', '']","['139', '']","['23', '']","['2', '']","['117', '']","['105', '']","['11', '']","['1', '']"
6533,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['102', '']","['92', '']","['9', '']","['1', '']","['75', '']","['70', '']","['4', '']","['1', '']"
6533,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['50', '']","['39', '']","['10', '']","['1', '']","['35', '']","['30', '']","['5', '']","['1', 'i']"
6533,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['46', '']","['37', '']","['8', '']","['1', '']","['33', '']","['28', '']","['4', '']","['1', 'i']"
6533,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['4', 'i']","['2', 'i']","['1', '']","['*', '']","['3', 'i']","['1', 'i']","['1', '']","['*', 'i']"
6533,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['1', '']","['*', '']","['1', '']","['0', '']","['*', '']","['*', '']","['*', '']","['0', '']"
6533,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['11', 'i']","['8', 'i']","['3', 'i']","['*', '']","['6', '']","['4', '']","['1', 'i']","['*', 'i']"
6533,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['3', '']","['2', '']","['1', '']","['*', '']","['2', '']","['1', '']","['*', 'i']","['*', '']"
6533,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['72', '']","['65', '']","['6', '']","['1', 'i']","['44', '']","['41', '']","['3', 'i']","['*', 'i']"
6533,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['57', '']","['54', '']","['3', '']","['1', '']","['36', '']","['35', '']","['2', '']","['*', '']"
