table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_energy_,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
1407,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,185,"['2,215', '&nbsp;']","['40', 'i']",133,,"['4', '&nbsp;']","['2', 'i']"
1407,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,355,"['6,654', '&nbsp;']","['50', 'i']",149,,"['55', 'i']","['508', '&nbsp;']"
1407,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,66,"['469', 'i']","['30', 'i']",89,i,"['10', 'i']","['23', 'i']"
1407,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,189,"['18,371', '&nbsp;']","['29', '&nbsp;']",633,i,"['23', '&nbsp;']","['142', 'i']"
1407,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,116,"['2,749', '&nbsp;']","['21', '&nbsp;']",470,i,"['D', '&nbsp;']","['134', 'i']"
1407,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,73,"['15,622', '&nbsp;']","['8', '&nbsp;']",163,,"['D', '&nbsp;']","['8', '&nbsp;']"
1407,r023,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,,"['D', '&nbsp;']","['5', 'i']",8,i,"['0', '&nbsp;']","['0', '&nbsp;']"
1407,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337",,"['D', '&nbsp;']","['D', '&nbsp;']",6,,"['D', '&nbsp;']","['2', '&nbsp;']"
1407,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",2246,"['18,061', '&nbsp;']","['395', 'i']",1044,,"['429', 'i']","['1,008', '&nbsp;']"
1407,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,11,"['400', '&nbsp;']","['6', '&nbsp;']",370,,"['4', '&nbsp;']","['6', '&nbsp;']"
1407,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,6,"['26', '&nbsp;']","['5', '&nbsp;']",23,,"['D', '&nbsp;']","['D', '&nbsp;']"
1407,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,30,"['10', 'i']","['0', '&nbsp;']",0,,"['0', '&nbsp;']","['0', '&nbsp;']"
1407,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,103,"['674', '&nbsp;']","['D', '&nbsp;']",,,"['D', '&nbsp;']","['3', '&nbsp;']"
1407,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,61,"['400', '&nbsp;']","['D', '&nbsp;']",,,"['D', '&nbsp;']","['2', '&nbsp;']"
1407,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,,"['D', '&nbsp;']","['0', '&nbsp;']",0,,"['0', '&nbsp;']","['0', '&nbsp;']"
1407,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,32,"['138', '&nbsp;']","['D', '&nbsp;']",,,"['D', '&nbsp;']","['1', '&nbsp;']"
1407,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,,"['D', '&nbsp;']","['0', '&nbsp;']",0,,"['0', '&nbsp;']","['0', '&nbsp;']"
1407,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,2017,"['16,750', '&nbsp;']","['378', 'i']",484,i,"['417', 'i']","['956', '&nbsp;']"
1407,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,464,"['1,596', '&nbsp;']","['180', 'i']",252,i,"['163', 'i']","['849', '&nbsp;']"
1407,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,982,"['12,031', '&nbsp;']","['170', 'i']",213,i,"['210', 'i']","['87', 'i']"
1407,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,205,"['3,714', '&nbsp;']","['D', '&nbsp;']",1,,"['D', '&nbsp;']","['1', '&nbsp;']"
1407,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,777,"['8,317', '&nbsp;']","['D', '&nbsp;']",212,i,"['D', '&nbsp;']","['85', 'i']"
1407,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,571,"['3,124', 'i']","['29', 'i']",20,,"['43', 'i']","['21', 'i']"
1407,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,63,"['66', '&nbsp;']","['0', '&nbsp;']",0,,"['0', '&nbsp;']","['0', '&nbsp;']"
1407,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81",15,"['135', '&nbsp;']","['D', '&nbsp;']",,,"['D', '&nbsp;']","['D', '&nbsp;']"
1407,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,4790,"['56,954', '&nbsp;']","['703', 'i']",2296,,"['655', 'i']","['1,792', '&nbsp;']"
1407,r043,All companies (number of domestic employees) -> Micro companies<sup>c</sup>,All companies (number of domestic employees),Micro companies<sup>c</sup>,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1407,r044,All companies (number of domestic employees) -> Micro companies<sup>c</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>c</sup>,5&#8211;9,,,3,–,964,"['536', 'i']","['118', 'i']",23,i,"['126', 'i']","['21', 'i']"
1407,r045,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1407,r046,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,1085,"['1,071', 'i']","['209', 'i']",94,i,"['198', 'i']","['76', 'i']"
1407,r047,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,1239,"['2,189', '&nbsp;']","['138', 'i']",122,i,"['160', 'i']","['120', 'i']"
1407,r048,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1407,r049,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,439,"['1,570', '&nbsp;']","['50', 'i']",52,i,"['31', 'i']","['22', 'i']"
1407,r050,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,505,"['3,153', '&nbsp;']","['64', 'i']",181,i,"['59', 'i']","['148', 'i']"
1407,r051,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']",,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1407,r052,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,184,"['1,654', '&nbsp;']","['29', '&nbsp;']",72,,"['18', 'i']","['39', '&nbsp;']"
1407,r053,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,100,"['924', '&nbsp;']","['14', '&nbsp;']",33,,"['14', '&nbsp;']","['64', 'i']"
1407,r054,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,144,"['10,666', '&nbsp;']","['29', '&nbsp;']",354,i,"['18', '&nbsp;']","['85', 'i']"
1407,r055,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,42,"['4,746', '&nbsp;']","['20', '&nbsp;']",141,i,"['8', '&nbsp;']","['44', 'i']"
1407,r056,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,54,"['12,210', '&nbsp;']","['16', '&nbsp;']",551,,"['12', '&nbsp;']","['96', '&nbsp;']"
1407,r057,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,34,"['18,232', '&nbsp;']","['14', '&nbsp;']",673,,"['11', '&nbsp;']","['1,076', '&nbsp;']"
