table_id,row_id,_b_industry_and_company_size_b_full_path,_b_industry_and_company_size_b_level_1,_b_industry_and_company_size_b_level_2,_b_industry_and_company_size_b_level_3,_b_industry_and_company_size_b_level_4,_b_industry_and_company_size_b_level_5,_b_industry_and_company_size_b_hierarchy_depth,field_naics_code,field_2015_17_yes,field_2015_17_no,field_2016_18_yes,field_2016_18_no,field_2017_19_yes,field_2017_19_no
8026,r013,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['69.8', '&#160;']","['30.2', '&#160;']","['52.1', '&#160;']","['47.9', '&#160;']","['45.7', '&#160;']","['54.3', '&#160;']"
8026,r014,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['70.6', '&#160;']","['29.4', '&#160;']","['41.1', '&#160;']","['58.9', '&#160;']","['43.7', '&#160;']","['56.3', '&#160;']"
8026,r015,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['66.1', '&#160;']","['33.9', '&#160;']","['37.4', '&#160;']","['62.6', '&#160;']","['39.2', '&#160;']","['60.8', '&#160;']"
8026,r016,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['61.3', '&#160;']","['38.7', '&#160;']","['42.3', '&#160;']","['57.7', '&#160;']","['36.3', '&#160;']","['63.7', '&#160;']"
8026,r017,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['51.0', '&#160;']","['49.0', '&#160;']","['30.0', '&#160;']","['70.0', '&#160;']","['30.3', '&#160;']","['69.7', '&#160;']"
8026,r018,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['55.9', '&#160;']","['44.1', '&#160;']","['34.3', '&#160;']","['65.7', '&#160;']","['33.3', '&#160;']","['66.7', '&#160;']"
8026,r019,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['53.6', '&#160;']","['46.4', '&#160;']","['31.0', '&#160;']","['69.0', '&#160;']","['30.7', '&#160;']","['69.3', '&#160;']"
8026,r020,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['61.6', '&#160;']","['38.4', '&#160;']","['39.1', '&#160;']","['60.9', '&#160;']","['41.1', '&#160;']","['58.9', '&#160;']"
8026,r021,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['71.9', '&#160;']","['28.1', '&#160;']","['48.3', '&#160;']","['51.7', '&#160;']","['51.1', '&#160;']","['48.9', '&#160;']"
8026,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['77.1', '&#160;']","['22.9', '&#160;']","['53.1', '&#160;']","['46.9', '&#160;']","['56.4', '&#160;']","['43.6', '&#160;']"
8026,r023,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['66.6', '&#160;']","['33.4', '&#160;']","['46.0', '&#160;']","['54.0', '&#160;']","['45.1', '&#160;']","['54.9', '&#160;']"
8026,r024,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['73.9', '&#160;']","['26.1', '&#160;']","['49.9', '&#160;']","['50.1', '&#160;']","['54.6', '&#160;']","['45.4', '&#160;']"
8026,r025,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['75.0', '&#160;']","['25.0', '&#160;']","['45.1', '&#160;']","['54.9', '&#160;']","['50.6', '&#160;']","['49.4', '&#160;']"
8026,r026,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['65.1', '&#160;']","['34.9', '&#160;']","['43.6', '&#160;']","['56.4', '&#160;']","['44.5', '&#160;']","['55.5', '&#160;']"
8026,r027,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['62.4', '&#160;']","['37.6', '&#160;']","['34.1', '&#160;']","['65.9', '&#160;']","['34.9', '&#160;']","['65.1', '&#160;']"
8026,r028,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['63.7', '&#160;']","['36.3', '&#160;']","['33.5', '&#160;']","['66.5', '&#160;']","['32.6', '&#160;']","['67.4', '&#160;']"
8026,r029,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['65.2', '&#160;']","['34.8', '&#160;']","['37.6', '&#160;']","['62.4', '&#160;']","['43.9', '&#160;']","['56.1', '&#160;']"
8026,r030,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['57.6', '&#160;']","['42.4', '&#160;']","['33.8', '&#160;']","['66.2', '&#160;']","['35.5', '&#160;']","['64.5', '&#160;']"
8026,r031,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['52.2', '&#160;']","['47.8', '&#160;']","['29.6', '&#160;']","['70.4', '&#160;']","['26.6', '&#160;']","['73.4', '&#160;']"
8026,r032,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['59.8', '&#160;']","['40.2', '&#160;']","['39.6', '&#160;']","['60.4', '&#160;']","['32.9', '&#160;']","['67.1', '&#160;']"
8026,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['57.6', '&#160;']","['42.4', '&#160;']","['39.7', '&#160;']","['60.3', '&#160;']","['34.6', '&#160;']","['65.4', '&#160;']"
8026,r034,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['61.1', '&#160;']","['38.9', '&#160;']","['39.6', '&#160;']","['60.4', '&#160;']","['31.9', '&#160;']","['68.1', '&#160;']"
8026,r035,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['42.5', '&#160;']","['57.5', '&#160;']","['29.5', '&#160;']","['70.5', '&#160;']","['24.9', '&#160;']","['75.1', '&#160;']"
8026,r036,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['31.5', '&#160;']","['68.5', '&#160;']","['20.9', '&#160;']","['79.1', '&#160;']","['17.4', '&#160;']","['82.6', '&#160;']"
8026,r037,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['26.0', '&#160;']","['74.0', '&#160;']","['16.5', '&#160;']","['83.5', '&#160;']","['12.3', '&#160;']","['87.7', '&#160;']"
8026,r038,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['38.0', '&#160;']","['62.0', '&#160;']","['23.4', '&#160;']","['76.6', '&#160;']","['20.8', '&#160;']","['79.2', '&#160;']"
8026,r039,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['34.8', '&#160;']","['65.2', '&#160;']","['21.2', '&#160;']","['78.8', '&#160;']","['18.0', '&#160;']","['82.0', '&#160;']"
8026,r040,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['50.3', '&#160;']","['49.7', '&#160;']","['33.7', '&#160;']","['66.3', '&#160;']","['34.4', '&#160;']","['65.6', '&#160;']"
8026,r041,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['44.9', '&#160;']","['55.1', '&#160;']","['30.4', '&#160;']","['69.6', '&#160;']","['27.0', '&#160;']","['73.0', '&#160;']"
8026,r042,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['43.0', '&#160;']","['57.0', '&#160;']","['27.6', '&#160;']","['72.4', '&#160;']","['26.6', '&#160;']","['73.4', '&#160;']"
8026,r043,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['60.8', '&#160;']","['39.2', '&#160;']","['39.5', '&#160;']","['60.5', '&#160;']","['38.5', '&#160;']","['61.5', '&#160;']"
8026,r044,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['66.0', '&#160;']","['34.0', '&#160;']","['42.2', '&#160;']","['57.8', '&#160;']","['46.6', '&#160;']","['53.4', '&#160;']"
8026,r045,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['56.3', '&#160;']","['43.7', '&#160;']","['31.4', '&#160;']","['68.6', '&#160;']","['35.8', '&#160;']","['64.2', '&#160;']"
8026,r046,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['78.6', '&#160;']","['21.4', '&#160;']","['55.6', '&#160;']","['44.4', '&#160;']","['58.8', '&#160;']","['41.2', '&#160;']"
8026,r047,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['58.7', '&#160;']","['41.3', '&#160;']","['36.5', '&#160;']","['63.5', '&#160;']","['33.9', '&#160;']","['66.1', '&#160;']"
8026,r048,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['69.7', '&#160;']","['30.3', '&#160;']","['46.0', '&#160;']","['54.0', '&#160;']","['49.1', '&#160;']","['50.9', '&#160;']"
8026,r049,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['54.6', '&#160;']","['45.4', '&#160;']","['36.6', '&#160;']","['63.4', '&#160;']","['31.6', '&#160;']","['68.4', '&#160;']"
8026,r050,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['46.1', '&#160;']","['53.9', '&#160;']","['37.0', '&#160;']","['63.0', '&#160;']","['26.1', '&#160;']","['73.9', '&#160;']"
8026,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['36.0', '&#160;']","['64.0', '&#160;']","['26.1', '&#160;']","['73.9', '&#160;']","['20.1', '&#160;']","['79.9', '&#160;']"
8026,r052,"All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works)",All industries,Nonmanufacturing industries,Real estate and rental and leasing,"Lessors of nonfinancial intangible assets <br>  (except copyrighted works)",,4,533,"['52.4', '&#160;']","['47.6', '&#160;']","['22.6', '&#160;']","['77.4', '&#160;']","['27.4', '&#160;']","['72.6', '&#160;']"
8026,r053,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['35.9', '&#160;']","['64.1', '&#160;']","['26.1', '&#160;']","['73.9', '&#160;']","['20.1', '&#160;']","['79.9', '&#160;']"
8026,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['46.0', '&#160;']","['54.0', '&#160;']","['34.5', '&#160;']","['65.5', '&#160;']","['29.0', '&#160;']","['71.0', '&#160;']"
8026,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['33.1', '&#160;']","['66.9', '&#160;']","['24.2', '&#160;']","['75.8', '&#160;']","['17.3', '&#160;']","['82.7', '&#160;']"
8026,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['36.5', '&#160;']","['63.5', '&#160;']","['30.9', '&#160;']","['69.1', '&#160;']","['20.7', '&#160;']","['79.3', '&#160;']"
8026,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['47.3', '&#160;']","['52.7', '&#160;']","['33.6', '&#160;']","['66.4', '&#160;']","['29.9', '&#160;']","['70.1', '&#160;']"
8026,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['55.8', '&#160;']","['44.2', '&#160;']","['32.5', '&#160;']","['67.5', '&#160;']","['32.0', '&#160;']","['68.0', '&#160;']"
8026,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['60.2', '&#160;']","['39.8', '&#160;']","['47.2', '&#160;']","['52.8', '&#160;']","['43.8', '&#160;']","['56.2', '&#160;']"
8026,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['51.6', '&#160;']","['48.4', '&#160;']","['40.3', '&#160;']","['59.7', '&#160;']","['34.0', '&#160;']","['66.0', '&#160;']"
8026,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['61.6', '&#160;']","['38.4', '&#160;']","['40.8', '&#160;']","['59.2', '&#160;']","['42.8', '&#160;']","['57.2', '&#160;']"
8026,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['55.9', '&#160;']","['44.1', '&#160;']","['37.4', '&#160;']","['62.6', '&#160;']","['31.8', '&#160;']","['68.2', '&#160;']"
8026,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['50.2', '&#160;']","['49.8', '&#160;']","['34.3', '&#160;']","['65.7', '&#160;']","['31.1', '&#160;']","['68.9', '&#160;']"
8026,r064,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['31.2', '&#160;']","['68.8', '&#160;']","['20.8', '&#160;']","['79.2', '&#160;']","['21.0', '&#160;']","['79.0', '&#160;']"
8026,r065,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['41.8', '&#160;']","['58.2', '&#160;']","['29.1', '&#160;']","['70.9', '&#160;']","['22.4', '&#160;']","['77.6', '&#160;']"
8026,r066,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['58.1', '&#160;']","['41.9', '&#160;']","['41.3', '&#160;']","['58.7', '&#160;']","['33.1', '&#160;']","['66.9', '&#160;']"
8026,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['43.0', '&#160;']","['57.0', '&#160;']","['30.5', '&#160;']","['69.5', '&#160;']","['24.6', '&#160;']","['75.4', '&#160;']"
8026,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['42.9', '&#160;']","['57.1', '&#160;']","['29.8', '&#160;']","['70.2', '&#160;']","['24.5', '&#160;']","['75.5', '&#160;']"
8026,r069,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['44.0', '&#160;']","['56.0', '&#160;']","['36.1', '&#160;']","['63.9', '&#160;']","['25.9', '&#160;']","['74.1', '&#160;']"
8026,r070,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['45.5', '&#160;']","['54.5', '&#160;']","['29.7', '&#160;']","['70.3', '&#160;']","['22.9', '&#160;']","['77.1', '&#160;']"
8026,r071,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['41.1', '&#160;']","['58.9', '&#160;']","['28.1', '&#160;']","['71.9', '&#160;']","['24.3', '&#160;']","['75.7', '&#160;']"
8026,r072,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['38.9', '&#160;']","['61.1', '&#160;']","['26.2', '&#160;']","['73.8', '&#160;']","['22.4', '&#160;']","['77.6', '&#160;']"
8026,r073,Employment size,Employment size,,,,,1,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']"
8026,r074,All companies,All companies,,,,,1,na,"['43.2', '&#160;']","['56.8', '&#160;']","['29.7', '&#160;']","['70.3', '&#160;']","['25.3', '&#160;']","['74.7', '&#160;']"
8026,r075,All companies -> Microbusinesses,All companies,Microbusinesses,,,,2,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '&#160;']"
8026,r076,All companies -> Microbusinesses -> 1&#8211;4,All companies,Microbusinesses,1&#8211;4,,,3,na,"['38.5', '&#160;']","['61.5', '&#160;']","['27.9', '&#160;']","['72.1', '&#160;']","['22.1', '&#160;']","['77.9', '&#160;']"
8026,r077,All companies -> Microbusinesses -> 5&#8211;9,All companies,Microbusinesses,5&#8211;9,,,3,na,"['46.4', '&#160;']","['53.6', '&#160;']","['31.6', '&#160;']","['68.4', '&#160;']","['27.4', '&#160;']","['72.6', '&#160;']"
8026,r078,All companies -> Small businesses,All companies,Small businesses,,,,2,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '&#160;']"
8026,r079,All companies -> Small businesses -> 10&#8211;19,All companies,Small businesses,10&#8211;19,,,3,na,"['49.9', '&#160;']","['50.1', '&#160;']","['32.0', '&#160;']","['68.0', '&#160;']","['30.1', '&#160;']","['69.9', '&#160;']"
8026,r080,All companies -> Small businesses -> 20&#8211;49,All companies,Small businesses,20&#8211;49,,,3,na,"['52.0', '&#160;']","['48.0', '&#160;']","['32.1', '&#160;']","['67.9', '&#160;']","['30.8', '&#160;']","['69.2', '&#160;']"
8026,r081,All companies -> Medium businesses,All companies,Medium businesses,,,,2,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '&#160;']"
8026,r082,All companies -> Medium businesses -> 50&#8211;99,All companies,Medium businesses,50&#8211;99,,,3,na,"['56.2', '&#160;']","['43.8', '&#160;']","['32.7', '&#160;']","['67.3', '&#160;']","['32.0', '&#160;']","['68.0', '&#160;']"
8026,r083,All companies -> Medium businesses -> 100&#8211;249,All companies,Medium businesses,100&#8211;249,,,3,na,"['57.6', '&#160;']","['42.4', '&#160;']","['33.0', '&#160;']","['67.0', '&#160;']","['31.6', '&#160;']","['68.4', '&#160;']"
8026,r084,All companies -> Large businesses,All companies,Large businesses,,,,2,,"['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '<b> </b>']","['<b> </b>', '&#160;']"
8026,r085,All companies -> Large businesses -> 250&#8211;499,All companies,Large businesses,250&#8211;499,,,3,na,"['60.6', '&#160;']","['39.4', '&#160;']","['34.2', '&#160;']","['65.8', '&#160;']","['35.1', '&#160;']","['64.9', '&#160;']"
8026,r086,All companies -> Large businesses -> 500&#8211;999,All companies,Large businesses,500&#8211;999,,,3,na,"['58.1', '&#160;']","['41.9', '&#160;']","['34.3', '&#160;']","['65.7', '&#160;']","['32.5', '&#160;']","['67.5', '&#160;']"
8026,r087,"All companies -> Large businesses -> 1,000&#8211;4,999",All companies,Large businesses,"1,000&#8211;4,999",,,3,na,"['61.8', '&#160;']","['38.2', '&#160;']","['39.4', '&#160;']","['60.6', '&#160;']","['37.8', '&#160;']","['62.2', '&#160;']"
8026,r088,"All companies -> Large businesses -> 5,000&#8211;9,999",All companies,Large businesses,"5,000&#8211;9,999",,,3,na,"['72.6', '&#160;']","['27.4', '&#160;']","['43.1', '&#160;']","['56.9', '&#160;']","['45.0', '&#160;']","['55.0', '&#160;']"
8026,r089,"All companies -> Large businesses -> 10,000&#8211;24,999",All companies,Large businesses,"10,000&#8211;24,999",,,3,na,"['66.5', '&#160;']","['33.5', '&#160;']","['45.1', '&#160;']","['54.9', '&#160;']","['51.0', '&#160;']","['49.0', '&#160;']"
8026,r090,"All companies -> Large businesses -> 25,000 or more",All companies,Large businesses,"25,000 or more",,,3,na,"['71.0', '&#160;']","['29.0', '&#160;']","['46.4', '&#160;']","['53.6', 'r']","['49.9', '&#160;']","['50.1', '&#160;']"
