table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_4_year_educational_institutiona_median_salary,field_4_year_educational_institutiona_se,field_other_educational_institutionb_median_salary,field_other_educational_institutionb_se,field_private_for_profitc_median_salary,field_private_for_profitc_se,field_private_nonprofit_median_salary,field_private_nonprofit_se,field_federal_government_median_salary,field_federal_government_se,field_state_or_local_government_median_salary,field_state_or_local_government_se,field_self_employedd_median_salary,field_self_employedd_se,field_othere_median_salary,field_othere_se
8160,r017,"All occupations -> Science occupations -> Mathematical scientists -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations,Mathematical scientists,"Postsecondary teachers, mathematics, statistics",4,90000,500,90000,1500,78000,6500,,,,,,,,,,,,
8160,r018,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,108000,2500,87000,2000,72000,4500,135000,2000,137000,4500,135000,4000,116000,16000,57000,22000,123000,10500
8160,r019,"All occupations -> Science occupations -> Physical scientists -> Chemists, except biochemists",All occupations,Science occupations,Physical scientists,"Chemists, except biochemists",4,124000,4000,69000,3000,,,130000,1500,110000,27000,119000,4000,95000,13500,S,S,97000,11500
8160,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,116000,4500,88000,4500,,,143000,10500,109000,7500,134000,6000,96000,7500,99000,35000,142000,21500
8160,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,138000,5000,74000,7000,,,145000,7000,150000,7500,149000,9000,145000,7000,S,S,130000,31500
8160,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,80000,2000,82000,2500,68000,2000,,,,,,,,,,,,
8160,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,96000,3500,99000,3000,80000,7000,,,,,,,,,,,,
8160,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,91000,3000,91000,3500,72000,3500,,,,,,,,,,,,
8160,r025,All occupations -> Science occupations -> Physical scientists -> Other physical scientists,All occupations,Science occupations,Physical scientists,Other physical scientists,4,131000,4000,96000,12000,,,148000,16500,134000,11500,133000,4000,91000,13000,,,,
8160,r026,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,101000,1500,90000,1500,89000,1000,119000,5000,109000,4000,115000,2000,103000,2500,120000,5000,80000,14000
8160,r027,All occupations -> Science occupations -> Psychologists -> Psychologists,All occupations,Science occupations,Psychologists,Psychologists,4,109000,1000,97000,4000,92000,3500,119000,5000,109000,4000,115000,2000,103000,2500,120000,5000,80000,14000
8160,r028,"All occupations -> Science occupations -> Psychologists -> Postsecondary teachers, psychology",All occupations,Science occupations,Psychologists,"Postsecondary teachers, psychology",4,88000,1500,89000,1500,85000,4500,,,,,,,,,,,,
8160,r029,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,100000,2000,95000,1500,80000,3500,150000,9500,131000,7500,137000,3500,100000,4000,111000,14500,174000,22500
8160,r030,All occupations -> Science occupations -> Social scientists -> Economists,All occupations,Science occupations,Social scientists,Economists,4,154000,7500,114000,11500,,,171000,14000,163000,14500,150000,12000,104000,5000,101000,11000,193000,23000
8160,r031,All occupations -> Science occupations -> Social scientists -> Political scientists,All occupations,Science occupations,Social scientists,Political scientists,4,129000,16000,135000,31000,,,106000,36500,108000,25500,133000,20000,S,S,,,,
8160,r032,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, economics",All occupations,Science occupations,Social scientists,"Postsecondary teachers, economics",4,118000,2500,118000,2000,,,,,,,,,,,,,,
8160,r033,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, political science",All occupations,Science occupations,Social scientists,"Postsecondary teachers, political science",4,92000,2500,92000,2500,94000,22000,,,,,,,,,,,,
8160,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,83000,3500,84000,3500,77000,4500,,,,,,,,,,,,
8160,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,87000,1500,88000,1500,78000,3500,,,,,,,,,,,,
8160,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,98000,3500,80000,10000,,,115000,10500,128000,10500,100000,17000,83000,8500,S,S,,
8160,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,110000,3000,87000,4500,89000,6500,134000,9500,111000,5500,123000,9000,99000,3000,136000,15500,S,S
8160,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,137000,2500,109000,1500,59000,3500,150000,500,143000,5500,140000,3000,110000,11000,94000,4500,140000,6500
8160,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,155000,5500,95000,4500,,,160000,4000,160000,15000,160000,17000,167000,20500,,,,
8160,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,139000,4500,114000,13000,,,143000,5000,142000,21500,131000,7500,,,S,S,,
8160,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,115000,6000,100000,4000,,,125000,5000,136000,31000,114000,8500,96000,10500,,,S,S
8160,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,159000,2000,128000,4500,,,164000,4500,145000,5000,140000,6500,155000,64500,,,149000,4000
8160,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,125000,11000,100000,8500,,,132000,11000,,,,,,,,,,
8160,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,132000,5000,100000,5500,,,136000,5000,127000,6500,147000,6500,,,,,,
8160,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,110000,2000,110000,2500,59000,3000,,,,,,,,,,,,
8160,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,135000,3000,90000,1500,,,143000,3000,138000,11500,139000,6000,112000,13000,91000,9500,129000,3500
8160,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,140000,1000,113000,2000,70000,1500,179000,5000,149000,7000,150000,4500,119000,4500,123000,36000,190000,36500
8160,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,140000,4000,120000,8000,S,S,163000,13000,150000,15500,133000,5000,110000,11500,136000,59000,93000,26000
8160,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,109000,2000,109000,2000,89000,23000,,,,,,,,,,,,
8160,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,175000,4000,147000,7000,,,192000,6500,145000,16000,160000,4500,121000,6500,,,196000,8500
8160,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,69000,1500,,,69000,1500,,,,,,,,,,,,
8160,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,140000,3000,80000,9000,,,149000,4500,117000,10000,127000,5500,97000,20500,S,S,S,S
8160,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,139000,18500,,,,,139000,16000,S,S,,,,,,,,
8160,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,150000,500,125000,3500,98000,4000,185000,5000,120000,4000,144000,3500,105000,5500,90000,11500,147000,27500
8160,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,100000,5000,86000,13500,,,108000,5000,104000,10000,108000,9000,,,31000,6000,,
8160,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,147000,4000,100000,3500,80000,10000,169000,5000,105000,10500,141000,5500,104000,10000,119000,24500,164000,31500
8160,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,190000,3500,167000,4500,126000,10000,219000,7000,163000,5000,168000,6000,124000,8000,131000,27500,186000,39500
8160,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,100000,1500,100000,1500,84000,6000,,,,,,,,,,,,
8160,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,69000,7000,0.05,0.05,65000,4500,63000,17000,S,S,,,,,S,S,,
8160,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,144000,4000,,,,,145000,4000,103000,18000,,,,,138000,26000,S,S
8160,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,71000,4500,68000,5500,75000,4500,90000,18000,61000,7500,102000,9000,55000,5500,73000,20000,,
8160,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,137000,10500,88000,5000,,,170000,15000,77000,5000,135000,12000,76000,15000,S,S,,
