table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8446,r011,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,Defense agencies,4,,1872,2130,2386,13.8,12.0
8446,r012,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,Department of the Air Force,4,,1580,1312,1306,-17.0,-0.5
8446,r013,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,Space Force,4,,214,176,244,-17.8,38.6
8446,r014,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,Department of the Army,4,,1518,914,884,-39.8,-3.3
8446,r015,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Applied research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Applied research,Department of the Navy,4,,1139,976,972,-14.3,-0.4
8446,r016,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,,3,3,7516,9221,8288,22.7,-10.1
8446,r017,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,Defense agencies,4,,3825,4800,4638,25.5,-3.4
8446,r018,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,Department of the Air Force,4,,929,969,827,12.5,-36.5
8446,r019,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,Space Force,4,,0,289,564,--,95.5
8446,r020,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,Department of the Army,4,,1949,2192,1392,12.5,-36.5
8446,r021,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced technology development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced technology development,Department of the Navy,4,,812,972,866,19.7,-10.9
8446,r022,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,,3,4,27357,32796,34197,19.9,4.3
8446,r023,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,Defense agencies,4,,9924,10754,10757,8.4,0.0
8446,r024,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,Department of the Air Force,4,,7193,9743,7945,35.5,-18.5
8446,r025,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,Space Force,4,,1336,1599,2992,19.7,87.1
8446,r026,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,Department of the Army,4,,3589,3818,4098,6.4,7.3
8446,r027,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Advanced component development and prototypes -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Advanced component development and prototypes,Department of the Navy,4,,5315,6882,8405,29.5,22.1
8446,r028,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,,3,5,15335,15081,23427,-1.7,55.3
8446,r029,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Defense agencies,4,,715,559,1014,-21.8,81.4
8446,r030,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Department of the Air Force,4,,2266,2525,6439,11.4,155.0
8446,r031,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Space Force,4,,3639,3168,5336,-12.9,68.4
8446,r032,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Department of the Army,4,,2980,3254,4031,9.2,23.9
8446,r033,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> System development and demonstration -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,System development and demonstration,Department of the Navy,4,,5735,5575,6607,-2.8,18.5
8446,r034,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,,3,6,9384,8359,8252,-10.9,-1.3
8446,r035,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Defense agencies,4,,1753,1960,1830,11.8,-6.6
8446,r036,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Air Force,4,,3535,3038,3034,-14.1,-0.1
8446,r037,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Space Force,4,,538,471,425,-12.5,-9.8
8446,r038,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Army,4,,1832,1554,1554,-15.2,0.0
8446,r039,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Department of the Navy,4,,1469,1078,1132,-26.6,5.0
8446,r040,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> RDT&E management support -> Operational test and evaluation,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,RDT&E management support,Operational test and evaluation,4,,257,258,277,0.4,7.4
8446,r041,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,,3,7,38102,43462,45980,14.1,5.8
8446,r042,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development -> Defense agencies,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,Defense agencies,4,,6707,7446,10115,11.0,35.8
8446,r043,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,Department of the Air Force,4,,20023,23240,23091,16.1,-0.6
8446,r044,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development -> Space Force,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,Space Force,4,,4625,5680,6103,22.8,7.4
8446,r045,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development -> Department of the Army,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,Department of the Army,4,,1720,1466,1188,-14.8,-19.0
8446,r046,R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c</sup> -> Operational system development -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>b</sup>,RDT&E total obligational authority<sup>c</sup>,Operational system development,Department of the Navy,4,,5027,5630,5483,12.0,-2.6
8446,r047,Adjustment for RDT&E budget authority<sup>d</sup>,Adjustment for RDT&E budget authority<sup>d</sup>,,,,1,--,588,2515,3503,na,na
