table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_government_total,field_government_federal_government,field_government_state_or_local_government
7770,r026,All occupations -> S&E occupations -> With disability,All occupations,S&E occupations,With disability,,,3,888000,616000,559000,33000,25000,138000,118000,20000,133000,66000,67000
7770,r027,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",,,3,794000,345000,269000,59000,17000,323000,298000,25000,126000,64000,62000
7770,r028,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Female",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Female,,4,367000,157000,124000,28000,5000,148000,136000,12000,63000,32000,30000
7770,r029,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Male",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Male,,4,427000,188000,145000,31000,13000,175000,162000,14000,63000,32000,31000
7770,r030,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Hispanic or Latino,,4,72000,31000,24000,4000,,30000,29000,1000,12000,4000,9000
7770,r031,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,,4,,,,,,,,,,,
7770,r032,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> American Indian or Alaska Native",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,American Indian or Alaska Native,5,2000,S,,,,,,,,,
7770,r033,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Asian",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Asian,5,167000,76000,63000,10000,3000,77000,76000,S,14000,11000,3000
7770,r034,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Black or African American",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Black or African American,5,32000,15000,11000,S,,13000,13000,,3000,S,2000
7770,r035,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,1000,,,,,,,,,,
7770,r036,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> White",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,White,5,501000,217000,167000,38000,12000,189000,174000,16000,95000,47000,48000
7770,r037,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Not Hispanic or Latino -> More than one race",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Not Hispanic or Latino,More than one race,5,19000,6000,3000,S,,S,6000,,1000,1000,0.05
7770,r038,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> Without disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",Without disability,,4,708000,312000,242000,56000,14000,284000,262000,23000,112000,60000,52000
7770,r039,"All occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> With disability",All occupations,S&E occupations,"Biological, agricultural, and other life scientists",With disability,,4,86000,33000,27000,3000,4000,39000,36000,2000,14000,4000,9000
7770,r040,All occupations -> S&E occupations -> Computer and mathematical scientists,All occupations,S&E occupations,Computer and mathematical scientists,,,3,4031000,3432000,3128000,209000,95000,331000,236000,95000,268000,149000,119000
7770,r041,All occupations -> S&E occupations -> Computer and mathematical scientists -> Female,All occupations,S&E occupations,Computer and mathematical scientists,Female,,4,1053000,843000,740000,80000,22000,116000,74000,41000,95000,52000,43000
7770,r042,All occupations -> S&E occupations -> Computer and mathematical scientists -> Male,All occupations,S&E occupations,Computer and mathematical scientists,Male,,4,2979000,2590000,2388000,129000,73000,215000,162000,54000,173000,98000,76000
7770,r043,All occupations -> S&E occupations -> Computer and mathematical scientists -> Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Hispanic or Latino,,4,328000,260000,236000,16000,8000,39000,20000,19000,29000,14000,15000
7770,r044,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
7770,r045,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,5000,5000,5000,,,,,,,,
7770,r046,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Asian,5,1064000,949000,903000,32000,14000,72000,65000,7000,43000,20000,23000
7770,r047,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Black or African American,5,242000,191000,172000,14000,S,18000,10000,8000,33000,25000,9000
7770,r048,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,6000,6000,6000,,,,,,,,
7770,r049,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,White,5,2296000,1944000,1732000,144000,68000,196000,138000,58000,156000,88000,68000
7770,r050,All occupations -> S&E occupations -> Computer and mathematical scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Computer and mathematical scientists,Not Hispanic or Latino,More than one race,5,89000,78000,75000,3000,,6000,3000,S,5000,2000,3000
7770,r051,All occupations -> S&E occupations -> Computer and mathematical scientists -> Without disability,All occupations,S&E occupations,Computer and mathematical scientists,Without disability,,4,3558000,3050000,2776000,188000,86000,294000,207000,87000,215000,117000,98000
7770,r052,All occupations -> S&E occupations -> Computer and mathematical scientists -> With disability,All occupations,S&E occupations,Computer and mathematical scientists,With disability,,4,473000,383000,352000,22000,8000,37000,28000,9000,53000,32000,22000
7770,r053,All occupations -> S&E occupations -> Physical and related scientists,All occupations,S&E occupations,Physical and related scientists,,,3,408000,169000,150000,9000,10000,140000,130000,10000,99000,50000,49000
7770,r054,All occupations -> S&E occupations -> Physical and related scientists -> Female,All occupations,S&E occupations,Physical and related scientists,Female,,4,135000,55000,51000,3000,1000,45000,38000,S,36000,13000,22000
7770,r055,All occupations -> S&E occupations -> Physical and related scientists -> Male,All occupations,S&E occupations,Physical and related scientists,Male,,4,273000,114000,99000,6000,9000,95000,92000,4000,63000,36000,27000
7770,r056,All occupations -> S&E occupations -> Physical and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Hispanic or Latino,,4,32000,9000,9000,0.05,,17000,15000,S,7000,3000,4000
7770,r057,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
7770,r058,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,1000,0.05,0.05,,,,,,,,
7770,r059,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Asian,5,61000,16000,15000,1000,,39000,39000,1000,6000,3000,3000
7770,r060,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Black or African American,5,16000,5000,5000,,,5000,4000,,6000,S,1000
7770,r061,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,S,0.05,0.05,,,,,,,,
7770,r062,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,White,5,288000,134000,117000,7000,10000,77000,70000,7000,77000,37000,39000
7770,r063,All occupations -> S&E occupations -> Physical and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Physical and related scientists,Not Hispanic or Latino,More than one race,5,9000,4000,4000,,,2000,2000,,3000,1000,2000
7770,r064,All occupations -> S&E occupations -> Physical and related scientists -> Without disability,All occupations,S&E occupations,Physical and related scientists,Without disability,,4,358000,152000,133000,9000,10000,125000,118000,8000,81000,45000,37000
7770,r065,All occupations -> S&E occupations -> Physical and related scientists -> With disability,All occupations,S&E occupations,Physical and related scientists,With disability,,4,50000,17000,17000,,,15000,13000,2000,17000,5000,12000
7770,r066,All occupations -> S&E occupations -> Social and related scientists,All occupations,S&E occupations,Social and related scientists,,,3,712000,257000,142000,61000,55000,341000,270000,71000,114000,54000,60000
7770,r067,All occupations -> S&E occupations -> Social and related scientists -> Female,All occupations,S&E occupations,Social and related scientists,Female,,4,433000,150000,78000,37000,35000,217000,163000,53000,66000,28000,38000
7770,r068,All occupations -> S&E occupations -> Social and related scientists -> Male,All occupations,S&E occupations,Social and related scientists,Male,,4,279000,107000,64000,24000,19000,124000,106000,18000,48000,26000,22000
7770,r069,All occupations -> S&E occupations -> Social and related scientists -> Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Hispanic or Latino,,4,81000,21000,9000,6000,6000,34000,27000,8000,25000,4000,21000
7770,r070,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,,4,,,,,,,,,,,
7770,r071,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,American Indian or Alaska Native,5,1000,0.05,,,,,,,,,
7770,r072,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Asian,5,57000,18000,13000,4000,2000,34000,31000,3000,4000,2000,2000
7770,r073,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Black or African American,5,44000,14000,11000,2000,1000,21000,16000,5000,9000,6000,4000
7770,r074,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,S,,,,,S,S,,,,
7770,r075,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,White,5,513000,200000,108000,48000,45000,239000,189000,51000,73000,42000,32000
7770,r076,All occupations -> S&E occupations -> Social and related scientists -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Social and related scientists,Not Hispanic or Latino,More than one race,5,16000,3000,2000,1000,,11000,6000,S,2000,1000,S
7770,r077,All occupations -> S&E occupations -> Social and related scientists -> Without disability,All occupations,S&E occupations,Social and related scientists,Without disability,,4,623000,229000,126000,54000,48000,300000,236000,64000,94000,45000,49000
7770,r078,All occupations -> S&E occupations -> Social and related scientists -> With disability,All occupations,S&E occupations,Social and related scientists,With disability,,4,89000,28000,16000,6000,6000,41000,34000,7000,20000,9000,12000
7770,r079,All occupations -> S&E occupations -> Engineers,All occupations,S&E occupations,Engineers,,,3,1949000,1600000,1529000,30000,41000,119000,114000,5000,229000,133000,97000
7770,r080,All occupations -> S&E occupations -> Engineers -> Female,All occupations,S&E occupations,Engineers,Female,,4,312000,242000,228000,6000,8000,27000,25000,1000,44000,25000,19000
7770,r081,All occupations -> S&E occupations -> Engineers -> Male,All occupations,S&E occupations,Engineers,Male,,4,1636000,1359000,1301000,25000,33000,92000,88000,4000,185000,107000,78000
7770,r082,All occupations -> S&E occupations -> Engineers -> Hispanic or Latino,All occupations,S&E occupations,Engineers,Hispanic or Latino,,4,178000,138000,133000,2000,4000,11000,10000,,29000,17000,12000
7770,r083,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,,4,,,,,,,,,,,
7770,r084,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,American Indian or Alaska Native,5,2000,2000,2000,,,,,,,,
7770,r085,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Asian,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Asian,5,316000,251000,242000,7000,2000,34000,33000,1000,31000,13000,18000
7770,r086,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Black or African American,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Black or African American,5,65000,49000,47000,S,S,3000,3000,,13000,9000,4000
7770,r087,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,7000,5000,4000,,,,,,,,
7770,r088,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> White,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,White,5,1345000,1127000,1075000,19000,33000,69000,65000,3000,149000,89000,60000
7770,r089,All occupations -> S&E occupations -> Engineers -> Not Hispanic or Latino -> More than one race,All occupations,S&E occupations,Engineers,Not Hispanic or Latino,More than one race,5,36000,28000,26000,,,2000,2000,,6000,4000,1000
7770,r090,All occupations -> S&E occupations -> Engineers -> Without disability,All occupations,S&E occupations,Engineers,Without disability,,4,1758000,1446000,1383000,29000,34000,112000,107000,5000,201000,116000,85000
7770,r091,All occupations -> S&E occupations -> Engineers -> With disability,All occupations,S&E occupations,Engineers,With disability,,4,191000,155000,147000,2000,7000,7000,7000,,29000,17000,12000
7770,r092,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,,2,9522000,6903000,4558000,1948000,396000,1883000,724000,1159000,736000,327000,409000
7770,r093,All occupations -> S&E-related occupations -> Female,All occupations,S&E-related occupations,Female,,,3,5494000,3896000,2293000,1366000,238000,1216000,466000,750000,381000,158000,223000
7770,r094,All occupations -> S&E-related occupations -> Male,All occupations,S&E-related occupations,Male,,,3,4028000,3007000,2266000,582000,158000,667000,258000,408000,355000,169000,185000
7770,r095,All occupations -> S&E-related occupations -> Hispanic or Latino,All occupations,S&E-related occupations,Hispanic or Latino,,,3,843000,623000,405000,179000,39000,129000,45000,85000,91000,35000,56000
7770,r096,All occupations -> S&E-related occupations -> Not Hispanic or Latino,All occupations,S&E-related occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
7770,r097,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,S&E-related occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,22000,11000,9000,S,,S,,S,4000,S,3000
7770,r098,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Asian,All occupations,S&E-related occupations,Not Hispanic or Latino,Asian,,4,1264000,984000,668000,251000,64000,172000,123000,49000,108000,42000,66000
7770,r099,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Black or African American,All occupations,S&E-related occupations,Not Hispanic or Latino,Black or African American,,4,756000,530000,313000,200000,17000,128000,36000,92000,98000,51000,47000
7770,r100,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,S&E-related occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,36000,28000,S,S,,4000,S,1000,S,S,
7770,r101,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> White,All occupations,S&E-related occupations,Not Hispanic or Latino,White,,4,6412000,4578000,3055000,1257000,266000,1412000,503000,910000,422000,193000,229000
7770,r102,All occupations -> S&E-related occupations -> Not Hispanic or Latino -> More than one race,All occupations,S&E-related occupations,Not Hispanic or Latino,More than one race,,4,189000,150000,95000,46000,10000,29000,13000,15000,10000,5000,5000
7770,r103,All occupations -> S&E-related occupations -> Without disability,All occupations,S&E-related occupations,Without disability,,,3,8534000,6174000,4035000,1813000,326000,1714000,671000,1043000,646000,286000,360000
7770,r104,All occupations -> S&E-related occupations -> With disability,All occupations,S&E-related occupations,With disability,,,3,987000,729000,523000,135000,71000,169000,53000,116000,90000,41000,49000
7770,r105,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,34349000,23640000,17889000,2921000,2829000,6842000,1570000,5272000,3867000,1338000,2529000
7770,r106,All occupations -> Non-S&E occupations -> Female,All occupations,Non-S&E occupations,Female,,,3,18699000,11615000,8244000,1929000,1442000,5095000,996000,4100000,1989000,576000,1413000
7770,r107,All occupations -> Non-S&E occupations -> Male,All occupations,Non-S&E occupations,Male,,,3,15649000,12025000,9645000,993000,1387000,1747000,575000,1172000,1878000,761000,1116000
7770,r108,All occupations -> Non-S&E occupations -> Hispanic or Latino,All occupations,Non-S&E occupations,Hispanic or Latino,,,3,3772000,2310000,1852000,244000,214000,917000,197000,720000,545000,207000,339000
7770,r109,All occupations -> Non-S&E occupations -> Not Hispanic or Latino,All occupations,Non-S&E occupations,Not Hispanic or Latino,,,3,,,,,,,,,,,
7770,r110,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Non-S&E occupations,Not Hispanic or Latino,American Indian or Alaska Native,,4,94000,56000,42000,S,4000,14000,2000,12000,24000,1000,23000
7770,r111,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Asian,All occupations,Non-S&E occupations,Not Hispanic or Latino,Asian,,4,2546000,1984000,1686000,121000,177000,299000,126000,172000,263000,76000,188000
7770,r112,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Non-S&E occupations,Not Hispanic or Latino,Black or African American,,4,2955000,1664000,1197000,343000,124000,650000,159000,491000,641000,237000,404000
7770,r113,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Non-S&E occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,83000,46000,35000,S,S,7000,S,3000,31000,S,24000
7770,r114,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> White,All occupations,Non-S&E occupations,Not Hispanic or Latino,White,,4,24018000,16960000,12616000,2140000,2205000,4803000,1050000,3753000,2255000,772000,1483000
7770,r115,All occupations -> Non-S&E occupations -> Not Hispanic or Latino -> More than one race,All occupations,Non-S&E occupations,Not Hispanic or Latino,More than one race,,4,880000,619000,460000,57000,102000,153000,32000,121000,108000,39000,69000
7770,r116,All occupations -> Non-S&E occupations -> Without disability,All occupations,Non-S&E occupations,Without disability,,,3,29886000,20473000,15561000,2578000,2334000,6077000,1378000,4699000,3336000,1081000,2255000
7770,r117,All occupations -> Non-S&E occupations -> With disability,All occupations,Non-S&E occupations,With disability,,,3,4462000,3167000,2328000,343000,495000,765000,192000,573000,531000,256000,274000
