table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3124,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,1237497,1241486,1235539,1335717,1460853,1547518,1598261,1668545,1762666,1859947
3124,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,167275,174884,171364,158341,186191,223588,203826,207319,213766,220599
3124,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,548345,539837,535409,568936,643729,662255,675978,693808,736573,782821
3124,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,60465,85485,92539,93447
3124,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,441311,447963,453342,529157,546358,584606,593250,608952,638260,667000
3124,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,80566,78802,75424,79283,84575,77069,64742,72981,81528,96080
3124,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,319135,323732,319823,351867,390854,420002,455838,479937,499083,535808
3124,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,1098933,1115831,1137782,1275503,1294355,1397315,1464526,1622678,1785629,1869239
3124,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,56330,72256,74884,81409
3124,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,225032,238299,238959,270917,289592,306871,285796,323843,354502,368068
3124,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,222356,222051,248807,284147,281040,322816,280330,308432,339975,361930
3124,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,193433,200650,213272,244805,253194,262477,234141,271093,323461,320674
3124,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,458112,454831,436744,475634,470529,505151,607929,647054,692807,737158
3124,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,717445,625538,662717,731476,621609,632264,609440,551335,540996,550752
3124,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,3606870,3757042,3841125,4234411,4552197,4611760,4788917,5085473,5274004,5546986
3124,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,168243,163221,160722,176419,187833,218122,259403,330814,332411,349416
3124,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,274845,301778,319362,327770,344214,397236,433398,495034,551403,570482
3124,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,399894,422987,398860,431871,435873,452013,417455,463513,471161,479487
3124,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,645879,663600,662641,718582,678917,716873,738006,745349,764716,811519
3124,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,676981,695436,709748,766053,737453,720845,769825,835503,862912,889699
3124,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,89486,164972,208407,190815
3124,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,505138,524251,514600,586373,557491,557319,574844,598902,638120,649672
3124,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,273920,283170,295721,346583,708668,600751,301628,295137,298521,307486
3124,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,661970,702599,779471,880760,901748,948601,1204872,1156249,1146353,1298410
3124,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,1931908,2166720,2327799,2477165,2296155,2543237,3019688,3087496,3396532,3626839
3124,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,283575,300715,346420,380864,405626,499890,574141,656881,713039,799719
3124,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,89057,100477,106583,97840,112573,126062,129653,142038,158066,173692
3124,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,457844,488649,544377,554858,581593,648638,714752,731389,823620,857602
3124,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,202864,251612,271941,309955,327126,370240,385987,434196,454654,491188
3124,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,78771,97391,106939,150957,125518,150287,158262,190829,215910,224033
3124,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,82909,89006,89687,100638,116905,112554,116257,124774,130837,152634
3124,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,63874,70837,74161,80726,86769,92042,125286,116628,126436,150361
3124,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,673014,768033,787691,801327,540045,543524,815350,690761,773970,777610
