table_id,row_id,country_full_path,country_level_1,country_level_2,country_level_3,country_hierarchy_depth,field_rank,field_doctorate_recipients
2806,r012,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Brazil,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Brazil,3,10,252
2806,r013,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Nepal ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Nepal ,3,11,239
2806,r014,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Colombia ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Colombia ,3,12,203
2806,r015,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Iraq,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Iraq,3,12,203
2806,r016,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Mexico ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Mexico ,3,14,188
2806,r017,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Italy ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Italy ,3,15,170
2806,r018,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Vietnam ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Vietnam ,3,16,168
2806,r019,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Egypt ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Egypt ,3,17,163
2806,r020,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Thailand ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Thailand ,3,18,159
2806,r021,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Germany,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Germany,3,19,152
2806,r022,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Sri Lanka,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Sri Lanka,3,20,150
2806,r023,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Nigeria ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Nigeria ,3,21,145
2806,r024,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Japan ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Japan ,3,22,129
2806,r025,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Spain ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Spain ,3,22,129
2806,r026,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> United Kingdom,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,United Kingdom,3,24,127
2806,r027,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> France ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,France ,3,25,118
2806,r028,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Pakistan,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Pakistan,3,26,110
2806,r029,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Russian Federation (former USSR) ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Russian Federation (former USSR) ,3,26,110
2806,r030,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Singapore,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Singapore,3,28,100
2806,r031,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Chile ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Chile ,3,29,99
2806,r032,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Greece,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Greece,3,30,91
2806,r033,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Jordan ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Jordan ,3,31,89
2806,r034,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Ghana ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Ghana ,3,32,85
2806,r035,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Israel ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Israel ,3,33,80
2806,r036,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Indonesia ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Indonesia ,3,34,79
2806,r037,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Malaysia ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Malaysia ,3,35,71
2806,r038,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Kuwait,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Kuwait,3,36,68
2806,r039,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Libya,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Libya,3,37,61
2806,r040,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Australia,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Australia,3,38,53
2806,r041,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Lebanon,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Lebanon,3,38,53
2806,r042,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Argentina ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Argentina ,3,40,52
2806,r043,All temporary visa holders (165 countries)<sup>a</sup> -> Top 40 countries of origin -> Peru ,All temporary visa holders (165 countries)<sup>a</sup>,Top 40 countries of origin,Peru ,3,40,52
