table_id,row_id,rank,baccalaureate_institution_,black_doctorate_recipients,institutional_control,2018_carnegie_classification,hbcu_status
7143,r077,8,"U. North Carolina, Chapel Hill",18,Public,R1: doctoral universities,No
7143,r078,10,Hampton U.,16,Private,R2: doctoral universities,Yes
7143,r079,10,Princeton U.,16,Private,R1: doctoral universities,No
7143,r080,na,Otherb,,,,
7143,r081,1,Florida A&M U.,41,Public,R2: doctoral universities,Yes
7143,r082,2,Howard U.,37,Private,R2: doctoral universities,Yes
7143,r083,3,North Carolina Agricultural and Technical State U.,30,Public,R2: doctoral universities,Yes
7143,r084,4,Spelman C.,28,Private,Baccalaureate colleges: arts and sciences focus,Yes
7143,r085,5,Hampton U.,20,Private,R2: doctoral universities,Yes
7143,r086,6,"U. Michigan, Ann Arbor",19,Public,R1: doctoral universities,No
7143,r087,7,"U. North Carolina, Chapel Hill",18,Public,R1: doctoral universities,No
7143,r088,8,Florida State U.,17,Public,R1: doctoral universities,No
7143,r089,8,Morgan State U.,17,Public,R2: doctoral universities,Yes
7143,r090,8,"U. Maryland, College Park",17,Public,R1: doctoral universities,No
