table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_land_acquisition,field_buildings_and_land_improvement,field_machinery_and_equipment,field_capitalized_software,field_other_intellectual_property,field_all_other_costs
12459,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['1,246', '&nbsp;']","['0', '&nbsp;']","['70', 'r']","['1,176', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['628', '&nbsp;']","['0', '&nbsp;']","['17', 'r']","['252', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['360', '&nbsp;']"
12459,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['18', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['642', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['179', '&nbsp;']","['0', '&nbsp;']","['463', 'r']","['0', '&nbsp;']"
12459,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['1,984', '&nbsp;']","['0', '&nbsp;']","['148', 'r']","['1,190', '&nbsp;']","['46', '&nbsp;']","['130', '&nbsp;']","['470', '&nbsp;']"
12459,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['23,188', '&nbsp;']","['0', '&nbsp;']","['305', '&nbsp;']","['8,474', '&nbsp;']","['272', '&nbsp;']","['1,588', '&nbsp;']","['12,548', 'r']"
12459,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['10,160', 'r']","['0', '&nbsp;']","['75', '&nbsp;']","['2,900', '&nbsp;']","['84', '&nbsp;']","['59', '&nbsp;']","['7,043', 'r']"
12459,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['10,255', '&nbsp;']","['0', '&nbsp;']","['15', '&nbsp;']","['3,614', '&nbsp;']","['83', '&nbsp;']","['1,309', 'r']","['5,235', 'r']"
12459,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['2,773', '&nbsp;']","['0', '&nbsp;']","['215', '&nbsp;']","['1,960', '&nbsp;']","['106', '&nbsp;']","['221', '&nbsp;']","['270', '&nbsp;']"
12459,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['1,405', '&nbsp;']","['0', '&nbsp;']","['63', '&nbsp;']","['912', '&nbsp;']","['18', '&nbsp;']","['231', 'r']","['181', '&nbsp;']"
12459,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['972', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['715', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['256', 'r']"
12459,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['710', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['710', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['262', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['5', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['256', 'r']"
12459,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12459,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['13,880', '&nbsp;']","['0', '&nbsp;']","['910', 'r']","['9,084', 'r']","['104', 'r']","['2,098', 'r']","['1,684', 'r']"
12459,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['277,041', '&nbsp;']","['249', 'r']","['5,940', '&nbsp;']","['122,866', '&nbsp;']","['39,638', '&nbsp;']","['30,108', '&nbsp;']","['78,240', '&nbsp;']"
12459,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['8,780', '&nbsp;']","['0', '&nbsp;']","['181', 'r']","['3,566', '&nbsp;']","['665', 'r']","['1,791', 'r']","['2,577', 'r']"
12459,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['36,766', '&nbsp;']","['0', '&nbsp;']","['237', 'r']","['7,098', '&nbsp;']","['10,064', '&nbsp;']","['7,414', '&nbsp;']","['11,952', '&nbsp;']"
12459,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['20,905', '&nbsp;']","['0', '&nbsp;']","['210', 'r']","['5,645', 'r']","['7,300', '&nbsp;']","['3,097', 'r']","['4,653', '&nbsp;']"
12459,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['15,861', '&nbsp;']","['0', '&nbsp;']","['27', 'r']","['1,453', '&nbsp;']","['2,763', '&nbsp;']","['4,318', 'r']","['7,299', 'r']"
12459,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['16,950', '&nbsp;']","['12', '&nbsp;']","['186', 'r']","['10,029', '&nbsp;']","['1,048', '&nbsp;']","['421', 'r']","['5,255', '&nbsp;']"
12459,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['68,819', '&nbsp;']","['0', '&nbsp;']","['2,798', 'r']","['10,599', '&nbsp;']","['24,341', '&nbsp;']","['6,500', 'r']","['24,581', '&nbsp;']"
12459,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['145,727', '&nbsp;']","['238', 'r']","['2,538', '&nbsp;']","['91,574', '&nbsp;']","['3,521', '&nbsp;']","['13,981', '&nbsp;']","['33,876', '&nbsp;']"
12459,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['10,766', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['7,454', '&nbsp;']","['292', 'r']","['855', 'r']","['2,165', '&nbsp;']"
12459,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['76,869', '&nbsp;']","['0', '&nbsp;']","['1,119', '&nbsp;']","['53,284', '&nbsp;']","['1,411', '&nbsp;']","['3,158', '&nbsp;']","['17,897', '&nbsp;']"
12459,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['57,474', '&nbsp;']","['238', 'r']","['1,419', '&nbsp;']","['30,666', '&nbsp;']","['1,710', '&nbsp;']","['9,787', '&nbsp;']","['13,654', '&nbsp;']"
12459,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['618', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['170', '&nbsp;']","['108', 'r']","['180', 'r']","['159', '&nbsp;']"
