table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
9862,r011,All states -> Florida,All states,Florida,2,"['711', '&nbsp;']","['281,389', '&nbsp;']","['455', '&nbsp;']","['170,107', '&nbsp;']","['257', '&nbsp;']","['111,282', '&nbsp;']"
9862,r012,All states -> Georgia,All states,Georgia,2,"['337', '&nbsp;']","['96,196', '&nbsp;']","['272', '&nbsp;']","['46,919', '&nbsp;']","['64', '&nbsp;']","['49,277', '&nbsp;']"
9862,r013,All states -> Hawaii,All states,Hawaii,2,"['11', '&nbsp;']","['2,953', '&nbsp;']","['10', '&nbsp;']","['1,828', '&nbsp;']","['2', '&nbsp;']","['1,125', '&nbsp;']"
9862,r014,All states -> Idaho,All states,Idaho,2,"['49', '&nbsp;']","['18,782', 'r']","['15', '&nbsp;']","['2,493', '&nbsp;']","['36', 'r']","['16,289', 'r']"
9862,r015,All states -> Illinois,All states,Illinois,2,"['429', '&nbsp;']","['150,100', '&nbsp;']","['289', '&nbsp;']","['54,633', '&nbsp;']","['139', '&nbsp;']","['95,467', 'r']"
9862,r016,All states -> Indiana,All states,Indiana,2,"['194', '&nbsp;']","['62,734', '&nbsp;']","['145', '&nbsp;']","['40,815', '&nbsp;']","['48', '&nbsp;']","['21,919', '&nbsp;']"
9862,r017,All states -> Iowa,All states,Iowa,2,"['78', '&nbsp;']","['18,990', '&nbsp;']","['56', '&nbsp;']","['11,902', '&nbsp;']","['23', '&nbsp;']","['7,088', '&nbsp;']"
9862,r018,All states -> Kansas,All states,Kansas,2,"['106', 'r']","['23,961', '&nbsp;']","['83', 'r']","['16,546', 'r']","['24', '&nbsp;']","['7,414', '&nbsp;']"
9862,r019,All states -> Kentucky,All states,Kentucky,2,"['97', '&nbsp;']","['25,048', '&nbsp;']","['69', '&nbsp;']","['14,846', '&nbsp;']","['29', '&nbsp;']","['10,202', '&nbsp;']"
9862,r020,All states -> Louisiana,All states,Louisiana,2,"['23', '&nbsp;']","['5,739', '&nbsp;']","['10', '&nbsp;']","['3,548', '&nbsp;']","['11', 'r']","['2,192', '&nbsp;']"
9862,r021,All states -> Maine,All states,Maine,2,"['46', 'r']","['8,666', '&nbsp;']","['32', 'r']","['4,995', 'r']","['15', '&nbsp;']","['3,670', '&nbsp;']"
9862,r022,All states -> Maryland,All states,Maryland,2,"['422', '&nbsp;']","['172,731', '&nbsp;']","['305', '&nbsp;']","['92,600', '&nbsp;']","['117', '&nbsp;']","['80,131', '&nbsp;']"
9862,r023,All states -> Massachusetts,All states,Massachusetts,2,"['570', '&nbsp;']","['278,140', '&nbsp;']","['331', '&nbsp;']","['115,643', '&nbsp;']","['239', '&nbsp;']","['162,497', '&nbsp;']"
9862,r024,All states -> Michigan,All states,Michigan,2,"['310', '&nbsp;']","['102,184', '&nbsp;']","['153', '&nbsp;']","['40,265', '&nbsp;']","['157', '&nbsp;']","['61,919', '&nbsp;']"
9862,r025,All states -> Minnesota,All states,Minnesota,2,"['430', '&nbsp;']","['128,300', '&nbsp;']","['300', '&nbsp;']","['52,184', '&nbsp;']","['129', '&nbsp;']","['76,117', '&nbsp;']"
9862,r026,All states -> Mississippi,All states,Mississippi,2,"['31', '&nbsp;']","['7,556', '&nbsp;']","['20', '&nbsp;']","['4,695', '&nbsp;']","['10', '&nbsp;']","['2,862', '&nbsp;']"
9862,r027,All states -> Missouri,All states,Missouri,2,"['171', '&nbsp;']","['32,212', '&nbsp;']","['108', 'r']","['16,055', 'r']","['64', '&nbsp;']","['16,158', '&nbsp;']"
9862,r028,All states -> Montana,All states,Montana,2,"['34', '&nbsp;']","['14,611', '&nbsp;']","['14', '&nbsp;']","['2,292', '&nbsp;']","['19', '&nbsp;']","['12,319', '&nbsp;']"
9862,r029,All states -> Nebraska,All states,Nebraska,2,"['19', '&nbsp;']","['7,014', '&nbsp;']","['16', '&nbsp;']","['5,925', '&nbsp;']","['2', '&nbsp;']","['1,089', '&nbsp;']"
9862,r030,All states -> Nevada,All states,Nevada,2,"['111', '&nbsp;']","['43,669', '&nbsp;']","['75', '&nbsp;']","['25,364', '&nbsp;']","['35', '&nbsp;']","['18,305', '&nbsp;']"
9862,r031,All states -> New Hampshire,All states,New Hampshire,2,"['67', '&nbsp;']","['43,419', '&nbsp;']","['34', '&nbsp;']","['9,529', '&nbsp;']","['34', '&nbsp;']","['33,890', '&nbsp;']"
9862,r032,All states -> New Jersey,All states,New Jersey,2,"['256', '&nbsp;']","['134,415', '&nbsp;']","['161', '&nbsp;']","['84,273', '&nbsp;']","['95', '&nbsp;']","['50,142', '&nbsp;']"
9862,r033,All states -> New Mexico,All states,New Mexico,2,"['63', '&nbsp;']","['25,502', '&nbsp;']","['35', '&nbsp;']","['11,867', '&nbsp;']","['28', '&nbsp;']","['13,635', '&nbsp;']"
9862,r034,All states -> New York,All states,New York,2,"['665', '&nbsp;']","['226,485', '&nbsp;']","['424', '&nbsp;']","['83,783', '&nbsp;']","['242', '&nbsp;']","['142,702', '&nbsp;']"
9862,r035,All states -> North Carolina,All states,North Carolina,2,"['431', '&nbsp;']","['144,595', '&nbsp;']","['280', '&nbsp;']","['71,987', '&nbsp;']","['150', '&nbsp;']","['72,608', '&nbsp;']"
9862,r036,All states -> North Dakota,All states,North Dakota,2,"['12', '&nbsp;']","['3,068', '&nbsp;']","['5', '&nbsp;']","['1,491', '&nbsp;']","['8', '&nbsp;']","['1,577', '&nbsp;']"
9862,r037,All states -> Ohio,All states,Ohio,2,"['542', '&nbsp;']","['144,642', '&nbsp;']","['236', '&nbsp;']","['54,361', '&nbsp;']","['307', '&nbsp;']","['90,281', '&nbsp;']"
9862,r038,All states -> Oklahoma,All states,Oklahoma,2,"['107', '&nbsp;']","['30,764', '&nbsp;']","['89', 'r']","['19,605', 'r']","['20', '&nbsp;']","['11,159', '&nbsp;']"
9862,r039,All states -> Oregon,All states,Oregon,2,"['238', '&nbsp;']","['80,522', '&nbsp;']","['147', '&nbsp;']","['43,015', '&nbsp;']","['92', '&nbsp;']","['37,507', '&nbsp;']"
9862,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['527', '&nbsp;']","['183,302', '&nbsp;']","['348', '&nbsp;']","['131,770', '&nbsp;']","['178', '&nbsp;']","['51,532', '&nbsp;']"
9862,r041,All states -> Rhode Island,All states,Rhode Island,2,"['18', '&nbsp;']","['6,696', '&nbsp;']","['16', '&nbsp;']","['5,937', '&nbsp;']","['3', '&nbsp;']","['758', '&nbsp;']"
9862,r042,All states -> South Carolina,All states,South Carolina,2,"['178', '&nbsp;']","['95,782', 'r']","['36', '&nbsp;']","['14,113', '&nbsp;']","['144', '&nbsp;']","['81,669', 'r']"
9862,r043,All states -> South Dakota,All states,South Dakota,2,"['12', '&nbsp;']","['3,156', '&nbsp;']","['7', '&nbsp;']","['966', 'r']","['6', 'r']","['2,190', 'r']"
9862,r044,All states -> Tennessee,All states,Tennessee,2,"['116', '&nbsp;']","['47,601', '&nbsp;']","['65', '&nbsp;']","['19,105', '&nbsp;']","['50', '&nbsp;']","['28,496', '&nbsp;']"
9862,r045,All states -> Texas,All states,Texas,2,"['842', '&nbsp;']","['301,057', '&nbsp;']","['479', '&nbsp;']","['133,984', '&nbsp;']","['362', '&nbsp;']","['167,073', '&nbsp;']"
9862,r046,All states -> Utah,All states,Utah,2,"['189', '&nbsp;']","['66,559', '&nbsp;']","['140', '&nbsp;']","['31,699', '&nbsp;']","['48', '&nbsp;']","['34,860', '&nbsp;']"
9862,r047,All states -> Vermont,All states,Vermont,2,"['71', 'r']","['17,876', 'r']","['3', '&nbsp;']","['948', '&nbsp;']","['67', 'r']","['16,928', 'r']"
9862,r048,All states -> Virginia,All states,Virginia,2,"['543', '&nbsp;']","['137,037', '&nbsp;']","['385', '&nbsp;']","['57,374', '&nbsp;']","['158', '&nbsp;']","['79,663', '&nbsp;']"
9862,r049,All states -> Washington,All states,Washington,2,"['572', '&nbsp;']","['243,051', '&nbsp;']","['425', '&nbsp;']","['105,850', '&nbsp;']","['147', '&nbsp;']","['137,201', '&nbsp;']"
9862,r050,All states -> West Virginia,All states,West Virginia,2,"['20', '&nbsp;']","['3,795', '&nbsp;']","['18', '&nbsp;']","['2,426', '&nbsp;']","['2', '&nbsp;']","['1,369', '&nbsp;']"
9862,r051,All states -> Wisconsin,All states,Wisconsin,2,"['348', '&nbsp;']","['147,494', '&nbsp;']","['165', '&nbsp;']","['39,997', 'r']","['182', '&nbsp;']","['107,497', 'r']"
9862,r052,All states -> Wyoming,All states,Wyoming,2,"['73', '&nbsp;']","['30,242', 'r']","['40', 'r']","['5,834', 'r']","['34', 'r']","['24,408', 'r']"
9862,r053,All states -> Undistributed,All states,Undistributed,2,"['18', '&nbsp;']","['8,117', '&nbsp;']","['8', 'r']","['5,295', 'r']","['9', '&nbsp;']","['2,822', '&nbsp;']"
