table_id,row_id,research_priority_type_of_position_and_degree_field_full_path,research_priority_type_of_position_and_degree_field_level_1,research_priority_type_of_position_and_degree_field_level_2,research_priority_type_of_position_and_degree_field_level_3,research_priority_type_of_position_and_degree_field_level_4,research_priority_type_of_position_and_degree_field_level_5,research_priority_type_of_position_and_degree_field_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
9329,r020,All positions -> Research as primary or secondary activity -> All positions -> Mathematics and statistics,All positions,Research as primary or secondary activity,All positions,Mathematics and statistics,,4,10.7,11.4,11.7,12.3,11.8,13.4,13.4,14.6,13.8
9329,r021,All positions -> Research as primary or secondary activity -> All positions -> Computer and information sciences,All positions,Research as primary or secondary activity,All positions,Computer and information sciences,,4,3.9,4.1,4.8,5.1,5.7,6.4,6.2,7.4,8.1
9329,r022,All positions -> Research as primary or secondary activity -> All positions -> Life sciences,All positions,Research as primary or secondary activity,All positions,Life sciences,,4,65.6,66.7,66.4,71.4,74.2,78.3,76.9,81.8,82.7
9329,r023,All positions -> Research as primary or secondary activity -> All positions -> Psychology,All positions,Research as primary or secondary activity,All positions,Psychology,,4,19.1,20.5,21.3,21.2,20.2,21.1,22.0,23.0,23.1
9329,r024,All positions -> Research as primary or secondary activity -> All positions -> Social sciences,All positions,Research as primary or secondary activity,All positions,Social sciences,,4,31.5,32.7,33.8,35.2,34.7,38.2,38.2,40.8,40.9
9329,r025,All positions -> Research as primary or secondary activity -> All positions -> Engineering,All positions,Research as primary or secondary activity,All positions,Engineering,,4,20.3,21.4,22.3,24.1,25.6,30.5,30.0,32.8,35.3
9329,r026,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty,All positions,Research as primary or secondary activity,All positions,Full-time faculty,,4,135.2,133.7,138.6,142.6,144.4,159.6,156.3,172.7,172.7
9329,r027,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Physical sciences,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Physical sciences,5,19.9,18.2,18.7,19.6,19.7,21.9,20.6,23.1,22.0
9329,r028,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Mathematics and statistics,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Mathematics and statistics,5,9.2,9.6,10.1,10.4,10.0,11.4,11.5,12.1,11.3
9329,r029,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Computer and information sciences,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Computer and information sciences,5,3.3,3.6,4.1,4.1,4.5,5.3,5.2,6.1,6.8
9329,r030,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Life sciences,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Life sciences,5,45.1,44.3,44.5,46.1,47.8,49.9,48.3,53.8,54.2
9329,r031,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Psychology,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Psychology,5,14.4,14.9,15.9,16.1,15.3,16.4,17.2,18.2,18.2
9329,r032,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Social sciences,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Social sciences,5,27.0,27.2,29.0,29.6,28.9,31.9,32.2,34.5,33.3
9329,r033,All positions -> Research as primary or secondary activity -> All positions -> Full-time faculty -> Engineering,All positions,Research as primary or secondary activity,All positions,Full-time faculty,Engineering,5,16.2,15.8,16.4,16.9,18.1,22.9,21.5,24.9,26.9
9329,r034,All positions -> Research as primary activity,All positions,Research as primary activity,,,,2,,,,,,,,,
9329,r035,All positions -> Research as primary activity -> All positions,All positions,Research as primary activity,All positions,,,3,102.9,108.2,107.9,117.5,120.7,133.7,130.1,138.4,136.8
9329,r036,All positions -> Research as primary activity -> All positions -> Physical sciences,All positions,Research as primary activity,All positions,Physical sciences,,4,16.2,16.3,15.7,17.5,18.2,20.8,19.4,19.7,19.2
9329,r037,All positions -> Research as primary activity -> All positions -> Mathematics and statistics,All positions,Research as primary activity,All positions,Mathematics and statistics,,4,3.8,5.0,5.6,5.7,5.6,6.4,6.1,7.0,7.0
9329,r038,All positions -> Research as primary activity -> All positions -> Computer and information sciences,All positions,Research as primary activity,All positions,Computer and information sciences,,4,1.9,2.0,2.6,2.8,3.1,3.9,3.7,3.9,4.5
9329,r039,All positions -> Research as primary activity -> All positions -> Life sciences,All positions,Research as primary activity,All positions,Life sciences,,4,46.4,47.0,45.3,49.7,51.0,54.4,53.2,54.7,54.4
9329,r040,All positions -> Research as primary activity -> All positions -> Psychology,All positions,Research as primary activity,All positions,Psychology,,4,10.0,11.2,11.1,11.4,10.9,11.3,11.2,12.8,11.6
9329,r041,All positions -> Research as primary activity -> All positions -> Social sciences,All positions,Research as primary activity,All positions,Social sciences,,4,13.0,13.6,14.0,15.6,15.9,17.3,16.6,19.3,17.7
9329,r042,All positions -> Research as primary activity -> All positions -> Engineering,All positions,Research as primary activity,All positions,Engineering,,4,11.6,13.1,13.6,15.0,16.0,19.6,20.1,20.9,22.5
9329,r043,All positions -> Research as primary activity -> All positions -> Full-time faculty,All positions,Research as primary activity,All positions,Full-time faculty,,4,70.4,70.2,71.7,75.0,77.4,88.7,84.5,94.6,91.9
9329,r044,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Physical sciences,All positions,Research as primary activity,All positions,Full-time faculty,Physical sciences,5,9.7,9.3,9.4,9.8,10.4,12.1,11.5,11.9,11.0
9329,r045,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Mathematics and statistics,All positions,Research as primary activity,All positions,Full-time faculty,Mathematics and statistics,5,3.4,3.9,4.6,4.6,4.5,5.4,5.1,5.7,5.5
9329,r046,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Computer and information sciences,All positions,Research as primary activity,All positions,Full-time faculty,Computer and information sciences,5,1.6,1.7,2.1,2.1,2.4,3.1,2.9,3.2,3.7
9329,r047,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Life sciences,All positions,Research as primary activity,All positions,Full-time faculty,Life sciences,5,29.4,27.8,27.1,28.2,29.1,31.0,29.2,32.4,31.9
9329,r048,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Psychology,All positions,Research as primary activity,All positions,Full-time faculty,Psychology,5,7.0,7.8,7.8,8.0,7.9,8.6,8.6,9.9,9.1
9329,r049,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Social sciences,All positions,Research as primary activity,All positions,Full-time faculty,Social sciences,5,10.7,11.3,11.8,12.9,13.0,14.7,14.0,16.4,14.3
9329,r050,All positions -> Research as primary activity -> All positions -> Full-time faculty -> Engineering,All positions,Research as primary activity,All positions,Full-time faculty,Engineering,5,8.6,8.5,8.9,9.4,10.1,13.8,13.4,15.1,16.4
9329,r051,All positions -> Teaching as primary activity,All positions,Teaching as primary activity,,,,2,,,,,,,,,
9329,r052,All positions -> Teaching as primary activity -> All positions,All positions,Teaching as primary activity,All positions,,,3,105.9,109.4,114.0,120.6,124.8,133.7,132.8,140.3,141.1
9329,r053,All positions -> Teaching as primary activity -> All positions -> Physical sciences,All positions,Teaching as primary activity,All positions,Physical sciences,,4,17.0,16.9,17.5,18.8,18.7,19.7,19.6,21.4,20.5
9329,r054,All positions -> Teaching as primary activity -> All positions -> Mathematics and statistics,All positions,Teaching as primary activity,All positions,Mathematics and statistics,,4,9.4,9.9,10.3,10.7,11.3,12.2,12.1,12.7,11.7
9329,r055,All positions -> Teaching as primary activity -> All positions -> Computer and information sciences,All positions,Teaching as primary activity,All positions,Computer and information sciences,,4,2.5,3.0,3.2,3.8,4.0,3.6,3.7,4.9,5.2
9329,r056,All positions -> Teaching as primary activity -> All positions -> Life sciences,All positions,Teaching as primary activity,All positions,Life sciences,,4,25.2,27.6,28.2,30.6,33.9,35.0,34.7,36.5,37.9
9329,r057,All positions -> Teaching as primary activity -> All positions -> Psychology,All positions,Teaching as primary activity,All positions,Psychology,,4,13.3,14.3,14.4,15.0,14.9,16.3,17.0,15.5,16.3
9329,r058,All positions -> Teaching as primary activity -> All positions -> Social sciences,All positions,Teaching as primary activity,All positions,Social sciences,,4,27.3,27.5,29.6,29.8,30.0,33.4,33.4,33.9,33.3
9329,r059,All positions -> Teaching as primary activity -> All positions -> Engineering,All positions,Teaching as primary activity,All positions,Engineering,,4,11.2,10.2,10.8,11.9,11.9,13.5,12.5,15.5,16.3
9329,r060,All positions -> Teaching as primary activity -> All positions -> Full-time faculty,All positions,Teaching as primary activity,All positions,Full-time faculty,,4,89.9,88.4,93.5,96.7,98.2,101.9,100.3,109.2,110.0
9329,r061,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Physical sciences,All positions,Teaching as primary activity,All positions,Full-time faculty,Physical sciences,5,14.3,13.8,14.2,15.1,14.5,14.6,13.8,16.0,15.5
9329,r062,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Mathematics and statistics,All positions,Teaching as primary activity,All positions,Full-time faculty,Mathematics and statistics,5,8.5,8.2,8.6,8.8,9.3,9.5,9.2,10.2,9.4
9329,r063,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Computer and information sciences,All positions,Teaching as primary activity,All positions,Full-time faculty,Computer and information sciences,5,2.2,2.5,2.8,3.2,3.4,3.0,3.0,4.1,4.3
9329,r064,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Life sciences,All positions,Teaching as primary activity,All positions,Full-time faculty,Life sciences,5,21.0,21.8,23.1,24.4,26.1,26.3,26.3,27.9,28.6
9329,r065,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Psychology,All positions,Teaching as primary activity,All positions,Full-time faculty,Psychology,5,10.8,11.1,11.1,11.3,11.0,11.8,12.4,11.9,12.7
9329,r066,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Social sciences,All positions,Teaching as primary activity,All positions,Full-time faculty,Social sciences,5,23.1,21.9,24.3,23.9,23.8,25.7,25.5,26.6,25.8
9329,r067,All positions -> Teaching as primary activity -> All positions -> Full-time faculty -> Engineering,All positions,Teaching as primary activity,All positions,Full-time faculty,Engineering,5,9.9,8.9,9.4,10.0,10.1,11.1,10.2,12.6,13.7
9329,r068,All positions -> Other primary activity,All positions,Other primary activity,,,,2,,,,,,,,,
9329,r069,All positions -> Other primary activity -> All positions,All positions,Other primary activity,All positions,,,3,49.5,55.2,54.6,56.6,63.5,61.9,63.6,71.7,69.4
9329,r070,All positions -> Other primary activity -> All positions -> Physical sciences,All positions,Other primary activity,All positions,Physical sciences,,4,7.2,6.5,6.7,7.4,8.0,7.9,8.0,9.5,8.4
9329,r071,All positions -> Other primary activity -> All positions -> Mathematics and statistics,All positions,Other primary activity,All positions,Mathematics and statistics,,4,2.2,2.5,2.1,2.3,2.1,2.3,2.5,2.0,2.2
9329,r072,All positions -> Other primary activity -> All positions -> Computer and information sciences,All positions,Other primary activity,All positions,Computer and information sciences,,4,0.8,0.8,1.1,0.8,1.4,1.5,1.6,2.1,2.1
9329,r073,All positions -> Other primary activity -> All positions -> Life sciences,All positions,Other primary activity,All positions,Life sciences,,4,17.6,20.9,20.8,21.6,24.9,23.3,24.7,27.7,27.3
9329,r074,All positions -> Other primary activity -> All positions -> Psychology,All positions,Other primary activity,All positions,Psychology,,4,8.1,9.5,9.0,9.1,10.4,11.1,9.8,11.6,11.0
9329,r075,All positions -> Other primary activity -> All positions -> Social sciences,All positions,Other primary activity,All positions,Social sciences,,4,8.2,8.8,8.9,9.5,9.9,9.1,9.9,11.2,10.5
9329,r076,All positions -> Other primary activity -> All positions -> Engineering,All positions,Other primary activity,All positions,Engineering,,4,5.5,6.2,5.9,6.0,6.8,6.7,7.2,7.6,8.1
9329,r077,All positions -> Other primary activity -> All positions -> Full-time faculty,All positions,Other primary activity,All positions,Full-time faculty,,4,30.3,34.6,33.9,35.1,38.8,37.1,38.6,43.1,41.6
9329,r078,All positions -> Other primary activity -> All positions -> Full-time faculty -> Physical sciences,All positions,Other primary activity,All positions,Full-time faculty,Physical sciences,5,3.6,3.8,3.9,4.4,4.6,4.4,4.5,5.6,4.9
9329,r079,All positions -> Other primary activity -> All positions -> Full-time faculty -> Mathematics and statistics,All positions,Other primary activity,All positions,Full-time faculty,Mathematics and statistics,5,1.9,1.9,1.6,1.7,1.6,1.9,2.0,1.4,1.6
9329,r080,All positions -> Other primary activity -> All positions -> Full-time faculty -> Computer and information sciences,All positions,Other primary activity,All positions,Full-time faculty,Computer and information sciences,5,0.3,0.5,0.7,0.4,0.6,1.1,1.2,1.5,1.6
9329,r081,All positions -> Other primary activity -> All positions -> Full-time faculty -> Life sciences,All positions,Other primary activity,All positions,Full-time faculty,Life sciences,5,11.3,13.2,13.3,14.0,15.3,13.5,14.5,16.3,16.2
9329,r082,All positions -> Other primary activity -> All positions -> Full-time faculty -> Psychology,All positions,Other primary activity,All positions,Full-time faculty,Psychology,5,3.7,4.4,4.1,4.1,5.1,5.6,5.4,6.2,5.9
9329,r083,All positions -> Other primary activity -> All positions -> Full-time faculty -> Social sciences,All positions,Other primary activity,All positions,Full-time faculty,Social sciences,5,5.8,6.0,5.9,6.5,6.8,6.3,6.6,7.1,6.3
9329,r084,All positions -> Other primary activity -> All positions -> Full-time faculty -> Engineering,All positions,Other primary activity,All positions,Full-time faculty,Engineering,5,3.5,4.7,4.4,3.9,4.7,4.3,4.7,5.0,5.3
