table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8450,r012,R&D and R&D plant -> Energy supply (271) ->    Department of Energy -> Bonneville Power Administration Fund,R&D and R&D plant,Energy supply (271),   Department of Energy,Bonneville Power Administration Fund,,,4,3,2,2,-33.3,0.0
8450,r013,R&D and R&D plant -> Energy supply (271) -> Tennessee Valley Authority,R&D and R&D plant,Energy supply (271),Tennessee Valley Authority,,,,3,17,41,16,141.2,-61.0
8450,r014,"R&D and R&D plant -> Energy information, policy, regulation (276)",R&D and R&D plant,"Energy information, policy, regulation (276)",,,,,2,66,66,83,0.0,25.8
8450,r015,"R&D and R&D plant -> Energy information, policy, regulation (276) -> Nuclear Regulatory Commission",R&D and R&D plant,"Energy information, policy, regulation (276)",Nuclear Regulatory Commission,,,,3,66,66,83,0.0,25.8
8450,r016,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,4381,7751,8989,76.9,16.0
8450,r017,R&D and R&D plant -> R&D -> Energy supply (271),R&D and R&D plant,R&D,Energy supply (271),,,,3,4315,7685,8906,78.1,15.9
8450,r018,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,,,4,4298,7644,8890,77.9,16.3
8450,r019,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,,5,3868,5284,6305,36.6,19.3
8450,r020,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Energy efficiency and renewable energy,6,1933,2884,3353,49.2,16.3
8450,r021,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Fossil energy and carbon management<sup>b</sup>,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Fossil energy and carbon management<sup>b</sup>,6,691,1118,1210,61.8,8.2
8450,r022,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Nuclear energy,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Nuclear energy,6,1030,1030,1435,0.0,39.3
8450,r023,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Electricity delivery,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,Electricity delivery,6,141,141,185,0.0,31.2
8450,r024,"R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Energy programs,"Cybersecurity, Energy Security, and Emergency Response",6,73,111,122,52.1,9.9
8450,r025,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,5,427,427,700,0.0,63.9
8450,r026,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Clean Energy Demonstration,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Clean Energy Demonstration,,5,0,1931,1883,-,-2.5
8450,r027,R&D and R&D plant -> R&D -> Energy supply (271) -> Department of Energy -> Bonneville Power Administration Fund,R&D and R&D plant,R&D,Energy supply (271),Department of Energy,Bonneville Power Administration Fund,,5,3,2,2,-33.3,0.0
8450,r028,R&D and R&D plant -> R&D -> Energy supply (271) -> Tennessee Valley Authority,R&D and R&D plant,R&D,Energy supply (271),Tennessee Valley Authority,,,4,17,41,16,141.2,-61.0
8450,r029,"R&D and R&D plant -> R&D -> Energy information, policy, regulation (276)",R&D and R&D plant,R&D,"Energy information, policy, regulation (276)",,,,3,66,66,83,0.0,25.8
8450,r030,"R&D and R&D plant -> R&D -> Energy information, policy, regulation (276) -> Nuclear Regulatory Commission",R&D and R&D plant,R&D,"Energy information, policy, regulation (276)",Nuclear Regulatory Commission,,,4,66,66,83,0.0,25.8
