table_id,row_id,primary_industry_code_pitchbook_,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10580,r034,Commercial/professional insurance,1,1,-,1,-,-,-,1,-,-,-,1,4,5,6,5,13,11,18,11
10580,r035,Commodity chemicals,1,-,1,-,1,2,2,1,3,2,3,2,2,1,2,-,1,-,-,1
10580,r036,Communication software,45,49,54,52,72,79,59,70,89,103,140,125,128,109,100,84,90,125,134,119
10580,r037,"Computers, parts and peripherals",15,12,16,18,13,6,14,11,20,10,25,21,23,23,19,20,24,18,26,19
10580,r038,Conglomerates,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1
10580,r039,Connectivity products,50,51,41,39,42,34,23,19,24,16,14,15,14,16,17,10,7,7,13,10
10580,r040,Construction and engineering,-,4,5,6,5,9,2,4,11,12,24,10,20,20,15,19,26,31,30,37
10580,r041,Consulting services (B2B),12,12,13,11,18,27,17,36,26,26,42,28,30,33,37,33,36,41,70,71
10580,r042,Consumer finance,-,2,7,6,10,6,7,8,9,14,19,30,32,25,33,23,30,23,42,37
10580,r043,Cruise lines,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
10580,r044,Cultivation,1,1,1,1,1,3,1,2,1,6,7,7,13,12,21,21,19,37,32,26
10580,r045,Database software,20,19,19,22,27,34,39,42,51,78,78,72,82,68,83,79,78,90,125,135
10580,r046,Decision/risk analysis,-,7,4,6,10,14,16,16,18,26,40,38,53,57,61,72,84,103,117,102
10580,r047,Department stores,-,-,-,-,2,2,-,1,1,-,-,3,1,1,-,4,2,4,4,1
10580,r048,Diagnostic equipment,30,44,58,72,89,93,83,98,113,108,116,118,120,126,134,144,143,161,184,152
10580,r049,Discovery tools (healthcare),10,13,16,4,12,15,14,11,11,11,14,23,20,22,28,33,27,36,55,41
10580,r050,Distributors (healthcare),-,-,2,2,2,2,1,2,2,5,2,2,3,1,2,-,3,2,1,1
10580,r051,Distributors/wholesale,4,5,6,3,2,2,4,5,2,2,4,4,5,5,7,10,10,14,12,14
10580,r052,Distributors/wholesale (B2C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10580,r053,Drug delivery,12,15,23,21,30,27,18,16,25,22,35,29,31,24,42,30,43,42,59,37
10580,r054,Drug discovery,55,87,91,103,138,142,144,169,165,184,223,247,297,301,382,441,493,552,672,502
10580,r055,Education and training services (B2B),5,3,3,2,4,6,8,7,13,18,34,32,30,21,26,41,49,47,54,61
10580,r056,Educational and training services (B2C),10,15,19,23,27,40,39,51,83,128,62,65,73,64,85,78,106,113,150,135
10580,r057,Educational software,7,9,8,12,12,19,18,23,32,47,163,169,149,167,167,160,145,192,211,210
10580,r058,Elder and disabled care,3,2,2,5,4,5,3,6,8,6,16,12,12,14,15,14,18,20,33,30
10580,r059,Electric utilities,-,-,-,-,2,1,2,3,1,3,5,4,3,2,3,3,5,2,4,3
10580,r060,Electrical equipment,28,33,31,39,48,64,54,78,75,84,110,89,97,98,100,103,105,99,132,126
10580,r061,Electronic components,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
10580,r062,Electronic equipment and instruments,33,48,48,49,51,57,48,45,57,56,84,97,110,132,153,167,181,192,200,174
10580,r063,Electronics (B2C),17,19,20,23,33,32,43,40,38,54,105,177,169,153,161,130,97,102,121,97
10580,r064,Energy exploration,1,1,2,2,5,4,8,6,6,4,8,4,10,5,1,3,3,1,2,4
10580,r065,Energy infrastructure,2,1,-,2,6,8,6,8,7,8,6,7,7,8,8,8,8,10,12,20
10580,r066,Energy marketing,-,-,-,-,-,-,-,4,1,1,4,4,1,-,2,-,-,3,4,2
10580,r067,Energy production,3,5,5,18,27,21,23,37,25,20,17,15,14,11,11,11,11,12,18,13
10580,r068,Energy refining,-,-,1,1,-,3,1,2,-,-,3,1,2,-,-,1,-,1,-,1
10580,r069,Energy storage,1,3,4,4,3,9,19,13,8,9,13,8,7,6,2,4,4,3,6,10
10580,r070,Energy traders and brokers,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,1,-,2,1,2
10580,r071,Energy transportation,-,-,-,-,-,1,-,-,-,-,2,1,1,3,1,2,2,-,1,2
10580,r072,Enterprise systems (healthcare),23,22,26,32,34,33,38,47,52,67,86,91,117,120,119,137,138,152,195,169
10580,r073,Entertainment software,9,22,19,44,65,73,65,79,121,149,141,162,144,142,151,182,196,228,357,403
10580,r074,Environmental services (B2B),6,11,8,12,25,27,23,29,34,34,52,51,42,44,37,44,46,55,91,127
10580,r075,Fiberoptic equipment,24,23,17,19,15,10,9,11,9,7,10,5,4,4,6,5,9,5,5,11
10580,r076,Financial software,53,35,60,59,81,97,102,117,161,195,252,330,347,376,447,652,658,704,1300,1357
10580,r077,Food products,2,11,13,15,29,24,22,28,35,57,85,114,160,135,193,213,216,235,345,290
10580,r078,Footwear,-,1,1,-,1,-,2,2,3,11,13,15,15,18,20,17,28,17,38,33
10580,r079,Forestry development/harvesting,-,-,-,1,1,-,-,-,-,-,1,-,-,-,1,1,1,-,1,1
10580,r080,Forestry processing,-,-,-,-,-,-,1,2,1,1,-,4,1,-,1,1,2,5,3,4
10580,r081,Gas utilities,-,1,-,-,-,1,-,-,1,1,3,5,1,1,1,1,5,-,1,-
10580,r082,General merchandise stores,-,-,-,1,1,-,-,1,3,2,1,-,1,1,-,2,1,-,-,-
10580,r083,General purpose semiconductors,21,31,22,24,29,19,21,20,12,13,10,10,11,11,12,19,10,10,23,18
10580,r084,Gold mining,-,-,-,-,1,1,-,1,1,-,-,1,2,-,-,1,-,-,1,-
10580,r085,Government,-,1,-,2,1,4,2,1,3,7,2,6,7,5,8,10,13,15,11,12
10580,r086,Holding companies,1,-,1,1,2,1,3,5,3,4,2,10,8,1,3,7,6,13,10,5
10580,r087,Home furnishings,1,2,4,3,2,2,3,2,4,5,15,12,14,22,20,26,30,22,34,36
10580,r088,Horticulture,-,-,-,-,-,2,-,-,-,1,2,1,4,6,6,12,12,12,16,10
10580,r089,Hospitals/inpatient services,1,4,7,1,4,1,2,5,8,9,7,4,5,6,1,3,4,1,2,6
10580,r090,Hotels and resorts,1,-,-,3,-,1,2,2,2,5,8,7,10,5,6,7,18,6,11,11
10580,r091,Household appliances,-,4,1,1,4,5,4,7,8,6,12,17,20,23,30,20,32,23,30,37
10580,r092,Household products,2,3,1,3,4,3,3,3,1,2,3,6,4,3,5,11,9,13,9,9
10580,r093,Human capital services,8,16,12,13,22,16,21,20,24,34,53,75,86,81,80,99,112,115,166,165
10580,r094,Industrial chemicals,25,28,36,44,64,43,35,45,51,44,11,9,13,9,12,11,8,10,9,7
10580,r095,Industrial supplies and parts,2,2,4,5,10,9,8,10,10,10,35,33,37,27,28,35,36,31,41,40
10580,r096,Information services (B2C),5,13,15,10,10,20,14,15,21,19,157,170,172,140,119,122,145,146,187,213
10580,r097,Infrastructure,10,16,23,32,77,65,61,85,118,144,-,-,-,-,-,-,1,-,-,2
10580,r098,Insurance brokers,-,-,-,-,-,-,-,-,-,-,3,5,9,8,14,13,11,16,13,26
10580,r099,International banks,-,-,1,-,2,1,-,1,2,2,-,-,1,-,-,1,-,1,-,1
10580,r100,Internet retail,-,-,-,-,-,-,-,-,-,-,74,71,60,42,41,35,35,35,58,55
10580,r101,Internet service providers,11,9,12,23,20,21,27,43,63,79,5,5,6,9,16,13,12,10,14,16
10580,r102,Internet software,24,13,15,10,12,11,3,5,11,8,29,31,18,15,10,14,21,11,41,38
10580,r103,Investment banks,10,13,27,22,23,36,22,22,29,29,2,2,2,1,2,1,-,1,2,1
10580,r104,Iron and steel mining,1,-,-,-,1,-,-,-,1,-,-,-,2,-,-,-,1,-,2,3
10580,r105,IT consulting and outsourcing,-,-,-,-,-,-,-,-,-,-,52,60,60,52,49,52,59,66,60,72
10580,r106,Laboratory services (healthcare),11,13,12,9,16,16,11,17,19,21,21,22,25,18,27,25,33,18,24,21
10580,r107,Legal services (B2B),1,3,3,2,2,5,2,5,6,6,9,7,6,11,10,10,11,12,22,19
10580,r108,Legal services (B2C),-,1,-,2,2,-,1,1,2,2,9,3,4,3,6,4,10,7,13,8
10580,r109,Leisure facilities,4,7,8,6,5,5,4,6,3,3,6,12,13,16,18,28,40,30,40,33
10580,r110,Life and health insurance,1,-,2,2,3,1,3,4,2,1,3,7,5,4,7,13,7,14,15,16
10580,r111,Logistics,17,6,9,9,13,7,13,9,12,13,29,28,44,37,54,71,69,72,97,97
10580,r112,Luxury goods,-,-,-,-,-,-,-,1,-,3,1,-,1,1,-,-,-,1,1,2
10580,r113,Machinery (B2B),6,6,8,7,9,19,19,10,12,16,15,19,35,28,44,43,50,49,60,69
10580,r114,Managed care,5,6,5,4,11,2,7,7,5,5,8,9,17,17,16,17,28,12,32,28
10580,r115,Marine,-,1,1,-,-,-,-,-,-,4,1,4,9,3,9,8,4,5,10,13
10580,r116,Media and information services (B2B),82,93,116,172,248,262,244,293,399,491,542,558,518,453,455,406,520,470,645,550
10580,r117,Medical records systems,7,4,10,9,12,14,18,22,22,29,36,41,45,49,47,48,48,36,50,56
10580,r118,Medical supplies,4,10,6,17,13,10,17,25,20,17,24,20,14,19,17,23,25,34,34,36
10580,r119,Metal containers and packaging,-,-,1,-,-,2,1,3,2,4,-,6,2,1,2,1,-,1,2,5
10580,r120,Mineral textiles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10580,r121,Monitoring equipment,14,14,19,27,26,29,24,31,47,56,70,76,83,95,91,107,105,113,132,110
10580,r122,"Movies, music and entertainment",8,8,10,22,54,37,26,30,39,34,51,47,41,49,42,34,45,44,67,77
10580,r123,Multi-line chemicals,-,-,-,-,-,-,1,-,-,-,4,4,6,6,8,6,6,9,9,12
10580,r124,Multi-line insurance,1,-,1,1,1,2,2,1,5,2,1,3,2,-,3,2,3,5,6,6
10580,r125,Multi-line mining,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-
10580,r126,Multimedia and design software,-,-,-,-,-,-,-,-,-,2,90,120,108,117,110,124,130,114,181,142
10580,r127,Multi-utilities,23,36,35,47,69,68,57,60,78,79,-,1,1,-,1,1,-,-,-,1
10580,r128,National banks,-,1,-,1,1,1,-,1,2,-,1,2,3,1,-,1,1,4,4,3
10580,r129,Network management software,115,134,141,131,120,128,114,118,140,185,192,228,220,249,297,282,316,294,381,355
10580,r130,Office electronics,1,1,2,2,1,-,1,-,1,-,2,1,4,5,3,5,2,3,3,3
10580,r131,Office services (B2B),1,1,1,-,-,-,1,-,1,-,1,2,1,3,2,4,2,2,2,3
10580,r132,Oil and gas equipment,-,-,2,4,4,8,5,4,2,4,10,9,11,13,4,10,6,7,6,6
10580,r133,Operating systems software,1,2,6,5,2,5,5,6,-,11,9,4,5,4,4,5,4,1,7,10
10580,r134,Other agriculture,1,2,1,-,1,4,3,5,7,7,4,14,10,9,23,31,20,33,37,34
10580,r135,Other apparel,1,1,-,1,2,-,1,2,3,3,1,-,3,1,-,-,2,2,2,3
10580,r136,Other business products and services,-,-,-,-,-,-,-,-,-,-,2,3,3,6,9,2,2,5,6,5
10580,r137,Other capital markets/institutions,1,-,2,3,3,3,1,5,4,2,7,5,7,5,5,8,9,8,10,14
10580,r138,Other chemicals and gases,-,1,-,-,-,-,-,-,-,1,4,2,3,2,1,3,3,2,2,2
10580,r139,Other commercial banks,-,-,1,1,-,1,1,1,1,1,2,2,2,5,4,5,6,8,10,12
10580,r140,Other commercial products,14,16,20,18,30,40,27,32,36,45,76,72,78,100,107,83,78,89,131,191
10580,r141,Other commercial services,23,25,31,26,35,40,38,42,35,64,70,80,87,67,89,94,94,100,129,132
10580,r142,Other communications and networking,25,20,24,24,24,12,9,13,10,13,15,16,14,10,14,12,11,12,6,12
10580,r143,Other consumer durables,3,6,4,5,8,11,12,11,16,21,27,29,31,33,39,42,52,31,62,69
10580,r144,Other consumer non-durables,-,2,2,1,4,2,1,4,7,5,12,10,20,10,28,44,84,49,66,66
10580,r145,Other consumer products and services,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,1
10580,r146,Other containers and packaging,1,1,-,1,1,4,2,2,3,3,2,2,4,4,5,4,4,10,10,14
10580,r147,Other devices and supplies,29,31,36,35,36,43,52,51,55,74,77,71,71,63,70,80,92,82,89,93
10580,r148,Other energy,3,2,1,-,2,3,1,1,5,2,5,2,1,-,-,2,-,2,-,-
10580,r149,Other energy services,1,1,3,5,7,6,9,13,14,19,16,17,16,15,12,14,16,14,17,24
10580,r150,Other equipment,1,1,3,3,6,6,7,6,14,5,10,11,10,12,8,13,11,11,23,24
10580,r151,Other financial services,9,8,8,14,18,28,33,25,40,44,56,74,78,66,79,86,105,105,213,282
10580,r152,Other forestry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
10580,r153,Other hardware,19,20,22,19,18,22,13,20,27,19,18,28,44,62,63,97,80,90,103,128
10580,r154,Other healthcare,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,2,2,3,3
10580,r155,Other healthcare services,12,8,18,24,22,20,30,33,30,49,47,62,64,73,73,81,108,117,189,174
10580,r156,Other healthcare technology systems,15,14,21,26,33,40,41,50,83,104,122,156,178,190,222,264,270,307,396,378
10580,r157,Other information technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
10580,r158,Other insurance,-,-,-,-,-,-,-,-,-,-,9,11,7,11,17,19,14,23,44,39
10580,r159,Other IT services,1,1,1,1,3,3,4,3,5,5,-,-,-,-,-,-,-,-,-,1
10580,r160,Other materials,3,7,6,7,9,8,7,11,12,8,11,8,11,5,14,18,13,24,19,20
10580,r161,Other media,2,4,6,8,12,8,5,5,11,15,7,12,8,5,7,8,5,3,9,14
10580,r162,"Other metals, minerals and mining",-,2,1,1,3,2,4,5,6,3,6,3,5,4,6,9,8,5,13,11
10580,r163,Other pharmaceuticals and biotechnology,3,3,5,6,5,9,9,10,7,8,12,12,12,16,16,23,33,34,31,26
10580,r164,"Other restaurants, hotels and leisure",1,3,4,7,9,9,8,12,17,25,31,56,59,61,77,62,69,58,80,89
10580,r165,Other retail,-,-,1,1,1,2,4,3,5,2,2,1,2,-,-,-,-,-,-,1
10580,r166,Other semiconductors,9,9,8,12,14,9,5,6,4,6,4,4,3,-,1,1,2,1,1,1
10580,r167,Other services (B2C non-financial),4,7,4,18,28,36,31,43,72,88,110,128,118,129,132,139,141,157,210,214
10580,r168,Other software,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
10580,r169,Other textiles,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,3,3
10580,r170,Other transportation,1,1,-,-,-,1,1,-,1,1,1,8,8,6,4,3,5,3,3,3
10580,r171,Other utilities,-,-,-,2,2,2,-,2,2,2,1,2,1,-,-,-,2,-,2,4
10580,r172,Outcome management (healthcare),1,3,-,3,5,5,2,6,6,5,11,14,17,26,22,28,35,39,37,34
10580,r173,Paper containers and packaging,-,-,-,-,1,1,1,-,2,2,2,3,4,4,2,3,5,5,4,6
10580,r174,Paper/soft products,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10580,r175,Personal products,1,6,9,8,16,14,16,16,24,30,50,47,56,58,84,107,146,121,188,157
10580,r176,Pharmaceuticals,63,69,68,70,81,70,68,70,71,54,63,52,59,46,47,50,66,52,75,49
10580,r177,Plant textiles,-,-,-,-,-,1,-,1,1,1,-,-,-,1,1,1,2,-,1,2
10580,r178,Plastic containers and packaging,-,-,-,-,1,2,2,-,4,1,5,3,2,1,1,2,6,6,3,6
10580,r179,Practice management (healthcare),-,7,9,5,4,8,5,6,11,10,15,12,13,17,16,17,14,15,18,19
10580,r180,Precious metals and minerals mining,-,-,1,-,1,-,1,-,-,-,1,-,-,2,-,3,3,1,2,4
10580,r181,Printing services (B2B),4,2,5,3,3,3,6,6,5,5,4,8,6,3,3,1,2,-,1,4
10580,r182,Private equity,-,-,1,1,2,1,2,7,9,9,15,20,16,14,15,15,17,19,16,23
10580,r183,Production (semiconductors),9,13,7,6,8,1,2,4,4,3,2,1,-,3,1,-,2,1,-,1
10580,r184,Property and casualty insurance,-,1,-,-,1,-,1,1,1,-,1,3,3,6,8,5,8,7,7,12
10580,r185,Publishing,5,5,12,17,32,39,45,59,61,58,62,73,75,63,48,51,53,48,54,42
10580,r186,Rail,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,3,5,3
10580,r187,Raw materials (non-wood),-,-,1,2,-,4,-,2,2,4,-,-,-,2,1,1,3,3,10,9
10580,r188,Real estate investment trusts (REITs),-,-,-,-,-,-,-,-,-,-,2,2,2,3,1,1,4,3,4,6
10580,r189,Real estate services (B2C),-,-,-,-,-,1,-,1,-,1,32,43,53,59,57,83,119,104,140,149
10580,r190,Recreational goods,2,4,9,5,5,5,9,11,9,12,21,23,41,26,31,30,35,34,48,40
10580,r191,Regional banks,3,6,4,6,7,7,7,10,16,22,7,2,10,-,2,3,4,6,9,10
10580,r192,Re-insurance,-,1,3,3,4,1,6,4,4,-,-,-,-,-,-,-,-,-,-,-
10580,r193,Restaurants and bars,4,4,3,8,6,3,6,8,10,14,24,34,57,52,35,38,32,27,43,31
10580,r194,Road,2,1,2,3,6,3,1,7,5,6,11,7,10,14,16,23,25,20,21,28
10580,r195,Security services (B2B),19,18,10,17,10,11,5,3,5,11,5,2,9,3,4,6,1,3,-,6
10580,r196,Social content,1,3,7,18,30,33,18,25,37,51,44,40,27,22,13,9,13,10,26,25
10580,r197,Social/platform software,19,21,32,60,101,117,97,140,195,255,269,289,248,145,121,84,103,109,202,177
10580,r198,Software development applications,28,25,28,29,32,46,28,37,59,74,99,92,123,101,125,131,146,163,255,273
10580,r199,Special purpose acquisition company (SPAC),-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,4,2
10580,r200,Specialized finance,3,1,4,4,7,10,9,10,9,14,19,30,35,25,16,36,32,36,44,43
10580,r201,Specialty chemicals,2,6,11,8,11,11,9,10,10,12,12,22,11,16,20,13,25,17,21,16
10580,r202,Specialty retail,4,9,3,10,21,22,19,23,25,30,40,48,65,49,46,58,58,55,80,65
10580,r203,Storage (IT),19,21,24,22,22,24,19,26,22,26,23,11,9,9,11,9,9,7,6,3
10580,r204,Surgical devices,51,43,51,61,78,104,89,87,105,99,95,110,108,95,99,94,107,85,112,99
10580,r205,Synthetic textiles,2,1,3,-,2,1,1,2,1,-,4,3,3,4,5,5,2,4,9,8
10580,r206,Systems and information management,37,35,40,31,47,42,42,54,53,54,59,60,45,40,44,33,38,44,44,51
10580,r207,Telecommunications service providers,36,30,37,28,28,22,22,17,10,17,21,19,17,18,14,14,15,17,21,14
10580,r208,Therapeutic devices,49,50,70,71,100,96,100,97,123,110,130,134,133,128,149,172,172,186,193,184
10580,r209,Thrifts and mortgage finance,1,1,-,-,1,2,2,-,1,2,2,1,4,1,1,-,1,2,2,3
10580,r210,Vertical market software,24,36,30,50,55,58,48,54,53,33,28,10,3,4,-,-,-,-,-,-
10580,r211,Water utilities,1,2,1,3,6,1,4,-,7,6,6,6,3,3,3,2,2,2,3,5
10580,r212,Wireless communications equipment,50,57,54,61,46,45,41,34,30,39,42,32,32,36,27,32,31,26,28,27
10580,r213,Wireless service providers,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
10580,r214,Wood containers and packaging,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10580,r215,Wood/hard products,-,-,-,-,1,-,1,-,1,1,1,-,-,-,1,1,-,-,1,1
