table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_nanotechnology_r_d_total_companiesb_number_,field_nanotechnology_r_d_total_amount,field_nanotechnology_r_d_paid_for_by_company_companiesb_number_,field_nanotechnology_r_d_paid_for_by_company_amount,field_nanotechnology_r_d_paid_for_by_others_companiesb_number_,field_nanotechnology_r_d_paid_for_by_others_amount
2690,r014,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['71', '  ']","['2,483', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2690,r015,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,718', '  ']","['6,278', '  ']","['20', '  ']","['58', 'i ']","['D', '  ']","['0 - 59', '  ']","['D', '&nbsp;']","['0 - 59', 'i ']"
2690,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,340', '  ']","['83,697', '  ']","['267', 'i ']","['12,545', 'i ']","['221', 'i ']","['11,079', 'i ']","['76', 'i ']","['1,466', 'i ']"
2690,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['648', '  ']","['31,052', '  ']","['114', 'i ']","['12,330', 'i ']","['82', 'i ']","['10,880', 'i ']","['47', 'i ']","['1,450', 'i ']"
2690,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,"['1,692', '  ']","['52,645', '  ']","['154', 'i ']","['214', 'i ']","['139', 'i ']","['198', 'i ']","['29', 'i ']","['16', 'i ']"
2690,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['761', '  ']","['4,487', '  ']","['42', 'i ']","['59', 'i ']","['42', 'i ']","['59', 'i ']","['0', '  ']","['0', '  ']"
2690,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,105', '  ']","['52,629', '  ']","['7', '  ']","['33', 'i ']","['6', '  ']","['29', 'i ']","['D', '  ']","['4', '  ']"
2690,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['661', '  ']","['25,586', '  ']","['D', '  ']","['5', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['4', '  ']"
2690,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['445', '  ']","['27,044', '  ']","['D', '&nbsp;']","['28', 'i ']","['D', '&nbsp;']","['28', 'i ']","['0', '  ']","['0', '  ']"
2690,r023,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,251', '  ']","['17,209', '  ']","['66', 'i ']","['308', 'i ']","['62', 'i ']","['300', '  ']","['D', '&nbsp;']","['8', 'i ']"
2690,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,546', '  ']","['5,999', '  ']","['D', '&nbsp;']","['34', '  ']","['D', '&nbsp;']","['33', '  ']","['D', '  ']","['*', '  ']"
2690,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['11,116', '  ']","['166,961', '  ']","['185', 'i ']","['2,016', 'i ']","['133', 'i ']","['1,651', 'i ']","['73', 'i ']","['365', 'i ']"
2690,r026,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['153', '  ']","['1,905', '  ']","['D', '&nbsp;']","['36', '  ']","['D', '&nbsp;']","['36', '  ']","['D', '  ']","['*', '  ']"
2690,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['61', '  ']","['275', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2690,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['778', '  ']","['906', 'i ']","['17', 'i ']","['6', 'i ']","['17', 'i ']","['6', 'i ']","['0', '  ']","['0', '  ']"
2690,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,660', '  ']","['94,349', '  ']","['11', '  ']","['1,095', 'i ']","['11', '  ']","['1,093', 'i ']","['D', '  ']","['2', '  ']"
2690,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['987', '  ']","['32,770', '  ']","['D', '&nbsp;']","['1,090', 'i ']","['D', '&nbsp;']","['1,088', 'i ']","['D', '  ']","['2', '  ']"
2690,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['183', '  ']","['3,696', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2690,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,201', '  ']","['23,306', '  ']","['D', '  ']","['5', '  ']","['D', '  ']","['5', '  ']","['0', '  ']","['0', '  ']"
2690,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['290', '  ']","['34,576', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2690,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,224', '  ']","['44,860', '  ']","['149', 'i ']","['878', 'i ']","['97', 'i ']","['515', '  ']","['D', '&nbsp;']","['362', 'i ']"
2690,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,283', '  ']","['3,961', '  ']","['17', 'i ']","['187', 'i ']","['15', 'i ']","['23', 'i ']","['D', '&nbsp;']","['164', 'i ']"
2690,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,469', '  ']","['20,185', '  ']","['106', 'i ']","['214', 'i ']","['68', 'i ']","['112', '  ']","['51', '  ']","['103', 'i ']"
2690,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['272', '  ']","['5,857', '  ']","['28', 'i ']","['38', 'i ']","['19', 'i ']","['21', '  ']","['9', 'i ']","['16', 'i ']"
2690,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['1,197', '  ']","['14,327', '  ']","['78', 'i ']","['177', 'i ']","['49', 'i ']","['90', '  ']","['42', '  ']","['86', 'i ']"
2690,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,472', '  ']","['20,714', '  ']","['27', 'i ']","['477', '  ']","['15', 'i ']","['381', '  ']","['D', '&nbsp;']","['96', 'i ']"
2690,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['229', '  ']","['1,476', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2690,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['1,015', '  ']","['23,191', 'i ']","['D', '  ']","['1', '  ']","['D', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
2690,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['26,313', '  ']","['441,036', '  ']","['957', 'i ']","['16,799', 'i ']","['842', 'i ']","['14,820', 'i ']","['184', 'i ']","['1,979', 'i ']"
2690,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2690,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['4,294', '  ']","['4,390', '  ']","['182', 'i ']","['138', 'i ']","['150', 'i ']","['118', 'i ']","['48', 'i ']","['20', 'i ']"
2690,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,386', '  ']","['11,252', '  ']","['292', 'i ']","['354', 'i ']","['262', 'i ']","['271', 'i ']","['43', 'i ']","['83', 'i ']"
2690,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2690,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,591', '  ']","['12,321', '  ']","['137', 'i ']","['330', 'i ']","['119', 'i ']","['243', 'i ']","['28', '  ']","['87', 'i ']"
2690,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['5,004', '  ']","['18,547', '  ']","['132', 'i ']","['463', '  ']","['116', 'i ']","['276', '  ']","['25', 'i ']","['187', 'i ']"
2690,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2690,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,060', '  ']","['19,645', '  ']","['75', '  ']","['732', '  ']","['66', '  ']","['514', '  ']","['15', '  ']","['217', '  ']"
2690,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,152', '  ']","['17,657', '  ']","['40', '  ']","['581', 'i ']","['35', '  ']","['311', 'i ']","['8', '  ']","['269', 'i ']"
2690,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,263', '  ']","['68,578', '  ']","['57', '  ']","['3,517', '  ']","['54', '  ']","['2,734', '  ']","['7', 'i ']","['783', 'i ']"
2690,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['241', '  ']","['45,337', '  ']","['16', '  ']","['3,787', '  ']","['15', '  ']","['3,566', '  ']","['5', '  ']","['220', '  ']"
2690,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['207', '  ']","['84,420', '  ']","['13', '  ']","['2,020', 'i ']","['13', '  ']","['1,966', 'i ']","['D', '  ']","['53', 'i ']"
2690,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['114', '  ']","['158,889', '  ']","['12', '  ']","['4,877', 'i ']","['12', '  ']","['4,819', 'i ']","['D', '&nbsp;']","['58', 'i ']"
