table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2011_17_number,field_total_2011_17_staying,field_2011_number,field_2011_staying,field_2012_number,field_2012_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying
997,r022,All temporary visa holders -> Asia -> Japan,All temporary visa holders,Asia,Japan,3,1321,48.5,244,50.8,240,45.0,217,47.5,173,48.6,164,39.6,166,53.6,117,58.1
997,r023,All temporary visa holders -> Asia -> Nepal,All temporary visa holders,Asia,Nepal,3,1140,88.2,100,86.0,94,86.2,150,90.0,172,84.9,177,88.1,224,88.4,223,91.5
997,r024,All temporary visa holders -> Asia -> Pakistan,All temporary visa holders,Asia,Pakistan,3,754,48.5,91,46.2,99,42.4,98,49.0,127,47.2,124,54.0,102,45.1,113,54.0
997,r025,All temporary visa holders -> Asia -> Philippines,All temporary visa holders,Asia,Philippines,3,442,70.8,69,71.0,73,74.0,92,66.3,70,67.1,40,75.0,51,76.5,47,70.2
997,r026,All temporary visa holders -> Asia -> Singapore,All temporary visa holders,Asia,Singapore,3,640,39.4,70,50.0,88,35.2,91,38.5,97,38.1,102,36.3,91,38.5,101,41.6
997,r027,All temporary visa holders -> Asia -> South Korea,All temporary visa holders,Asia,South Korea,3,9173,62.4,1445,60.0,1472,60.6,1383,59.1,1284,60.7,1234,62.9,1229,66.7,1126,68.5
997,r028,All temporary visa holders -> Asia -> Taiwan,All temporary visa holders,Asia,Taiwan,3,4505,69.8,693,65.5,719,65.2,699,67.4,668,68.6,614,70.4,592,77.9,520,76.7
997,r029,All temporary visa holders -> Asia -> Thailand,All temporary visa holders,Asia,Thailand,3,1598,26.3,266,25.9,260,23.5,264,31.1,231,26.4,220,21.4,185,30.3,172,25.6
997,r030,All temporary visa holders -> Asia -> Vietnam,All temporary visa holders,Asia,Vietnam,3,872,72.0,99,64.6,99,64.6,140,71.4,142,76.8,135,74.8,124,71.8,133,75.9
997,r031,All temporary visa holders -> Asia -> Other,All temporary visa holders,Asia,Other,3,1727,66.0,195,71.3,227,65.6,248,61.7,273,65.9,266,62.4,256,68.0,262,68.3
997,r032,All temporary visa holders -> Australia-Oceania,All temporary visa holders,Australia-Oceania,,2,492,58.5,52,61.5,69,65.2,80,58.8,64,45.3,83,55.4,65,61.5,79,62.0
997,r033,All temporary visa holders -> Australia-Oceania -> Australia,All temporary visa holders,Australia-Oceania,Australia,3,314,58.6,29,62.1,40,67.5,60,55.0,44,43.2,52,48.1,42,66.7,47,72.3
997,r034,All temporary visa holders -> Australia-Oceania -> Other,All temporary visa holders,Australia-Oceania,Other,3,178,58.4,23,60.9,29,62.1,20,70.0,20,50.0,31,67.7,23,52.2,32,46.9
997,r035,All temporary visa holders -> Europe,All temporary visa holders,Europe,,2,12994,63.8,1962,64.3,1930,65.3,1904,62.3,1802,63.4,1832,61.4,1776,62.7,1788,67.4
997,r036,All temporary visa holders -> Europe -> Bulgaria,All temporary visa holders,Europe,Bulgaria,3,293,75.8,46,65.2,50,76.0,47,78.7,42,66.7,34,70.6,44,88.6,30,86.7
997,r037,All temporary visa holders -> Europe -> France,All temporary visa holders,Europe,France,3,790,63.7,125,64.8,111,56.8,97,62.9,114,67.5,131,58.8,105,66.7,107,69.2
997,r038,All temporary visa holders -> Europe -> Germany,All temporary visa holders,Europe,Germany,3,1340,58.1,203,65.5,200,60.0,202,51.5,203,51.2,195,51.3,183,61.2,154,68.2
997,r039,All temporary visa holders -> Europe -> Greece,All temporary visa holders,Europe,Greece,3,609,71.3,83,71.1,100,64.0,88,76.1,81,72.8,84,71.4,84,71.4,89,73.0
997,r040,All temporary visa holders -> Europe -> Italy,All temporary visa holders,Europe,Italy,3,1069,64.8,137,60.6,168,65.5,154,61.0,156,64.1,126,65.1,167,65.9,161,70.8
997,r041,All temporary visa holders -> Europe -> Romania,All temporary visa holders,Europe,Romania,3,498,79.9,101,83.2,101,75.2,66,74.2,79,78.5,57,82.5,51,88.2,43,81.4
997,r042,All temporary visa holders -> Europe -> Russian Federation (former USSR),All temporary visa holders,Europe,Russian Federation (former USSR),3,799,73.6,120,72.5,125,69.6,110,71.8,106,72.6,118,78.0,108,69.4,112,81.3
997,r043,All temporary visa holders -> Europe -> Spain,All temporary visa holders,Europe,Spain,3,588,64.6,101,62.4,66,66.7,82,65.9,68,60.3,98,60.2,73,61.6,100,74.0
997,r044,All temporary visa holders -> Europe -> Turkey,All temporary visa holders,Europe,Turkey,3,3275,61.0,493,61.9,439,63.8,478,60.7,426,62.9,469,59.7,472,57.6,498,61.0
997,r045,All temporary visa holders -> Europe -> Ukraine,All temporary visa holders,Europe,Ukraine,3,305,79.0,46,78.3,46,84.8,52,76.9,51,72.5,42,85.7,31,71.0,37,83.8
997,r046,All temporary visa holders -> Europe -> United Kingdom,All temporary visa holders,Europe,United Kingdom,3,722,60.1,103,54.4,91,72.5,113,56.6,97,70.1,100,55.0,115,54.8,103,60.2
997,r047,All temporary visa holders -> Europe -> Other,All temporary visa holders,Europe,Other,3,2706,60.0,404,60.4,433,63.0,415,59.5,379,58.3,378,56.3,343,58.6,354,63.3
997,r048,All temporary visa holders -> Middle East,All temporary visa holders,Middle East,,2,7052,64.4,600,61.3,699,65.4,865,65.2,938,65.9,1131,66.9,1310,63.9,1509,62.1
997,r049,All temporary visa holders -> Middle East -> Iran,All temporary visa holders,Middle East,Iran,3,3472,90.1,198,88.9,287,88.5,409,86.8,483,89.2,629,89.7,695,91.1,771,92.6
997,r050,All temporary visa holders -> Middle East -> Israel,All temporary visa holders,Middle East,Israel,3,581,57.5,90,57.8,83,61.4,81,60.5,81,61.7,86,59.3,83,51.8,77,49.4
997,r051,All temporary visa holders -> Middle East -> Jordan,All temporary visa holders,Middle East,Jordan,3,791,46.0,103,55.3,121,46.3,115,46.1,110,40.9,128,44.5,98,44.9,116,44.8
997,r052,All temporary visa holders -> Middle East -> Lebanon,All temporary visa holders,Middle East,Lebanon,3,403,73.7,72,69.4,66,80.3,66,81.8,50,66.0,39,64.1,58,70.7,52,78.8
997,r053,All temporary visa holders -> Middle East -> Saudi Arabia,All temporary visa holders,Middle East,Saudi Arabia,3,996,11.9,49,14.3,57,14.0,73,11.0,105,17.1,134,14.2,238,10.1,340,10.3
997,r054,All temporary visa holders -> Middle East -> Other,All temporary visa holders,Middle East,Other,3,809,36.7,88,29.5,85,41.2,121,37.2,109,37.6,115,35.7,138,37.7,153,37.3
997,r055,All temporary visa holders -> Country unknown,All temporary visa holders,Country unknown,,2,788,34.0,93,37.6,65,41.5,173,25.4,93,24.7,69,47.8,153,12.4,142,61.3
