table_id,row_id,field_of_highest_degree_and_employment_sector_full_path,field_of_highest_degree_and_employment_sector_level_1,field_of_highest_degree_and_employment_sector_level_2,field_of_highest_degree_and_employment_sector_level_3,field_of_highest_degree_and_employment_sector_level_4,field_of_highest_degree_and_employment_sector_hierarchy_depth,field_number,field_salary,field_primary_work_activity_computer_applications_number,field_primary_work_activity_computer_applications_salary,field_primary_work_activity_management_and_administrationa_number,field_primary_work_activity_management_and_administrationa_salary,field_primary_work_activity_research_and_developmentb_number,field_primary_work_activity_research_and_developmentb_salary,field_primary_work_activity_teaching_number,field_primary_work_activity_teaching_salary,field_primary_work_activity_otherc_number,field_primary_work_activity_otherc_salary
5588,r018,All fields -> S&E fields -> Computer and mathematical sciences -> 4-year educational institution,All fields,S&E fields,Computer and mathematical sciences,4-year educational institution,4,110000,76000,35000,77000,9000,100000,27000,80000,31000,64000,7000,79000
5588,r019,All fields -> S&E fields -> Computer and mathematical sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Computer and mathematical sciences,2-year college or precollege educational institution,4,38000,58000,6000,54000,S,S,7000,,12000,65000,10000,54000
5588,r020,All fields -> S&E fields -> Computer and mathematical sciences -> Government,All fields,S&E fields,Computer and mathematical sciences,Government,4,102000,97000,47000,97000,22000,110000,12000,99000,,,18000,81000
5588,r021,All fields -> S&E fields -> Physical and related sciences,All fields,S&E fields,Physical and related sciences,,3,379000,85000,47000,105000,65000,100000,176000,74000,28000,72000,62000,83000
5588,r022,All fields -> S&E fields -> Physical and related sciences -> Business or industry,All fields,S&E fields,Physical and related sciences,Business or industry,4,225000,97000,37000,119000,48000,98000,91000,90000,S,S,47000,89000
5588,r023,All fields -> S&E fields -> Physical and related sciences -> 4-year educational institution,All fields,S&E fields,Physical and related sciences,4-year educational institution,4,99000,50000,6000,45000,4000,108000,62000,35000,24000,76000,2000,58000
5588,r024,All fields -> S&E fields -> Physical and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Physical and related sciences,2-year college or precollege educational institution,4,4000,64000,,,,,,,3000,64000,,
5588,r025,All fields -> S&E fields -> Physical and related sciences -> Government,All fields,S&E fields,Physical and related sciences,Government,4,51000,96000,3000,79000,13000,107000,23000,100000,,,13000,79000
5588,r026,All fields -> S&E fields -> Social and related sciences,All fields,S&E fields,Social and related sciences,,3,610000,80000,94000,84000,117000,85000,168000,72000,69000,75000,163000,75000
5588,r027,All fields -> S&E fields -> Social and related sciences -> Business or industry,All fields,S&E fields,Social and related sciences,Business or industry,4,331000,82000,83000,85000,86000,81000,66000,86000,6000,60000,90000,79000
5588,r028,All fields -> S&E fields -> Social and related sciences -> 4-year educational institution,All fields,S&E fields,Social and related sciences,4-year educational institution,4,157000,68000,3000,59000,7000,96000,75000,50000,54000,78000,17000,58000
5588,r029,All fields -> S&E fields -> Social and related sciences -> 2-year college or precollege educational institution,All fields,S&E fields,Social and related sciences,2-year college or precollege educational institution,4,44000,68000,,,4000,72000,2000,71000,8000,72000,30000,67000
5588,r030,All fields -> S&E fields -> Social and related sciences -> Government,All fields,S&E fields,Social and related sciences,Government,4,79000,85000,7000,75000,20000,92000,26000,68000,,,25000,89000
5588,r031,All fields -> S&E fields -> Engineering,All fields,S&E fields,Engineering,,3,2041000,103000,451000,112000,511000,110000,429000,100000,20000,89000,631000,93000
5588,r032,All fields -> S&E fields -> Engineering -> Business or industry,All fields,S&E fields,Engineering,Business or industry,4,1706000,105000,417000,113000,407000,110000,314000,108000,1000,90000,566000,94000
5588,r033,All fields -> S&E fields -> Engineering -> 4-year educational institution,All fields,S&E fields,Engineering,4-year educational institution,4,105000,75000,16000,75000,7000,103000,60000,50000,16000,90000,6000,S
5588,r034,All fields -> S&E fields -> Engineering -> 2-year college or precollege educational institution,All fields,S&E fields,Engineering,2-year college or precollege educational institution,4,10000,66000,,,3000,,2000,,2000,63000,,
5588,r035,All fields -> S&E fields -> Engineering -> Government,All fields,S&E fields,Engineering,Government,4,221000,102000,16000,124000,93000,109000,52000,96000,S,S,58000,92000
5588,r036,All fields -> S&E-related fields,All fields,S&E-related fields,,,2,373000,89000,82000,102000,84000,99000,101000,88000,14000,67000,93000,73000
5588,r037,All fields -> S&E-related fields -> Business or industry,All fields,S&E-related fields,Business or industry,,3,272000,95000,72000,104000,67000,99000,57000,98000,,,75000,74000
5588,r038,All fields -> S&E-related fields -> 4-year educational institution,All fields,S&E-related fields,4-year educational institution,,3,40000,62000,2000,58000,4000,53000,24000,60000,7000,71000,S,S
5588,r039,All fields -> S&E-related fields -> 2-year college or precollege educational institution,All fields,S&E-related fields,2-year college or precollege educational institution,,3,14000,63000,S,S,,,S,S,6000,63000,S,S
5588,r040,All fields -> S&E-related fields -> Government,All fields,S&E-related fields,Government,,3,47000,91000,6000,90000,12000,102000,18000,87000,,,11000,73000
5588,r041,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,1200000,90000,312000,92000,430000,95000,156000,83000,54000,65000,249000,90000
5588,r042,All fields -> Non-S&E fields -> Business or industry,All fields,Non-S&E fields,Business or industry,,3,932000,100000,273000,99000,346000,100000,97000,98000,10000,54000,206000,100000
5588,r043,All fields -> Non-S&E fields -> 4-year educational institution,All fields,Non-S&E fields,4-year educational institution,,3,93000,68000,13000,78000,23000,63000,14000,63000,35000,69000,9000,52000
5588,r044,All fields -> Non-S&E fields -> 2-year college or precollege educational institution,All fields,Non-S&E fields,2-year college or precollege educational institution,,3,31000,60000,6000,45000,6000,66000,9000,59000,7000,62000,S,S
5588,r045,All fields -> Non-S&E fields -> Government,All fields,Non-S&E fields,Government,,3,144000,74000,22000,75000,55000,88000,37000,73000,,,29000,50000
