table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_all_federal_obligations,field_computer_sciences_and_mathematics,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec,field_engineering
1891,r047,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,3,100.0,0.0,0.0,0.0,0.0,0.0,93.5,4.8,1.7
1891,r048,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,100.0,0.3,46.4,32.9,14.4,0.0,3.3,0.1,2.7
1891,r049,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,3,100.0,1.2,0.0,1.2,0.8,4.2,91.3,0.3,0.9
1891,r050,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1891,r051,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1891,r052,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,3,100.0,5.4,5.3,1.3,0.7,3.1,2.6,10.4,71.1
1891,r053,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1891,r054,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,3,100.0,0.0,0.0,83.9,0.0,11.5,0.0,0.0,4.6
1891,r055,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,
1891,r056,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,3,100.0,100,0,0,0,0,0,0,0
1891,r057,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,3,100.0,0.0,0.4,89.7,0.0,0.0,10.0,0.0,0.0
1891,r058,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1891,r059,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,3,100.0,0.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0
1891,r060,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,3,100.0,2.1,41.2,39.5,2.4,0.0,0.6,0.0,14.2
1891,r061,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,3,100.0,2.9,0.0,0.0,12.2,0.0,65.3,0.0,19.5
1891,r062,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1891,r063,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,3,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1891,r064,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,3,100.0,1.7,23.2,5.7,27.4,0.4,0.0,5.1,36.6
1891,r065,All agencies -> Other agencies -> National Archives and Records Administration,All agencies,Other agencies,National Archives and Records Administration,3,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,r066,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,3,100.0,19.5,19.4,12.0,16.7,0.6,3.4,10.3,18.0
1891,r067,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,97.9
1891,r068,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,3,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1891,r069,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,3,100.0,0.0,4.5,44.6,28.7,0.7,21.4,0.0,0.0
1891,r070,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1891,r071,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1891,r072,All agencies -> Other agencies -> U.S. Postal Service,All agencies,Other agencies,U.S. Postal Service,3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
