table_id,row_id,occupation_and_labor_force_status_full_path,occupation_and_labor_force_status_level_1,occupation_and_labor_force_status_level_2,occupation_and_labor_force_status_level_3,occupation_and_labor_force_status_level_4,occupation_and_labor_force_status_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
5590,r044,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: did not need or want to work,All occupations,S&E occupations,Reason for not working,Reason for not working: did not need or want to work,4,311000,125000,185000,19000,,33000,10000,,243000,1000,258000,52000
5590,r045,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: family responsibilities,All occupations,S&E occupations,Reason for not working,Reason for not working: family responsibilities,4,212000,155000,56000,15000,,66000,17000,,111000,S,188000,24000
5590,r046,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: layoff,All occupations,S&E occupations,Reason for not working,Reason for not working: layoff,4,110000,19000,91000,9000,,28000,9000,,62000,S,97000,13000
5590,r047,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: retired,All occupations,S&E occupations,Reason for not working,Reason for not working: retired,4,946000,239000,707000,36000,2000,82000,23000,,789000,13000,710000,236000
5590,r048,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: student,All occupations,S&E occupations,Reason for not working,Reason for not working: student,4,85000,41000,44000,6000,,25000,S,,39000,2000,80000,4000
5590,r049,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: suitable job not available,All occupations,S&E occupations,Reason for not working,Reason for not working: suitable job not available,4,150000,62000,87000,19000,,28000,17000,,83000,S,120000,30000
5590,r050,All occupations -> S&E occupations -> Reason for not working -> Reason for not working: other,All occupations,S&E occupations,Reason for not working,Reason for not working: other,4,106000,49000,57000,7000,,44000,S,,47000,,92000,14000
5590,r051,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,11107000,6483000,4624000,947000,33000,1364000,721000,43000,7763000,236000,9853000,1254000
5590,r052,All occupations -> S&E-related occupations -> Full-time employment status,All occupations,S&E-related occupations,Full-time employment status,,3,7269000,3870000,3399000,644000,22000,957000,535000,29000,4921000,161000,6677000,592000
5590,r053,All occupations -> S&E-related occupations -> Part-time employment status,All occupations,S&E-related occupations,Part-time employment status,,3,1624000,1239000,385000,177000,S,194000,78000,1000,1131000,36000,1471000,153000
5590,r054,All occupations -> S&E-related occupations -> Preference for full-time status,All occupations,S&E-related occupations,Preference for full-time status,,3,,,,,,,,,,,,
5590,r055,All occupations -> S&E-related occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,S&E-related occupations,Preference for full-time status,Did not want full-time employment,4,1293000,1012000,281000,94000,S,111000,63000,,988000,30000,1170000,123000
5590,r056,All occupations -> S&E-related occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,S&E-related occupations,Preference for full-time status,Wanted full-time employment,4,331000,226000,105000,83000,,83000,14000,S,144000,7000,301000,30000
5590,r057,All occupations -> S&E-related occupations -> Reason for part-time status,All occupations,S&E-related occupations,Reason for part-time status,,3,,,,,,,,,,,,
5590,r058,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work more hours,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: did not need or want to work more hours,4,860000,666000,194000,46000,,66000,42000,,675000,25000,788000,72000
5590,r059,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: family responsibilities,4,698000,628000,70000,104000,,69000,24000,,485000,10000,638000,60000
5590,r060,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: full-time job not available,4,320000,259000,61000,57000,,50000,11000,,195000,6000,289000,31000
5590,r061,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: held another job,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: held another job,4,194000,147000,46000,20000,,S,19000,,122000,11000,177000,17000
5590,r062,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: previously retired or semi-retired,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: previously retired or semi-retired,4,268000,153000,116000,13000,,25000,21000,,208000,,217000,52000
5590,r063,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: student,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: student,4,173000,139000,34000,35000,,46000,19000,,72000,1000,167000,6000
5590,r064,All occupations -> S&E-related occupations -> Reason for part-time status -> Reason worked part time: other,All occupations,S&E-related occupations,Reason for part-time status,Reason worked part time: other,4,179000,115000,64000,37000,,26000,5000,,109000,S,145000,34000
5590,r065,"All occupations -> S&E-related occupations -> Not working, not looking for work",All occupations,S&E-related occupations,"Not working, not looking for work",,3,2045000,1282000,763000,96000,4000,184000,89000,S,1627000,32000,1562000,483000
5590,r066,"All occupations -> S&E-related occupations -> Not working, looking for work",All occupations,S&E-related occupations,"Not working, looking for work",,3,169000,92000,77000,30000,,29000,20000,,83000,S,143000,26000
5590,r067,All occupations -> S&E-related occupations -> Reason for not working,All occupations,S&E-related occupations,Reason for not working,,3,,,,,,,,,,,,
5590,r068,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: illness or disability,All occupations,S&E-related occupations,Reason for not working,Reason for not working: illness or disability,4,220000,146000,73000,26000,,4000,24000,,158000,S,53000,167000
5590,r069,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: did not need or want to work,All occupations,S&E-related occupations,Reason for not working,Reason for not working: did not need or want to work,4,477000,370000,107000,15000,,33000,19000,,398000,8000,386000,91000
5590,r070,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: family responsibilities,All occupations,S&E-related occupations,Reason for not working,Reason for not working: family responsibilities,4,327000,299000,28000,27000,,43000,9000,,244000,S,272000,55000
5590,r071,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: layoff,All occupations,S&E-related occupations,Reason for not working,Reason for not working: layoff,4,74000,26000,47000,3000,,16000,6000,,43000,,65000,9000
5590,r072,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: retired,All occupations,S&E-related occupations,Reason for not working,Reason for not working: retired,4,1487000,816000,672000,71000,1000,93000,57000,,1240000,16000,1115000,372000
5590,r073,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: student,All occupations,S&E-related occupations,Reason for not working,Reason for not working: student,4,152000,99000,53000,15000,,28000,10000,,91000,7000,135000,17000
5590,r074,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: suitable job not available,All occupations,S&E-related occupations,Reason for not working,Reason for not working: suitable job not available,4,136000,81000,55000,16000,,26000,14000,,72000,S,106000,30000
5590,r075,All occupations -> S&E-related occupations -> Reason for not working -> Reason for not working: other,All occupations,S&E-related occupations,Reason for not working,Reason for not working: other,4,113000,80000,33000,8000,,32000,12000,,55000,S,85000,28000
5590,r076,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,44149000,25251000,18897000,4247000,172000,2931000,3583000,92000,32139000,985000,37206000,6943000
5590,r077,All occupations -> Non-S&E occupations -> Full-time employment status,All occupations,Non-S&E occupations,Full-time employment status,,3,27876000,14846000,13030000,2787000,119000,1901000,2467000,67000,19868000,665000,24388000,3488000
5590,r078,All occupations -> Non-S&E occupations -> Part-time employment status,All occupations,Non-S&E occupations,Part-time employment status,,3,6289000,4194000,2095000,630000,13000,467000,436000,S,4564000,164000,5386000,902000
5590,r079,All occupations -> Non-S&E occupations -> Preference for full-time status,All occupations,Non-S&E occupations,Preference for full-time status,,3,,,,,,,,,,,,
5590,r080,All occupations -> Non-S&E occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,Non-S&E occupations,Preference for full-time status,Did not want full-time employment,4,4881000,3275000,1606000,342000,11000,302000,267000,S,3816000,129000,4177000,704000
5590,r081,All occupations -> Non-S&E occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,Non-S&E occupations,Preference for full-time status,Wanted full-time employment,4,1407000,919000,489000,289000,S,165000,169000,,748000,34000,1209000,198000
5590,r082,All occupations -> Non-S&E occupations -> Reason for part-time status,All occupations,Non-S&E occupations,Reason for part-time status,,3,,,,,,,,,,,,
5590,r083,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work more hours,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: did not need or want to work more hours,4,3114000,2112000,1002000,150000,8000,156000,118000,S,2595000,74000,2709000,405000
5590,r084,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: family responsibilities,4,2348000,1903000,445000,203000,5000,200000,113000,S,1765000,48000,2085000,263000
5590,r085,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: full-time job not available,4,1646000,1091000,555000,232000,S,142000,112000,,1055000,90000,1342000,304000
5590,r086,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: held another job,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: held another job,4,894000,580000,314000,63000,,44000,47000,,675000,62000,752000,142000
5590,r087,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: previously retired or semi-retired,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: previously retired or semi-retired,4,1582000,813000,769000,96000,S,49000,86000,,1324000,22000,1315000,268000
5590,r088,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: student,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: student,4,533000,351000,182000,84000,S,81000,57000,,282000,27000,472000,61000
5590,r089,All occupations -> Non-S&E occupations -> Reason for part-time status -> Reason worked part time: other,All occupations,Non-S&E occupations,Reason for part-time status,Reason worked part time: other,4,708000,457000,251000,139000,S,76000,88000,,393000,11000,572000,136000
5590,r090,"All occupations -> Non-S&E occupations -> Not working, not looking for work",All occupations,Non-S&E occupations,"Not working, not looking for work",,3,8971000,5655000,3316000,640000,38000,492000,517000,S,7162000,115000,6717000,2253000
5590,r091,"All occupations -> Non-S&E occupations -> Not working, looking for work",All occupations,Non-S&E occupations,"Not working, looking for work",,3,1014000,557000,457000,190000,,71000,163000,,545000,42000,715000,299000
5590,r092,All occupations -> Non-S&E occupations -> Reason for not working,All occupations,Non-S&E occupations,Reason for not working,,3,,,,,,,,,,,,
5590,r093,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: illness or disability,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: illness or disability,4,1010000,558000,452000,115000,8000,63000,135000,,657000,34000,276000,734000
5590,r094,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: did not need or want to work,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: did not need or want to work,4,2140000,1529000,611000,131000,S,115000,95000,S,1732000,51000,1734000,406000
5590,r095,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: family responsibilities,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: family responsibilities,4,1933000,1646000,287000,220000,S,223000,111000,S,1305000,54000,1644000,289000
5590,r096,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: layoff,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: layoff,4,420000,211000,209000,52000,,31000,67000,,264000,S,310000,111000
5590,r097,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: retired,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: retired,4,6177000,3400000,2777000,323000,16000,196000,400000,S,5174000,64000,4520000,1657000
5590,r098,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: student,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: student,4,380000,212000,168000,66000,,49000,42000,,195000,21000,337000,43000
5590,r099,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: suitable job not available,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: suitable job not available,4,804000,479000,325000,174000,,90000,82000,,434000,23000,541000,264000
5590,r100,All occupations -> Non-S&E occupations -> Reason for not working -> Reason for not working: other,All occupations,Non-S&E occupations,Reason for not working,Reason for not working: other,4,466000,346000,120000,69000,,42000,40000,,309000,3000,345000,121000
