table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_level_3,_b_debt_level_b_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
11690,r021,Cumulative debt -> Graduate debt -> All reporting graduate debt (number),Cumulative debt,Graduate debt,All reporting graduate debt (number),3,"['27,359', '']","['24,599', '']","['33,593', '']","['18,096', '']",3246,,"['94', '']","['3,688', '']","['2,580', '']","['22,206', '']","['1,283', '']","['330', '']","['166', '']"
11690,r022,Cumulative debt -> Graduate debt -> Median debt (dollars),Cumulative debt,Graduate debt,Median debt (dollars),3,"['25,000', '']","['45,000', '']","['45,000', '']","['15,000', '']",45000,,"['45,000', '']","['25,000', '']","['75,000', '']","['45,000', '']","['45,000', '']","['45,000', '']","['55,000', '']"
11690,r023,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']",Number,Percent,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
11690,r024,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['20,968', '76.6']","['17,143', '69.7']","['22,713', '67.6']","['15,205', '84.0']",1916,59.0,"['46', '48.9']","['3,021', '81.9']","['894', '34.7']","['15,627', '70.4']","['866', '67.5']","['228', '69.1']","['115', '69.3']"
11690,r025,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['1,688', '6.2']","['1,440', '5.9']","['1,874', '5.6']","['1,234', '6.8']",235,7.2,"['5', '5.3']","['163', '4.4']","['142', '5.5']","['1,222', '5.5']","['81', '6.3']","['18', '5.5']","['8', '4.8']"
11690,r026,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['902', '3.3']","['917', '3.7']","['1,287', '3.8']","['524', '2.9']",165,5.1,"['5', '5.3']","['91', '2.5']","['105', '4.1']","['850', '3.8']","['57', '4.4']","['8', '2.4']","['6', '3.6']"
11690,r027,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['692', '2.5']","['712', '2.9']","['1,083', '3.2']","['314', '1.7']",140,4.3,"['7', '7.4']","['84', '2.3']","['126', '4.9']","['677', '3.0']","['31', '2.4']","['13', '3.9']","['5', '3.0']"
11690,r028,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['445', '1.6']","['520', '2.1']","['794', '2.4']","['168', '0.9']",105,3.2,"['D', 'D']","['D', 'D']","['105', '4.1']","['489', '2.2']","['24', '1.9']","['9', '2.7']","['3', '1.8']"
11690,r029,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['379', '1.4']","['458', '1.9']","['714', '2.1']","['118', '0.7']",69,2.1,"['6', '6.4']","['36', '1.0']","['102', '4.0']","['463', '2.1']","['29', '2.3']","['7', '2.1']","['2', '1.2']"
11690,r030,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['338', '1.2']","['429', '1.7']","['647', '1.9']","['117', '0.6']",64,2.0,"['D', 'D']","['D', 'D']","['114', '4.4']","['409', '1.8']","['18', '1.4']","['5', '1.5']","['3', '1.8']"
11690,r031,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['266', '1.0']","['348', '1.4']","['548', '1.6']","['61', '0.3']",49,1.5,"['6', '6.4']","['30', '0.8']","['95', '3.7']","['341', '1.5']","['22', '1.7']","['5', '1.5']","['0', '0.0']"
11690,r032,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['216', '0.8']","['293', '1.2']","['457', '1.4']","['50', '0.3']",60,1.8,"['D', 'D']","['D', 'D']","['86', '3.3']","['263', '1.2']","['17', '1.3']","['4', '1.2']","['2', '1.2']"
11690,r033,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['177', '0.6']","['256', '1.0']","['401', '1.2']","['31', '0.2']",46,1.4,"['D', 'D']","['D', 'D']","['67', '2.6']","['257', '1.2']","['12', '0.9']","['2', '0.6']","['1', '0.6']"
11690,r034,"Cumulative debt -> Graduate debt -> $90,001&#8211;$100,000",Cumulative debt,Graduate debt,"$90,001&#8211;$100,000",3,"['208', '0.8']","['264', '1.1']","['422', '1.3']","['46', '0.3']",49,1.5,"['D', 'D']","['D', 'D']","['90', '3.5']","['231', '1.0']","['22', '1.7']","['4', '1.2']","['1', '0.6']"
11690,r035,"Cumulative debt -> Graduate debt -> $100,001&#8211;$120,000",Cumulative debt,Graduate debt,"$100,001&#8211;$120,000",3,"['258', '0.9']","['464', '1.9']","['655', '1.9']","['67', '0.4']",86,2.6,"['D', 'D']","['D', 'D']","['136', '5.3']","['362', '1.6']","['24', '1.9']","['5', '1.5']","['6', '3.6']"
11690,r036,"Cumulative debt -> Graduate debt -> $120,001&#8211;$140,000",Cumulative debt,Graduate debt,"$120,001&#8211;$140,000",3,"['184', '0.7']","['270', '1.1']","['413', '1.2']","['37', '0.2']",52,1.6,"['D', 'D']","['D', 'D']","['95', '3.7']","['229', '1.0']","['12', '0.9']","['3', '0.9']","['3', '1.8']"
11690,r037,"Cumulative debt -> Graduate debt -> $140,001&#8211;$160,000",Cumulative debt,Graduate debt,"$140,001&#8211;$160,000",3,"['223', '0.8']","['360', '1.5']","['530', '1.6']","['50', '0.3']",71,2.2,"['D', 'D']","['D', 'D']","['144', '5.6']","['268', '1.2']","['18', '1.4']","['5', '1.5']","['4', '2.4']"
11690,r038,"Cumulative debt -> Graduate debt -> $160,001 or more",Cumulative debt,Graduate debt,"$160,001 or more",3,"['415', '1.5']","['725', '2.9']","['1,055', '3.1']","['74', '0.4']",139,4.3,"['5', '5.3']","['43', '1.2']","['279', '10.8']","['518', '2.3']","['50', '3.9']","['14', '4.2']","['7', '4.2']"
11690,r039,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']",,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
11690,r040,Cumulative debt -> Undergraduate debt -> All reporting undergraduate debt (number),Cumulative debt,Undergraduate debt,All reporting undergraduate debt (number),3,"['27,369', '']","['24,618', '']","['33,607', '']","['18,104', '']",3250,,"['94', '']","['3,687', '']","['2,584', '']","['22,212', '']","['1,283', '']","['330', '']","['167', '']"
11690,r041,Cumulative debt -> Undergraduate debt -> Median debt (dollars),Cumulative debt,Undergraduate debt,Median debt (dollars),3,"['25,000', '']","['25,000', '']","['25,000', '']","['15,000', '']",25000,,"['25,000', '']","['15,000', '']","['35,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['25,000', '']"
11690,r042,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']",Number,Percent,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
