table_id,row_id,ethnicity_race_and_occupation_full_path,ethnicity_race_and_occupation_level_1,ethnicity_race_and_occupation_level_2,ethnicity_race_and_occupation_level_3,ethnicity_race_and_occupation_level_4,ethnicity_race_and_occupation_level_5,ethnicity_race_and_occupation_level_6,ethnicity_race_and_occupation_hierarchy_depth,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_female,field_bachelor_s_male,field_master_s_female,field_master_s_male,field_doctorate_female,field_doctorate_male
3314,r017,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,5,40000,174000,29000,141000,10000,30000,S,2000
3314,r018,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,5,9000,15000,3000,9000,3000,5000,S,1000
3314,r019,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,5,11000,17000,5000,9000,4000,3000,2000,4000
3314,r020,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,5,22000,2000,S,,11000,1000,7000,S
3314,r021,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,5,35000,17000,S,4000,9000,6000,3000,6000
3314,r022,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E occupations<sup>b</sup>,Engineering occupations,,,4,31000,128000,20000,90000,10000,31000,1000,5000
3314,r023,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Hispanic or Latino<sup>e</sup>,S&E-related occupations<sup>c</sup>,,,,3,492000,328000,292000,193000,117000,58000,13000,22000
3314,r024,All ethnicities and races -> Hispanic or Latino<sup>e</sup> -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Hispanic or Latino<sup>e</sup>,Non-S&E occupations<sup>d</sup>,,,,3,702000,559000,445000,366000,203000,147000,15000,16000
3314,r025,All ethnicities and races -> Not Hispanic or Latino,All ethnicities and races,Not Hispanic or Latino,,,,,2,,,,,,,,
3314,r026,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,,,,3,42000,48000,24000,28000,S,9000,2000,S
3314,r027,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,,,4,4000,S,3000,S,1000,2000,0.05,
3314,r028,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,,5,3000,S,S,S,S,1000,0.05,
3314,r029,"All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,0.05,S,,S,,,,
3314,r030,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,,S,,S,,,,
3314,r031,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,,,,,,,,
3314,r032,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,,1000,,,,,,
3314,r033,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,,,,,,,,
3314,r034,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,,,,,,,,
3314,r035,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E occupations<sup>b</sup>,Engineering occupations,,5,S,3000,,S,,S,,
3314,r036,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,S&E-related occupations<sup>c</sup>,,,4,15000,14000,8000,4000,S,S,,
3314,r037,All ethnicities and races -> Not Hispanic or Latino -> American Indian or Alaska Native -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,American Indian or Alaska Native,Non-S&E occupations<sup>d</sup>,,,4,22000,17000,14000,9000,7000,5000,,
3314,r038,All ethnicities and races -> Not Hispanic or Latino -> Asian,All ethnicities and races,Not Hispanic or Latino,Asian,,,,3,1711000,2158000,849000,980000,551000,774000,144000,255000
3314,r039,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,,,4,488000,1055000,190000,447000,215000,435000,77000,166000
3314,r040,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,,5,425000,787000,162000,340000,184000,318000,71000,122000
3314,r041,"All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,72000,86000,15000,19000,18000,13000,35000,51000
3314,r042,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,273000,612000,130000,297000,130000,279000,11000,34000
3314,r043,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,34000,36000,7000,S,18000,13000,9000,14000
3314,r044,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,15000,40000,5000,14000,3000,7000,8000,19000
3314,r045,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,9000,1000,2000,,3000,,3000,S
3314,r046,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,21000,13000,3000,2000,12000,6000,5000,5000
3314,r047,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,Asian,S&E occupations<sup>b</sup>,Engineering occupations,,5,64000,268000,28000,106000,31000,117000,5000,44000
3314,r048,All ethnicities and races -> Not Hispanic or Latino -> Asian -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,Asian,S&E-related occupations<sup>c</sup>,,,4,625000,525000,310000,223000,139000,139000,41000,48000
3314,r049,All ethnicities and races -> Not Hispanic or Latino -> Asian -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,Asian,Non-S&E occupations<sup>d</sup>,,,4,597000,579000,348000,310000,198000,200000,26000,41000
3314,r050,All ethnicities and races -> Not Hispanic or Latino -> Black or African American,All ethnicities and races,Not Hispanic or Latino,Black or African American,,,,3,1136000,930000,596000,557000,440000,251000,52000,58000
3314,r051,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,,,4,135000,244000,63000,156000,50000,65000,18000,22000
3314,r052,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,,5,123000,180000,58000,112000,44000,46000,18000,20000
3314,r053,"All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,12000,11000,5000,5000,5000,2000,2000,3000
3314,r054,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,56000,133000,42000,97000,13000,33000,,3000
3314,r055,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,S,11000,1000,S,S,3000,S,S
3314,r056,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,7000,11000,6000,S,S,5000,0.05,2000
3314,r057,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,11000,2000,,,S,S,5000,
3314,r058,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,22000,12000,3000,S,10000,1000,9000,7000
3314,r059,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E occupations<sup>b</sup>,Engineering occupations,,5,12000,65000,6000,44000,6000,19000,,2000
3314,r060,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,Black or African American,S&E-related occupations<sup>c</sup>,,,4,355000,257000,184000,152000,129000,47000,16000,S
3314,r061,All ethnicities and races -> Not Hispanic or Latino -> Black or African American -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,Black or African American,Non-S&E occupations<sup>d</sup>,,,4,645000,428000,349000,249000,262000,138000,17000,19000
3314,r062,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,3,26000,56000,14000,49000,8000,5000,,0.05
3314,r063,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,,,4,3000,14000,1000,11000,2000,3000,,
3314,r064,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,,5,2000,7000,S,S,S,S,,
3314,r065,"All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,,,,,,,,
3314,r066,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,,S,,S,,,,
3314,r067,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,,,,,,,,
3314,r068,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,,,,,,,,
3314,r069,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,,,,,,,,
3314,r070,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,,0.05,,,,,,
3314,r071,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E occupations<sup>b</sup>,Engineering occupations,,5,,7000,,S,,S,,
3314,r072,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,S&E-related occupations<sup>c</sup>,,,4,9000,S,5000,S,S,S,,
3314,r073,All ethnicities and races -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Non-S&E occupations<sup>d</sup>,,,4,15000,20000,9000,19000,5000,S,,
3314,r074,All ethnicities and races -> Not Hispanic or Latino -> White,All ethnicities and races,Not Hispanic or Latino,White,,,,3,9088000,10137000,4944000,5944000,3049000,2675000,472000,632000
3314,r075,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,,,4,1322000,3461000,638000,2171000,422000,917000,241000,355000
3314,r076,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,,5,1132000,2347000,538000,1441000,345000,602000,228000,289000
3314,r077,"All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,212000,227000,87000,100000,49000,48000,72000,76000
3314,r078,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,423000,1595000,296000,1158000,113000,389000,12000,43000
3314,r079,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,97000,146000,35000,58000,39000,61000,23000,26000
3314,r080,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,105000,196000,59000,82000,28000,43000,18000,69000
3314,r081,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,173000,49000,40000,5000,64000,14000,54000,26000
3314,r082,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,123000,136000,20000,38000,52000,47000,50000,47000
3314,r083,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,White,S&E occupations<sup>b</sup>,Engineering occupations,,5,190000,1114000,100000,730000,77000,315000,13000,66000
3314,r084,All ethnicities and races -> Not Hispanic or Latino -> White -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,White,S&E-related occupations<sup>c</sup>,,,4,3491000,2562000,1985000,1313000,1044000,597000,108000,108000
3314,r085,All ethnicities and races -> Not Hispanic or Latino -> White -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,White,Non-S&E occupations<sup>d</sup>,,,4,4275000,4113000,2320000,2460000,1582000,1161000,123000,169000
3314,r086,All ethnicities and races -> Not Hispanic or Latino -> More than one race,All ethnicities and races,Not Hispanic or Latino,More than one race,,,,3,342000,308000,197000,191000,98000,87000,20000,9000
3314,r087,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup>,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,,,4,58000,100000,39000,70000,12000,25000,5000,5000
3314,r088,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,,5,48000,73000,32000,52000,11000,17000,4000,3000
3314,r089,"All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",6,6000,7000,3000,5000,2000,1000,1000,2000
3314,r090,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,6,26000,58000,23000,45000,3000,12000,,
3314,r091,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,6,2000,2000,S,S,1000,S,,0.05
3314,r092,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,6,4000,3000,S,S,S,S,,0.05
3314,r093,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,Psychologist,6,4000,S,,,1000,,S,0.05
3314,r094,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Science occupations,Social scientist,6,6000,1000,S,,3000,1000,1000,
3314,r095,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E occupations<sup>b</sup> -> Engineering occupations,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E occupations<sup>b</sup>,Engineering occupations,,5,10000,27000,8000,18000,2000,8000,,1000
3314,r096,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> S&E-related occupations<sup>c</sup>,All ethnicities and races,Not Hispanic or Latino,More than one race,S&E-related occupations<sup>c</sup>,,,4,121000,76000,62000,44000,32000,20000,S,3000
3314,r097,All ethnicities and races -> Not Hispanic or Latino -> More than one race -> Non-S&E occupations<sup>d</sup>,All ethnicities and races,Not Hispanic or Latino,More than one race,Non-S&E occupations<sup>d</sup>,,,4,163000,131000,96000,78000,54000,43000,6000,2000
