table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r037,Alaska -> Other agencies,Alaska,Other agencies,,2,,,,,,,
10289,r038,Alaska -> Other agencies -> Consumer Product Safety Commission,Alaska,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r039,Alaska -> Other agencies -> National Aeronautics and Space Administration,Alaska,Other agencies,National Aeronautics and Space Administration,3,21555,0,0,2748,18807,0,0
10289,r040,Alaska -> Other agencies -> National Science Foundation,Alaska,Other agencies,National Science Foundation,3,51393,0,0,1090,48017,2286,0
10289,r041,Alaska -> Other agencies -> Postal Service,Alaska,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r042,Arizona,Arizona,,,1,1663321,188312,0,828090,549334,84104,13481
10289,r043,Arizona -> Departments,Arizona,Departments,,2,,,,,,,
10289,r044,Arizona -> Departments -> Department of Agriculture,Arizona,Departments,Department of Agriculture,3,30869,20644,0,180,9425,0.05,615
10289,r045,Arizona -> Departments -> Department of Commerce,Arizona,Departments,Department of Commerce,3,3256,0,0,156,3100,0,0
10289,r046,Arizona -> Departments -> Department of Defense,Arizona,Departments,Department of Defense,3,907603,100703,0,736032,63828,761,6278
10289,r047,Arizona -> Departments -> Department of Education,Arizona,Departments,Department of Education,3,3734,0,0,0,3734,0,0
10289,r048,Arizona -> Departments -> Department of Energy,Arizona,Departments,Department of Energy,3,31859,74,0,11521,20257,0.05,0
10289,r049,Arizona -> Departments -> Department of Health and Human Services,Arizona,Departments,Department of Health and Human Services,3,334410,7713,0,18892,236317,67658,3830
10289,r050,Arizona -> Departments -> Department of Homeland Security,Arizona,Departments,Department of Homeland Security,3,1591,0,0,1591,0,0,0
10289,r051,Arizona -> Departments -> Department of the Interior,Arizona,Departments,Department of the Interior,3,32107,31544,0,0.05,316,0.05,199
10289,r052,Arizona -> Departments -> Department of Labor,Arizona,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r053,Arizona -> Departments -> Department of Transportation,Arizona,Departments,Department of Transportation,3,12726,0,0,7440,2727,0,2559
10289,r054,Arizona -> Departments -> Department of the Treasury,Arizona,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r055,Arizona -> Departments -> Department of Veterans Affairs,Arizona,Departments,Department of Veterans Affairs,3,7781,7781,0,0,0,0,0
10289,r056,Arizona -> Other agencies,Arizona,Other agencies,,2,,,,,,,
10289,r057,Arizona -> Other agencies -> Agency for International Development,Arizona,Other agencies,Agency for International Development,3,750,0,0,0,750,0,0
10289,r058,Arizona -> Other agencies -> Consumer Product Safety Commission,Arizona,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r059,Arizona -> Other agencies -> Environmental Protection Agency,Arizona,Other agencies,Environmental Protection Agency,3,50,0,0,50,0,0,0
10289,r060,Arizona -> Other agencies -> National Aeronautics and Space Administration,Arizona,Other agencies,National Aeronautics and Space Administration,3,165309,19848,0,45435,85976,14050,0
10289,r061,Arizona -> Other agencies -> National Science Foundation,Arizona,Other agencies,National Science Foundation,3,131162,0,0,6644,122904,1614,0
10289,r062,Arizona -> Other agencies -> Postal Service,Arizona,Other agencies,Postal Service,3,102,0,0,102,0,0,0
10289,r063,Arkansas,Arkansas,,,1,300252,66170,0,86351,126768,11006,9956
10289,r064,Arkansas -> Departments,Arkansas,Departments,,2,,,,,,,
10289,r065,Arkansas -> Departments -> Department of Agriculture,Arkansas,Departments,Department of Agriculture,3,43053,25101,0,106,16352,937,557
10289,r066,Arkansas -> Departments -> Department of Defense,Arkansas,Departments,Department of Defense,3,102354,19093,0,66515,15654,1092,0
10289,r067,Arkansas -> Departments -> Department of Energy,Arkansas,Departments,Department of Energy,3,1649,0,0,0.05,1570,0,79
10289,r068,Arkansas -> Departments -> Department of Health and Human Services,Arkansas,Departments,Department of Health and Human Services,3,96223,0,0,14305,69764,8977,3177
10289,r069,Arkansas -> Departments -> Department of Homeland Security,Arkansas,Departments,Department of Homeland Security,3,2877,0,0,2877,0,0,0
10289,r070,Arkansas -> Departments -> Department of the Interior,Arkansas,Departments,Department of the Interior,3,7394,7259,0,0,0.05,0,125
10289,r071,Arkansas -> Departments -> Department of Justice,Arkansas,Departments,Department of Justice,3,894,0,0,0,894,0,0
10289,r072,Arkansas -> Departments -> Department of Labor,Arkansas,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r073,Arkansas -> Departments -> Department of Transportation,Arkansas,Departments,Department of Transportation,3,3183,0,0,0,1401,0,1781
10289,r074,Arkansas -> Departments -> Department of the Treasury,Arkansas,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r075,Arkansas -> Departments -> Department of Veterans Affairs,Arkansas,Departments,Department of Veterans Affairs,3,14714,14714,0,0,0,0,0
10289,r076,Arkansas -> Other agencies,Arkansas,Other agencies,,2,,,,,,,
10289,r077,Arkansas -> Other agencies -> Consumer Product Safety Commission,Arkansas,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r078,Arkansas -> Other agencies -> National Aeronautics and Space Administration,Arkansas,Other agencies,National Aeronautics and Space Administration,3,2256,0,0,931,1325,0,0
10289,r079,Arkansas -> Other agencies -> National Science Foundation,Arkansas,Other agencies,National Science Foundation,3,25627,0,0,1592,19798,0,4237
10289,r080,Arkansas -> Other agencies -> Postal Service,Arkansas,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r081,California,California,,,1,22618185,3031984,4922483,8004585,5260830,1327279,71024
10289,r082,California -> Departments,California,Departments,,2,,,,,,,
10289,r083,California -> Departments -> Department of Agriculture,California,Departments,Department of Agriculture,3,161799,93769,0,4366,61961,1118,586
10289,r084,California -> Departments -> Department of Commerce,California,Departments,Department of Commerce,3,22060,284,0,2812,14234,4731,0
10289,r085,California -> Departments -> Department of Defense,California,Departments,Department of Defense,3,10160653,2432406,682659,6336258,574215,133239,1875
10289,r086,California -> Departments -> Department of Education,California,Departments,Department of Education,3,50464,0,0,6389,14376,12989,16710
10289,r087,California -> Departments -> Department of Energy,California,Departments,Department of Energy,3,2744902,1133,2169836,355086,184476,32977,1393
10289,r088,California -> Departments -> Department of Health and Human Services,California,Departments,Department of Health and Human Services,3,5126819,0,21245,521671,3506709,1045085,32109
10289,r089,California -> Departments -> Department of Homeland Security,California,Departments,Department of Homeland Security,3,35280,1142,13356,16381,1949,2453,0
10289,r090,California -> Departments -> Department of the Interior,California,Departments,Department of the Interior,3,74760,52392,250,4205,15647,1266,1001
10289,r091,California -> Departments -> Department of Justice,California,Departments,Department of Justice,3,2258,0,0,0,0.05,2218,0
10289,r092,California -> Departments -> Department of Labor,California,Departments,Department of Labor,3,141,0.05,0,108,0,0,0
10289,r093,California -> Departments -> Department of Transportation,California,Departments,Department of Transportation,3,49187,11236,0,14674,7809,1250,14217
10289,r094,California -> Departments -> Department of the Treasury,California,Departments,Department of the Treasury,3,2802,0.05,2800,0,0,0,0
10289,r095,California -> Departments -> Department of Veterans Affairs,California,Departments,Department of Veterans Affairs,3,277307,277307,0,0,0,0,0
10289,r096,California -> Other agencies,California,Other agencies,,2,,,,,,,
10289,r097,California -> Other agencies -> Agency for Global Media,California,Other agencies,Agency for Global Media,3,250,0,0,250,0,0,0
10289,r098,California -> Other agencies -> Agency for International Development,California,Other agencies,Agency for International Development,3,7000,0,0,0,7000,0,0
10289,r099,California -> Other agencies -> Consumer Product Safety Commission,California,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r100,California -> Other agencies -> Environmental Protection Agency,California,Other agencies,Environmental Protection Agency,3,24315,0,0,16694,5623,1998,0
10289,r101,California -> Other agencies -> National Aeronautics and Space Administration,California,Other agencies,National Aeronautics and Space Administration,3,3030644,160660,2032337,659614,136389,39202,2443
10289,r102,California -> Other agencies -> National Science Foundation,California,Other agencies,National Science Foundation,3,842984,1054,0,63417,729815,48009,689
10289,r103,California -> Other agencies -> Nuclear Regulatory Commission,California,Other agencies,Nuclear Regulatory Commission,3,1372,562,0,810,0,0,0
10289,r104,California -> Other agencies -> Postal Service,California,Other agencies,Postal Service,3,1852,0,0,1852,0,0,0
10289,r105,California -> Other agencies -> Social Security Administration,California,Other agencies,Social Security Administration,3,1331,0,0,0,586,745,0
10289,r106,Colorado,Colorado,,,1,6229985,440675,562842,3864952,857333,487681,16502
10289,r107,Colorado -> Departments,Colorado,Departments,,2,,,,,,,
10289,r108,Colorado -> Departments -> Department of Agriculture,Colorado,Departments,Department of Agriculture,3,61132,39700,0,1400,19700,155,177
10289,r109,Colorado -> Departments -> Department of Commerce,Colorado,Departments,Department of Commerce,3,218890,143831,794,2167,71901,197,0
10289,r110,Colorado -> Departments -> Department of Defense,Colorado,Departments,Department of Defense,3,3061893,56210,4914,2934845,60918,4999,0.05
10289,r111,Colorado -> Departments -> Department of Education,Colorado,Departments,Department of Education,3,3224,0,0,400,1177,1646,0
10289,r112,Colorado -> Departments -> Department of Energy,Colorado,Departments,Department of Energy,3,565157,423,452721,60815,45551,4860,787
10289,r113,Colorado -> Departments -> Department of Health and Human Services,Colorado,Departments,Department of Health and Human Services,3,893045,1367,0,44108,409829,427272,10469
10289,r114,Colorado -> Departments -> Department of Homeland Security,Colorado,Departments,Department of Homeland Security,3,625,218,0,157,250,0,0
10289,r115,Colorado -> Departments -> Department of the Interior,Colorado,Departments,Department of the Interior,3,76726,68821,78,1268,5673,417,469
10289,r116,Colorado -> Departments -> Department of Labor,Colorado,Departments,Department of Labor,3,80,0.05,0,59,0,0,0
10289,r117,Colorado -> Departments -> Department of Transportation,Colorado,Departments,Department of Transportation,3,26776,4201,235,15113,2752,0,4475
10289,r118,Colorado -> Departments -> Department of the Treasury,Colorado,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r119,Colorado -> Departments -> Department of Veterans Affairs,Colorado,Departments,Department of Veterans Affairs,3,30206,30206,0,0,0,0,0
10289,r120,Colorado -> Other agencies,Colorado,Other agencies,,2,,,,,,,
10289,r121,Colorado -> Other agencies -> Consumer Product Safety Commission,Colorado,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r122,Colorado -> Other agencies -> Environmental Protection Agency,Colorado,Other agencies,Environmental Protection Agency,3,9072,1265,0,1579,4595,1633,0
10289,r123,Colorado -> Other agencies -> National Aeronautics and Space Administration,Colorado,Other agencies,National Aeronautics and Space Administration,3,954149,93096,0,791645,69409,0,0
10289,r124,Colorado -> Other agencies -> National Science Foundation,Colorado,Other agencies,National Science Foundation,3,327793,1312,104100,10375,165385,46502,119
10289,r125,Colorado -> Other agencies -> Nuclear Regulatory Commission,Colorado,Other agencies,Nuclear Regulatory Commission,3,89,0,0,0,89,0,0
10289,r126,Colorado -> Other agencies -> Postal Service,Colorado,Other agencies,Postal Service,3,1021,0,0,1021,0,0,0
10289,r127,Colorado -> Other agencies -> Social Security Administration,Colorado,Other agencies,Social Security Administration,3,105,0,0,0,105,0,0
10289,r128,Connecticut,Connecticut,,,1,2597155,122887,0,1635598,782764,17317,38588
10289,r129,Connecticut -> Departments,Connecticut,Departments,,2,,,,,,,
10289,r130,Connecticut -> Departments -> Department of Agriculture,Connecticut,Departments,Department of Agriculture,3,5907,1647,0,0,3281,0,980
10289,r131,Connecticut -> Departments -> Department of Commerce,Connecticut,Departments,Department of Commerce,3,11535,0,0,0,5940,5595,0
10289,r132,Connecticut -> Departments -> Department of Defense,Connecticut,Departments,Department of Defense,3,1534943,73759,0,1403586,54632,2965,0
10289,r133,Connecticut -> Departments -> Department of Education,Connecticut,Departments,Department of Education,3,5233,0,0,0.05,5208,0,0
10289,r134,Connecticut -> Departments -> Department of Energy,Connecticut,Departments,Department of Energy,3,52651,0,0,36598,16053,0,0
10289,r135,Connecticut -> Departments -> Department of Health and Human Services,Connecticut,Departments,Department of Health and Human Services,3,696109,0,0,15687,635755,8248,36421
10289,r136,Connecticut -> Departments -> Department of Homeland Security,Connecticut,Departments,Department of Homeland Security,3,6376,0,0,6242,134,0,0
10289,r137,Connecticut -> Departments -> Department of the Interior,Connecticut,Departments,Department of the Interior,3,1586,537,0,418,487,0,145
10289,r138,Connecticut -> Departments -> Department of Labor,Connecticut,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r139,Connecticut -> Departments -> Department of Transportation,Connecticut,Departments,Department of Transportation,3,12060,0,0,11017,0,0,1043
10289,r140,Connecticut -> Departments -> Department of the Treasury,Connecticut,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r141,Connecticut -> Departments -> Department of Veterans Affairs,Connecticut,Departments,Department of Veterans Affairs,3,42005,42005,0,0,0,0,0
10289,r142,Connecticut -> Other agencies,Connecticut,Other agencies,,2,,,,,,,
10289,r143,Connecticut -> Other agencies -> Agency for International Development,Connecticut,Other agencies,Agency for International Development,3,2000,0,0,0,2000,0,0
10289,r144,Connecticut -> Other agencies -> Consumer Product Safety Commission,Connecticut,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r145,Connecticut -> Other agencies -> Environmental Protection Agency,Connecticut,Other agencies,Environmental Protection Agency,3,1338,0,0,1301,0.05,0.05,0
10289,r146,Connecticut -> Other agencies -> National Aeronautics and Space Administration,Connecticut,Other agencies,National Aeronautics and Space Administration,3,166819,4936,0,158331,3553,0,0
10289,r147,Connecticut -> Other agencies -> National Science Foundation,Connecticut,Other agencies,National Science Foundation,3,58317,0,0,2122,55695,500,0
10289,r148,Connecticut -> Other agencies -> Postal Service,Connecticut,Other agencies,Postal Service,3,257,0,0,257,0,0,0
10289,r149,Delaware,Delaware,,,1,306913,3322,5271,49600,238890,7805,2024
10289,r150,Delaware -> Departments,Delaware,Departments,,2,,,,,,,
10289,r151,Delaware -> Departments -> Department of Agriculture,Delaware,Departments,Department of Agriculture,3,7679,1560,0,100,6019,0,0
10289,r152,Delaware -> Departments -> Department of Commerce,Delaware,Departments,Department of Commerce,3,95999,0,0,0,95999,0,0
10289,r153,Delaware -> Departments -> Department of Defense,Delaware,Departments,Department of Defense,3,48096,458,5271,18013,23950,403,0
10289,r154,Delaware -> Departments -> Department of Education,Delaware,Departments,Department of Education,3,1624,0,0,0,1320,0,304
10289,r155,Delaware -> Departments -> Department of Energy,Delaware,Departments,Department of Energy,3,31027,0,0,10394,20605,0,0.05
10289,r156,Delaware -> Departments -> Department of Health and Human Services,Delaware,Departments,Department of Health and Human Services,3,69359,0,0,15827,46669,6723,139
10289,r157,Delaware -> Departments -> Department of Homeland Security,Delaware,Departments,Department of Homeland Security,3,917,0,0,917,0,0,0
10289,r158,Delaware -> Departments -> Department of the Interior,Delaware,Departments,Department of the Interior,3,1632,679,0,0,952,0,0
10289,r159,Delaware -> Departments -> Department of Justice,Delaware,Departments,Department of Justice,3,625,625,0,0,0,0,0
10289,r160,Delaware -> Departments -> Department of Labor,Delaware,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r161,Delaware -> Departments -> Department of Transportation,Delaware,Departments,Department of Transportation,3,1706,0,0,0,153,0,1552
10289,r162,Delaware -> Departments -> Department of the Treasury,Delaware,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r163,Delaware -> Other agencies,Delaware,Other agencies,,2,,,,,,,
10289,r164,Delaware -> Other agencies -> Consumer Product Safety Commission,Delaware,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r165,Delaware -> Other agencies -> National Aeronautics and Space Administration,Delaware,Other agencies,National Aeronautics and Space Administration,3,7554,0,0,4056,3498,0,0
10289,r166,Delaware -> Other agencies -> National Science Foundation,Delaware,Other agencies,National Science Foundation,3,40648,0,0,256,39713,679,0
10289,r167,Delaware -> Other agencies -> Postal Service,Delaware,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r168,Delaware -> Other agencies -> Social Security Administration,Delaware,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r169,District of Columbia,District of Columbia,,,1,39038621,35151327,190261,898844,274356,2514296,9536
10289,r170,District of Columbia -> Departments,District of Columbia,Departments,,2,,,,,,,
10289,r171,District of Columbia -> Departments -> Department of Agriculture,District of Columbia,Departments,Department of Agriculture,3,306981,302620,0,127,1074,2510,650
10289,r172,District of Columbia -> Departments -> Department of Commerce,District of Columbia,Departments,Department of Commerce,3,36675,29006,0,6665,204,802,0
10289,r173,District of Columbia -> Departments -> Department of Defense,District of Columbia,Departments,Department of Defense,3,2936657,2109668,542,609602,43923,172923,0
10289,r174,District of Columbia -> Departments -> Department of Education,District of Columbia,Departments,Department of Education,3,7227,0,0,0,4020,3207,0
10289,r175,District of Columbia -> Departments -> Department of Energy,District of Columbia,Departments,Department of Energy,3,709514,684835,0,13916,1589,8599,576
10289,r176,District of Columbia -> Departments -> Department of Health and Human Services,District of Columbia,Departments,Department of Health and Human Services,3,31685313,31389685,0,64057,152755,73338,5478
10289,r177,District of Columbia -> Departments -> Department of Homeland Security,District of Columbia,Departments,Department of Homeland Security,3,51251,34582,0,16115,0,554,0
10289,r178,District of Columbia -> Departments -> Department of the Interior,District of Columbia,Departments,Department of the Interior,3,24984,23614,0,0.05,0.05,1316,0
10289,r179,District of Columbia -> Departments -> Department of Justice,District of Columbia,Departments,Department of Justice,3,11313,5982,0,2328,195,2801,0.05
10289,r180,District of Columbia -> Departments -> Department of Labor,District of Columbia,Departments,Department of Labor,3,1836,1817,0,0.05,0,0,0
10289,r181,District of Columbia -> Departments -> Department of Transportation,District of Columbia,Departments,Department of Transportation,3,201127,86888,0,88797,151,22466,2825
10289,r182,District of Columbia -> Departments -> Department of the Treasury,District of Columbia,Departments,Department of the Treasury,3,2622,2622,0,0,0,0,0
10289,r183,District of Columbia -> Departments -> Department of Veterans Affairs,District of Columbia,Departments,Department of Veterans Affairs,3,123354,123354,0,0,0,0,0
10289,r184,District of Columbia -> Other agencies,District of Columbia,Other agencies,,2,,,,,,,
10289,r185,District of Columbia -> Other agencies -> Agency for Global Media,District of Columbia,Other agencies,Agency for Global Media,3,3025,0,0,3025,0,0,0
10289,r186,District of Columbia -> Other agencies -> Agency for International Development,District of Columbia,Other agencies,Agency for International Development,3,37573,4385,0,14673,0,18515,0
10289,r187,District of Columbia -> Other agencies -> Appalachian Regional Commission,District of Columbia,Other agencies,Appalachian Regional Commission,3,56,0,0,0,0,56,0
10289,r188,District of Columbia -> Other agencies -> Consumer Product Safety Commission,District of Columbia,Other agencies,Consumer Product Safety Commission,3,169,169,0,0,0,0,0
10289,r189,District of Columbia -> Other agencies -> Environmental Protection Agency,District of Columbia,Other agencies,Environmental Protection Agency,3,53096,52987,109,0,0,0,0
10289,r190,District of Columbia -> Other agencies -> Federal Trade Commission,District of Columbia,Other agencies,Federal Trade Commission,3,8094,8094,0,0,0,0,0
10289,r191,District of Columbia -> Other agencies -> Library of Congress,District of Columbia,Other agencies,Library of Congress,3,2727,2727,0,0,0,0,0
10289,r192,District of Columbia -> Other agencies -> National Aeronautics and Space Administration,District of Columbia,Other agencies,National Aeronautics and Space Administration,3,1914949,168344,0,33736,26647,1686223,0
10289,r193,District of Columbia -> Other agencies -> National Science Foundation,District of Columbia,Other agencies,National Science Foundation,3,329398,1795,189611,34162,43543,60287,0
10289,r194,District of Columbia -> Other agencies -> Nuclear Regulatory Commission,District of Columbia,Other agencies,Nuclear Regulatory Commission,3,1552,923,0,628,0,0,0
10289,r195,District of Columbia -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,District of Columbia,Other agencies,Patient-Centered Outcomes Research Trust Fund,3,460331,0,0,0,0,460331,0
10289,r196,District of Columbia -> Other agencies -> Postal Service,District of Columbia,Other agencies,Postal Service,3,321,0,0,321,0,0,0
10289,r197,District of Columbia -> Other agencies -> Smithsonian Institution,District of Columbia,Other agencies,Smithsonian Institution,3,50000,50000,0,0,0,0,0
10289,r198,District of Columbia -> Other agencies -> Social Security Administration,District of Columbia,Other agencies,Social Security Administration,3,78479,67233,0,10670,207,369,0
10289,r199,Florida,Florida,,,1,4094695,869515,9988,1911274,1045856,236240,21823
10289,r200,Florida -> Departments,Florida,Departments,,2,,,,,,,
10289,r201,Florida -> Departments -> Department of Agriculture,Florida,Departments,Department of Agriculture,3,75532,39120,0,1240,30036,5135,0
10289,r202,Florida -> Departments -> Department of Commerce,Florida,Departments,Department of Commerce,3,24941,1633,0,194,20573,1192,1350
10289,r203,Florida -> Departments -> Department of Defense,Florida,Departments,Department of Defense,3,2574591,725989,9988,1676295,115722,46347,250
10289,r204,Florida -> Departments -> Department of Education,Florida,Departments,Department of Education,3,20556,0,0,200,10993,0,9363
10289,r205,Florida -> Departments -> Department of Energy,Florida,Departments,Department of Energy,3,51406,0,0,8613,42791,0.05,0
10289,r206,Florida -> Departments -> Department of Health and Human Services,Florida,Departments,Department of Health and Human Services,3,781919,234,0,35450,566866,179041,328
10289,r207,Florida -> Departments -> Department of Homeland Security,Florida,Departments,Department of Homeland Security,3,6353,3296,0,2709,348,0,0
10289,r208,Florida -> Departments -> Department of the Interior,Florida,Departments,Department of the Interior,3,54947,45698,0,1860,5534,1561,294
10289,r209,Florida -> Departments -> Department of Justice,Florida,Departments,Department of Justice,3,2458,0,0,0,2458,0,0
10289,r210,Florida -> Departments -> Department of Labor,Florida,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r211,Florida -> Departments -> Department of Transportation,Florida,Departments,Department of Transportation,3,34982,342,0,18611,5791,0,10238
10289,r212,Florida -> Departments -> Department of the Treasury,Florida,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r213,Florida -> Departments -> Department of Veterans Affairs,Florida,Departments,Department of Veterans Affairs,3,43157,43157,0,0,0,0,0
10289,r214,Florida -> Other agencies,Florida,Other agencies,,2,,,,,,,
10289,r215,Florida -> Other agencies -> Consumer Product Safety Commission,Florida,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r216,Florida -> Other agencies -> Environmental Protection Agency,Florida,Other agencies,Environmental Protection Agency,3,11611,9016,0,716,1387,493,0
10289,r217,Florida -> Other agencies -> National Aeronautics and Space Administration,Florida,Other agencies,National Aeronautics and Space Administration,3,187967,1021,0,158324,28072,550,0
10289,r218,Florida -> Other agencies -> National Science Foundation,Florida,Other agencies,National Science Foundation,3,223761,0,0,6787,215056,1917,0
