table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_physical_sciences,field_2020_astronomy_and_astrophysics,field_2020_chemistry,field_2020_materials_science,field_2020_physics,field_2020_physical_sciences_nec
5430,r021,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,20,"['46,458', '']","['48,305', '']","['49,120', '']","['46,669', '']","['1,731', '']","['22,766', '']","['12,098', '']","['8,508', '']","['1,566', '']"
5430,r022,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,21,"['29,488', '']","['31,707', '']","['35,564', '']","['44,079', '']","['3,648', '']","['23,166', '']","['41', '']","['17,224', '']","['0', '']"
5430,r023,All institutions -> U. Chicago,All institutions,U. Chicago,2,22,"['46,097', '']","['42,683', '']","['43,322', '']","['43,904', '']","['8,148', '']","['20,747', '']","['4,416', '']","['10,586', '']","['7', '']"
5430,r024,All institutions -> Florida State U.,All institutions,Florida State U.,2,23,"['32,743', '']","['38,693', '']","['35,376', '']","['42,211', '']","['704', '']","['12,958', '']","['2,170', '']","['26,260', '']","['119', '']"
5430,r025,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,24,"['36,290', '']","['35,467', '']","['38,491', '']","['41,413', '']","['0', '']","['41,413', '']","['0', '']","['0', '']","['0', '']"
5430,r026,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,25,"['32,675', '']","['36,065', '']","['38,518', '']","['38,206', '']","['29', '']","['13,345', '']","['10,382', '']","['14,450', '']","['0', '']"
5430,r027,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,26,"['38,863', '']","['36,558', '']","['39,856', '']","['37,430', '']","['0', '']","['14,839', '']","['0', '']","['22,591', '']","['0', '']"
5430,r028,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,27,"['34,300', '']","['32,011', '']","['38,560', '']","['36,695', '']","['4,210', '']","['6,268', '']","['11,873', '']","['13,661', '']","['683', '']"
5430,r029,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,28,"['38,344', '']","['36,588', '']","['37,944', '']","['35,572', '']","['3,783', '']","['18,164', '']","['0', '']","['13,625', '']","['0', '']"
5430,r030,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,29,"['28,016', '']","['29,565', '']","['33,493', '']","['32,576', '']","['1,162', '']","['14,721', '']","['0', '']","['16,693', '']","['0', '']"
5430,r031,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,30,"['40,520', '']","['27,308', '']","['29,085', '']","['31,519', '']","['6,176', '']","['9,611', '']","['6,090', '']","['9,642', '']","['0', '']"
5430,r032,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,31,"['21,025', '']","['28,239', '']","['32,009', '']","['30,902', '']","['1,605', '']","['9,555', '']","['0', '']","['19,742', '']","['0', '']"
5430,r033,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,32,"['26,579', '']","['26,977', '']","['29,077', '']","['28,853', '']","['0', '']","['18,246', '']","['0', '']","['10,607', '']","['0', '']"
5430,r034,All institutions -> Yale U.,All institutions,Yale U.,2,33,"['36,023', '']","['35,815', '']","['33,736', '']","['28,840', '']","['1,630', '']","['10,663', '']","['0', '']","['16,547', '']","['0', '']"
5430,r035,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,34,"['21,688', '']","['23,430', '']","['24,236', '']","['27,083', '']","['388', '']","['15,780', '']","['0', '']","['8,065', '']","['2,850', '']"
5430,r036,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,35,"['24,639', '']","['24,213', '']","['27,916', '']","['26,725', '']","['0', '']","['15,738', '']","['0', '']","['10,987', '']","['0', '']"
5430,r037,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,36,"['22,254', '']","['23,459', '']","['25,844', '']","['22,417', '']","['0', '']","['15,235', '']","['0', '']","['7,182', '']","['0', '']"
5430,r038,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,37,"['19,426', '']","['19,253', '']","['20,328', '']","['21,579', '']","['0', '']","['12,344', '']","['0', '']","['9,235', '']","['0', '']"
5430,r039,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,38,"['18,428', '']","['19,047', '']","['20,230', '']","['21,231', '']","['383', '']","['11,206', '']","['0', '']","['9,642', '']","['0', '']"
5430,r040,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,39,"['17,871', '']","['18,933', '']","['21,954', '']","['21,208', '']","['898', '']","['8,781', '']","['1,312', '']","['9,751', '']","['466', '']"
5430,r041,All institutions -> Boston U.,All institutions,Boston U.,2,40,"['18,675', '']","['19,197', '']","['19,469', '']","['20,726', '']","['1,553', '']","['9,210', '']","['0', '']","['9,963', '']","['0', '']"
5430,r042,All institutions -> U. Delaware,All institutions,U. Delaware,2,41,"['19,061', '']","['19,454', '']","['21,923', '']","['19,931', '']","['886', '']","['6,472', '']","['8,121', '']","['4,452', '']","['0', '']"
5430,r043,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,42,"['23,628', '']","['17,616', '']","['17,967', '']","['19,333', '']","['2,505', '']","['6,608', '']","['0', '']","['10,220', '']","['0', '']"
5430,r044,All institutions -> Duke U.,All institutions,Duke U.,2,43,"['14,743', '']","['16,332', '']","['18,436', '']","['19,178', '']","['0', '']","['8,398', '']","['0', '']","['10,780', '']","['0', '']"
5430,r045,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,44,"['16,511', '']","['15,075', '']","['17,498', '']","['19,021', '']","['9,306', '']","['1,732', '']","['0', '']","['3,792', '']","['4,191', '']"
5430,r046,All institutions -> U. Utah,All institutions,U. Utah,2,45,"['20,933', '']","['15,844', '']","['31,461', '']","['19,006', '']","['5,919', '']","['11,546', '']","['0', '']","['0', '']","['1,541', '']"
5430,r047,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,46,"['21,993', '']","['18,490', '']","['18,300', '']","['18,976', '']","['0', '']","['1,876', '']","['0', '']","['17,100', '']","['0', '']"
5430,r048,All institutions -> U. Iowa,All institutions,U. Iowa,2,47,"['18,135', '']","['22,483', '']","['21,267', '']","['18,913', '']","['609', '']","['3,681', '']","['0', '']","['14,623', '']","['0', '']"
5430,r049,All institutions -> New York U.,All institutions,New York U.,2,48,"['15,340', '']","['17,870', '']","['19,720', '']","['18,606', '']","['0', '']","['11,679', '']","['0', '']","['6,927', '']","['0', '']"
5430,r050,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,49,"['16,253', '']","['16,350', '']","['18,746', '']","['18,393', '']","['0', '']","['8,606', '']","['5,181', '']","['4,606', '']","['0', '']"
5430,r051,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,50,"['23,577', '']","['19,047', '']","['18,114', '']","['18,373', '']","['2,486', '']","['3,699', '']","['0', '']","['1,132', '']","['11,056', '']"
5430,r052,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,51,"['13,988', '']","['14,703', '']","['16,405', '']","['18,261', '']","['3,241', '']","['10,044', '']","['0', '']","['4,976', '']","['0', '']"
5430,r053,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,52,"['11,892', '']","['26,683', '']","['25,466', '']","['17,815', '']","['0', '']","['8,055', '']","['0', '']","['9,760', '']","['0', '']"
5430,r054,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,53,"['17,200', '']","['17,541', '']","['18,857', '']","['17,786', '']","['717', '']","['10,893', '']","['0', '']","['6,176', '']","['0', '']"
5430,r055,"All institutions -> U. California, Santa Cruz",All institutions,"U. California, Santa Cruz",2,54,"['12,626', '']","['12,442', '']","['15,755', '']","['17,723', '']","['4,972', '']","['7,886', '']","['0', '']","['4,865', '']","['0', '']"
5430,r056,All institutions -> Catholic U. of America,All institutions,Catholic U. of America,2,55,"['15,676', '']","['16,408', '']","['16,992', '']","['17,261', '']","['0', '']","['523', '']","['0', '']","['11,952', '']","['4,786', '']"
5430,r057,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,56,"['16,172', '']","['14,930', '']","['17,554', '']","['17,230', '']","['0', '']","['9,896', '']","['0', '']","['7,160', '']","['174', '']"
5430,r058,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,57,"['12,116', '']","['11,959', '']","['14,774', '']","['17,092', '']","['13,426', '']","['1,233', '']","['133', '']","['2,300', '']","['0', '']"
5430,r059,All institutions -> U. Florida,All institutions,U. Florida,2,58,"['14,618', '']","['14,100', '']","['15,416', '']","['16,445', '']","['418', '']","['6,769', '']","['0', '']","['9,258', '']","['0', '']"
5430,r060,All institutions -> Rice U.,All institutions,Rice U.,2,59,"['17,838', '']","['15,712', '']","['17,279', '']","['16,313', '']","['1,204', '']","['5,909', '']","['0', '']","['9,200', '']","['0', '']"
5430,r061,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,60,"['16,244', '']","['17,422', '']","['18,047', '']","['15,583', '']","['0', '']","['6,237', '']","['0', '']","['9,346', '']","['0', '']"
5430,r062,All institutions -> Emory U.,All institutions,Emory U.,2,61,"['13,504', '']","['14,297', '']","['15,695', '']","['15,380', '']","['0', '']","['12,627', '']","['0', '']","['2,729', '']","['24', '']"
5430,r063,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,62,"['15,765', '']","['14,724', '']","['14,537', '']","['15,195', '']","['0', '']","['7,056', '']","['0', '']","['8,139', '']","['0', '']"
5430,r064,All institutions -> Washington State U.,All institutions,Washington State U.,2,63,"['15,632', '']","['16,798', '']","['18,436', '']","['14,813', '']","['152', '']","['5,986', '']","['276', '']","['6,837', '']","['1,562', '']"
5430,r065,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,64,"['14,606', '']","['13,554', '']","['12,908', '']","['14,276', '']","['0', '']","['7,396', '']","['0', '']","['6,880', '']","['0', '']"
5430,r066,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,65,"['8,276', '']","['10,816', '']","['14,250', '']","['13,854', '']","['30', '']","['8,991', '']","['0', '']","['4,788', '']","['45', '']"
5430,r067,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,66,"['12,825', '']","['11,050', '']","['11,524', '']","['13,754', '']","['1,515', '']","['6,834', '']","['0', '']","['5,143', '']","['262', '']"
5430,r068,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,67,"['13,484', '']","['14,391', '']","['13,392', '']","['13,657', '']","['0', '']","['6,645', '']","['0', '']","['7,012', '']","['0', '']"
5430,r069,All institutions -> U. Southern California,All institutions,U. Southern California,2,68,"['10,069', '']","['11,958', '']","['12,667', '']","['13,605', '']","['0', '']","['7,570', '']","['1,174', '']","['4,861', '']","['0', '']"
5430,r070,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,69,"['10,974', '']","['12,376', '']","['12,967', '']","['13,295', '']","['0', '']","['3,955', '']","['0', '']","['9,293', '']","['47', '']"
5430,r071,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,70,"['10,798', '']","['12,632', '']","['12,859', '']","['13,194', '']","['0', '']","['4,811', '']","['13', '']","['8,026', '']","['344', '']"
5430,r072,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,71,"['19,984', '']","['18,582', '']","['17,535', '']","['12,991', '']","['1,392', '']","['2,557', '']","['2,203', '']","['6,212', '']","['627', '']"
5430,r073,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,72,"['11,476', '']","['11,911', '']","['11,735', '']","['12,385', '']","['0', '']","['5,739', '']","['0', '']","['6,395', '']","['251', '']"
5430,r074,"All institutions -> U. Tennessee, Knoxville<sup>c</sup>",All institutions,"U. Tennessee, Knoxville<sup>c</sup>",2,73,"['15,858', '']","['15,120', '']","['16,674', '']","['12,121', '']","['0', '']","['3,170', '']","['0', '']","['8,951', '']","['0', '']"
5430,r075,All institutions -> Florida International U.,All institutions,Florida International U.,2,74,"['7,903', '']","['8,984', '']","['9,893', '']","['11,642', '']","['0', '']","['7,623', '']","['0', '']","['3,976', '']","['43', '']"
5430,r076,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,75,"['9,400', '']","['10,937', '']","['12,491', '']","['11,446', '']","['0', '']","['8,392', '']","['0', '']","['3,054', '']","['0', '']"
5430,r077,"All institutions -> U. Massachusetts, Lowell",All institutions,"U. Massachusetts, Lowell",2,76,"['8,137', '']","['7,204', '']","['8,207', '']","['11,202', '']","['0', '']","['1,064', '']","['0', '']","['10,138', '']","['0', '']"
5430,r078,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,77,"['9,259', '']","['9,606', '']","['10,233', '']","['11,165', '']","['0', '']","['4,095', '']","['283', '']","['6,254', '']","['533', '']"
5430,r079,All institutions -> Brown U.,All institutions,Brown U.,2,78,"['11,988', '']","['12,878', '']","['14,103', '']","['11,133', '']","['0', '']","['3,416', '']","['0', '']","['3,718', '']","['3,999', '']"
5430,r080,All institutions -> Temple U.,All institutions,Temple U.,2,79,"['11,559', '']","['11,036', '']","['11,881', '']","['10,820', '']","['0', '']","['5,786', '']","['0', '']","['3,720', '']","['1,314', '']"
5430,r081,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,80,"['9,898', '']","['9,333', '']","['9,841', '']","['10,794', '']","['0', '']","['5,606', '']","['0', '']","['5,188', '']","['0', '']"
5430,r082,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,81,"['8,968', '']","['8,196', '']","['9,941', '']","['10,533', '']","['0', '']","['4,659', '']","['0', '']","['5,874', '']","['0', '']"
5430,r083,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,82,"['9,114', '']","['8,928', '']","['9,634', '']","['9,919', '']","['9,792', '']","['57', '']","['0', '']","['0', '']","['70', '']"
5430,r084,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,83,"['7,550', '']","['10,570', '']","['9,213', '']","['9,595', '']","['8,454', '']","['218', '']","['0', '']","['886', '']","['37', '']"
5430,r085,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,84,"['7,302', '']","['7,698', '']","['7,404', '']","['9,353', '']","['0', '']","['2,198', '']","['697', '']","['5,059', '']","['1,399', '']"
5430,r086,All institutions -> Jackson State U.,All institutions,Jackson State U.,2,85,"['6,563', '']","['8,265', '']","['8,463', '']","['9,305', '']","['0', '']","['7,991', '']","['0', '']","['1,314', '']","['0', '']"
5430,r087,"All institutions -> U. Texas, Dallas",All institutions,"U. Texas, Dallas",2,86,"['5,487', '']","['6,186', '']","['7,812', '']","['9,295', '']","['3,233', '']","['3,148', '']","['0', '']","['2,914', '']","['0', '']"
5430,r088,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,87,"['7,920', '']","['9,469', '']","['11,130', '']","['9,101', '']","['0', '']","['6,426', '']","['0', '']","['2,469', '']","['206', '']"
5430,r089,All institutions -> U. Oregon,All institutions,U. Oregon,2,88,"['8,894', '']","['8,467', '']","['8,572', '']","['9,034', '']","['0', '']","['3,937', '']","['271', '']","['4,826', '']","['0', '']"
5430,r090,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,89,"['7,553', '']","['9,185', '']","['9,683', '']","['8,805', '']","['0', '']","['3,040', '']","['0', '']","['5,765', '']","['0', '']"
5430,r091,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,90,"['7,789', '']","['9,103', '']","['9,827', '']","['8,746', '']","['0', '']","['2,739', '']","['0', '']","['6,007', '']","['0', '']"
5430,r092,All institutions -> U. Southern Mississippi,All institutions,U. Southern Mississippi,2,91,"['7,360', '']","['8,639', '']","['9,357', '']","['8,527', '']","['0', '']","['8,520', '']","['0', '']","['7', '']","['0', '']"
5430,r093,All institutions -> Naval Postgraduate School,All institutions,Naval Postgraduate School,2,92,"['5,649', '']","['4,641', '']","['7,594', '']","['8,513', '']","['517', '']","['234', '']","['32', '']","['6,178', '']","['1,552', '']"
5430,r094,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,93,"['7,040', '']","['7,156', '']","['7,459', '']","['8,422', '']","['0', '']","['1,807', '']","['0', '']","['6,615', '']","['0', '']"
5430,r095,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,94,"['6,908', '']","['6,750', '']","['8,044', '']","['8,354', '']","['5,873', '']","['939', '']","['0', '']","['1,542', '']","['0', '']"
5430,r096,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,95,"['6,919', '']","['6,968', '']","['6,696', '']","['8,124', '']","['0', '']","['3,515', '']","['0', '']","['4,609', '']","['0', '']"
5430,r097,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,96,"['5,510', '']","['6,607', '']","['7,922', '']","['8,114', '']","['0', '']","['0', '']","['0', '']","['8,114', '']","['0', '']"
5430,r098,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,97,"['8,502', '']","['7,140', '']","['9,706', '']","['7,993', '']","['0', '']","['2,225', '']","['0', '']","['5,768', '']","['0', '']"
5430,r099,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,98,"['7,492', '']","['9,920', '']","['10,106', '']","['7,884', '']","['0', '']","['5,324', '']","['71', '']","['2,101', '']","['388', '']"
5430,r100,All institutions -> Rochester Institute of Technology,All institutions,Rochester Institute of Technology,2,99,"['8,391', '']","['7,630', '']","['8,077', '']","['7,787', '']","['0', '']","['382', '']","['0', '']","['2,160', '']","['5,245', '']"
5430,r101,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,100,"['6,103', '']","['5,824', '']","['6,303', '']","['7,751', '']","['0', '']","['3,074', '']","['0', '']","['4,677', '']","['0', '']"
5430,r102,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,101,"['12,387', '']","['12,176', '']","['6,686', '']","['7,654', '']","['0', '']","['5,168', '']","['0', '']","['2,486', '']","['0', '']"
5430,r103,"All institutions -> SUNY, Binghamton U.",All institutions,"SUNY, Binghamton U.",2,102,"['5,842', '']","['5,684', '']","['6,111', '']","['7,642', '']","['0', '']","['5,324', '']","['0', '']","['2,318', '']","['0', '']"
5430,r104,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,103,"['4,416', '']","['4,582', '']","['5,133', '']","['7,424', '']","['0', '']","['2,661', '']","['0', '']","['4,763', '']","['0', '']"
5430,r105,All institutions -> Brandeis U.,All institutions,Brandeis U.,2,104,"['8,029', '']","['7,389', '']","['7,777', '']","['7,218', '']","['0', '']","['1,679', '']","['0', '']","['5,523', '']","['16', '']"
5430,r106,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,105,"['8,625', '']","['4,669', '']","['8,213', '']","['7,203', '']","['270', '']","['2,291', '']","['3,032', '']","['1,610', '']","['0', '']"
5430,r107,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,106,"['8,040', '']","['8,747', '']","['7,714', '']","['7,195', '']","['0', '']","['4,783', '']","['0', '']","['2,412', '']","['0', '']"
5430,r108,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,107,"['7,796', '']","['7,889', '']","['6,320', '']","['7,146', '']","['1,015', '']","['2,243', '']","['35', '']","['3,846', '']","['7', '']"
5430,r109,All institutions -> Syracuse U.,All institutions,Syracuse U.,2,108,"['7,932', '']","['7,255', '']","['9,127', '']","['7,140', '']","['0', '']","['1,370', '']","['0', '']","['5,770', '']","['0', '']"
5430,r110,All institutions -> Boston C.,All institutions,Boston C.,2,109,"['5,339', '']","['6,275', '']","['7,406', '']","['7,098', '']","['0', '']","['5,627', '']","['0', '']","['1,471', '']","['0', '']"
5430,r111,All institutions -> Xavier U. Louisiana,All institutions,Xavier U. Louisiana,2,110,"['7,956', '']","['6,697', '']","['5,797', '']","['7,077', '']","['0', '']","['7,077', '']","['0', '']","['0', '']","['0', '']"
5430,r112,"All institutions -> CUNY, City C.",All institutions,"CUNY, City C.",2,111,"['8,425', '']","['7,611', '']","['6,681', '']","['7,007', '']","['0', '']","['3,803', '']","['0', '']","['2,626', '']","['578', '']"
5430,r113,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,112,"['3,886', '']","['4,937', '']","['6,107', '']","['6,866', '']","['0', '']","['1,737', '']","['51', '']","['5,012', '']","['66', '']"
5430,r114,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,113,"['5,555', '']","['4,929', '']","['6,607', '']","['6,785', '']","['0', '']","['3,669', '']","['0', '']","['3,116', '']","['0', '']"
5430,r115,All institutions -> U. Kansas,All institutions,U. Kansas,2,114,"['10,290', '']","['6,763', '']","['7,110', '']","['6,488', '']","['555', '']","['3,664', '']","['286', '']","['1,983', '']","['0', '']"
5430,r116,All institutions -> U. Houston,All institutions,U. Houston,2,115,"['6,153', '']","['5,978', '']","['6,147', '']","['6,336', '']","['118', '']","['2,981', '']","['194', '']","['2,775', '']","['268', '']"
5430,r117,All institutions -> Clemson U.,All institutions,Clemson U.,2,116,"['6,059', '']","['6,044', '']","['6,692', '']","['6,157', '']","['0', '']","['2,337', '']","['0', '']","['3,820', '']","['0', '']"
5430,r118,All institutions -> Tufts U.,All institutions,Tufts U.,2,117,"['6,229', '']","['43,589', '']","['2,102', '']","['6,118', '']","['0', '']","['4,517', '']","['0', '']","['1,587', '']","['14', '']"
5430,r119,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,118,"['2,534', '']","['5,513', '']","['5,718', '']","['5,428', '']","['0', '']","['1,783', '']","['0', '']","['77', '']","['3,568', '']"
5430,r120,All institutions -> George Washington U.,All institutions,George Washington U.,2,119,"['4,571', '']","['4,819', '']","['5,610', '']","['5,366', '']","['0', '']","['1,769', '']","['0', '']","['3,597', '']","['0', '']"
5430,r121,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,120,"['6,535', '']","['6,653', '']","['5,648', '']","['5,306', '']","['0', '']","['2,520', '']","['0', '']","['2,114', '']","['672', '']"
