table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_domestic_r_d_,field_software_products_and_embedded_software_r_d_total_companiesb_number_,field_software_products_and_embedded_software_r_d_total_,field_software_products_and_embedded_software_r_d_total_amount,field_software_products_and_embedded_software_r_d_total_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_amount,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_
1385,r015,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,2405,5650,,1046,i ,664,i ,1045,i ,632,i ,10,,32,,,,,
1385,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,3090,77385,,2313,i ,24540,i ,2221,i ,22935,i ,257,i ,1606,,,,,
1385,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,858,31391,,462,i ,8134,i ,401,i ,8033,i ,115,i ,101,,,,,
1385,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,2232,45993,,1851,i ,16406,,1820,i ,14902,i ,142,i ,1504,,,,,
1385,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,727,4771,,449,i ,855,i ,449,i ,616,i ,25,i ,238,i ,,,1,i 
1385,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,1154,51275,,299,i ,6301,,290,i ,3903,,38,,2398,,,,,
1385,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,768,22042,,220,i ,1592,,212,i ,1456,,29,,136,i ,,,1,
1385,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,386,29234,,79,i ,4709,,78,i ,2446,i ,9,,2262,,,,,
1385,r023,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,,,,499,i ,2011,i ,487,i ,1990,i ,35,i ,21,i ,14,i ,1,
1385,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337",,,,328,i ,121,i ,327,i ,121,i ,,,0.05,,,,0.05,
1385,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",12263,124132,,7441,i ,84840,i ,7084,i ,80406,i ,978,i ,4434,i ,656,i ,1424,
1385,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,69,3296,,25,,601,,21,,524,,6,,77,,0,,0,
1385,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,34,351,,14,i ,5,,14,i ,5,,,,0.05,,0,,0,
1385,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,1652,452,i ,801,i ,106,i ,801,i ,106,i ,0,,0,,0,,0,
1385,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,2362,70748,,2143,i ,63213,i ,2135,i ,62870,i ,58,i ,343,,,,11,
1385,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,1349,33574,,1228,i ,27864,,1226,i ,27689,,40,i ,176,,4,,3,
1385,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,,,,103,,2996,i ,,,,,,,,,0,,0,
1385,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,765,11914,,704,,11233,,703,,11171,,10,,62,,,,6,
1385,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,,,,108,i ,21120,i ,,,,,,,,,,,2,
1385,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,7181,37595,,4340,i ,14185,i ,3995,i ,10174,i ,911,i ,4011,i ,629,i ,1411,
1385,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,1544,3412,,376,i ,515,i ,302,i ,231,i ,144,i ,284,i ,124,i ,209,i 
1385,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,1940,14842,,652,i ,2060,i ,490,i ,363,i ,341,i ,1698,i ,213,i ,768,
1385,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,411,4464,,35,i ,29,i ,31,i ,16,i ,10,,14,i ,4,,4,
1385,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,1529,10378,,616,i ,2031,i ,458,i ,347,i ,331,i ,1684,i ,209,i ,764,
1385,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,3697,19341,,3313,i ,11610,i ,3204,i ,9581,i ,425,i ,2029,i ,292,i ,435,
1385,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,284,848,,11,,74,i ,10,,73,i ,,,1,i ,0,,0,
1385,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81",682,10841,,107,,6655,,107,,6654,,,,2,,,,1,
1385,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,31784,374685,,13408,i ,120824,i ,12851,i ,111933,i ,1488,i ,8890,,780,i ,4481,i 
1385,r043,All companies (number of domestic employees) -> Micro companies<sup>c</sup>,All companies (number of domestic employees),Micro companies<sup>c</sup>,,,,2,,,,,,,,,,,,,,,,,,,,
1385,r044,All companies (number of domestic employees) -> Micro companies<sup>c</sup> -> 5 &#8211; 9,All companies (number of domestic employees),Micro companies<sup>c</sup>,5 &#8211; 9,,,3,–,3921,1581,i ,2018,i ,359,i ,1911,i ,246,i ,309,i ,113,i ,208,i ,71,i 
1385,r045,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,,,,,,,,,,,,
1385,r046,All companies (number of domestic employees) -> Small companies -> 10 &#8211; 19,All companies (number of domestic employees),Small companies,10 &#8211; 19,,,3,–,6757,4958,i ,3308,i ,1329,i ,3186,i ,1135,i ,314,i ,195,i ,197,i ,99,i 
1385,r047,All companies (number of domestic employees) -> Small companies -> 20 &#8211; 49,All companies (number of domestic employees),Small companies,20 &#8211; 49,,,3,–,8397,9662,i ,3454,i ,3152,i ,3306,i ,2626,i ,417,i ,526,i ,224,i ,329,
1385,r048,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,,,,,,,,,,,,
1385,r049,All companies (number of domestic employees) -> Medium companies -> 50 &#8211; 99,All companies (number of domestic employees),Medium companies,50 &#8211; 99,,,3,–,4712,9298,,1727,i ,2534,,1661,i ,2144,,166,,390,,64,i ,192,
1385,r050,All companies (number of domestic employees) -> Medium companies -> 100 &#8211; 249,All companies (number of domestic employees),Medium companies,100 &#8211; 249,,,3,–,4062,14875,,1361,i ,4273,,1306,i ,3409,,115,i ,864,,39,,251,
1385,r051,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,,,,,,,,,,,,
1385,r052,All companies (number of domestic employees) -> Large companies -> 250 &#8211; 499,All companies (number of domestic employees),Large companies,250 &#8211; 499,,,3,–,1623,13092,,586,i ,4493,,565,i ,4338,,54,i ,154,,15,i ,42,
1385,r053,All companies (number of domestic employees) -> Large companies -> 500 &#8211; 999,All companies (number of domestic employees),Large companies,500 &#8211; 999,,,3,–,868,14450,,312,,5383,,302,,5224,,29,,159,,7,,35,
1385,r054,"All companies (number of domestic employees) -> Large companies -> 1,000 &#8211; 4,999",All companies (number of domestic employees),Large companies,"1,000 &#8211; 4,999",,,3,–,959,63971,,403,,21095,,385,,20098,,42,,997,,6,,325,
1385,r055,"All companies (number of domestic employees) -> Large companies -> 5,000 &#8211; 9,999",All companies (number of domestic employees),Large companies,"5,000 &#8211; 9,999",,,3,–,235,40633,,105,,17595,i ,100,,17143,i ,14,,452,i ,5,,47,
1385,r056,"All companies (number of domestic employees) -> Large companies -> 10,000 &#8211; 24,999",All companies (number of domestic employees),Large companies,"10,000 &#8211; 24,999",,,3,–,153,65594,,82,,11982,,76,,9820,,16,,2162,i ,6,,671,
1385,r057,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,98,136571,,52,,48629,i ,52,,45751,i ,11,,2878,,9,,2421,i 
