table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_level_5,_b_field_of_study_b_hierarchy_depth,field_totala,field_male,field_female,field__female
4653,r031,"All fields -> Life sciences -> Biological and biomedical sciences -> Endocrinology, human/ animal pathology",All fields,Life sciences,Biological and biomedical sciences,"Endocrinology, human/ animal pathology",,4,78,30,48,61.5
4653,r032,All fields -> Life sciences -> Biological and biomedical sciences -> Entomology,All fields,Life sciences,Biological and biomedical sciences,Entomology,,4,124,68,56,45.2
4653,r033,All fields -> Life sciences -> Biological and biomedical sciences -> Environmental toxicology,All fields,Life sciences,Biological and biomedical sciences,Environmental toxicology,,4,58,26,32,55.2
4653,r034,All fields -> Life sciences -> Biological and biomedical sciences -> Epidemiology,All fields,Life sciences,Biological and biomedical sciences,Epidemiology,,4,357,111,246,68.9
4653,r035,All fields -> Life sciences -> Biological and biomedical sciences -> Evolutionary biology,All fields,Life sciences,Biological and biomedical sciences,Evolutionary biology,,4,207,92,115,55.6
4653,r036,"All fields -> Life sciences -> Biological and biomedical sciences -> Genetics and genomics, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Genetics and genomics, human and animal",,4,347,148,199,57.3
4653,r037,All fields -> Life sciences -> Biological and biomedical sciences -> Immunology,All fields,Life sciences,Biological and biomedical sciences,Immunology,,4,389,172,217,55.8
4653,r038,All fields -> Life sciences -> Biological and biomedical sciences -> Microbiology,All fields,Life sciences,Biological and biomedical sciences,Microbiology,,4,478,200,278,58.2
4653,r039,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular biology,All fields,Life sciences,Biological and biomedical sciences,Molecular biology,,4,579,272,307,53.0
4653,r040,All fields -> Life sciences -> Biological and biomedical sciences -> Molecular medicine,All fields,Life sciences,Biological and biomedical sciences,Molecular medicine,,4,36,13,23,63.9
4653,r041,"All fields -> Life sciences -> Biological and biomedical sciences -> Neurosciences, neurobiology",All fields,Life sciences,Biological and biomedical sciences,"Neurosciences, neurobiology",,4,974,484,490,50.3
4653,r042,All fields -> Life sciences -> Biological and biomedical sciences -> Nutrition sciences,All fields,Life sciences,Biological and biomedical sciences,Nutrition sciences,,4,205,44,161,78.5
4653,r043,"All fields -> Life sciences -> Biological and biomedical sciences -> Pharmacology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Pharmacology, human and animal",,4,208,101,107,51.4
4653,r044,"All fields -> Life sciences -> Biological and biomedical sciences -> Physiology, human and animal",All fields,Life sciences,Biological and biomedical sciences,"Physiology, human and animal",,4,151,70,81,53.6
4653,r045,All fields -> Life sciences -> Biological and biomedical sciences -> Plant genetics,All fields,Life sciences,Biological and biomedical sciences,Plant genetics,,4,61,38,23,37.7
4653,r046,All fields -> Life sciences -> Biological and biomedical sciences -> Structural biology,All fields,Life sciences,Biological and biomedical sciences,Structural biology,,4,54,33,21,38.9
4653,r047,All fields -> Life sciences -> Biological and biomedical sciences -> Toxicology,All fields,Life sciences,Biological and biomedical sciences,Toxicology,,4,63,24,39,61.9
4653,r048,"All fields -> Life sciences -> Biological and biomedical sciences -> Wildlife biology, zoology",All fields,Life sciences,Biological and biomedical sciences,"Wildlife biology, zoology",,4,76,32,44,57.9
4653,r049,"All fields -> Life sciences -> Biological and biomedical sciences -> Biological and biomedical sciences, general",All fields,Life sciences,Biological and biomedical sciences,"Biological and biomedical sciences, general",,4,649,286,363,55.9
4653,r050,"All fields -> Life sciences -> Biological and biomedical sciences -> Biotechnology, biology/ biomedical sciences-other",All fields,Life sciences,Biological and biomedical sciences,"Biotechnology, biology/ biomedical sciences-other",,4,163,74,89,54.6
4653,r051,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,,,3,2671,915,1756,65.7
4653,r052,All fields -> Life sciences -> Health sciences -> Environmental health,All fields,Life sciences,Health sciences,Environmental health,,4,83,29,54,65.1
4653,r053,All fields -> Life sciences -> Health sciences -> Health and behavior,All fields,Life sciences,Health sciences,Health and behavior,,4,62,15,47,75.8
4653,r054,All fields -> Life sciences -> Health sciences -> Health services/ systems administration,All fields,Life sciences,Health sciences,Health services/ systems administration,,4,170,56,114,67.1
4653,r055,"All fields -> Life sciences -> Health sciences -> Kinesiology, exercise science",All fields,Life sciences,Health sciences,"Kinesiology, exercise science",,4,291,162,129,44.3
4653,r056,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,81,60,21,25.9
4653,r057,All fields -> Life sciences -> Health sciences -> Nursing science,All fields,Life sciences,Health sciences,Nursing science,,4,591,73,518,87.6
4653,r058,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences,All fields,Life sciences,Health sciences,Pharmaceutical sciences,,4,382,216,166,43.5
4653,r059,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,431,113,318,73.8
4653,r060,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",,4,116,38,78,67.2
4653,r061,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,,4,125,37,88,70.4
4653,r062,"All fields -> Life sciences -> Health sciences -> Health sciences, aggregated",All fields,Life sciences,Health sciences,"Health sciences, aggregated",,4,339,116,223,65.8
4653,r063,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,,2,6247,4177,2068,33.1
4653,r064,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,,,3,2763,1669,1092,39.5
4653,r065,All fields -> Physical sciences and earth sciences -> Chemistry -> Analytical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,,4,364,187,177,48.6
4653,r066,All fields -> Physical sciences and earth sciences -> Chemistry -> Chemical biology,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,,4,135,81,54,40.0
4653,r067,All fields -> Physical sciences and earth sciences -> Chemistry -> Inorganic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,,4,327,188,139,42.5
4653,r068,All fields -> Physical sciences and earth sciences -> Chemistry -> Medicinal chemistry,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry,,4,85,52,33,38.8
4653,r069,All fields -> Physical sciences and earth sciences -> Chemistry -> Organic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,,4,535,364,171,32.0
4653,r070,All fields -> Physical sciences and earth sciences -> Chemistry -> Physical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,,4,398,260,138,34.7
4653,r071,All fields -> Physical sciences and earth sciences -> Chemistry -> Polymer chemistry,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,,4,128,84,44,34.4
4653,r072,All fields -> Physical sciences and earth sciences -> Chemistry -> Theoretical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,,4,87,64,23,26.4
4653,r073,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, general",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, general",,4,532,296,234,44.0
4653,r074,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, other",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, other",,4,172,93,79,45.9
4653,r075,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,,3,1243,737,506,40.7
4653,r076,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,,4,230,160,70,30.4
4653,r077,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric physics, meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric physics, meteorology",5,52,40,12,23.1
4653,r078,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric chemistry, atmospheric sciences-general, atmospheric sciences-other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric chemistry, atmospheric sciences-general, atmospheric sciences-other",5,178,120,58,32.6
4653,r079,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,,4,674,409,265,39.3
4653,r080,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geochemistry, mineralogy",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geochemistry, mineralogy",5,53,29,24,45.3
4653,r081,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geology,5,167,99,68,40.7
4653,r082,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geomorphology, geological sciences-general, geological sciences-other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geomorphology, geological sciences-general, geological sciences-other",5,284,159,125,44.0
4653,r083,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geophysics and seismology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geophysics and seismology,5,144,107,37,25.7
4653,r084,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Paleontology, stratigraphy",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Paleontology, stratigraphy",5,26,15,11,42.3
4653,r085,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences ",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,,4,339,168,171,50.4
4653,r086,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Marine biology and biological oceanography",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,Marine biology and biological oceanography,5,74,33,41,55.4
4653,r087,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Oceanography, chemical and physical",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Oceanography, chemical and physical",5,71,39,32,45.1
4653,r088,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Ocean/ marine sciences, aggregated",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Ocean/ marine sciences, aggregated",5,194,96,98,50.5
4653,r089,All fields -> Physical sciences and earth sciences -> Physics and astronomy ,All fields,Physical sciences and earth sciences,Physics and astronomy ,,,3,2241,1771,470,21.0
4653,r090,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics ,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,,4,305,202,103,33.8
4653,r091,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astronomy,5,116,71,45,38.8
4653,r092,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astrophysics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astrophysics,5,174,121,53,30.5
4653,r093,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astronomy and astrophysics, other",All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,"Astronomy and astrophysics, other",5,15,10,5,33.3
4653,r094,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics ,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,,4,1936,1569,367,19.0
4653,r095,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Acoustics, optics/ photonics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Acoustics, optics/ photonics",5,215,178,37,17.2
4653,r096,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Applied physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Applied physics,5,154,125,29,18.8
4653,r097,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Atomic physics, polymer physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Atomic physics, polymer physics",5,131,100,31,23.7
4653,r098,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Biophysics (physics),All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Biophysics (physics),5,126,95,31,24.6
4653,r099,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Condensed matter, low-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Condensed matter, low-temperature physics",5,376,329,47,12.5
4653,r100,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Elementary particle physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Elementary particle physics,5,198,162,36,18.2
4653,r101,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Nuclear physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Nuclear physics,5,98,78,20,20.4
4653,r102,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Plasma, high-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Plasma, high-temperature physics",5,65,59,6,9.2
4653,r103,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Physics, general",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, general",5,447,352,95,21.3
4653,r104,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Physics, other",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, other",5,126,91,35,27.8
4653,r105,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,,2,4392,3297,1095,24.9
4653,r106,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,,,3,2361,1859,502,21.3
4653,r107,All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer science,All fields,Mathematics and computer sciences,Computer and information sciences,Computer science,,4,1952,1571,381,19.5
4653,r108,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Information science, systems",All fields,Mathematics and computer sciences,Computer and information sciences,"Information science, systems",,4,148,97,51,34.5
4653,r109,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, general",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",,4,151,107,44,29.1
4653,r110,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, other",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",,4,110,84,26,23.6
4653,r111,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,,,3,2031,1438,593,29.2
4653,r112,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Algebra,All fields,Mathematics and computer sciences,Mathematics and statistics ,Algebra,,4,57,46,11,19.3
4653,r113,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Analysis and functional analysis,All fields,Mathematics and computer sciences,Mathematics and statistics ,Analysis and functional analysis,,4,57,48,9,15.8
4653,r114,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Applied mathematics, computing theory",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Applied mathematics, computing theory",,4,424,298,126,29.7
4653,r115,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Computational mathematics,All fields,Mathematics and computer sciences,Mathematics and statistics ,Computational mathematics,,4,98,74,24,24.5
4653,r116,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Geometry, geometric analysis",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Geometry, geometric analysis",,4,66,49,17,25.8
4653,r117,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Logic, topology/ foundations",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Logic, topology/ foundations",,4,44,36,8,18.2
4653,r118,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Number theory,All fields,Mathematics and computer sciences,Mathematics and statistics ,Number theory,,4,51,37,14,27.5
4653,r119,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Operations research, mathematics/ statistics-general, mathematics/ statistics-other",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Operations research, mathematics/ statistics-general, mathematics/ statistics-other",,4,830,595,235,28.3
4653,r120,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Statistics (mathematics),All fields,Mathematics and computer sciences,Mathematics and statistics ,Statistics (mathematics),,4,404,255,149,36.9
4653,r121,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,,2,8946,3588,5358,59.9
4653,r122,All fields -> Psychology and social sciences -> Psychology ,All fields,Psychology and social sciences,Psychology ,,,3,3879,1082,2797,72.1
4653,r123,All fields -> Psychology and social sciences -> Psychology  -> Behavioral analysis,All fields,Psychology and social sciences,Psychology ,Behavioral analysis,,4,47,12,35,74.5
4653,r124,All fields -> Psychology and social sciences -> Psychology  -> Clinical psychology,All fields,Psychology and social sciences,Psychology ,Clinical psychology,,4,1282,286,996,77.7
4653,r125,All fields -> Psychology and social sciences -> Psychology  -> Cognitive neuroscience,All fields,Psychology and social sciences,Psychology ,Cognitive neuroscience,,4,198,99,99,50.0
4653,r126,All fields -> Psychology and social sciences -> Psychology  -> Cognitive psychology and psycholinguistics,All fields,Psychology and social sciences,Psychology ,Cognitive psychology and psycholinguistics,,4,112,41,71,63.4
4653,r127,All fields -> Psychology and social sciences -> Psychology  -> Community psychology,All fields,Psychology and social sciences,Psychology ,Community psychology,,4,42,9,33,78.6
4653,r128,All fields -> Psychology and social sciences -> Psychology  -> Counseling,All fields,Psychology and social sciences,Psychology ,Counseling,,4,277,75,202,72.9
4653,r129,All fields -> Psychology and social sciences -> Psychology  -> Developmental and child psychology,All fields,Psychology and social sciences,Psychology ,Developmental and child psychology,,4,161,20,141,87.6
4653,r130,All fields -> Psychology and social sciences -> Psychology  -> Educational psychology (psychology),All fields,Psychology and social sciences,Psychology ,Educational psychology (psychology),,4,94,20,74,78.7
4653,r131,All fields -> Psychology and social sciences -> Psychology  -> Experimental psychology,All fields,Psychology and social sciences,Psychology ,Experimental psychology,,4,142,60,82,57.7
4653,r132,"All fields -> Psychology and social sciences -> Psychology  -> Family psychology, human development and family studies",All fields,Psychology and social sciences,Psychology ,"Family psychology, human development and family studies",,4,166,33,133,80.1
4653,r133,"All fields -> Psychology and social sciences -> Psychology  -> Health, medical psychology",All fields,Psychology and social sciences,Psychology ,"Health, medical psychology",,4,73,21,52,71.2
4653,r134,All fields -> Psychology and social sciences -> Psychology  -> Industrial and organizational psychology,All fields,Psychology and social sciences,Psychology ,Industrial and organizational psychology,,4,213,89,124,58.2
4653,r135,"All fields -> Psychology and social sciences -> Psychology  -> Marriage and family therapy, counseling",All fields,Psychology and social sciences,Psychology ,"Marriage and family therapy, counseling",,4,91,25,66,72.5
4653,r136,"All fields -> Psychology and social sciences -> Psychology  -> Neuropsychology, physiological psychology",All fields,Psychology and social sciences,Psychology ,"Neuropsychology, physiological psychology",,4,29,12,17,58.6
4653,r137,All fields -> Psychology and social sciences -> Psychology  -> School psychology (psychology),All fields,Psychology and social sciences,Psychology ,School psychology (psychology),,4,144,21,123,85.4
4653,r138,All fields -> Psychology and social sciences -> Psychology  -> Social psychology,All fields,Psychology and social sciences,Psychology ,Social psychology,,4,190,67,123,64.7
4653,r139,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, general",All fields,Psychology and social sciences,Psychology ,"Psychology, general",,4,302,103,199,65.9
4653,r140,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, aggregated",All fields,Psychology and social sciences,Psychology ,"Psychology, aggregated",,4,316,89,227,71.8
4653,r141,All fields -> Psychology and social sciences -> Social sciences ,All fields,Psychology and social sciences,Social sciences ,,,3,5067,2506,2561,50.5
4653,r142,All fields -> Psychology and social sciences -> Social sciences  -> Anthropology ,All fields,Psychology and social sciences,Social sciences ,Anthropology ,,4,448,145,303,67.6
4653,r143,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, cultural",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, cultural",5,248,82,166,66.9
4653,r144,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, general",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, general",5,101,37,64,63.4
