table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
7766,r027,All degrees -> Master's -> Non-S&E occupations,All degrees,Master's,Non-S&E occupations,,3,9699000,5918000,3781000,973000,45000,808000,965000,23000,6677000,208000,8587000,1112000
7766,r028,All degrees -> Doctorate,All degrees,Doctorate,,,2,2141000,887000,1254000,149000,6000,438000,143000,S,1377000,27000,1934000,207000
7766,r029,All degrees -> Doctorate -> S&E occupations,All degrees,Doctorate,S&E occupations,,3,962000,343000,619000,59000,1000,259000,28000,,603000,13000,883000,79000
7766,r030,"All degrees -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",4,291000,118000,173000,20000,,89000,9000,,168000,S,270000,21000
7766,r031,All degrees -> Doctorate -> S&E occupations -> Computer and mathematical scientists,All degrees,Doctorate,S&E occupations,Computer and mathematical scientists,4,185000,51000,134000,7000,,76000,3000,,96000,2000,172000,13000
7766,r032,All degrees -> Doctorate -> S&E occupations -> Physical and related scientists,All degrees,Doctorate,S&E occupations,Physical and related scientists,4,125000,30000,95000,5000,,28000,3000,,87000,1000,115000,10000
7766,r033,All degrees -> Doctorate -> S&E occupations -> Social and related scientists,All degrees,Doctorate,S&E occupations,Social and related scientists,4,221000,120000,101000,15000,1000,16000,11000,,173000,4000,195000,27000
7766,r034,All degrees -> Doctorate -> S&E occupations -> Engineers,All degrees,Doctorate,S&E occupations,Engineers,4,141000,25000,116000,11000,,49000,2000,,77000,2000,132000,8000
7766,r035,All degrees -> Doctorate -> S&E-related occupations,All degrees,Doctorate,S&E-related occupations,,3,374000,197000,177000,23000,,84000,24000,,237000,4000,345000,29000
7766,r036,All degrees -> Doctorate -> Non-S&E occupations,All degrees,Doctorate,Non-S&E occupations,,3,805000,347000,458000,67000,3000,96000,91000,S,537000,11000,706000,99000
7766,r037,All degrees -> Professional,All degrees,Professional,,,2,3246000,1466000,1781000,324000,S,327000,219000,S,2305000,61000,2907000,340000
7766,r038,All degrees -> Professional -> S&E occupations,All degrees,Professional,S&E occupations,,3,82000,42000,41000,12000,,17000,2000,,50000,1000,71000,11000
7766,r039,"All degrees -> Professional -> S&E occupations -> Biological, agricultural, and other life scientists",All degrees,Professional,S&E occupations,"Biological, agricultural, and other life scientists",4,20000,9000,11000,2000,,9000,,,9000,,18000,1000
7766,r040,All degrees -> Professional -> S&E occupations -> Computer and mathematical scientists,All degrees,Professional,S&E occupations,Computer and mathematical scientists,4,22000,6000,15000,,,S,,,17000,,21000,
7766,r041,All degrees -> Professional -> S&E occupations -> Physical and related scientists,All degrees,Professional,S&E occupations,Physical and related scientists,4,1000,,S,,,,,,S,,S,
7766,r042,All degrees -> Professional -> S&E occupations -> Social and related scientists,All degrees,Professional,S&E occupations,Social and related scientists,4,38000,27000,12000,S,,4000,2000,,22000,,29000,S
7766,r043,All degrees -> Professional -> S&E occupations -> Engineers,All degrees,Professional,S&E occupations,Engineers,4,S,,S,,,,,,,,S,
7766,r044,All degrees -> Professional -> S&E-related occupations,All degrees,Professional,S&E-related occupations,,3,1538000,674000,865000,140000,,220000,112000,,1027000,31000,1429000,110000
7766,r045,All degrees -> Professional -> Non-S&E occupations,All degrees,Professional,Non-S&E occupations,,3,1626000,750000,876000,171000,S,89000,106000,S,1228000,30000,1407000,219000
