table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
5586,r088,All sexes -> Female -> Non-S&E occupations -> Somewhat satisfied,All sexes,Female,Non-S&E occupations,Somewhat satisfied,,4,8907000,73000,4566000,369000,2005000,1894000
5586,r089,All sexes -> Female -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Female,Non-S&E occupations,Somewhat dissatisfied,,4,1446000,S,857000,71000,182000,325000
5586,r090,All sexes -> Female -> Non-S&E occupations -> Very dissatisfied,All sexes,Female,Non-S&E occupations,Very dissatisfied,,4,557000,,293000,6000,84000,173000
5586,r091,All sexes -> Male,All sexes,Male,,,,2,24183000,1950000,10874000,2139000,1931000,7289000
5586,r092,All sexes -> Male -> Very satisfied,All sexes,Male,Very satisfied,,,3,11132000,870000,4967000,1007000,920000,3368000
5586,r093,All sexes -> Male -> Somewhat satisfied,All sexes,Male,Somewhat satisfied,,,3,10545000,911000,4784000,890000,846000,3114000
5586,r094,All sexes -> Male -> Somewhat dissatisfied,All sexes,Male,Somewhat dissatisfied,,,3,1962000,142000,855000,220000,144000,601000
5586,r095,All sexes -> Male -> Very dissatisfied,All sexes,Male,Very dissatisfied,,,3,544000,28000,268000,21000,22000,206000
5586,r096,All sexes -> Male -> S&E occupations,All sexes,Male,S&E occupations,,,3,5274000,1605000,1150000,1111000,214000,1195000
5586,r097,All sexes -> Male -> S&E occupations -> Very satisfied,All sexes,Male,S&E occupations,Very satisfied,,4,2419000,738000,516000,508000,103000,554000
5586,r098,All sexes -> Male -> S&E occupations -> Somewhat satisfied,All sexes,Male,S&E occupations,Somewhat satisfied,,4,2384000,738000,525000,501000,93000,527000
5586,r099,All sexes -> Male -> S&E occupations -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Somewhat dissatisfied,,4,389000,114000,83000,91000,14000,88000
5586,r100,All sexes -> Male -> S&E occupations -> Very dissatisfied,All sexes,Male,S&E occupations,Very dissatisfied,,4,81000,15000,26000,12000,3000,26000
5586,r101,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,361000,7000,49000,221000,29000,55000
5586,r102,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,5,153000,S,21000,90000,14000,26000
5586,r103,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,5,167000,3000,24000,107000,15000,19000
5586,r104,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,5,32000,,3000,22000,,6000
5586,r105,"All sexes -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,Male,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,5,8000,,S,2000,,
5586,r106,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists,All sexes,Male,S&E occupations,Computer and mathematical scientists,,4,2799000,1485000,517000,333000,63000,402000
5586,r107,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very satisfied,5,1263000,681000,233000,149000,24000,176000
5586,r108,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat satisfied,5,1280000,686000,225000,153000,34000,183000
5586,r109,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Somewhat dissatisfied,5,215000,105000,43000,27000,4000,36000
5586,r110,All sexes -> Male -> S&E occupations -> Computer and mathematical scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Computer and mathematical scientists,Very dissatisfied,5,41000,13000,16000,5000,,7000
5586,r111,All sexes -> Male -> S&E occupations -> Physical and related scientists,All sexes,Male,S&E occupations,Physical and related scientists,,4,267000,9000,47000,134000,30000,46000
5586,r112,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very satisfied,5,123000,4000,20000,61000,14000,23000
5586,r113,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat satisfied,5,118000,4000,23000,59000,12000,19000
5586,r114,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Somewhat dissatisfied,5,21000,,S,13000,3000,3000
5586,r115,All sexes -> Male -> S&E occupations -> Physical and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Physical and related scientists,Very dissatisfied,5,5000,,S,0.05,,S
5586,r116,All sexes -> Male -> S&E occupations -> Social and related scientists,All sexes,Male,S&E occupations,Social and related scientists,,4,235000,5000,29000,83000,61000,57000
5586,r117,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very satisfied,All sexes,Male,S&E occupations,Social and related scientists,Very satisfied,5,139000,4000,21000,41000,39000,33000
5586,r118,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat satisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat satisfied,5,84000,S,8000,37000,17000,22000
5586,r119,All sexes -> Male -> S&E occupations -> Social and related scientists -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Somewhat dissatisfied,5,11000,,0.05,5000,5000,1000
5586,r120,All sexes -> Male -> S&E occupations -> Social and related scientists -> Very dissatisfied,All sexes,Male,S&E occupations,Social and related scientists,Very dissatisfied,5,S,,,,,
5586,r121,All sexes -> Male -> S&E occupations -> Engineers,All sexes,Male,S&E occupations,Engineers,,4,1612000,99000,508000,340000,30000,635000
5586,r122,All sexes -> Male -> S&E occupations -> Engineers -> Very satisfied,All sexes,Male,S&E occupations,Engineers,Very satisfied,5,742000,46000,220000,167000,12000,295000
5586,r123,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat satisfied,All sexes,Male,S&E occupations,Engineers,Somewhat satisfied,5,734000,44000,245000,145000,16000,284000
5586,r124,All sexes -> Male -> S&E occupations -> Engineers -> Somewhat dissatisfied,All sexes,Male,S&E occupations,Engineers,Somewhat dissatisfied,5,110000,7000,35000,24000,S,42000
5586,r125,All sexes -> Male -> S&E occupations -> Engineers -> Very dissatisfied,All sexes,Male,S&E occupations,Engineers,Very dissatisfied,5,25000,S,7000,4000,,13000
5586,r126,All sexes -> Male -> S&E-related occupations,All sexes,Male,S&E-related occupations,,,3,3785000,171000,893000,257000,429000,2035000
5586,r127,All sexes -> Male -> S&E-related occupations -> Very satisfied,All sexes,Male,S&E-related occupations,Very satisfied,,4,1818000,58000,423000,122000,181000,1034000
5586,r128,All sexes -> Male -> S&E-related occupations -> Somewhat satisfied,All sexes,Male,S&E-related occupations,Somewhat satisfied,,4,1591000,87000,395000,94000,220000,795000
5586,r129,All sexes -> Male -> S&E-related occupations -> Somewhat dissatisfied,All sexes,Male,S&E-related occupations,Somewhat dissatisfied,,4,314000,16000,66000,S,24000,174000
5586,r130,All sexes -> Male -> S&E-related occupations -> Very dissatisfied,All sexes,Male,S&E-related occupations,Very dissatisfied,,4,62000,S,10000,6000,5000,32000
5586,r131,All sexes -> Male -> Non-S&E occupations,All sexes,Male,Non-S&E occupations,,,3,15125000,175000,8831000,771000,1288000,4060000
5586,r132,All sexes -> Male -> Non-S&E occupations -> Very satisfied,All sexes,Male,Non-S&E occupations,Very satisfied,,4,6895000,74000,4028000,376000,636000,1781000
5586,r133,All sexes -> Male -> Non-S&E occupations -> Somewhat satisfied,All sexes,Male,Non-S&E occupations,Somewhat satisfied,,4,6570000,86000,3864000,296000,532000,1791000
5586,r134,All sexes -> Male -> Non-S&E occupations -> Somewhat dissatisfied,All sexes,Male,Non-S&E occupations,Somewhat dissatisfied,,4,1259000,12000,706000,94000,106000,340000
5586,r135,All sexes -> Male -> Non-S&E occupations -> Very dissatisfied,All sexes,Male,Non-S&E occupations,Very dissatisfied,,4,401000,S,233000,4000,14000,147000
