table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_paid_for_by_the_company_total,field_paid_for_by_the_company_r_d_performed_by_others_purchased_and_collaborative_r_d_,field_paid_for_by_the_company_r_d_performed_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_r_d_performed_by_others_subcontracted_passed_through_r_d_costs_,field_paid_for_by_others_r_d_performed_by_the_company_total,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_the_u_s_government,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_non_u_s_government_sources
6590,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['21,530', '']","['342', '']","['21,188', '']","['210 - 213', '']","['10 - 13', '']","['201', '']","['31 - 161', '']","['40 - 170', '']"
6590,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,010', '']","['124', '']","['4,886', '']","['378', '']","['1', '']","['377', '']","['27', '']","['349', '']"
6590,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['35,560', '']","['4,055', '']","['31,505', '']","['14,897', 'i']","['1,027', 'i']","['13,870', 'i']","['9,652', 'i']","['4,218', 'i']"
6590,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['24,254', '']","['3,371', '']","['20,883', '']","['3,398', 'i']","['165', '']","['3,233', 'i']","['38 - 481', '']","['2,753 - 3,195', 'i']"
6590,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['9,532', '']","['632', '']","['8,900', '']","['10,317', 'i']","['859', 'i']","['9,458', 'i']","['8,454', 'i']","['1,005', '']"
6590,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['8,855', '']","['514', '']","['8,341', '']","['9,409', 'i']","['859', 'i']","['8,550', 'i']","['7,558', 'i']","['992', '']"
6590,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['677', '']","['118', '']","['559', '']","['908', '']","['0', '']","['908', '']","['896', '']","['13', '']"
6590,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['25', '']","['0', '']","['25', '']","['10', '']","['0', '']","['10', '']","['0 - 11', '']","['0 - 11', '']"
6590,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,749', '']","['51', '']","['1,697', '']","['1,171', '']","['3', '']","['1,168', '']","['706 - 1,160', '']","['9 - 461', '']"
6590,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['430', '']","['23', '']","['407', '']","['2', '']","['*', '']","['2', '']","['0 - 3', 'i']","['0 - 2', 'i']"
6590,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['19,059 - 19,153', '']","['708 - 800', '']","['18,352', '']","['277 - 284', '']","['33 - 40', '']","['244', '']","['36 - 48', '']","['195 - 208', '']"
6590,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['16,520', '']","['708', '']","['15,812', '']","['235', '']","['33', '']","['202', '']","['25', '']","['177', '']"
6590,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,539 - 2,632', '']","['0 - 92', '']","['2,540', '']","['42 - 48', '']","['0 - 7', '']","['42', '']","['11 - 24', '']","['18 - 32', '']"
6590,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['184,509', '']","['3,651', '']","['180,858', '']","['28,092', '']","['1,667', '']","['26,425', '']","['5,918', '']","['20,507', '']"
6590,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['2,657', '']","['123', '']","['2,535', '']","['183', '']","['*', '']","['183', '']","['1', '']","['181', '']"
6590,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['408', '']","['171', '']","['237', '']","['49', '']","['11', '']","['38', '']","['27 - 34', '']","['4 - 11', '']"
6590,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,151', '']","['47', '']","['1,104', '']","['90', '']","['3', '']","['87', '']","['0', '']","['87', 'i']"
6590,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3,212 - 15,901', 'i']","['125', 'i']","['3,088 - 15,775', 'i']","['43 - 61', '']","['0', '']","['43 - 61', '']","['0 - 8', 'i']","['35 - 61', '']"
6590,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['9,547', 'i']","['43', '']","['9,504', 'i']","['386', '']","['0', '']","['386', '']","['2', '']","['384', '']"
6590,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['111,123', '']","['2,061', '']","['109,062', '']","['1,236', '']","['72', '']","['1,165', '']","['185', '']","['980', '']"
6590,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,448', '']","['1,001', '']","['32,447', '']","['616', '']","['44', '']","['572', '']","['57', '']","['515', '']"
6590,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['64', '']","['4', '']","['61', '']","['*', '']","['0', '']","['*', '']","['*', 'i']","['*', 'i']"
6590,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['33,384', '']","['998', '']","['32,386', '']","['616', '']","['44', '']","['572', '']","['57', '']","['515', '']"
6590,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['4,116', '']","['416', '']","['3,700', '']","['34', '']","['2', '']","['33', '']","['4', 'i']","['29', '']"
6590,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['30,403', '']","['249', '']","['30,154', '']","['424', '']","['20', '']","['404', '']","['116', '']","['288', '']"
6590,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['43,156', '']","['395', '']","['42,761', '']","['161', '']","['6', '']","['155', '']","['8', 'i']","['148', '']"
6590,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['9,208', '']","['319', '']","['8,890', '']","['28', '']","['0', '']","['28', '']","['0', '']","['28', '']"
6590,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,378', '']","['7', '']","['1,371', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6590,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['45', '']","['*', '']","['45', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6590,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1,333', '']","['7', '']","['1,326', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6590,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['29,734', '']","['603', '']","['29,131', '']","['25,681', '']","['1,579', '']","['24,103', '']","['5,685', '']","['18,418', '']"
6590,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['2,382', '']","['95', '']","['2,288', '']","['2,289', '']","['370', '']","['1,919', '']","['1,214', '']","['705', '']"
6590,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['18,524', '']","['128', '']","['18,395', '']","['2,697', '']","['46', '']","['2,651', '']","['454', '']","['2,197', '']"
6590,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,581', '']","['316', '']","['3,265', '']","['19,484', '']","['1,081', '']","['18,403', '']","['3,343', '']","['15,060', 'i']"
6590,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['1,201', '']","['118', '']","['1,083', '']","['5,491', '']","['118', '']","['5,374', '']","['108', '']","['5,266', '']"
6590,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['2,353', '']","['198', '']","['2,155', '']","['13,132', 'i']","['841', '']","['12,291', 'i']","['2,571', '']","['9,720', 'i']"
6590,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['27', '']","['*', '']","['27', '']","['860', '']","['122', '']","['738', '']","['664', '']","['74', '']"
6590,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['5,247', '']","['64', '']","['5,182', '']","['1,211', '']","['82', '']","['1,129', '']","['674', '']","['455', '']"
6590,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['1,994', '']","['66', '']","['1,928', '']","['341', '']","['4', '']","['337', '']","['2', '']","['335', '']"
6590,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,407 - 14,098', '']","['86', '']","['1,322 - 14,012', '']","['34 - 58', '']","['0', '']","['34 - 58', '']","['9 - 19', '']","['19 - 49', '']"
6590,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['466,504', '']","['37,537', '']","['428,968', '']","['72,331', '']","['8,342', '']","['63,989', '']","['21,941', '']","['42,048', '']"
6590,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6590,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['4,946', '']","['514', '']","['4,432', '']","['1,212', '']","['143', '']","['1,070', '']","['502', '']","['568', 'i']"
6590,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['11,254', '']","['1,214', '']","['10,040', '']","['2,731', '']","['353', '']","['2,378', '']","['811', '']","['1,567', '']"
6590,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6590,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['13,668', '']","['2,176', '']","['11,492', '']","['2,901', '']","['372', '']","['2,529', '']","['697', '']","['1,832', '']"
6590,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['18,432', '']","['1,912', '']","['16,520', '']","['3,621', '']","['348', '']","['3,274', '']","['988', '']","['2,285', '']"
6590,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6590,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['17,075', '']","['1,719', '']","['15,356', '']","['3,929', '']","['402', '']","['3,527', '']","['1,393', '']","['2,133', '']"
6590,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['23,667', '']","['2,118', '']","['21,549', '']","['2,613', '']","['193', '']","['2,420', '']","['248', 'i']","['2,171', '']"
6590,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['68,986', '']","['4,512', '']","['64,475', '']","['13,418', '']","['2,221', '']","['11,196', '']","['1,710', '']","['9,487', '']"
6590,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['50,362', '']","['5,634', '']","['44,728', '']","['6,642', '']","['559', '']","['6,083', '']","['977', '']","['5,106', 'i']"
6590,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['83,235', '']","['8,850', '']","['74,385', '']","['16,025', '']","['2,147', '']","['13,878', 'i']","['1,717', 'i']","['12,161', '']"
6590,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['174,879', '']","['8,888', '']","['165,991', '']","['19,239', '']","['1,604', '']","['17,635', '']","['12,897', 'i']","['    4,738 ', '']"
