table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2018_all_companies,field_2018_1_4_employees,field_2018_5_9_employees,field_2019_all_companies,field_2019_1_4_employees,field_2019_5_9_employees,field_2020_all_companies,field_2020_1_4_employees,field_2020_5_9_employees
7890,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    32,931 ', '&nbsp;']","['    24,803 ', 'r']","['    8,128 ', '&nbsp;']","['    85,721 ', '&nbsp;']","['    53,201 ', '&nbsp;']","['    32,520 ', '&nbsp;']","['96,675', '&nbsp;']","['32,181', '&nbsp;']","['64,495', '&nbsp;']"
7890,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    6,397 ', '&nbsp;']","['    3,340 ', '&nbsp;']","['    3,057 ', 'r']","['23,004', '&nbsp;']","['18,051', '&nbsp;']","['4,953', '&nbsp;']"
7890,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    5,500 ', 'r']","['D', '&nbsp;']","['D', '&nbsp;']","['    12,945 ', 'r']","['    216 ', '&nbsp;']","['    12,729 ', 'r']","['133', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']"
7890,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    2,568 ', 'r']","['    2,568 ', 'r']","['    0 ', '&nbsp;']","['9,299', 'r']","['9,299', 'r']","['0', '&nbsp;']"
7890,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    2,929 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    20,594 ', 'r']","['    9,950 ', 'r']","['    10,644 ', 'r']","['59,474', 'r']","['387', '&nbsp;']","['59,087', 'r']"
7890,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    51,732 ', '&nbsp;']","['    21,535 ', 'r']","['    30,197 ', 'r']","['    33,020 ', '&nbsp;']","['    23,556 ', '&nbsp;']","['    9,464 ', '&nbsp;']","['94,664', '&nbsp;']","['37,612', 'r']","['57,052', '&nbsp;']"
7890,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    349,148 ', '&nbsp;']","['    101,257 ', '&nbsp;']","['    247,891 ', '&nbsp;']","['    279,725 ', '&nbsp;']","['    146,657 ', '&nbsp;']","['    133,068 ', '&nbsp;']","['237,090', '&nbsp;']","['101,714', '&nbsp;']","['135,376', '&nbsp;']"
7890,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    71,181 ', '&nbsp;']","['    19,253 ', '&nbsp;']","['    51,928 ', '&nbsp;']","['    44,841 ', '&nbsp;']","['    26,337 ', '&nbsp;']","['    18,504 ', '&nbsp;']","['40,558', '&nbsp;']","['24,002', '&nbsp;']","['16,556', '&nbsp;']"
7890,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    226,247 ', '&nbsp;']","['    63,345 ', '&nbsp;']","['    162,902 ', '&nbsp;']","['    205,358 ', '&nbsp;']","['    115,084 ', '&nbsp;']","['    90,274 ', '&nbsp;']","['175,504', '&nbsp;']","['67,481', '&nbsp;']","['108,022', '&nbsp;']"
7890,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    51,720 ', '&nbsp;']","['    18,660 ', '&nbsp;']","['    33,060 ', '&nbsp;']","['    29,526 ', '&nbsp;']","['    5,235 ', '&nbsp;']","['    24,291 ', '&nbsp;']","['21,029', '&nbsp;']","['10,231', '&nbsp;']","['10,798', '&nbsp;']"
7890,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    32,218 ', '&nbsp;']","['    13,087 ', '&nbsp;']","['    19,131 ', 'r']","['    11,053 ', '&nbsp;']","['    6,214 ', 'r']","['    4,839 ', '&nbsp;']","['32,026', 'r']","['27,642', 'r']","['4,383', '&nbsp;']"
7890,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    14,537 ', '&nbsp;']","['    6,596 ', '&nbsp;']","['    7,940 ', '&nbsp;']","['    31,730 ', '&nbsp;']","['    24,976 ', '&nbsp;']","['    6,754 ', '&nbsp;']","['40,780', '&nbsp;']","['12,035', '&nbsp;']","['28,745', '&nbsp;']"
7890,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    11,210 ', '&nbsp;']","['    4,183 ', '&nbsp;']","['    7,027 ', '&nbsp;']","['    15,341 ', '&nbsp;']","['    10,107 ', '&nbsp;']","['    5,234 ', '&nbsp;']","['21,446', '&nbsp;']","['11,007', '&nbsp;']","['10,439', '&nbsp;']"
7890,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    16,389 ', 'r']","['    14,869 ', 'r']","['    1,520 ', '&nbsp;']","['19,333', 'r']","['1,028', '&nbsp;']","['18,305', 'r']"
7890,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['124', '&nbsp;']","['0', '&nbsp;']","['124', '&nbsp;']"
7890,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    91,811 ', '&nbsp;']","['    74,866 ', '&nbsp;']","['    16,944 ', '&nbsp;']","['    134,291 ', '&nbsp;']","['    27,680 ', '&nbsp;']","['    106,611 ', 'r']","['104,028', '&nbsp;']","['39,257', '&nbsp;']","['64,770', 'r']"
7890,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    5,764,924 ', '&nbsp;']","['    2,360,889 ', '&nbsp;']","['    3,404,035 ', '&nbsp;']","['    6,356,651 ', '&nbsp;']","['    2,801,417 ', '&nbsp;']","['    3,555,234 ', '&nbsp;']","['6,700,152', '&nbsp;']","['3,264,059', '&nbsp;']","['3,436,093', '&nbsp;']"
7890,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    232,405 ', '&nbsp;']","['    91,329 ', '&nbsp;']","['    141,077 ', '&nbsp;']","['    407,798 ', 'r']","['    105,771 ', '&nbsp;']","['    302,027 ', 'r']","['517,963', '&nbsp;']","['188,633', '&nbsp;']","['329,331', 'r']"
7890,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    660,724 ', '&nbsp;']","['    249,646 ', '&nbsp;']","['    411,078 ', '&nbsp;']","['    708,356 ', '&nbsp;']","['    314,081 ', '&nbsp;']","['    394,274 ', '&nbsp;']","['829,283', '&nbsp;']","['373,836', '&nbsp;']","['455,448', '&nbsp;']"
7890,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    497,414 ', '&nbsp;']","['    193,662 ', '&nbsp;']","['    303,751 ', '&nbsp;']","['    396,626 ', '&nbsp;']","['    204,864 ', '&nbsp;']","['    191,763 ', '&nbsp;']","['571,286', '&nbsp;']","['242,501', '&nbsp;']","['328,785', '&nbsp;']"
7890,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['    163,311 ', '&nbsp;']","['    55,983 ', '&nbsp;']","['    107,327 ', '&nbsp;']","['    311,729 ', '&nbsp;']","['    109,218 ', '&nbsp;']","['    202,512 ', '&nbsp;']","['257,998', '&nbsp;']","['131,335', '&nbsp;']","['126,663', '&nbsp;']"
7890,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    488,940 ', '&nbsp;']","['    270,447 ', '&nbsp;']","['    218,493 ', '&nbsp;']","['    507,138 ', '&nbsp;']","['    303,242 ', '&nbsp;']","['    203,896 ', '&nbsp;']","['628,231', '&nbsp;']","['286,122', '&nbsp;']","['342,109', '&nbsp;']"
7890,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    1,311,905 ', '&nbsp;']","['    566,128 ', '&nbsp;']","['    745,776 ', '&nbsp;']","['    1,848,169 ', '&nbsp;']","['    910,750 ', '&nbsp;']","['    937,419 ', '&nbsp;']","['1,473,927', '&nbsp;']","['879,174', '&nbsp;']","['594,753', '&nbsp;']"
7890,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    3,070,951 ', '&nbsp;']","['    1,183,340 ', '&nbsp;']","['    1,887,611 ', '&nbsp;']","['    2,885,189 ', '&nbsp;']","['    1,167,572 ', '&nbsp;']","['    1,717,617 ', '&nbsp;']","['3,250,748', '&nbsp;']","['1,536,295', '&nbsp;']","['1,714,453', '&nbsp;']"
7890,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    351,183 ', '&nbsp;']","['    150,936 ', '&nbsp;']","['    200,247 ', '&nbsp;']","['    208,661 ', '&nbsp;']","['    96,558 ', '&nbsp;']","['    112,103 ', '&nbsp;']","['196,107', '&nbsp;']","['91,949', '&nbsp;']","['104,158', '&nbsp;']"
7890,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['    1,481,240 ', '&nbsp;']","['    512,808 ', '&nbsp;']","['    968,432 ', '&nbsp;']","['    1,174,781 ', '&nbsp;']","['    496,750 ', '&nbsp;']","['    678,031 ', '&nbsp;']","['1,548,115', '&nbsp;']","['757,706', '&nbsp;']","['790,409', '&nbsp;']"
7890,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['    1,201,469 ', '&nbsp;']","['    513,868 ', '&nbsp;']","['    687,601 ', '&nbsp;']","['    1,462,437 ', '&nbsp;']","['    560,499 ', '&nbsp;']","['    901,937 ', '&nbsp;']","['1,479,130', '&nbsp;']","['677,617', '&nbsp;']","['801,514', '&nbsp;']"
7890,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['    14,839 ', '&nbsp;']","['    2,864 ', '&nbsp;']","['    11,976 ', '&nbsp;']","['    37,089 ', '&nbsp;']","['    11,543 ', '&nbsp;']","['    25,546 ', '&nbsp;']","['27,396', '&nbsp;']","['9,023', '&nbsp;']","['18,373', '&nbsp;']"
