table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_the_company_and_others,field_depreciation,field_capital_expenditures_related_to_r_d,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8778,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,360', '']","['167', '']","['358', '']","['2,551', '']","['191', '&nbsp;']","['8.1', '&nbsp;']"
8778,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,172', '']","['73', '']","['225', '']","['1,324', '']","['152', 'i']","['13.0', '&nbsp;']"
8778,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,822 - 1,846', '']","['104 - 133', '']","['57', '']","['1,761 - 1,784', '']","['-76 - -62', '&nbsp;']","['D', '&nbsp;']"
8778,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['87,619', '']","['3,451', '']","['4,476', '']","['88,644', '']","['1,025', '&nbsp;']","['1.2', '&nbsp;']"
8778,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,760', '']","['97', '']","['170', '']","['2,833', '']","['73', '&nbsp;']","['2.6', '&nbsp;']"
8778,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,305 - 1,333', '']","['42 - 71', '']","['347', 'i']","['1,601 - 1,623', 'i']","['296 - 306', 'i']","['D', '&nbsp;']"
8778,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,856', '']","['85', '']","['393', '']","['3,164', '']","['309', '&nbsp;']","['10.8', '&nbsp;']"
8778,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,508', 'i']","['61', 'i']","['69', '']","['1,516', 'i']","['8', 'i']","['0.5', '&nbsp;']"
8778,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['665', '']","['27', '']","['89', '']","['727', '']","['62', '&nbsp;']","['9.4', '&nbsp;']"
8778,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,885', '']","['47', '']","['204', '']","['3,043', '']","['158', '&nbsp;']","['5.5', '&nbsp;']"
8778,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['15,184', '']","['605', '']","['953', '']","['15,532', '']","['348', '&nbsp;']","['2.3', '&nbsp;']"
8778,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,921', '']","['35', '']","['58', '']","['1,944', '']","['23', '&nbsp;']","['1.2', '&nbsp;']"
8778,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,459', '']","['351', '']","['419', '']","['4,526', '']","['68', '&nbsp;']","['1.5', '&nbsp;']"
8778,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,301', '']","['50', '']","['85', '']","['1,336', '']","['35', '&nbsp;']","['2.7', '&nbsp;']"
8778,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,503', '']","['168', '']","['391', '']","['7,726', '']","['223', '&nbsp;']","['3.0', '&nbsp;']"
8778,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['86,729', '']","['5,366', '']","['5,765', '']","['87,128', '']","['399', 'i']","['0.5', '&nbsp;']"
8778,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['12,595', '']","['574', '']","['780', '']","['12,802', '']","['207', '&nbsp;']","['1.6', '&nbsp;']"
8778,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['35,183', 'i']","['2,784', 'i']","['2,698', 'i']","['35,096', 'i']","['-87', 'i']","['-0.2', '&nbsp;']"
8778,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['17,562', '']","['333', '']","['899', '']","['18,128', '']","['566', 'i']","['3.2', '&nbsp;']"
8778,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,342', '']","['73', '']","['222', 'i']","['3,492', 'i']","['150', 'i']","['4.5', '&nbsp;']"
8778,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['9,662', '']","['162', '']","['448', 'i']","['9,949', '']","['286', 'i']","['3.0', '&nbsp;']"
8778,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['4,558', '']","['98', '']","['228', '']","['4,688', '']","['130', '&nbsp;']","['2.8', '&nbsp;']"
8778,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['21,388', '']","['1,675', '']","['1,388', '']","['21,101', '']","['-287', '&nbsp;']","['-1.3', '&nbsp;']"
8778,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,263', '']","['135', '']","['477', '']","['5,605', '']","['342', '&nbsp;']","['6.5', '&nbsp;']"
8778,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['45,375', '']","['1,153', '']","['2,066', '']","['46,287', 'i']","['913', '&nbsp;']","['2.0', '&nbsp;']"
8778,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['24,117', '']","['967', '']","['1,454', '']","['24,604', '']","['488', '&nbsp;']","['2.0', '&nbsp;']"
8778,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['18,358', 'i']","['139 - 165', '']","['486 - 495', '']","['18,706 - 18,710', 'i']","['349 - 352', '&nbsp;']","['D', '&nbsp;']"
8778,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['16,891', 'i']","['133', '']","['438', '']","['17,195', 'i']","['305', '&nbsp;']","['1.8', '&nbsp;']"
8778,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,467', '']","['6 - 32', '']","['48 - 57', '']","['1,511 - 1,514', '']","['44 - 46', '&nbsp;']","['D', '&nbsp;']"
8778,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['35', '']","['*', '']","['1', '']","['35', '']","['*', '&nbsp;']","['0.8', '&nbsp;']"
8778,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,865', '']","['22 - 48', 'i']","['117 - 127', 'i']","['2,936 - 2,943', 'i']","['71 - 77', 'i']","['D', '&nbsp;']"
8778,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['409', '']","['8', '']","['48', '']","['449', '']","['40', '&nbsp;']","['9.9', '&nbsp;']"
8778,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['18,596', '']","['666 - 674', '']","['1,089', '']","['19,015 - 19,020', '']","['420 - 423', '&nbsp;']","['D', '&nbsp;']"
8778,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['16,014', '']","['623', '']","['954', '']","['16,345', '']","['332', 'i']","['2.1', '&nbsp;']"
8778,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,582', '']","['43 - 52', '']","['135', '']","['2,670 - 2,674', '']","['88 - 92', '&nbsp;']","['D', '&nbsp;']"
8778,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['207,283', '']","['6,442', '']","['11,432', '']","['212,273', '']","['4,990', '&nbsp;']","['2.4', '&nbsp;']"
8778,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['2,717', '']","['92', '']","['441', '']","['3,066', '']","['349', 'i']","['12.8', '&nbsp;']"
8778,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['275', '']","['0 - 100', '']","['210', 'i']","['387 - 494', '']","['112 - 219', 'i']","['D', '&nbsp;']"
8778,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,191', '']","['18', '']","['66 - 155', 'i']","['1,239 - 1,330', 'i']","['48 - 139', 'i']","['D', '&nbsp;']"
8778,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3,131 - 15,818', 'i']","['0 - 793', 'i']","['77 - 89', 'i']","['1,871 - 15,762', 'i']","['1,260 - -55', 'i']","['D', '&nbsp;']"
8778,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['9,890', 'i']","['71', 'i']","['495', '']","['10,314', 'i']","['423', 'i']","['4.3', '&nbsp;']"
8778,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['110,227', '']","['3,099', '']","['5,270', '']","['112,398', '']","['2,171', '&nbsp;']","['2.0', '&nbsp;']"
8778,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,019', '']","['382', '']","['1,166', '']","['33,803', '']","['784', '&nbsp;']","['2.4', '&nbsp;']"
8778,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['61', '']","['*', '']","['1', '']","['62', '']","['1', '&nbsp;']","['1.7', '&nbsp;']"
8778,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['32,958', '']","['382', '']","['1,165', '']","['33,741', '']","['783', '&nbsp;']","['2.4', '&nbsp;']"
8778,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,733', '']","['33', '']","['241', 'i']","['3,941', 'i']","['208', 'i']","['5.6', '&nbsp;']"
8778,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['30,558', '']","['492', '']","['2,260', '']","['32,325', '']","['1,767', '&nbsp;']","['5.8', '&nbsp;']"
8778,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['42,917', '']","['2,191', '']","['1,603', '']","['42,328', '']","['-588', '&nbsp;']","['-1.4', '&nbsp;']"
8778,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['8,917', '']","['534', 'i']","['1,548', 'i']","['9,931', 'i']","['1,014', 'i']","['11.4', '&nbsp;']"
8778,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,371', '']","['2 - 258', '']","['5 - 78', '']","['1,380', '']","['9', '&nbsp;']","['0.7', '&nbsp;']"
8778,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['45', '']","['3', '']","['*', '']","['42', '']","['-3', '&nbsp;']","['-6.4', '&nbsp;']"
8778,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1,326', '']","['0 - 255', '']","['5 - 78', '']","['1,338', '']","['12', '&nbsp;']","['0.9', '&nbsp;']"
8778,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['53,233', '']","['1,801', '']","['2,371', '']","['53,804', '']","['571', '&nbsp;']","['1.1', '&nbsp;']"
8778,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['4,207', '']","['21', '']","['153', '']","['4,338', '']","['131', '&nbsp;']","['3.1', '&nbsp;']"
8778,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['21,046', '']","['722', '']","['935', '']","['21,260', '']","['213', '&nbsp;']","['1.0', '&nbsp;']"
8778,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['21,669', '']","['838', 'i']","['944', '']","['21,774', '']","['106', 'i']","['0.5', '&nbsp;']"
8778,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['6,457', '']","['181', '']","['228', 'i']","['6,503', '']","['46', '&nbsp;']","['0.7', '&nbsp;']"
8778,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['14,446', 'i']","['641', 'i']","['707', '']","['14,512', 'i']","['65', 'i']","['0.5', '&nbsp;']"
8778,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['766', '']","['15', '']","['9', '']","['759', '']","['-6', '&nbsp;']","['-0.8', '&nbsp;']"
8778,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['6,312', '']","['220', '']","['340', '']","['6,432', '']","['120', '&nbsp;']","['1.9', '&nbsp;']"
8778,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,265', '']","['35', '']","['385', 'i']","['2,616', '']","['351', 'i']","['15.5', '&nbsp;']"
8778,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,380 - 14,067', '']","['0 - 794', '']","['480', '']","['1,380 - 15,265', 'i']","['0 - 1,201', '&nbsp;']","['D', '&nbsp;']"
8778,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['492,956', '']","['18,861', '']","['29,106', '']","['503,201', '']","['10,245', '&nbsp;']","['2.1', '&nbsp;']"
8778,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '&nbsp;']","['&nbsp;', '&nbsp;']"
8778,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['5,501', '']","['113', '']","['610', '']","['5,999', '']","['498', '&nbsp;']","['9.0', '&nbsp;']"
8778,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['12,418', '']","['221', '']","['1,086', '']","['13,283', '']","['864', '&nbsp;']","['7.0', '&nbsp;']"
8778,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '&nbsp;']","['&nbsp;', '&nbsp;']"
8778,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['14,021', '']","['270', '']","['958', '']","['14,709', '']","['688', '&nbsp;']","['4.9', '&nbsp;']"
8778,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['19,793', '']","['466', '']","['1,492', '']","['20,819', '']","['1,025', '&nbsp;']","['5.2', '&nbsp;']"
8778,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '&nbsp;']","['&nbsp;', '&nbsp;']"
8778,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['18,883', '']","['413', '']","['1,502', '']","['19,972', '']","['1,089', '&nbsp;']","['5.8', '&nbsp;']"
8778,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['23,969', '']","['739', '']","['1,612', '']","['24,842', '']","['874', '&nbsp;']","['3.6', '&nbsp;']"
8778,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['75,671', '']","['2,745', '']","['5,382', '']","['78,308', '']","['2,637', '&nbsp;']","['3.5', '&nbsp;']"
8778,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['50,811', '']","['2,268', '']","['3,100', '']","['51,642', '']","['832', '&nbsp;']","['1.6', '&nbsp;']"
8778,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['88,263', '']","['4,058', '']","['4,606', '']","['88,811', 'i']","['548', 'i']","['0.6', '&nbsp;']"
8778,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['183,626', '']","['7,567', '']","['8,758', '']","['184,817', '']","['1,191', '&nbsp;']","['0.6', '&nbsp;']"
