table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companies_number_a,field_domestic_r_d_amount,field_health_or_medical_companies_number_b,field_health_or_medical_amount,field_defense_companies_number_b,field_defense_amount,field_agriculture_companies_number_b,field_agriculture_amount
738,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337",3388,"['3,962', '&nbsp;']","['741', 'i']","['98', '&nbsp;']","['355', 'i']","['40', '&nbsp;']","['89', 'i']","['80', '&nbsp;']"
738,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",23846,"['100,885', '&nbsp;']","['4,452', 'i']","['7,099', '&nbsp;']","['2,007', 'i']","['1,996', 'i']","['630', 'i']","['461', 'i']"
738,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,321,"['3,393', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']"
738,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,72,"['446', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']"
738,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,5668,"['1,684', 'i']","['679', 'i']","['84', 'i']","['285', 'i']","['131', 'i']","['238', 'i']","['39', 'i']"
738,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,3309,"['64,578', '&nbsp;']","['437', 'i']","['2,186', '&nbsp;']","['188', 'i']","['896', '&nbsp;']","['33', '&nbsp;']","['59', '&nbsp;']"
738,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,1385,"['32,598', '&nbsp;']","['D', ' ']","['1,916', '&nbsp;']","['146', 'i']","['771', '&nbsp;']","['16', 'i']","['29', '&nbsp;']"
738,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,445,"['3,537', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['14', '&nbsp;']","['42', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']"
738,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,1147,"['9,314', '&nbsp;']","['143', 'i']","['269', '&nbsp;']","['29', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
738,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,331,"['19,129', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', ' ']","['D', '&nbsp;']"
738,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,12423,"['21,915', '&nbsp;']","['2,968', 'i']","['4,353', 'i']","['1,467', 'i']","['938', 'i']","['341', 'i']","['322', 'i']"
738,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,2515,"['2,247', 'i']","['425', 'i']","['42', 'i']","['405', 'i']","['63', 'i']","['63', 'i']","['21', 'i']"
738,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,1871,"['3,896', '&nbsp;']","['1,391', 'i']","['2,505', 'i']","['580', 'i']","['321', 'i']","['261', 'i']","['270', 'i']"
738,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,502,"['1,536', 'i']","['541', 'i']","['1,380', 'i']","['51', 'i']","['28', 'i']","['47', 'i']","['123', 'i']"
738,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,1369,"['2,360', '&nbsp;']","['851', 'i']","['1,125', 'i']","['529', 'i']","['293', 'i']","['214', 'i']","['147', 'i']"
738,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,8037,"['15,771', '&nbsp;']","['1,151', 'i']","['1,806', '&nbsp;']","['482', 'i']","['554', 'i']","['16', '&nbsp;']","['31', '&nbsp;']"
738,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,669,"['460', '&nbsp;']","['311', 'i']","['411', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
738,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81",1387,"['8,409', '&nbsp;']","['54', 'i']","['63', '&nbsp;']","['D', ' ']","['29', '&nbsp;']","['14', '&nbsp;']","['38', '&nbsp;']"
738,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,48789,"['296,677', '&nbsp;']","['10,533', 'i']","['71,474', '&nbsp;']","['4,926', 'i']","['9,857', '&nbsp;']","['2,393', 'i']","['6,040', '&nbsp;']"
738,r043,All companies (number of domestic employees) -> Micro companies<sup>c</sup>,All companies (number of domestic employees),Micro companies<sup>c</sup>,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
738,r044,All companies (number of domestic employees) -> Micro companies<sup>c</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>c</sup>,5&#8211;9,,,3,–,10152,"['1,972', 'i']","['1,978', 'i']","['631', 'i']","['964', 'i']","['71', 'i']","['312', 'i']","['62', 'i']"
738,r045,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
738,r046,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,11768,"['4,434', 'i']","['2,650', 'i']","['1,442', 'i']","['1,166', 'i']","['128', 'i']","['519', 'i']","['100', 'i']"
738,r047,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,12421,"['7,933', 'i']","['2,607', 'i']","['2,735', '&nbsp;']","['1,291', 'i']","['395', 'i']","['535', 'i']","['214', 'i']"
738,r048,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
738,r049,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,6246,"['8,803', '&nbsp;']","['1,463', 'i']","['2,820', '&nbsp;']","['651', 'i']","['315', '&nbsp;']","['330', 'i']","['205', 'i']"
738,r050,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,4119,"['11,037', '&nbsp;']","['932', 'i']","['3,609', '&nbsp;']","['413', 'i']","['340', '&nbsp;']","['333', 'i']","['224', 'i']"
738,r051,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
738,r052,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,1760,"['11,368', '&nbsp;']","['377', 'i']","['2,895', '&nbsp;']","['169', 'i']","['176', '&nbsp;']","['148', 'i']","['205', '&nbsp;']"
738,r053,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,912,"['13,194', '&nbsp;']","['209', '&nbsp;']","['2,956', '&nbsp;']","['97', '&nbsp;']","['330', '&nbsp;']","['72', 'i']","['178', '&nbsp;']"
738,r054,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,963,"['48,264', '&nbsp;']","['202', '&nbsp;']","['10,240', '&nbsp;']","['112', '&nbsp;']","['1,299', 'i']","['97', 'i']","['508', '&nbsp;']"
738,r055,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,199,"['34,660', '&nbsp;']","['48', '&nbsp;']","['8,016', '&nbsp;']","['26', '&nbsp;']","['921', '&nbsp;']","['24', 'i']","['345', '&nbsp;']"
738,r056,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,149,"['48,450', '&nbsp;']","['39', '&nbsp;']","['22,108', '&nbsp;']","['23', '&nbsp;']","['1,959', '&nbsp;']","['14', 'i']","['1,952', '&nbsp;']"
738,r057,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,100,"['106,562', '&nbsp;']","['28', '&nbsp;']","['14,022', '&nbsp;']","['15', '&nbsp;']","['3,922', '&nbsp;']","['10', 'i']","['2,047', '&nbsp;']"
