table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb
9944,r013,United States<sup>c</sup> -> Alaska -> Energy Authority,United States<sup>c</sup>,Alaska,Energy Authority,3,231152,0,231152,0
9944,r014,"United States<sup>c</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>c</sup>,Alaska,"Environmental Conservation, Department of ",3,534187,59405,474782,0
9944,r015,United States<sup>c</sup> -> Alaska -> Housing Finance Corporation,United States<sup>c</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0
9944,r016,"United States<sup>c</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>c</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9216400,9216400,0,0
9944,r017,United States<sup>c</sup> -> Alaska -> Railroad Corporation,United States<sup>c</sup>,Alaska,Railroad Corporation,3,3636619,1868960,1767659,0
9944,r018,"United States<sup>c</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>c</sup>,Alaska,"Transportation and Public Facilities, Department of",3,3038870,455580,2583290,0
9944,r019,United States<sup>c</sup> -> Arizona,United States<sup>c</sup>,Arizona,,2,7946421,2039798,5906623,0
9944,r020,"United States<sup>c</sup> -> Arizona -> Agriculture, Department of",United States<sup>c</sup>,Arizona,"Agriculture, Department of",3,1412034,0,1412034,0
9944,r021,United States<sup>c</sup> -> Arizona -> Game and Fish Department,United States<sup>c</sup>,Arizona,Game and Fish Department,3,1039447,950977,88470,0
9944,r022,"United States<sup>c</sup> -> Arizona -> Health Services, Department of",United States<sup>c</sup>,Arizona,"Health Services, Department of",3,3518749,0,3518749,0
9944,r023,"United States<sup>c</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>c</sup>,Arizona,"Juvenile Corrections, Department of ",3,561258,561258,0,0
9944,r024,"United States<sup>c</sup> -> Arizona -> Transportation, Department of",United States<sup>c</sup>,Arizona,"Transportation, Department of",3,1414933,527563,887370,0
9944,r025,United States<sup>c</sup> -> Arkansas,United States<sup>c</sup>,Arkansas,,2,9759708,220653,9539055,0
9944,r026,United States<sup>c</sup> -> Arkansas -> Beef Council,United States<sup>c</sup>,Arkansas,Beef Council,3,50605,0,50605,0
9944,r027,United States<sup>c</sup> -> Arkansas -> Corn and Grain Sorghum Promotion Board,United States<sup>c</sup>,Arkansas,Corn and Grain Sorghum Promotion Board,3,984233,0,984233,0
9944,r028,United States<sup>c</sup> -> Arkansas -> Economic Development Commission,United States<sup>c</sup>,Arkansas,Economic Development Commission,3,1675000,0,1675000,0
9944,r029,United States<sup>c</sup> -> Arkansas -> Game and Fish Commission,United States<sup>c</sup>,Arkansas,Game and Fish Commission,3,1159178,0,1159178,0
9944,r030,"United States<sup>c</sup> -> Arkansas -> Midwest Dairy Association, Arkansas Division",United States<sup>c</sup>,Arkansas,"Midwest Dairy Association, Arkansas Division",3,10386,0,10386,0
9944,r031,United States<sup>c</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>c</sup>,Arkansas,Natural Heritage Commission,3,160921,154039,6882,0
9944,r032,United States<sup>c</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>c</sup>,Arkansas,Rice Research and Promotion Board,3,2396257,0,2396257,0
9944,r033,United States<sup>c</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>c</sup>,Arkansas,Soybean Promotion Board,3,2207956,0,2207956,0
9944,r034,"United States<sup>c</sup> -> Arkansas -> Transportation, Department of",United States<sup>c</sup>,Arkansas,"Transportation, Department of",3,1079240,66614,1012626,0
9944,r035,United States<sup>c</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>c</sup>,Arkansas,Wheat Promotion Board,3,35932,0,35932,0
9944,r036,United States<sup>c</sup> -> California,United States<sup>c</sup>,California,,2,490081806,87712398,402369408,5700000
9944,r037,United States<sup>c</sup> -> California -> Air Resources Board,United States<sup>c</sup>,California,Air Resources Board,3,17251207,10750232,6500975,0
9944,r038,United States<sup>c</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>c</sup>,California,Children and Families Commission (First 5 California),3,7739521,482323,7257198,0
9944,r039,"United States<sup>c</sup> -> California -> Conservation, Department of",United States<sup>c</sup>,California,"Conservation, Department of",3,1259204,838198,421006,0
9944,r040,"United States<sup>c</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>c</sup>,California,"Corrections and Rehabilitation, Department of",3,2301034,0,2301034,0
9944,r041,United States<sup>c</sup> -> California -> Covered California,United States<sup>c</sup>,California,Covered California,3,3799165,0,3799165,0
9944,r042,United States<sup>c</sup> -> California -> Dairy Council,United States<sup>c</sup>,California,Dairy Council,3,50373,0,50373,0
9944,r043,United States<sup>c</sup> -> California -> Delta Stewardship Council,United States<sup>c</sup>,California,Delta Stewardship Council,3,5201966,0,5201966,0
9944,r044,United States<sup>c</sup> -> California -> Earthquake Authority,United States<sup>c</sup>,California,Earthquake Authority,3,539832,537832,2000,0
9944,r045,United States<sup>c</sup> -> California -> Energy Commission,United States<sup>c</sup>,California,Energy Commission,3,130400000,19700000,110700000,0
9944,r046,"United States<sup>c</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>c</sup>,California,"Environmental Health Hazard Assessment, Office of",3,19844985,18649950,1195035,0
9944,r047,"United States<sup>c</sup> -> California -> Food and Agriculture, Department of",United States<sup>c</sup>,California,"Food and Agriculture, Department of",3,5012081,0,5012081,0
9944,r048,"United States<sup>c</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>c</sup>,California,"Forestry and Fire Protection, Department of",3,21200000,2500000,18700000,0
9944,r049,United States<sup>c</sup> -> California -> Horse Racing Board,United States<sup>c</sup>,California,Horse Racing Board,3,710513,0,710513,0
9944,r050,"United States<sup>c</sup> -> California -> Housing and Community Development, Department of",United States<sup>c</sup>,California,"Housing and Community Development, Department of",3,500000,500000,0,0
9944,r051,United States<sup>c</sup> -> California -> Institute for Regenerative Medicine,United States<sup>c</sup>,California,Institute for Regenerative Medicine,3,122808196,0,122808196,0
9944,r052,United States<sup>c</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>c</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,2500000,0,0
9944,r053,"United States<sup>c</sup> -> California -> Motor Vehicles, Department of",United States<sup>c</sup>,California,"Motor Vehicles, Department of",3,1776392,1761138,15254,0
9944,r054,"United States<sup>c</sup> -> California -> Parks And Recreation, Department of",United States<sup>c</sup>,California,"Parks And Recreation, Department of",3,1515260,0,1515260,0
9944,r055,"United States<sup>c</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>c</sup>,California,"Pesticide Regulation, Department of ",3,14058135,10955679,3102456,0
9944,r056,"United States<sup>c</sup> -> California -> Public Health, Department of",United States<sup>c</sup>,California,"Public Health, Department of",3,6155476,442500,5712976,0
9944,r057,"United States<sup>c</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>c</sup>,California,"Public Utilities Commission, Executive Division",3,61374566,0,61374566,0
9944,r058,"United States<sup>c</sup> -> California -> Rehabilitation, Department of ",United States<sup>c</sup>,California,"Rehabilitation, Department of ",3,1619410,812759,806651,0
9944,r059,United States<sup>c</sup> -> California -> State Coastal Conservancy,United States<sup>c</sup>,California,State Coastal Conservancy,3,942260,0,942260,0
9944,r060,United States<sup>c</sup> -> California -> State Water Resources Control Board,United States<sup>c</sup>,California,State Water Resources Control Board,3,8564983,740800,7824183,0
9944,r061,"United States<sup>c</sup> -> California -> Toxic Substances Control, Department of",United States<sup>c</sup>,California,"Toxic Substances Control, Department of",3,645987,645987,0,0
9944,r062,"United States<sup>c</sup> -> California -> Transportation, Department of",United States<sup>c</sup>,California,"Transportation, Department of",3,39260000,15795000,23465000,0
9944,r063,"United States<sup>c</sup> -> California -> Water Resources, Department of",United States<sup>c</sup>,California,"Water Resources, Department of",3,13051260,100000,12951260,5700000
9944,r064,United States<sup>c</sup> -> Colorado,United States<sup>c</sup>,Colorado,,2,38058349,9393492,28664857,0
9944,r065,"United States<sup>c</sup> -> Colorado -> Agriculture, Department of",United States<sup>c</sup>,Colorado,"Agriculture, Department of",3,581906,353700,228206,0
9944,r066,"United States<sup>c</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>c</sup>,Colorado,"Economic Development and International Trade, Office of",3,20576916,0,20576916,0
9944,r067,"United States<sup>c</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>c</sup>,Colorado,"Higher Education Competitive, Research Authority",3,1443141,0,1443141,0
9944,r068,"United States<sup>c</sup> -> Colorado -> Higher Education, Department of ",United States<sup>c</sup>,Colorado,"Higher Education, Department of ",3,2425000,0,2425000,0
9944,r069,"United States<sup>c</sup> -> Colorado -> Natural Resources, Department of",United States<sup>c</sup>,Colorado,"Natural Resources, Department of",3,5062623,5031147,31476,0
9944,r070,"United States<sup>c</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>c</sup>,Colorado,"Public Health and Environment, Department of",3,3363873,2575872,788001,0
9944,r071,"United States<sup>c</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>c</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,985007,742007,243000,0
9944,r072,"United States<sup>c</sup> -> Colorado -> Transportation, Department of",United States<sup>c</sup>,Colorado,"Transportation, Department of",3,3390841,690766,2700075,0
9944,r073,United States<sup>c</sup> -> Colorado -> Wine Industry Development Board,United States<sup>c</sup>,Colorado,Wine Industry Development Board,3,229042,0,229042,0
9944,r074,United States<sup>c</sup> -> Connecticut,United States<sup>c</sup>,Connecticut,,2,60578799,28200758,32378041,0
9944,r075,United States<sup>c</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>c</sup>,Connecticut,Agricultural Experiment Station,3,13756272,13756272,0,0
9944,r076,"United States<sup>c</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>c</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7320822,6524227,796595,0
9944,r077,United States<sup>c</sup> -> Connecticut -> Innovation Inc.,United States<sup>c</sup>,Connecticut,Innovation Inc.,3,28919435,0,28919435,0
9944,r078,"United States<sup>c</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>c</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,7217443,7217443,0,0
9944,r079,"United States<sup>c</sup> -> Connecticut -> Public Health, Department of",United States<sup>c</sup>,Connecticut,"Public Health, Department of",3,1780,0,1780,0
9944,r080,"United States<sup>c</sup> -> Connecticut -> Social Services, Department of",United States<sup>c</sup>,Connecticut,"Social Services, Department of",3,391305,391305,0,0
9944,r081,"United States<sup>c</sup> -> Connecticut -> Transportation, Department of",United States<sup>c</sup>,Connecticut,"Transportation, Department of",3,2971742,311511,2660231,0
9944,r082,United States<sup>c</sup> -> Delaware,United States<sup>c</sup>,Delaware,,2,3446375,1568167,1878208,0
9944,r083,United States<sup>c</sup> -> Delaware -> Geological Survey,United States<sup>c</sup>,Delaware,Geological Survey,3,1618967,1568167,50800,0
9944,r084,"United States<sup>c</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>c</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,646147,0,646147,0
9944,r085,United States<sup>c</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>c</sup>,Delaware,Sustainable Energy Utility,3,10495,0,10495,0
9944,r086,"United States<sup>c</sup> -> Delaware -> Transportation, Department of",United States<sup>c</sup>,Delaware,"Transportation, Department of",3,1170766,0,1170766,0
9944,r087,United States<sup>c</sup> -> District of Columbia,United States<sup>c</sup>,District of Columbia,,2,10560754,4320240,6240514,0
9944,r088,"United States<sup>c</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>c</sup>,District of Columbia,"Energy and Environment, Department of",3,476600,0,476600,0
9944,r089,"United States<sup>c</sup> -> District of Columbia -> Health, Department of",United States<sup>c</sup>,District of Columbia,"Health, Department of",3,8244141,3194604,5049537,0
9944,r090,"United States<sup>c</sup> -> District of Columbia -> Transportation, Department of",United States<sup>c</sup>,District of Columbia,"Transportation, Department of",3,340013,125636,214377,0
9944,r091,United States<sup>c</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>c</sup>,District of Columbia,Water and Sewer Authority,3,1500000,1000000,500000,0
9944,r092,United States<sup>c</sup> -> Florida,United States<sup>c</sup>,Florida,,2,180145644,51395556,128750088,2163105
9944,r093,"United States<sup>c</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>c</sup>,Florida,"Agriculture and Consumer Services, Department of",3,18305424,927308,17378116,0
9944,r094,"United States<sup>c</sup> -> Florida -> Citrus, Department of",United States<sup>c</sup>,Florida,"Citrus, Department of",3,850364,115111,735253,0
9944,r095,"United States<sup>c</sup> -> Florida -> Environmental Protection, Department of",United States<sup>c</sup>,Florida,"Environmental Protection, Department of",3,68838,0,68838,0
9944,r096,United States<sup>c</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>c</sup>,Florida,Fish and Wildlife Conservation Commission,3,55428229,49103851,6324378,2034470
9944,r097,United States<sup>c</sup> -> Florida -> Gaming Control Commission,United States<sup>c</sup>,Florida,Gaming Control Commission,3,100000,0,100000,0
9944,r098,"United States<sup>c</sup> -> Florida -> Health, Department of",United States<sup>c</sup>,Florida,"Health, Department of",3,91360963,0,91360963,0
9944,r099,United States<sup>c</sup> -> Florida -> Space Florida,United States<sup>c</sup>,Florida,Space Florida,3,1305000,0,1305000,0
9944,r100,"United States<sup>c</sup> -> Florida -> Transportation, Department of",United States<sup>c</sup>,Florida,"Transportation, Department of",3,12726826,1249286,11477540,128635
9944,r101,United States<sup>c</sup> -> Georgia,United States<sup>c</sup>,Georgia,,2,24988379,2884258,22104121,0
9944,r102,"United States<sup>c</sup> -> Georgia -> Natural Resources, Department of",United States<sup>c</sup>,Georgia,"Natural Resources, Department of",3,1452630,127945,1324685,0
9944,r103,United States<sup>c</sup> -> Georgia -> Southern States Energy Board,United States<sup>c</sup>,Georgia,Southern States Energy Board,3,19326825,2756313,16570512,0
9944,r104,"United States<sup>c</sup> -> Georgia -> Transportation, Department of",United States<sup>c</sup>,Georgia,"Transportation, Department of",3,4208924,0,4208924,0
9944,r105,United States<sup>c</sup> -> Hawaii,United States<sup>c</sup>,Hawaii,,2,6337851,201790,6136061,5750000
9944,r106,"United States<sup>c</sup> -> Hawaii -> Agriculture, Department of",United States<sup>c</sup>,Hawaii,"Agriculture, Department of",3,1098423,199748,898675,0
9944,r107,"United States<sup>c</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>c</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2022042,2042,2020000,0
9944,r108,"United States<sup>c</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>c</sup>,Hawaii,"Land and Natural Resources, Department of",3,424000,0,424000,0
9944,r109,United States<sup>c</sup> -> Hawaii -> Natural Energy Laboratory of Hawaii Authority,United States<sup>c</sup>,Hawaii,Natural Energy Laboratory of Hawaii Authority,3,0,0,0,5750000
9944,r110,"United States<sup>c</sup> -> Hawaii -> Transportation, Department of",United States<sup>c</sup>,Hawaii,"Transportation, Department of",3,2793386,0,2793386,0
9944,r111,United States<sup>c</sup> -> Idaho,United States<sup>c</sup>,Idaho,,2,20444262,7278248,13166014,0
9944,r112,"United States<sup>c</sup> -> Idaho -> Agriculture, Department of",United States<sup>c</sup>,Idaho,"Agriculture, Department of",3,1623399,0,1623399,0
9944,r113,United States<sup>c</sup> -> Idaho -> Barley Commission,United States<sup>c</sup>,Idaho,Barley Commission,3,367497,0,367497,0
9944,r114,United States<sup>c</sup> -> Idaho -> Bean Commission,United States<sup>c</sup>,Idaho,Bean Commission,3,33833,0,33833,0
9944,r115,United States<sup>c</sup> -> Idaho -> Beef Council,United States<sup>c</sup>,Idaho,Beef Council,3,211642,0,211642,0
9944,r116,"United States<sup>c</sup> -> Idaho -> Commerce, Department of ",United States<sup>c</sup>,Idaho,"Commerce, Department of ",3,1289693,0,1289693,0
9944,r117,United States<sup>c</sup> -> Idaho -> Dairy West,United States<sup>c</sup>,Idaho,Dairy West,3,2999460,0,2999460,0
9944,r118,"United States<sup>c</sup> -> Idaho -> Fish and Game, Department of",United States<sup>c</sup>,Idaho,"Fish and Game, Department of",3,9041798,7151744,1890054,0
9944,r119,United States<sup>c</sup> -> Idaho -> Oilseed Commission,United States<sup>c</sup>,Idaho,Oilseed Commission,3,72645,0,72645,0
9944,r120,United States<sup>c</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>c</sup>,Idaho,Pea and Lentil Commission,3,177697,0,177697,0
9944,r121,United States<sup>c</sup> -> Idaho -> Potato Commission,United States<sup>c</sup>,Idaho,Potato Commission,3,878871,0,878871,0
9944,r122,United States<sup>c</sup> -> Idaho -> Transportation Department,United States<sup>c</sup>,Idaho,Transportation Department,3,2467766,126504,2341262,0
9944,r123,United States<sup>c</sup> -> Idaho -> Wheat Commission,United States<sup>c</sup>,Idaho,Wheat Commission,3,1279961,0,1279961,0
9944,r124,United States<sup>c</sup> -> Illinois,United States<sup>c</sup>,Illinois,,2,16463839,554067,15909772,0
9944,r125,"United States<sup>c</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>c</sup>,Illinois,"Children and Family Services, Department of",3,2347655,0,2347655,0
9944,r126,"United States<sup>c</sup> -> Illinois -> Midwest Dairy Association, Illinois Division",United States<sup>c</sup>,Illinois,"Midwest Dairy Association, Illinois Division",3,20772,0,20772,0
9944,r127,United States<sup>c</sup> -> Illinois -> Nutrient Research and Education Council,United States<sup>c</sup>,Illinois,Nutrient Research and Education Council,3,3912499,0,3912499,0
9944,r128,"United States<sup>c</sup> -> Illinois -> Public Health, Department of",United States<sup>c</sup>,Illinois,"Public Health, Department of",3,400000,0,400000,0
9944,r129,"United States<sup>c</sup> -> Illinois -> Transportation, Department of",United States<sup>c</sup>,Illinois,"Transportation, Department of",3,9782913,554067,9228846,0
9944,r130,United States<sup>c</sup> -> Indiana,United States<sup>c</sup>,Indiana,,2,12104856,660237,11444619,0
9944,r131,United States<sup>c</sup> -> Indiana -> Economic Development Corporation,United States<sup>c</sup>,Indiana,Economic Development Corporation,3,3399111,0,3399111,0
9944,r132,"United States<sup>c</sup> -> Indiana -> Natural Resources, Department of",United States<sup>c</sup>,Indiana,"Natural Resources, Department of",3,852281,586968,265313,0
9944,r133,"United States<sup>c</sup> -> Indiana -> Transportation, Department of",United States<sup>c</sup>,Indiana,"Transportation, Department of",3,7853464,73269,7780195,0
9944,r134,United States<sup>c</sup> -> Iowa,United States<sup>c</sup>,Iowa,,2,10636720,2912086,7724634,0
9944,r135,United States<sup>c</sup> -> Iowa -> Beef Industry Council,United States<sup>c</sup>,Iowa,Beef Industry Council,3,60218,0,60218,0
9944,r136,"United States<sup>c</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>c</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,626038,626038,0,0
9944,r137,"United States<sup>c</sup> -> Iowa -> Midwest Dairy Association, Iowa Division",United States<sup>c</sup>,Iowa,"Midwest Dairy Association, Iowa Division",3,119439,0,119439,0
9944,r138,"United States<sup>c</sup> -> Iowa -> Natural Resources, Department of",United States<sup>c</sup>,Iowa,"Natural Resources, Department of",3,3688099,2286048,1402051,0
9944,r139,"United States<sup>c</sup> -> Iowa -> Transportation, Department of",United States<sup>c</sup>,Iowa,"Transportation, Department of",3,6142926,0,6142926,0
9944,r140,United States<sup>c</sup> -> Kansas,United States<sup>c</sup>,Kansas,,2,17633236,1500273,16132963,0
9944,r141,United States<sup>c</sup> -> Kansas -> Corn Commission,United States<sup>c</sup>,Kansas,Corn Commission,3,311744,0,311744,0
9944,r142,United States<sup>c</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>c</sup>,Kansas,Grain Sorghum Commission,3,700000,0,700000,0
9944,r143,"United States<sup>c</sup> -> Kansas -> Midwest Dairy Association, Kansas Division",United States<sup>c</sup>,Kansas,"Midwest Dairy Association, Kansas Division",3,15579,0,15579,0
9944,r144,United States<sup>c</sup> -> Kansas -> Soybean Commission,United States<sup>c</sup>,Kansas,Soybean Commission,3,1248862,0,1248862,0
9944,r145,United States<sup>c</sup> -> Kansas -> State Board of Regents,United States<sup>c</sup>,Kansas,State Board of Regents,3,997727,4462,993265,0
9944,r146,United States<sup>c</sup> -> Kansas -> Sunflower Commission,United States<sup>c</sup>,Kansas,Sunflower Commission,3,20000,0,20000,0
9944,r147,"United States<sup>c</sup> -> Kansas -> Transportation, Department of",United States<sup>c</sup>,Kansas,"Transportation, Department of",3,3765115,1061231,2703884,0
9944,r148,United States<sup>c</sup> -> Kansas -> Water Office,United States<sup>c</sup>,Kansas,Water Office,3,1207240,434580,772660,0
9944,r149,United States<sup>c</sup> -> Kansas -> Wheat Commission,United States<sup>c</sup>,Kansas,Wheat Commission,3,2245000,0,2245000,0
9944,r150,"United States<sup>c</sup> -> Kansas -> Wildlife and Parks, Department of",United States<sup>c</sup>,Kansas,"Wildlife and Parks, Department of",3,7121969,0,7121969,0
9944,r151,United States<sup>c</sup> -> Kentucky,United States<sup>c</sup>,Kentucky,,2,34881537,4434431,30447106,0
9944,r152,"United States<sup>c</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>c</sup>,Kentucky,"Economic Development, Cabinet for",3,3447809,0,3447809,0
9944,r153,"United States<sup>c</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>c</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,6989041,4428101,2560940,0
9944,r154,United States<sup>c</sup> -> Kentucky -> Horse Racing Commission,United States<sup>c</sup>,Kentucky,Horse Racing Commission,3,70000,0,70000,0
9944,r155,"United States<sup>c</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>c</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,42320,6330,35990,0
9944,r156,"United States<sup>c</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>c</sup>,Kentucky,"Postsecondary Education, Council on",3,11572700,0,11572700,0
9944,r157,"United States<sup>c</sup> -> Kentucky -> Public Health, Department for ",United States<sup>c</sup>,Kentucky,"Public Health, Department for ",3,3767275,0,3767275,0
9944,r158,United States<sup>c</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>c</sup>,Kentucky,Soybean Promotion Board,3,210727,0,210727,0
9944,r159,United States<sup>c</sup> -> Kentucky -> Transportation Cabinet,United States<sup>c</sup>,Kentucky,Transportation Cabinet,3,8781665,0,8781665,0
9944,r160,United States<sup>c</sup> -> Louisiana,United States<sup>c</sup>,Louisiana,,2,31843839,10033831,21810008,0
9944,r161,United States<sup>c</sup> -> Louisiana -> Board of Regents,United States<sup>c</sup>,Louisiana,Board of Regents,3,12613939,0,12613939,0
9944,r162,United States<sup>c</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>c</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3681012,509392,3171620,0
9944,r163,"United States<sup>c</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>c</sup>,Louisiana,"Transportation and Development, Department of ",3,10000000,5000000,5000000,0
9944,r164,"United States<sup>c</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>c</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,5548888,4524439,1024449,0
9944,r165,United States<sup>c</sup> -> Maine,United States<sup>c</sup>,Maine,,2,24812470,12208306,12604164,1579462
9944,r166,"United States<sup>c</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>c</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1889382,1682997,206385,0
9944,r167,United States<sup>c</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>c</sup>,Maine,Aquaculture Innovation Center,3,555101,435877,119224,0
9944,r168,"United States<sup>c</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>c</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1080841,763201,317640,0
9944,r169,"United States<sup>c</sup> -> Maine -> Marine Resources, Department of",United States<sup>c</sup>,Maine,"Marine Resources, Department of",3,2712300,2589300,123000,0
9944,r170,"United States<sup>c</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>c</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,9143683,6236931,2906752,386921
9944,r171,United States<sup>c</sup> -> Maine -> Technology Institute,United States<sup>c</sup>,Maine,Technology Institute,3,7931163,0,7931163,1192541
9944,r172,"United States<sup>c</sup> -> Maine -> Transportation, Department of ",United States<sup>c</sup>,Maine,"Transportation, Department of ",3,1500000,500000,1000000,0
9944,r173,United States<sup>c</sup> -> Maryland,United States<sup>c</sup>,Maryland,,2,31280581,864022,30416559,0
9944,r174,United States<sup>c</sup> -> Maryland -> Energy Administration,United States<sup>c</sup>,Maryland,Energy Administration,3,2000000,0,2000000,0
9944,r175,"United States<sup>c</sup> -> Maryland -> Health, Department of",United States<sup>c</sup>,Maryland,"Health, Department of",3,15000000,0,15000000,0
9944,r176,"United States<sup>c</sup> -> Maryland -> Natural Resources, Department of",United States<sup>c</sup>,Maryland,"Natural Resources, Department of",3,410466,272429,138037,0
