table_id,row_id,field_and_place_of_citizenship_full_path,field_and_place_of_citizenship_level_1,field_and_place_of_citizenship_level_2,field_and_place_of_citizenship_hierarchy_depth,field_noncitizen_s_e_doctorate_recipients_2008_11,field_noncitizen_s_e_doctorate_recipients_2012_15,field_noncitizen_s_e_doctorate_recipients_2016_19,field_plans_to_stay_2008_11,field_plans_to_stay_2012_15,field_plans_to_stay_2016_19,field_definite_plans_to_stay_2008_11,field_definite_plans_to_stay_2012_15,field_definite_plans_to_stay_2016_19
4417,r061,Mathematics and computer sciences -> Canada,Mathematics and computer sciences,Canada,2,141,144,145,59.6,68.8,74.5,48.9,59.0,57.9
4417,r062,Mathematics and computer sciences -> Vietnam,Mathematics and computer sciences,Vietnam,2,62,139,129,71.0,79.1,87.6,53.2,51.8,72.9
4417,r063,Mathematics and computer sciences -> Greece,Mathematics and computer sciences,Greece,2,70,88,106,65.7,78.4,84.9,50.0,59.1,64.2
4417,r064,Mathematics and computer sciences -> Sri Lanka,Mathematics and computer sciences,Sri Lanka,2,33,77,98,72.7,80.5,85.7,51.5,50.6,54.1
4417,r065,Mathematics and computer sciences -> Russia ,Mathematics and computer sciences,Russia ,2,101,72,80,76.2,79.2,83.8,48.5,55.6,58.8
4417,r066,Mathematics and computer sciences -> Italy,Mathematics and computer sciences,Italy,2,64,81,79,62.5,64.2,78.5,45.3,42.0,64.6
4417,r067,Mathematics and computer sciences -> Unknown foreign country,Mathematics and computer sciences,Unknown foreign country,2,64,43,182,43.8,s,50.0,s,s,39.6
4417,r068,Mathematics and computer sciences -> Other,Mathematics and computer sciences,Other,2,1732,1690,1692,68.2,67.4,71.3,49.4,45.1,50.4
4417,r069,Psychology and social sciences,Psychology and social sciences,,1,7589,7575,8229,57.6,56.1,59.5,39.4,35.8,40.7
4417,r070,Psychology and social sciences -> China,Psychology and social sciences,China,2,1104,1320,1829,69.6,62.7,63.3,47.5,40.5,44.7
4417,r071,Psychology and social sciences -> South Korea,Psychology and social sciences,South Korea,2,780,805,884,46.9,48.8,55.9,29.9,30.1,37.0
4417,r072,Psychology and social sciences -> India,Psychology and social sciences,India,2,539,505,473,75.5,73.1,69.8,53.2,45.9,49.0
4417,r073,Psychology and social sciences -> Canada,Psychology and social sciences,Canada,2,454,470,405,55.5,55.1,60.7,39.4,37.0,47.9
4417,r074,Psychology and social sciences -> Turkey,Psychology and social sciences,Turkey,2,464,340,345,46.1,41.8,53.0,32.1,27.1,31.0
4417,r075,Psychology and social sciences -> Taiwan,Psychology and social sciences,Taiwan,2,281,296,236,44.8,45.3,53.8,23.8,23.6,29.7
4417,r076,Psychology and social sciences -> Japan,Psychology and social sciences,Japan,2,373,285,191,50.4,47.7,44.5,33.8,30.2,30.4
4417,r077,Psychology and social sciences -> Mexico,Psychology and social sciences,Mexico,2,160,158,178,50.6,53.2,64.0,36.3,26.6,44.9
4417,r078,Psychology and social sciences -> Germany,Psychology and social sciences,Germany,2,239,213,173,65.7,59.6,66.5,54.0,48.4,45.7
4417,r079,Psychology and social sciences -> Iran,Psychology and social sciences,Iran,2,32,59,154,s,78.0,88.3,62.5,44.1,61.0
4417,r080,Psychology and social sciences -> Colombia,Psychology and social sciences,Colombia,2,96,111,144,45.8,45.0,43.1,32.3,33.3,32.6
4417,r081,Psychology and social sciences -> Italy,Psychology and social sciences,Italy,2,130,133,140,54.6,55.6,66.4,43.8,43.6,56.4
4417,r082,Psychology and social sciences -> Brazil,Psychology and social sciences,Brazil,2,130,134,128,43.1,42.5,60.9,30.8,25.4,46.9
4417,r083,Psychology and social sciences -> United Kingdom,Psychology and social sciences,United Kingdom,2,116,133,120,71.6,66.9,67.5,54.3,43.6,50.8
4417,r084,Psychology and social sciences -> Unknown foreign country,Psychology and social sciences,Unknown foreign country,2,86,87,225,s,31.0,46.7,24.4,12.6,30.7
4417,r085,Psychology and social sciences -> Other,Psychology and social sciences,Other,2,2605,2526,2604,57.3,56.8,57.1,38.6,36.2,37.6
4417,r086,Engineering,Engineering,,1,18253,20705,23055,79.1,79.2,80.6,49.5,45.2,50.6
4417,r087,Engineering -> China,Engineering,China,2,5470,6901,8472,87.5,85.1,84.3,52.9,48.0,53.1
4417,r088,Engineering -> India,Engineering,India,2,3804,3578,3183,87.8,88.6,90.7,58.3,52.0,58.0
4417,r089,Engineering -> Iran,Engineering,Iran,2,576,1578,2606,91.1,91.5,94.4,61.3,52.5,57.6
4417,r090,Engineering -> South Korea,Engineering,South Korea,2,2014,1785,1294,66.8,65.8,71.5,41.6,39.5,47.3
4417,r091,Engineering -> Taiwan,Engineering,Taiwan,2,818,798,620,73.8,81.6,86.1,38.5,40.7,50.0
4417,r092,Engineering -> Turkey,Engineering,Turkey,2,768,706,610,75.4,72.9,72.3,50.7,44.1,49.5
4417,r093,Engineering -> Bangladesh,Engineering,Bangladesh,2,144,259,539,83.3,86.5,91.8,50.0,42.1,56.4
4417,r094,Engineering -> Saudi Arabia,Engineering,Saudi Arabia,2,50,109,401,14.0,19.3,15.2,s,6.4,4.5
4417,r095,Engineering -> Egypt,Engineering,Egypt,2,177,273,310,74.6,70.0,75.8,43.5,36.6,47.4
4417,r096,Engineering -> Canada,Engineering,Canada,2,303,291,260,77.6,75.6,74.2,49.8,48.1,57.7
4417,r097,Engineering -> Iraq,Engineering,Iraq,2,s,38,238,s,57.9,26.5,s,15.8,12.6
4417,r098,Engineering -> Colombia,Engineering,Colombia,2,192,260,218,71.4,71.9,72.0,41.1,41.9,42.7
4417,r099,Engineering -> Nepal,Engineering,Nepal,2,59,105,194,s,94.3,94.3,54.2,46.7,49.0
4417,r100,Engineering -> Mexico,Engineering,Mexico,2,176,191,190,59.7,69.1,72.1,41.5,42.4,39.5
4417,r101,Engineering -> Unknown foreign country,Engineering,Unknown foreign country,2,s,119,392,50.0,39.5,48.7,30.3,19.3,33.9
4417,r102,Engineering -> Other,Engineering,Other,2,3566,3714,3528,67.2,65.5,70.3,42.1,37.8,43.8
