table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12667,r023,All institutions -> Doctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Doctorate,All R&D,Direct costs,Other direct costs,,5,12684948,13251095,13555338,13956656,14354162,14611813,15440159,16241835,17283378,18215386,17723501,18161834,20468263,23843286
12667,r024,All institutions -> Doctorate -> All R&D -> Indirect costs,All institutions,Doctorate,All R&D,Indirect costs,,,4,15000535,15781634,15677354,15819100,15532451,15849442,16355468,17128137,18160620,19049062,19677890,20441166,22237912,24345768
12667,r025,All institutions -> Doctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Doctorate,All R&D,Indirect costs,Recovered,,5,10382463,11236113,11125166,11147825,10808998,11041336,11384466,11966759,12686453,13547840,13974021,14597389,16107931,17622931
12667,r026,All institutions -> Doctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Doctorate,All R&D,Indirect costs,Unrecovered,,5,4618072,4545521,4552188,4671275,4723453,4808106,4971002,5161378,5474167,5501222,5703869,5843777,6129981,6722837
12667,r027,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,,,,
12667,r028,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,,,3,1019919,1210260,1028806,795421,751236,659676,1050218,707921,670801,687250,692844,679901,777005,867693
12667,r029,All institutions -> Nondoctorate -> All R&D -> Direct costs,All institutions,Nondoctorate,All R&D,Direct costs,,,4,893493,1029068,875007,690846,649140,571140,918413,623286,583270,593975,596080,584325,660299,740956
12667,r030,"All institutions -> Nondoctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Nondoctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,435078,502965,432160,340021,333567,290752,350123,318636,312432,311925,313090,324782,345715,379293
12667,r031,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software,All institutions,Nondoctorate,All R&D,Direct costs,Software,,5,7851,6137,7829,5162,5176,5366,4892,2431,1901,1790,2381,3865,4197,4090
12667,r032,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Noncapitalized software,6,7516,5630,7135,4994,4638,5128,4601,2049,1759,1635,2051,3501,4136,3893
12667,r033,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Capitalized software,6,335,507,694,168,538,238,291,382,142,155,330,364,61,197
12667,r034,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Nondoctorate,All R&D,Direct costs,Capitalized equipment,,5,61465,63729,45189,34880,25401,24222,130179,27233,23883,21458,23188,28011,31708,36926
12667,r035,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Nondoctorate,All R&D,Direct costs,Passed through to subrecipients,,5,55517,65672,61794,41154,39482,24620,37578,31326,29502,28146,27551,28069,34582,41620
12667,r036,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Nondoctorate,All R&D,Direct costs,Other direct costs,,5,333582,390565,328035,269629,245514,226180,395641,243660,215552,230656,229870,199598,244097,279027
12667,r037,All institutions -> Nondoctorate -> All R&D -> Indirect costs,All institutions,Nondoctorate,All R&D,Indirect costs,,,4,126426,181192,153799,104575,102096,88536,131805,84635,87531,93275,96764,95576,116706,126737
12667,r038,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Nondoctorate,All R&D,Indirect costs,Recovered,,5,83430,116226,96458,72352,65011,59935,68783,55929,59808,60824,62721,63521,78076,78929
12667,r039,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Nondoctorate,All R&D,Indirect costs,Unrecovered,,5,42996,64966,57341,32223,37085,28601,63022,28706,27723,32451,34043,32055,38630,47808
12667,r040,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,,,,
12667,r041,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,,,3,41266626,43915960,44162595,44814125,44640610,45382410,47074583,49257662,51890982,54655748,56636880,58652526,63790149,71001044
12667,r042,All institutions -> Public -> All R&D -> Direct costs,All institutions,Public,All R&D,Direct costs,,,4,31705979,33922562,34339324,34970423,34982571,35611429,36936818,38696275,40643826,42882969,44473828,46002099,49975980,55854390
12667,r043,"All institutions -> Public -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Public,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,18317189,19636095,19949722,20205730,20413042,20779313,21724959,22901546,23752695,25070725,26482823,27545544,29334957,31827740
12667,r044,All institutions -> Public -> All R&D -> Direct costs -> Software,All institutions,Public,All R&D,Direct costs,Software,,5,82340,96499,83509,85149,74459,92877,89420,81618,94259,103511,121049,139402,149377,166452
12667,r045,All institutions -> Public -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Public,All R&D,Direct costs,Software,Noncapitalized software,6,69454,80693,74897,76518,65040,74445,74083,73831,85049,92431,111955,127363,139020,151443
12667,r046,All institutions -> Public -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Public,All R&D,Direct costs,Software,Capitalized software,6,12886,15806,8612,8631,9419,18432,15337,7787,9210,11080,9094,12039,10357,15009
12667,r047,All institutions -> Public -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Public,All R&D,Direct costs,Capitalized equipment,,5,1457694,1555049,1476328,1655640,1468659,1508998,1578490,1554190,1522210,1744709,1924758,1938848,1976535,2339646
12667,r048,All institutions -> Public -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Public,All R&D,Direct costs,Passed through to subrecipients,,5,3065688,3418705,3502384,3608137,3558959,3541642,3520318,3662377,3917036,4149921,4384669,4597781,5168816,5737216
12667,r049,All institutions -> Public -> All R&D -> Direct costs -> Other direct costs,All institutions,Public,All R&D,Direct costs,Other direct costs,,5,8783068,9216214,9327381,9415767,9467452,9688599,10023631,10496544,11357626,11814103,11560529,11780524,13346295,15783336
12667,r050,All institutions -> Public -> All R&D -> Indirect costs,All institutions,Public,All R&D,Indirect costs,,,4,9560647,9993398,9823271,9843702,9658039,9770981,10137765,10561387,11247156,11772779,12163052,12650427,13814169,15146654
12667,r051,All institutions -> Public -> All R&D -> Indirect costs -> Recovered,All institutions,Public,All R&D,Indirect costs,Recovered,,5,6175654,6585483,6554816,6539581,6339755,6409794,6622242,6946564,7365362,7916489,8105717,8506984,9429765,10371525
12667,r052,All institutions -> Public -> All R&D -> Indirect costs -> Unrecovered,All institutions,Public,All R&D,Indirect costs,Unrecovered,,5,3384993,3407915,3268455,3304121,3318284,3361187,3515523,3614823,3881794,3856290,4057335,4143443,4384404,4775129
12667,r053,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,,,,
12667,r054,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,,,3,20019984,21358433,21566412,22163441,22520818,23137552,24662611,25891728,27134994,28834682,29669226,31048364,33879428,37679964
12667,r055,All institutions -> Private -> All R&D -> Direct costs,All institutions,Private,All R&D,Direct costs,,,4,14453670,15389005,15558530,16083468,16544310,16970555,18313103,19240343,20133999,21465124,22057624,23162049,25338979,28354113
12667,r056,"All institutions -> Private -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Private,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,7612610,8224515,8389348,8570675,8678305,9094055,9709524,10330377,10923573,11498076,12247015,12795281,13772681,15261562
12667,r057,All institutions -> Private -> All R&D -> Direct costs -> Software,All institutions,Private,All R&D,Direct costs,Software,,5,23630,19923,19947,22536,22064,24131,24137,28035,27604,33033,37540,33598,43516,55647
12667,r058,All institutions -> Private -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Private,All R&D,Direct costs,Software,Noncapitalized software,6,19002,17745,18353,19134,19241,18760,21086,24796,25750,28558,32373,31153,39150,49082
12667,r059,All institutions -> Private -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Private,All R&D,Direct costs,Software,Capitalized software,6,4628,2178,1594,3402,2823,5371,3051,3239,1854,4475,5167,2445,4366,6565
12667,r060,All institutions -> Private -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Private,All R&D,Direct costs,Capitalized equipment,,5,690727,700976,564206,598789,567746,610814,590858,639563,626261,694875,663970,723254,720089,920251
12667,r061,All institutions -> Private -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Private,All R&D,Direct costs,Passed through to subrecipients,,5,1891241,2018145,2029037,2080950,2143971,2092161,2176415,2253417,2415257,2607201,2716257,3029008,3436628,3777676
12667,r062,All institutions -> Private -> All R&D -> Direct costs -> Other direct costs,All institutions,Private,All R&D,Direct costs,Other direct costs,,5,4235462,4425446,4555992,4810518,5132224,5149394,5812169,5988951,6141304,6631939,6392842,6580908,7366065,8338977
12667,r063,All institutions -> Private -> All R&D -> Indirect costs,All institutions,Private,All R&D,Indirect costs,,,4,5566314,5969428,6007882,6079973,5976508,6166997,6349508,6651385,7000995,7369558,7611602,7886315,8540449,9325851
12667,r064,All institutions -> Private -> All R&D -> Indirect costs -> Recovered,All institutions,Private,All R&D,Indirect costs,Recovered,,5,4290239,4766856,4666808,4680596,4534254,4691477,4831007,5076124,5380899,5692175,5931025,6153926,6756242,7330335
12667,r065,All institutions -> Private -> All R&D -> Indirect costs -> Unrecovered,All institutions,Private,All R&D,Indirect costs,Unrecovered,,5,1276075,1202572,1341074,1399377,1442254,1475520,1518501,1575261,1620096,1677383,1680577,1732389,1784207,1995516
