table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb
7701,r017,United States<sup>c</sup> -> Alaska -> Seafood Marketing Institute,United States<sup>c</sup>,Alaska,Seafood Marketing Institute,3,26000,0,26000,0
7701,r018,"United States<sup>c</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>c</sup>,Alaska,"Transportation and Public Facilities, Department of",3,2507100,553100,1954000,0
7701,r019,United States<sup>c</sup> -> Arizona,United States<sup>c</sup>,Arizona,,2,15011508,3522494,11489014,0
7701,r020,"United States<sup>c</sup> -> Arizona -> Agriculture, Department of",United States<sup>c</sup>,Arizona,"Agriculture, Department of",3,1167546,0,1167546,0
7701,r021,United States<sup>c</sup> -> Arizona -> Game and Fish Department,United States<sup>c</sup>,Arizona,Game and Fish Department,3,1585868,1205047,380821,0
7701,r022,"United States<sup>c</sup> -> Arizona -> Health Services, Department of",United States<sup>c</sup>,Arizona,"Health Services, Department of",3,8467153,0,8467153,0
7701,r023,"United States<sup>c</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>c</sup>,Arizona,"Juvenile Corrections, Department of ",3,610954,610954,0,0
7701,r024,"United States<sup>c</sup> -> Arizona -> Transportation, Department of",United States<sup>c</sup>,Arizona,"Transportation, Department of",3,3179987,1706493,1473494,0
7701,r025,United States<sup>c</sup> -> Arkansas,United States<sup>c</sup>,Arkansas,,2,9908767,170429,9738338,0
7701,r026,"United States<sup>c</sup> -> Arkansas -> Agriculture, Department of",United States<sup>c</sup>,Arkansas,"Agriculture, Department of",3,152420,0,152420,0
7701,r027,United States<sup>c</sup> -> Arkansas -> Beef Council,United States<sup>c</sup>,Arkansas,Beef Council,3,60406,0,60406,0
7701,r028,United States<sup>c</sup> -> Arkansas -> Corn and Grain Sorghum Promotion Board,United States<sup>c</sup>,Arkansas,Corn and Grain Sorghum Promotion Board,3,992000,0,992000,0
7701,r029,United States<sup>c</sup> -> Arkansas -> Economic Development Commission,United States<sup>c</sup>,Arkansas,Economic Development Commission,3,2075000,0,2075000,0
7701,r030,United States<sup>c</sup> -> Arkansas -> Game and Fish Commission,United States<sup>c</sup>,Arkansas,Game and Fish Commission,3,872648,0,872648,0
7701,r031,"United States<sup>c</sup> -> Arkansas -> Midwest Dairy Association, Arkansas Division",United States<sup>c</sup>,Arkansas,"Midwest Dairy Association, Arkansas Division",3,9700,0,9700,0
7701,r032,United States<sup>c</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>c</sup>,Arkansas,Natural Heritage Commission,3,195378,145031,50347,0
7701,r033,United States<sup>c</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>c</sup>,Arkansas,Rice Research and Promotion Board,3,2775000,0,2775000,0
7701,r034,United States<sup>c</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>c</sup>,Arkansas,Soybean Promotion Board,3,2400000,0,2400000,0
7701,r035,"United States<sup>c</sup> -> Arkansas -> Transportation, Department of",United States<sup>c</sup>,Arkansas,"Transportation, Department of",3,276215,25398,250817,0
7701,r036,United States<sup>c</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>c</sup>,Arkansas,Wheat Promotion Board,3,100000,0,100000,0
7701,r037,United States<sup>c</sup> -> California,United States<sup>c</sup>,California,,2,523819635,81309690,442509945,0
7701,r038,United States<sup>c</sup> -> California -> Air Resources Board,United States<sup>c</sup>,California,Air Resources Board,3,16703318,9600011,7103307,0
7701,r039,United States<sup>c</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>c</sup>,California,Children and Families Commission (First 5 California),3,4493407,0,4493407,0
7701,r040,"United States<sup>c</sup> -> California -> Conservation, Department of",United States<sup>c</sup>,California,"Conservation, Department of",3,1508933,502000,1006933,0
7701,r041,"United States<sup>c</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>c</sup>,California,"Corrections and Rehabilitation, Department of",3,1139419,0,1139419,0
7701,r042,United States<sup>c</sup> -> California -> Covered California,United States<sup>c</sup>,California,Covered California,3,3793141,0,3793141,0
7701,r043,United States<sup>c</sup> -> California -> Dairy Council,United States<sup>c</sup>,California,Dairy Council,3,18672,0,18672,0
7701,r044,United States<sup>c</sup> -> California -> Delta Stewardship Council,United States<sup>c</sup>,California,Delta Stewardship Council,3,4093320,0,4093320,0
7701,r045,United States<sup>c</sup> -> California -> Energy Commission,United States<sup>c</sup>,California,Energy Commission,3,230900000,23000000,207900000,0
7701,r046,"United States<sup>c</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>c</sup>,California,"Environmental Health Hazard Assessment, Office of",3,17522940,16750976,771964,0
7701,r047,"United States<sup>c</sup> -> California -> Food and Agriculture, Department of",United States<sup>c</sup>,California,"Food and Agriculture, Department of",3,4686177,0,4686177,0
7701,r048,"United States<sup>c</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>c</sup>,California,"Forestry and Fire Protection, Department of",3,5500000,0,5500000,0
7701,r049,United States<sup>c</sup> -> California -> Horse Racing Board,United States<sup>c</sup>,California,Horse Racing Board,3,695130,0,695130,0
7701,r050,"United States<sup>c</sup> -> California -> Housing and Community Development, Department of",United States<sup>c</sup>,California,"Housing and Community Development, Department of",3,150000,0,150000,0
7701,r051,United States<sup>c</sup> -> California -> Institute for Regenerative Medicine,United States<sup>c</sup>,California,Institute for Regenerative Medicine,3,95739916,0,95739916,0
7701,r052,United States<sup>c</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>c</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,2500000,0
7701,r053,"United States<sup>c</sup> -> California -> Motor Vehicles, Department of",United States<sup>c</sup>,California,"Motor Vehicles, Department of",3,1551423,1551423,0,0
7701,r054,"United States<sup>c</sup> -> California -> Parks And Recreation, Department of",United States<sup>c</sup>,California,"Parks And Recreation, Department of",3,1500000,0,1500000,0
7701,r055,"United States<sup>c</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>c</sup>,California,"Pesticide Regulation, Department of ",3,11642098,9087241,2554857,0
7701,r056,"United States<sup>c</sup> -> California -> Public Health, Department of",United States<sup>c</sup>,California,"Public Health, Department of",3,6089200,337200,5752000,0
7701,r057,"United States<sup>c</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>c</sup>,California,"Public Utilities Commission, Executive Division",3,37000000,0,37000000,0
7701,r058,"United States<sup>c</sup> -> California -> Rehabilitation, Department of ",United States<sup>c</sup>,California,"Rehabilitation, Department of ",3,2702614,348771,2353843,0
7701,r059,"United States<sup>c</sup> -> California -> Resources Recycling and Recovery, Department of ",United States<sup>c</sup>,California,"Resources Recycling and Recovery, Department of ",3,155635,0,155635,0
7701,r060,"United States<sup>c</sup> -> California -> Social Services, Department of ",United States<sup>c</sup>,California,"Social Services, Department of ",3,3585336,9498,3575838,0
7701,r061,United States<sup>c</sup> -> California -> State Coastal Conservancy,United States<sup>c</sup>,California,State Coastal Conservancy,3,835489,0,835489,0
7701,r062,United States<sup>c</sup> -> California -> State Water Resources Control Board,United States<sup>c</sup>,California,State Water Resources Control Board,3,5377799,1106400,4271399,0
7701,r063,"United States<sup>c</sup> -> California -> Toxic Substances Control, Department of",United States<sup>c</sup>,California,"Toxic Substances Control, Department of",3,1887600,1887600,0,0
7701,r064,"United States<sup>c</sup> -> California -> Transportation, Department of",United States<sup>c</sup>,California,"Transportation, Department of",3,47716505,15762848,31953657,0
7701,r065,"United States<sup>c</sup> -> California -> Water Resources, Department of",United States<sup>c</sup>,California,"Water Resources, Department of",3,14331563,1365722,12965841,0
7701,r066,United States<sup>c</sup> -> Colorado,United States<sup>c</sup>,Colorado,,2,38436248,11957421,26478827,0
7701,r067,"United States<sup>c</sup> -> Colorado -> Agriculture, Department of",United States<sup>c</sup>,Colorado,"Agriculture, Department of",3,676649,424585,252064,0
7701,r068,"United States<sup>c</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>c</sup>,Colorado,"Economic Development and International Trade, Office of",3,21331814,0,21331814,0
7701,r069,"United States<sup>c</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>c</sup>,Colorado,"Higher Education Competitive, Research Authority",3,1748478,0,1748478,0
7701,r070,"United States<sup>c</sup> -> Colorado -> Natural Resources, Department of",United States<sup>c</sup>,Colorado,"Natural Resources, Department of",3,7530151,7505755,24396,0
7701,r071,"United States<sup>c</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>c</sup>,Colorado,"Public Health and Environment, Department of",3,2591744,2384904,206840,0
7701,r072,"United States<sup>c</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>c</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,1040036,1020036,20000,0
7701,r073,"United States<sup>c</sup> -> Colorado -> Transportation, Department of",United States<sup>c</sup>,Colorado,"Transportation, Department of",3,3274866,622141,2652725,0
7701,r074,United States<sup>c</sup> -> Colorado -> Wine Industry Development Board,United States<sup>c</sup>,Colorado,Wine Industry Development Board,3,242510,0,242510,0
7701,r075,United States<sup>c</sup> -> Connecticut,United States<sup>c</sup>,Connecticut,,2,55050702,27217883,27832819,0
7701,r076,United States<sup>c</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>c</sup>,Connecticut,Agricultural Experiment Station,3,13302928,13302928,0,0
7701,r077,"United States<sup>c</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>c</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7445420,6638597,806823,0
7701,r078,United States<sup>c</sup> -> Connecticut -> Innovation Inc.,United States<sup>c</sup>,Connecticut,Innovation Inc.,3,23315658,0,23315658,0
7701,r079,"United States<sup>c</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>c</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,6966358,6966358,0,0
7701,r080,"United States<sup>c</sup> -> Connecticut -> Public Health, Department of",United States<sup>c</sup>,Connecticut,"Public Health, Department of",3,20967,0,20967,0
7701,r081,"United States<sup>c</sup> -> Connecticut -> Social Services, Department of",United States<sup>c</sup>,Connecticut,"Social Services, Department of",3,1591082,0,1591082,0
7701,r082,"United States<sup>c</sup> -> Connecticut -> Transportation, Department of",United States<sup>c</sup>,Connecticut,"Transportation, Department of",3,2408289,310000,2098289,0
7701,r083,United States<sup>c</sup> -> Delaware,United States<sup>c</sup>,Delaware,,2,3338773,1894419,1444354,0
7701,r084,United States<sup>c</sup> -> Delaware -> Geological Survey,United States<sup>c</sup>,Delaware,Geological Survey,3,1945219,1894419,50800,0
7701,r085,"United States<sup>c</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>c</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,257515,0,257515,0
7701,r086,United States<sup>c</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>c</sup>,Delaware,Sustainable Energy Utility,3,46054,0,46054,0
7701,r087,"United States<sup>c</sup> -> Delaware -> Transportation, Department of",United States<sup>c</sup>,Delaware,"Transportation, Department of",3,1089985,0,1089985,0
7701,r088,United States<sup>c</sup> -> District of Columbia,United States<sup>c</sup>,District of Columbia,,2,8128666,3705656,4423010,0
7701,r089,"United States<sup>c</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>c</sup>,District of Columbia,"Energy and Environment, Department of",3,207000,0,207000,0
7701,r090,"United States<sup>c</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>c</sup>,District of Columbia,"Forensic Sciences, Department of",3,75566,75566,0,0
7701,r091,"United States<sup>c</sup> -> District of Columbia -> Health, Department of",United States<sup>c</sup>,District of Columbia,"Health, Department of",3,5942318,2502492,3439826,0
7701,r092,"United States<sup>c</sup> -> District of Columbia -> Transportation, Department of",United States<sup>c</sup>,District of Columbia,"Transportation, Department of",3,303782,127598,176184,0
7701,r093,United States<sup>c</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>c</sup>,District of Columbia,Water and Sewer Authority,3,1600000,1000000,600000,0
7701,r094,United States<sup>c</sup> -> Florida,United States<sup>c</sup>,Florida,,2,178360429,50793339,127567090,2646068
7701,r095,"United States<sup>c</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>c</sup>,Florida,"Agriculture and Consumer Services, Department of",3,16258186,1399535,14858651,0
7701,r096,"United States<sup>c</sup> -> Florida -> Business and Professional Regulation, Department of",United States<sup>c</sup>,Florida,"Business and Professional Regulation, Department of",3,100000,0,100000,0
7701,r097,"United States<sup>c</sup> -> Florida -> Citrus, Department of",United States<sup>c</sup>,Florida,"Citrus, Department of",3,999748,119678,880070,0
7701,r098,"United States<sup>c</sup> -> Florida -> Environmental Protection, Department of",United States<sup>c</sup>,Florida,"Environmental Protection, Department of",3,129087,0,129087,0
7701,r099,United States<sup>c</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>c</sup>,Florida,Fish and Wildlife Conservation Commission,3,57203692,47842060,9361632,2646068
7701,r100,"United States<sup>c</sup> -> Florida -> Health, Department of",United States<sup>c</sup>,Florida,"Health, Department of",3,92142161,0,92142161,0
7701,r101,United States<sup>c</sup> -> Florida -> Space Florida,United States<sup>c</sup>,Florida,Space Florida,3,1300000,0,1300000,0
7701,r102,"United States<sup>c</sup> -> Florida -> Transportation, Department of",United States<sup>c</sup>,Florida,"Transportation, Department of",3,10227555,1432066,8795489,0
7701,r103,United States<sup>c</sup> -> Georgia,United States<sup>c</sup>,Georgia,,2,18798826,2016590,16782236,0
7701,r104,"United States<sup>c</sup> -> Georgia -> Natural Resources, Department of",United States<sup>c</sup>,Georgia,"Natural Resources, Department of",3,818245,171752,646493,0
7701,r105,United States<sup>c</sup> -> Georgia -> Southern States Energy Board,United States<sup>c</sup>,Georgia,Southern States Energy Board,3,11557770,1844838,9712932,0
7701,r106,"United States<sup>c</sup> -> Georgia -> Transportation, Department of",United States<sup>c</sup>,Georgia,"Transportation, Department of",3,6422811,0,6422811,0
7701,r107,United States<sup>c</sup> -> Hawaii,United States<sup>c</sup>,Hawaii,,2,10315823,2311413,8004410,4100000
7701,r108,"United States<sup>c</sup> -> Hawaii -> Agriculture, Department of",United States<sup>c</sup>,Hawaii,"Agriculture, Department of",3,484028,123148,360880,0
7701,r109,"United States<sup>c</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>c</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2538265,2188265,350000,0
7701,r110,"United States<sup>c</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>c</sup>,Hawaii,"Land and Natural Resources, Department of",3,280000,0,280000,0
7701,r111,United States<sup>c</sup> -> Hawaii -> Natural Energy Laboratory of Hawaii Authority,United States<sup>c</sup>,Hawaii,Natural Energy Laboratory of Hawaii Authority,3,2000000,0,2000000,4100000
7701,r112,"United States<sup>c</sup> -> Hawaii -> Transportation, Department of",United States<sup>c</sup>,Hawaii,"Transportation, Department of",3,5013530,0,5013530,0
7701,r113,United States<sup>c</sup> -> Idaho,United States<sup>c</sup>,Idaho,,2,18210054,7124769,11085285,5000
7701,r114,"United States<sup>c</sup> -> Idaho -> Agriculture, Department of",United States<sup>c</sup>,Idaho,"Agriculture, Department of",3,336276,0,336276,0
7701,r115,United States<sup>c</sup> -> Idaho -> Alfalfa and Clover Seed Commission,United States<sup>c</sup>,Idaho,Alfalfa and Clover Seed Commission,3,2300,0,2300,0
7701,r116,United States<sup>c</sup> -> Idaho -> Barley Commission,United States<sup>c</sup>,Idaho,Barley Commission,3,210712,0,210712,5000
7701,r117,United States<sup>c</sup> -> Idaho -> Bean Commission,United States<sup>c</sup>,Idaho,Bean Commission,3,40640,0,40640,0
7701,r118,United States<sup>c</sup> -> Idaho -> Beef Council,United States<sup>c</sup>,Idaho,Beef Council,3,123053,0,123053,0
7701,r119,"United States<sup>c</sup> -> Idaho -> Commerce, Department of ",United States<sup>c</sup>,Idaho,"Commerce, Department of ",3,1020240,0,1020240,0
7701,r120,United States<sup>c</sup> -> Idaho -> Dairy West,United States<sup>c</sup>,Idaho,Dairy West,3,2805947,0,2805947,0
7701,r121,"United States<sup>c</sup> -> Idaho -> Environmental Quality, Department of",United States<sup>c</sup>,Idaho,"Environmental Quality, Department of",3,578257,0,578257,0
7701,r122,"United States<sup>c</sup> -> Idaho -> Fish and Game, Department of",United States<sup>c</sup>,Idaho,"Fish and Game, Department of",3,8895129,6988949,1906180,0
7701,r123,United States<sup>c</sup> -> Idaho -> Honey Commission,United States<sup>c</sup>,Idaho,Honey Commission,3,3500,0,3500,0
7701,r124,United States<sup>c</sup> -> Idaho -> Mint Commission,United States<sup>c</sup>,Idaho,Mint Commission,3,14867,14867,0,0
7701,r125,United States<sup>c</sup> -> Idaho -> Oilseed Commission,United States<sup>c</sup>,Idaho,Oilseed Commission,3,65000,0,65000,0
7701,r126,United States<sup>c</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>c</sup>,Idaho,Pea and Lentil Commission,3,103479,0,103479,0
7701,r127,United States<sup>c</sup> -> Idaho -> Potato Commission,United States<sup>c</sup>,Idaho,Potato Commission,3,747788,0,747788,0
7701,r128,United States<sup>c</sup> -> Idaho -> Transportation Department,United States<sup>c</sup>,Idaho,Transportation Department,3,2095738,120953,1974785,0
7701,r129,United States<sup>c</sup> -> Idaho -> Wheat Commission,United States<sup>c</sup>,Idaho,Wheat Commission,3,1167128,0,1167128,0
7701,r130,United States<sup>c</sup> -> Illinois,United States<sup>c</sup>,Illinois,,2,16213542,554067,15659475,0
7701,r131,"United States<sup>c</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>c</sup>,Illinois,"Children and Family Services, Department of",3,2468113,0,2468113,0
7701,r132,"United States<sup>c</sup> -> Illinois -> Midwest Dairy Association, Illinois Division",United States<sup>c</sup>,Illinois,"Midwest Dairy Association, Illinois Division",3,19400,0,19400,0
7701,r133,United States<sup>c</sup> -> Illinois -> Nutrient Research and Education Council,United States<sup>c</sup>,Illinois,Nutrient Research and Education Council,3,4000000,0,4000000,0
7701,r134,"United States<sup>c</sup> -> Illinois -> Public Health, Department of",United States<sup>c</sup>,Illinois,"Public Health, Department of",3,295040,0,295040,0
7701,r135,"United States<sup>c</sup> -> Illinois -> Transportation, Department of",United States<sup>c</sup>,Illinois,"Transportation, Department of",3,9430989,554067,8876922,0
7701,r136,United States<sup>c</sup> -> Indiana,United States<sup>c</sup>,Indiana,,2,10485205,470344,10014861,0
7701,r137,United States<sup>c</sup> -> Indiana -> Economic Development Corporation,United States<sup>c</sup>,Indiana,Economic Development Corporation,3,1424123,0,1424123,0
7701,r138,"United States<sup>c</sup> -> Indiana -> Environmental Management, Department of",United States<sup>c</sup>,Indiana,"Environmental Management, Department of",3,16935,0,16935,0
7701,r139,"United States<sup>c</sup> -> Indiana -> Natural Resources, Department of",United States<sup>c</sup>,Indiana,"Natural Resources, Department of",3,1086728,416747,669981,0
7701,r140,United States<sup>c</sup> -> Indiana -> St. Joseph River Basin Commission,United States<sup>c</sup>,Indiana,St. Joseph River Basin Commission,3,32490,0,32490,0
7701,r141,"United States<sup>c</sup> -> Indiana -> Transportation, Department of",United States<sup>c</sup>,Indiana,"Transportation, Department of",3,7924929,53597,7871332,0
7701,r142,United States<sup>c</sup> -> Iowa,United States<sup>c</sup>,Iowa,,2,10579028,3091936,7487092,0
7701,r143,United States<sup>c</sup> -> Iowa -> Beef Industry Council,United States<sup>c</sup>,Iowa,Beef Industry Council,3,58898,0,58898,0
7701,r144,"United States<sup>c</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>c</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,472395,472395,0,0
7701,r145,"United States<sup>c</sup> -> Iowa -> Midwest Dairy Association, Iowa Division",United States<sup>c</sup>,Iowa,"Midwest Dairy Association, Iowa Division",3,111550,0,111550,0
7701,r146,"United States<sup>c</sup> -> Iowa -> Natural Resources, Department of",United States<sup>c</sup>,Iowa,"Natural Resources, Department of",3,2994029,2619541,374488,0
7701,r147,"United States<sup>c</sup> -> Iowa -> Transportation, Department of",United States<sup>c</sup>,Iowa,"Transportation, Department of",3,6942156,0,6942156,0
7701,r148,United States<sup>c</sup> -> Kansas,United States<sup>c</sup>,Kansas,,2,15002554,1294643,13707911,0
7701,r149,United States<sup>c</sup> -> Kansas -> Corn Commission,United States<sup>c</sup>,Kansas,Corn Commission,3,654979,0,654979,0
7701,r150,United States<sup>c</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>c</sup>,Kansas,Grain Sorghum Commission,3,277300,0,277300,0
7701,r151,"United States<sup>c</sup> -> Kansas -> Midwest Dairy Association, Kansas Division",United States<sup>c</sup>,Kansas,"Midwest Dairy Association, Kansas Division",3,14550,0,14550,0
7701,r152,United States<sup>c</sup> -> Kansas -> Soybean Commission,United States<sup>c</sup>,Kansas,Soybean Commission,3,1200000,0,1200000,0
7701,r153,United States<sup>c</sup> -> Kansas -> State Board of Regents,United States<sup>c</sup>,Kansas,State Board of Regents,3,998754,5489,993265,0
7701,r154,United States<sup>c</sup> -> Kansas -> Sunflower Commission,United States<sup>c</sup>,Kansas,Sunflower Commission,3,20000,0,20000,0
7701,r155,"United States<sup>c</sup> -> Kansas -> Transportation, Department of",United States<sup>c</sup>,Kansas,"Transportation, Department of",3,3237535,968014,2269521,0
7701,r156,United States<sup>c</sup> -> Kansas -> Water Office,United States<sup>c</sup>,Kansas,Water Office,3,1011797,321140,690657,0
7701,r157,United States<sup>c</sup> -> Kansas -> Wheat Commission,United States<sup>c</sup>,Kansas,Wheat Commission,3,1378000,0,1378000,0
7701,r158,"United States<sup>c</sup> -> Kansas -> Wildlife and Parks, Department of",United States<sup>c</sup>,Kansas,"Wildlife and Parks, Department of",3,6209639,0,6209639,0
7701,r159,United States<sup>c</sup> -> Kentucky,United States<sup>c</sup>,Kentucky,,2,29737068,1946017,27791051,0
7701,r160,"United States<sup>c</sup> -> Kentucky -> Behavioral Health, Developmental and Intellectual Disabilities",United States<sup>c</sup>,Kentucky,"Behavioral Health, Developmental and Intellectual Disabilities",3,67500,0,67500,0
7701,r161,"United States<sup>c</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>c</sup>,Kentucky,"Economic Development, Cabinet for",3,3048739,0,3048739,0
7701,r162,"United States<sup>c</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>c</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,2230154,1946017,284137,0
7701,r163,United States<sup>c</sup> -> Kentucky -> Horse Racing Commission,United States<sup>c</sup>,Kentucky,Horse Racing Commission,3,216983,0,216983,0
7701,r164,"United States<sup>c</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>c</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,175935,0,175935,0
7701,r165,"United States<sup>c</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>c</sup>,Kentucky,"Postsecondary Education, Council on",3,11086500,0,11086500,0
7701,r166,"United States<sup>c</sup> -> Kentucky -> Public Health, Department for ",United States<sup>c</sup>,Kentucky,"Public Health, Department for ",3,3561572,0,3561572,0
7701,r167,United States<sup>c</sup> -> Kentucky -> Public Service Commission,United States<sup>c</sup>,Kentucky,Public Service Commission,3,21000,0,21000,0
7701,r168,United States<sup>c</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>c</sup>,Kentucky,Soybean Promotion Board,3,517000,0,517000,0
7701,r169,United States<sup>c</sup> -> Kentucky -> Transportation Cabinet,United States<sup>c</sup>,Kentucky,Transportation Cabinet,3,8811685,0,8811685,0
7701,r170,United States<sup>c</sup> -> Louisiana,United States<sup>c</sup>,Louisiana,,2,32115461,9555840,22559621,0
7701,r171,"United States<sup>c</sup> -> Louisiana -> Agriculture and Forestry, Department of",United States<sup>c</sup>,Louisiana,"Agriculture and Forestry, Department of",3,4946,0,4946,0
7701,r172,United States<sup>c</sup> -> Louisiana -> Board of Regents,United States<sup>c</sup>,Louisiana,Board of Regents,3,13492921,0,13492921,0
7701,r173,United States<sup>c</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>c</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3573798,494555,3079243,0
7701,r174,"United States<sup>c</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>c</sup>,Louisiana,"Transportation and Development, Department of ",3,9185327,4785327,4400000,0
7701,r175,"United States<sup>c</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>c</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,5858469,4275958,1582511,0
7701,r176,United States<sup>c</sup> -> Maine,United States<sup>c</sup>,Maine,,2,32392463,10370488,22021975,487798
