table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
2749,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['56 - 66', 'i ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['5', 'i ']","['2', '  ']","['0', '  ']","['17', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', '  ']","['4', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0 - 15', 'i ']"
2749,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['8,370 - 8,379', '  ']","['115', '  ']","['117', '  ']","['26', '  ']","['78', '  ']","['53', '  ']","['158', '  ']","['371', '  ']","['19', '  ']","['262', '  ']","['2', '  ']","['602', '  ']","['12', '  ']","['19', '  ']","['187', '  ']","['136', '  ']","['72', '  ']","['19', '  ']","['20', '  ']","['74', '  ']","['11', '  ']","['96', '  ']","['6', '  ']","['0 - 12', 'i ']"
2749,r025,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['2,590', '  ']","['17', '  ']","['21', '  ']","['8', '  ']","['35', '  ']","['13', '  ']","['66', '  ']","['139', '  ']","['6', '  ']","['78', '  ']","['*', '  ']","['88', '  ']","['2', '  ']","['8', '  ']","['16', '  ']","['45', '  ']","['17', '  ']","['4', '  ']","['4', '  ']","['21', '  ']","['0 - 7', '  ']","['9', '  ']","['0', '  ']","['0 - 7', 'i ']"
2749,r026,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['5,779 - 5,790', '  ']","['97', '  ']","['96', 'i ']","['18', 'i ']","['43', 'i ']","['40', 'i ']","['92', '  ']","['231', '  ']","['13', 'i ']","['184', '  ']","['1', '  ']","['514', '  ']","['10', '  ']","['11', '  ']","['171', '  ']","['91', '  ']","['55', '  ']","['15', '  ']","['17', '  ']","['53', 'i ']","['4 - 12', '  ']","['87', '  ']","['6', '  ']","['0 - 12', '  ']"
2749,r027,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['4,871', '  ']","['42', 'i ']","['57', '  ']","['2', '  ']","['14', '  ']","['577', '  ']","['94', '  ']","['339', '  ']","['*', 'i ']","['845', '  ']","['0', '  ']","['65', '  ']","['*', '  ']","['4', '  ']","['37', '  ']","['4', 'i ']","['62', '  ']","['0', '  ']","['9', '  ']","['493', '  ']","['1', '  ']","['1', '  ']","['5', '  ']","['75', 'i ']"
2749,r028,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 44–45, 48–49, 52–53, 55–56, 621–24, 71–72, 81","['5,002', 'i ']","['1', '  ']","['95', 'i ']","['3', '  ']","['17', 'i ']","['21', 'i ']","['221', 'i ']","['299', 'i ']","['39', '  ']","['651', 'i ']","['*', '  ']","['371', 'i ']","['5', '  ']","['15', 'i ']","['238', 'i ']","['91', 'i ']","['9', 'i ']","['53', '  ']","['21', 'i ']","['92', 'i ']","['36', 'i ']","['31', 'i ']","['5', 'i ']","['33 - 53', '  ']"
2749,r029,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['100,376', '  ']","['298', '  ']","['1,529', '  ']","['129', '  ']","['1,532', '  ']","['2,948', '  ']","['1,953', '  ']","['7,867', '  ']","['347', '  ']","['9,521', '  ']","['28', '  ']","['3,986', '  ']","['879', '  ']","['154', '  ']","['3,889', '  ']","['1,381', '  ']","['1,772', '  ']","['362', '  ']","['905', '  ']","['5,099', '  ']","['253', '  ']","['236', '  ']","['92', '  ']","['777', 'i ']"
2749,r030,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2749,r031,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['128', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['4', '  ']","['10', '  ']","['*', '  ']","['9', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['14', '  ']","['3', '  ']","['0', '  ']","['2', '  ']","['6', 'i ']","['1', 'i ']","['*', '  ']","['0', '  ']","['16', 'i ']"
2749,r032,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['569', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['4', '  ']","['12', '  ']","['78', '  ']","['2', '  ']","['74', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['*', '  ']","['5', '  ']","['6', '  ']","['34', '  ']","['0', '  ']","['2', '  ']","['8', '  ']","['*', '  ']","['*', 'i ']","['0', '  ']","['12', 'i ']"
2749,r033,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2749,r034,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['692', '  ']","['1', '  ']","['4', '  ']","['1', '  ']","['1', '  ']","['1', '  ']","['30', '  ']","['51', '  ']","['1', '  ']","['139', '  ']","['*', '  ']","['10', '  ']","['1', '  ']","['3', '  ']","['13', '  ']","['6', '  ']","['24', '  ']","['1', '  ']","['3', '  ']","['83', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['10', 'i ']"
2749,r035,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,872', '  ']","['*', '  ']","['3', '  ']","['1', '  ']","['8', '  ']","['33', '  ']","['7', '  ']","['242', '  ']","['36', '  ']","['110', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['1', '  ']","['74', '  ']","['9', '  ']","['103', '  ']","['1', '  ']","['7', '  ']","['123', '  ']","['3', '  ']","['7', '  ']","['0', '  ']","['8', 'i ']"
2749,r036,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2749,r037,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,179', '  ']","['12', '  ']","['14', '  ']","['1', '  ']","['48', 'i ']","['7', '  ']","['11', '  ']","['208', '  ']","['28', '  ']","['206', '  ']","['*', '  ']","['37', '  ']","['3', '  ']","['*', '  ']","['97', '  ']","['96', '  ']","['113', '  ']","['1', '  ']","['56', '  ']","['142', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['12', 'i ']"
2749,r038,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,557', '  ']","['10', '  ']","['21', '  ']","['2', '  ']","['36', '  ']","['7', '  ']","['41', '  ']","['228', '  ']","['30', '  ']","['163', '  ']","['*', '  ']","['131', '  ']","['56', '  ']","['4', '  ']","['63', '  ']","['14', '  ']","['61', '  ']","['9', '  ']","['9', '  ']","['82', '  ']","['2', '  ']","['2', '  ']","['4', '  ']","['65', '  ']"
2749,r039,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['15,184', '  ']","['51', '  ']","['139', '  ']","['8', '  ']","['95', '  ']","['43', '  ']","['312', '  ']","['1,338', '  ']","['62', 'i ']","['1,798', '  ']","['7', 'i ']","['294', '  ']","['57', '  ']","['43', '  ']","['290', '  ']","['78', '  ']","['213', '  ']","['66', '  ']","['157', 'i ']","['619', '  ']","['7', '  ']","['37', '  ']","['1', '  ']","['232', 'i ']"
2749,r040,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['15,538', '  ']","['103', '  ']","['135', '  ']","['25', 'i ']","['113', 'i ']","['1,004', 'i ']","['212', '  ']","['873', 'i ']","['61', 'i ']","['1,275', '  ']","['1', '  ']","['1,122', '  ']","['305', 'i ']","['19', '  ']","['567', '  ']","['194', 'i ']","['198', 'i ']","['211', '  ']","['176', 'i ']","['366', '  ']","['24', '  ']","['90', '  ']","['6', '  ']","['235', 'i ']"
2749,r041,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['22,356', '  ']","['87', '  ']","['456', '  ']","['30', '  ']","['171', '  ']","['878', '  ']","['287', '  ']","['1,427', '  ']","['44', '  ']","['2,119', '  ']","['13', '  ']","['1,075', '  ']","['18', '  ']","['55', '  ']","['2,194', '  ']","['252', '  ']","['227', '  ']","['18', '  ']","['279', '  ']","['503', '  ']","['52', '  ']","['46', '  ']","['16', '  ']","['2', 'i ']"
2749,r042,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['39,301', '  ']","['33', '  ']","['756', '  ']","['61', '  ']","['1,060', '  ']","['970', '  ']","['1,038', '  ']","['3,412', '  ']","['82', '  ']","['3,627', '  ']","['6', '  ']","['1,305', '  ']","['439', '  ']","['28', '  ']","['587', '  ']","['711', '  ']","['797', '  ']","['54', '  ']","['215', '  ']","['3,167', '  ']","['162', '  ']","['52', 'i ']","['65', '  ']","['184', 'i ']"
