table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_hierarchy_depth,field_1975,field_1980,field_1985,field_1990,field_1995,field_2000,field_2005,field_2010,field_2015,field_2020
4654,r014,All fields -> Mathematics and computer sciences -> U.S. citizen or permanent resident,All fields,Mathematics and computer sciences,U.S. citizen or permanent resident,3,924,752,632,828,1389,1035,1011,1599,1663,1736
4654,r015,All fields -> Mathematics and computer sciences -> Temporary visa holder,All fields,Mathematics and computer sciences,Temporary visa holder,3,197,183,332,699,749,807,1200,1446,1917,2475
4654,r016,All fields -> Mathematics and computer sciences -> Unknown,All fields,Mathematics and computer sciences,Unknown,3,26,27,34,70,49,68,123,178,238,181
4654,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6325,6118,6027,6331,6930,7452,7149,7882,9073,8946
4654,r018,All fields -> Psychology and social sciences -> U.S. citizen or permanent resident,All fields,Psychology and social sciences,U.S. citizen or permanent resident,3,5638,5407,4994,5078,5652,5930,5252,5803,6685,6605
4654,r019,All fields -> Psychology and social sciences -> Temporary visa holder,All fields,Psychology and social sciences,Temporary visa holder,3,581,535,721,983,1115,1148,1464,1553,1622,1832
4654,r020,All fields -> Psychology and social sciences -> Unknown,All fields,Psychology and social sciences,Unknown,3,106,176,312,270,163,374,433,526,766,509
4654,r021,All fields -> Engineering,All fields,Engineering,,2,3002,2479,3166,4894,6008,5323,6426,7578,9875,10476
4654,r022,All fields -> Engineering -> U.S. citizen or permanent resident,All fields,Engineering,U.S. citizen or permanent resident,3,2138,1555,1594,2349,3343,2575,2288,3332,4219,4154
4654,r023,All fields -> Engineering -> Temporary visa holder,All fields,Engineering,Temporary visa holder,3,819,861,1423,2286,2527,2451,3756,3866,5108,5955
4654,r024,All fields -> Engineering -> Unknown,All fields,Engineering,Unknown,3,45,63,149,259,138,297,382,380,548,367
4654,r025,All fields -> Education,All fields,Education,,2,7360,7586,6733,6509,6648,6442,6227,5287,5098,4716
4654,r026,All fields -> Education -> U.S. citizen or permanent resident,All fields,Education,U.S. citizen or permanent resident,3,6934,6864,5909,5789,5993,5686,5255,4476,4196,3896
4654,r027,All fields -> Education -> Temporary visa holder,All fields,Education,Temporary visa holder,3,352,515,577,506,506,539,536,478,539,661
4654,r028,All fields -> Education -> Unknown,All fields,Education,Unknown,3,74,207,247,214,149,217,436,333,363,159
4654,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4965,3803,3406,3854,5040,5462,5187,5015,5594,4939
4654,r030,All fields -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Humanities and arts,U.S. citizen or permanent resident,3,4667,3501,3024,3372,4360,4604,4036,4029,4478,3915
4654,r031,All fields -> Humanities and arts -> Temporary visa holder,All fields,Humanities and arts,Temporary visa holder,3,211,179,232,384,591,665,806,667,713,742
4654,r032,All fields -> Humanities and arts -> Unknown,All fields,Humanities and arts,Unknown,3,87,123,150,98,89,193,345,319,403,282
4654,r033,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,2,1417,1461,1652,2013,2396,2087,2393,2729,3019,3006
4654,r034,All fields -> Other<sup>b</sup> -> U.S. citizen or permanent resident,All fields,Other<sup>b</sup>,U.S. citizen or permanent resident,3,1236,1229,1246,1424,1827,1489,1477,1691,1879,1738
4654,r035,All fields -> Other<sup>b</sup> -> Temporary visa holder,All fields,Other<sup>b</sup>,Temporary visa holder,3,152,188,299,503,511,513,729,816,867,1076
4654,r036,All fields -> Other<sup>b</sup> -> Unknown,All fields,Other<sup>b</sup>,Unknown,3,29,44,107,86,58,85,187,222,273,192
