table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6538,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['330', '&nbsp;']","['343', '&nbsp;']","['363', '&nbsp;']","['191', '&nbsp;']","['262', '&nbsp;']","['300', '&nbsp;']","['475', '  ']","['772 - 852', '  ']","['1,021', '&nbsp;']","['1,371', '&nbsp;']"
6538,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['324', '&nbsp;']","['342', '&nbsp;']","['58', 'i']","['55', '&nbsp;']","['68', '&nbsp;']","['27', '  ']","['0 - 79', '  ']","['6', '&nbsp;']","['45', '&nbsp;']"
6538,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['19', '&nbsp;']","['21', 'i']","['133', '&nbsp;']","['207', '&nbsp;']","['232', '&nbsp;']","['448', '  ']","['773', '  ']","['1,015', '&nbsp;']","['1,326', '&nbsp;']"
6538,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['37,954', '&nbsp;']","['42,380', '&nbsp;']","['31,798', '&nbsp;']","['33,307', '&nbsp;']","['34,121', '&nbsp;']","['30,926', '&nbsp;']","['31,461', 'i']","['38,601', '&nbsp;']","['33,839 - 43,338', '  ']","['36,024', '  ']","['45,575', '&nbsp;']","['53,233', '&nbsp;']"
6538,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['3,422', '&nbsp;']","['3,258', '&nbsp;']","['4,008', '&nbsp;']","['3,114', '&nbsp;']","['2,483', 'i']","['3,132', '&nbsp;']","['3,309', '&nbsp;']","['4,100', 'i']","['0 - 9,499', '  ']","['2,525', '  ']","['3,463 - 4,007', '&nbsp;']","['4,207', '&nbsp;']"
6538,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['12,146', '&nbsp;']","['13,351', '&nbsp;']","['10,359', '&nbsp;']","['10,938', '&nbsp;']","['11,006', 'i']","['9,241', 'i']","['11,053', 'i']","['14,334', '&nbsp;']","['15,484', '  ']","['13,702', '  ']","['16,553', '&nbsp;']","['21,046', '&nbsp;']"
6538,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['17,913', '&nbsp;']","['16,402', '&nbsp;']","['13,712', '&nbsp;']","['15,713', '&nbsp;']","['16,415', '&nbsp;']","['14,219', '&nbsp;']","['13,324', '&nbsp;']","['16,249', '&nbsp;']","['14,778', '  ']","['16,029', '  ']","['20,225', '&nbsp;']","['21,669', '&nbsp;']"
6538,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['NA', '&nbsp;']","['7,809', '&nbsp;']","['5,537', '&nbsp;']","['7,043', '&nbsp;']","['7,387', '&nbsp;']","['4,492', '&nbsp;']","['3,459', '&nbsp;']","['5,594', 'i']","['4,445', '  ']","['4,207', '  ']","['5,848', '&nbsp;']","['6,457', '&nbsp;']"
6538,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['NA', '&nbsp;']","['7,916', '&nbsp;']","['7,628', '&nbsp;']","['8,058', '&nbsp;']","['8,431', '&nbsp;']","['8,935', '&nbsp;']","['9,187', '&nbsp;']","['9,950', '&nbsp;']","['9,613', '  ']","['10,946', '  ']","['13,707', '&nbsp;']","['14,446', 'i']"
6538,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['NA', '&nbsp;']","['676', '&nbsp;']","['547', '&nbsp;']","['612', '&nbsp;']","['598', '&nbsp;']","['792', '&nbsp;']","['678', '&nbsp;']","['705', '&nbsp;']","['719', '  ']","['876', '  ']","['671', '&nbsp;']","['766', '&nbsp;']"
6538,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['4,474', '&nbsp;']","['9,370', '&nbsp;']","['3,720', '&nbsp;']","['3,542', '&nbsp;']","['4,216', '&nbsp;']","['4,334', '&nbsp;']","['3,775', '&nbsp;']","['3,918', '&nbsp;']","['3,579', '  ']","['3,770', '  ']","['4,788 - 5,332', '&nbsp;']","['6,312', '&nbsp;']"
6538,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['NA', '&nbsp;']","['NA', '&nbsp;']","['1,049', '&nbsp;']","['542', '&nbsp;']","['672', 'i']","['528', 'i']","['501', 'i']","['758', 'i']","['848', '  ']","['921', '  ']","['1,475', '&nbsp;']","['2,265', '&nbsp;']"
6538,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,181', '&nbsp;']","['1,635', '&nbsp;']","['D', '&nbsp;']","['857', 'i']","['D', '&nbsp;']","['1,055', 'i ']","['1,503', '  ']","['2,163', '&nbsp;']","['1,380 - 14,067', '&nbsp;']"
6538,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['290,680', '&nbsp;']","['282,505', '&nbsp;']","['279,289', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,671', '&nbsp;']","['378,590', '  ']","['396,979', '  ']","['443,633', '&nbsp;']","['492,956', '&nbsp;']"
6538,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6538,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,614', '&nbsp;']","['4,060', '&nbsp;']","['2,926', 'i']","['3,390', 'i']","['3,314', 'i']","['2,983', 'i']","['1,583', 'i ']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']"
6538,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6538,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,674', 'i']","['4,930', 'i ']","['3,390', '  ']","['4,383', '&nbsp;']","['5,501', '&nbsp;']"
6538,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,281', 'i']","['9,635', 'i ']","['9,084', '  ']","['11,255', '&nbsp;']","['12,418', '&nbsp;']"
6538,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6538,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['9,351', '&nbsp;']","['13,277', '&nbsp;']","['8,781', '&nbsp;']","['9,295', '&nbsp;']","['9,100', 'i']","['8,939', '&nbsp;']","['10,130', 'i']","['11,538', '&nbsp;']","['9,275', '  ']","['10,164', '  ']","['12,412', '&nbsp;']","['14,021', '&nbsp;']"
6538,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['14,662', '&nbsp;']","['12,791', '&nbsp;']","['11,631', '&nbsp;']","['12,303', '&nbsp;']","['12,454', '&nbsp;']","['13,704', '&nbsp;']","['13,606', '&nbsp;']","['13,586', '&nbsp;']","['14,860', '  ']","['17,205', '  ']","['18,611', '&nbsp;']","['19,793', '&nbsp;']"
6538,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
6538,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['10,219', '&nbsp;']","['11,330', '&nbsp;']","['10,194', '&nbsp;']","['13,013', '&nbsp;']","['11,387', '&nbsp;']","['12,021', '&nbsp;']","['12,228', '&nbsp;']","['13,686', '&nbsp;']","['12,978', '  ']","['14,312', '  ']","['19,775', '&nbsp;']","['18,883', '&nbsp;']"
6538,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['11,886', '&nbsp;']","['10,131', '&nbsp;']","['10,053', '&nbsp;']","['9,993', '&nbsp;']","['11,499', '&nbsp;']","['12,013', '&nbsp;']","['13,129', '&nbsp;']","['15,005', '&nbsp;']","['14,441', '  ']","['17,736', '  ']","['17,753', '&nbsp;']","['23,969', '&nbsp;']"
6538,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['46,336', '&nbsp;']","['44,197', '&nbsp;']","['49,108', '&nbsp;']","['51,110', '&nbsp;']","['50,311', '&nbsp;']","['55,974', '&nbsp;']","['57,336', '&nbsp;']","['57,998', '&nbsp;']","['63,431', '  ']","['64,838', '  ']","['68,764', '&nbsp;']","['75,671', '&nbsp;']"
6538,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['24,764', '&nbsp;']","['21,769', '&nbsp;']","['27,546', '&nbsp;']","['24,452', '&nbsp;']","['30,708', '&nbsp;']","['31,657', '&nbsp;']","['38,327', '&nbsp;']","['38,858', '&nbsp;']","['40,530', '  ']","['40,340', '  ']","['45,509', '&nbsp;']","['50,811', '&nbsp;']"
6538,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['48,737', '&nbsp;']","['51,239', '&nbsp;']","['41,853', '&nbsp;']","['49,107', '&nbsp;']","['50,226', '&nbsp;']","['51,103', '&nbsp;']","['54,452', '&nbsp;']","['59,330', '&nbsp;']","['66,032', '  ']","['73,540', '  ']","['86,463', '&nbsp;']","['88,263', '&nbsp;']"
6538,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['100,820', '&nbsp;']","['97,056', '&nbsp;']","['99,291', '&nbsp;']","['102,222', '&nbsp;']","['110,042', '&nbsp;']","['119,493', '&nbsp;']","['122,533', '&nbsp;']","['126,732', '&nbsp;']","['140,895', '  ']","['146,369', '  ']","['158,707', '&nbsp;']","['183,626', '&nbsp;']"
