table_id,row_id,time_period,_millions_level_1,_millions_level_2,_millions_hierarchy_depth,value
12588,r188,R&D budget authority -> 1986,$millions,National defense,2,36926
12588,r189,R&D budget authority -> 1986,$millions,Civilian functions,2,16323
12588,r190,R&D budget authority -> 1986,% distribution,Total,2,100.0
12588,r191,R&D budget authority -> 1986,% distribution,National defense,2,69.3
12588,r192,R&D budget authority -> 1986,% distribution,Civilian functions,2,30.7
12588,r193,R&D budget authority -> 1987,$millions,Total,2,57069
12588,r194,R&D budget authority -> 1987,$millions,National defense,2,39152
12588,r195,R&D budget authority -> 1987,$millions,Civilian functions,2,17917
12588,r196,R&D budget authority -> 1987,% distribution,Total,2,100.0
12588,r197,R&D budget authority -> 1987,% distribution,National defense,2,68.6
12588,r198,R&D budget authority -> 1987,% distribution,Civilian functions,2,31.4
12588,r199,R&D budget authority -> 1988,$millions,Total,2,59106
12588,r200,R&D budget authority -> 1988,$millions,National defense,2,40099
12588,r201,R&D budget authority -> 1988,$millions,Civilian functions,2,19007
12588,r202,R&D budget authority -> 1988,% distribution,Total,2,100.0
12588,r203,R&D budget authority -> 1988,% distribution,National defense,2,67.8
12588,r204,R&D budget authority -> 1988,% distribution,Civilian functions,2,32.2
12588,r205,R&D budget authority -> 1989,$millions,Total,2,62115
12588,r206,R&D budget authority -> 1989,$millions,National defense,2,40642
12588,r207,R&D budget authority -> 1989,$millions,Civilian functions,2,21473
12588,r208,R&D budget authority -> 1989,% distribution,Total,2,100.0
12588,r209,R&D budget authority -> 1989,% distribution,National defense,2,65.5
12588,r210,R&D budget authority -> 1989,% distribution,Civilian functions,2,34.5
12588,r211,R&D budget authority -> 1990,$millions,Total,2,63781
12588,r212,R&D budget authority -> 1990,$millions,National defense,2,39925
12588,r213,R&D budget authority -> 1990,$millions,Civilian functions,2,23856
12588,r214,R&D budget authority -> 1990,% distribution,Total,2,100.0
12588,r215,R&D budget authority -> 1990,% distribution,National defense,2,62.6
12588,r216,R&D budget authority -> 1990,% distribution,Civilian functions,2,37.4
12588,r217,R&D budget authority -> 1991,$millions,Total,2,65898
12588,r218,R&D budget authority -> 1991,$millions,National defense,2,39328
12588,r219,R&D budget authority -> 1991,$millions,Civilian functions,2,26570
12588,r220,R&D budget authority -> 1991,% distribution,Total,2,100.0
12588,r221,R&D budget authority -> 1991,% distribution,National defense,2,59.7
12588,r222,R&D budget authority -> 1991,% distribution,Civilian functions,2,40.3
12588,r223,R&D budget authority -> 1992,$millions,Total,2,68398
12588,r224,R&D budget authority -> 1992,$millions,National defense,2,40083
12588,r225,R&D budget authority -> 1992,$millions,Civilian functions,2,28315
12588,r226,R&D budget authority -> 1992,% distribution,Total,2,100.0
12588,r227,R&D budget authority -> 1992,% distribution,National defense,2,58.6
12588,r228,R&D budget authority -> 1992,% distribution,Civilian functions,2,41.4
12588,r229,R&D budget authority -> 1993,$millions,Total,2,69884
12588,r230,R&D budget authority -> 1993,$millions,National defense,2,41249
12588,r231,R&D budget authority -> 1993,$millions,Civilian functions,2,28635
12588,r232,R&D budget authority -> 1993,% distribution,Total,2,100.0
12588,r233,R&D budget authority -> 1993,% distribution,National defense,2,59.0
12588,r234,R&D budget authority -> 1993,% distribution,Civilian functions,2,41.0
12588,r235,R&D budget authority -> 1994,$millions,Total,2,68331
12588,r236,R&D budget authority -> 1994,$millions,National defense,2,37764
12588,r237,R&D budget authority -> 1994,$millions,Civilian functions,2,30566
12588,r238,R&D budget authority -> 1994,% distribution,Total,2,100.0
12588,r239,R&D budget authority -> 1994,% distribution,National defense,2,55.3
12588,r240,R&D budget authority -> 1994,% distribution,Civilian functions,2,44.7
12588,r241,R&D budget authority -> 1995,$millions,Total,2,68791
12588,r242,R&D budget authority -> 1995,$millions,National defense,2,37204
12588,r243,R&D budget authority -> 1995,$millions,Civilian functions,2,31587
12588,r244,R&D budget authority -> 1995,% distribution,Total,2,100.0
12588,r245,R&D budget authority -> 1995,% distribution,National defense,2,54.1
12588,r246,R&D budget authority -> 1995,% distribution,Civilian functions,2,45.9
12588,r247,R&D budget authority -> 1996,$millions,Total,2,69049
12588,r248,R&D budget authority -> 1996,$millions,National defense,2,37801
12588,r249,R&D budget authority -> 1996,$millions,Civilian functions,2,31248
12588,r250,R&D budget authority -> 1996,% distribution,Total,2,100.0
12588,r251,R&D budget authority -> 1996,% distribution,National defense,2,54.7
12588,r252,R&D budget authority -> 1996,% distribution,Civilian functions,2,45.3
12588,r253,R&D budget authority -> 1997,$millions,Total,2,71653
12588,r254,R&D budget authority -> 1997,$millions,National defense,2,39591
12588,r255,R&D budget authority -> 1997,$millions,Civilian functions,2,32062
12588,r256,R&D budget authority -> 1997,% distribution,Total,2,100.0
12588,r257,R&D budget authority -> 1997,% distribution,National defense,2,55.3
12588,r258,R&D budget authority -> 1997,% distribution,Civilian functions,2,44.7
12588,r259,R&D budget authority -> 1998,$millions,Total,2,73569
12588,r260,R&D budget authority -> 1998,$millions,National defense,2,39823
12588,r261,R&D budget authority -> 1998,$millions,Civilian functions,2,33746
12588,r262,R&D budget authority -> 1998,% distribution,Total,2,100.0
12588,r263,R&D budget authority -> 1998,% distribution,National defense,2,54.1
12588,r264,R&D budget authority -> 1998,% distribution,Civilian functions,2,45.9
12588,r265,R&D budget authority -> 1999,$millions,Total,2,77637
12588,r266,R&D budget authority -> 1999,$millions,National defense,2,41306
12588,r267,R&D budget authority -> 1999,$millions,Civilian functions,2,36332
12588,r268,R&D budget authority -> 1999,% distribution,Total,2,100.0
12588,r269,R&D budget authority -> 1999,% distribution,National defense,2,53.2
12588,r270,R&D budget authority -> 1999,% distribution,Civilian functions,2,46.8
12588,r271,R&D and R&D plant budget authority -> 2000,$millions,Total,2,83581
12588,r272,R&D and R&D plant budget authority -> 2000,$millions,National defense,2,43161
12588,r273,R&D and R&D plant budget authority -> 2000,$millions,Civilian functions,2,40420
12588,r274,R&D and R&D plant budget authority -> 2000,% distribution,Total,2,100.0
12588,r275,R&D and R&D plant budget authority -> 2000,% distribution,National defense,2,51.6
12588,r276,R&D and R&D plant budget authority -> 2000,% distribution,Civilian functions,2,48.4
12588,r277,R&D and R&D plant budget authority -> 2001,$millions,Total,2,91505
12588,r278,R&D and R&D plant budget authority -> 2001,$millions,National defense,2,46202
12588,r279,R&D and R&D plant budget authority -> 2001,$millions,Civilian functions,2,45303
12588,r280,R&D and R&D plant budget authority -> 2001,% distribution,Total,2,100.0
12588,r281,R&D and R&D plant budget authority -> 2001,% distribution,National defense,2,50.5
12588,r282,R&D and R&D plant budget authority -> 2001,% distribution,Civilian functions,2,49.5
12588,r283,R&D and R&D plant budget authority -> 2002,$millions,Total,2,103057
12588,r284,R&D and R&D plant budget authority -> 2002,$millions,National defense,2,53731
12588,r285,R&D and R&D plant budget authority -> 2002,$millions,Civilian functions,2,49326
12588,r286,R&D and R&D plant budget authority -> 2002,% distribution,Total,2,100.0
12588,r287,R&D and R&D plant budget authority -> 2002,% distribution,National defense,2,52.1
12588,r288,R&D and R&D plant budget authority -> 2002,% distribution,Civilian functions,2,47.9
12588,r289,R&D and R&D plant budget authority -> 2003,$millions,Total,2,118065
12588,r290,R&D and R&D plant budget authority -> 2003,$millions,National defense,2,63708
12588,r291,R&D and R&D plant budget authority -> 2003,$millions,Civilian functions,2,54357
12588,r292,R&D and R&D plant budget authority -> 2003,% distribution,Total,2,100.0
12588,r293,R&D and R&D plant budget authority -> 2003,% distribution,National defense,2,54.0
12588,r294,R&D and R&D plant budget authority -> 2003,% distribution,Civilian functions,2,46.0
12588,r295,R&D and R&D plant budget authority -> 2004,$millions,Total,2,126270
12588,r296,R&D and R&D plant budget authority -> 2004,$millions,National defense,2,70344
12588,r297,R&D and R&D plant budget authority -> 2004,$millions,Civilian functions,2,55926
12588,r298,R&D and R&D plant budget authority -> 2004,% distribution,Total,2,100.0
12588,r299,R&D and R&D plant budget authority -> 2004,% distribution,National defense,2,55.7
12588,r300,R&D and R&D plant budget authority -> 2004,% distribution,Civilian functions,2,44.3
12588,r301,R&D and R&D plant budget authority -> 2005,$millions,Total,2,131259
12588,r302,R&D and R&D plant budget authority -> 2005,$millions,National defense,2,74641
12588,r303,R&D and R&D plant budget authority -> 2005,$millions,Civilian functions,2,56618
12588,r304,R&D and R&D plant budget authority -> 2005,% distribution,Total,2,100.0
12588,r305,R&D and R&D plant budget authority -> 2005,% distribution,National defense,2,56.9
12588,r306,R&D and R&D plant budget authority -> 2005,% distribution,Civilian functions,2,43.1
12588,r307,R&D and R&D plant budget authority -> 2006,$millions,Total,2,136019
12588,r308,R&D and R&D plant budget authority -> 2006,$millions,National defense,2,78737
12588,r309,R&D and R&D plant budget authority -> 2006,$millions,Civilian functions,2,57282
12588,r310,R&D and R&D plant budget authority -> 2006,% distribution,Total,2,100.0
12588,r311,R&D and R&D plant budget authority -> 2006,% distribution,National defense,2,57.9
12588,r312,R&D and R&D plant budget authority -> 2006,% distribution,Civilian functions,2,42.1
12588,r313,R&D and R&D plant budget authority -> 2007,$millions,Total,2,141890
12588,r314,R&D and R&D plant budget authority -> 2007,$millions,National defense,2,82658
12588,r315,R&D and R&D plant budget authority -> 2007,$millions,Civilian functions,2,59232
12588,r316,R&D and R&D plant budget authority -> 2007,% distribution,Total,2,100.0
12588,r317,R&D and R&D plant budget authority -> 2007,% distribution,National defense,2,58.3
12588,r318,R&D and R&D plant budget authority -> 2007,% distribution,Civilian functions,2,41.7
12588,r319,R&D and R&D plant budget authority -> 2008,$millions,Total,2,144391
12588,r320,R&D and R&D plant budget authority -> 2008,$millions,National defense,2,85129
12588,r321,R&D and R&D plant budget authority -> 2008,$millions,Civilian functions,2,59262
12588,r322,R&D and R&D plant budget authority -> 2008,% distribution,Total,2,100.0
12588,r323,R&D and R&D plant budget authority -> 2008,% distribution,National defense,2,59.0
12588,r324,R&D and R&D plant budget authority -> 2008,% distribution,Civilian functions,2,41.0
12588,r325,R&D and R&D plant budget authority -> 2009<sup>a</sup>,$millions,Total,2,164292
12588,r326,R&D and R&D plant budget authority -> 2009<sup>a</sup>,$millions,National defense,2,85642
12588,r327,R&D and R&D plant budget authority -> 2009<sup>a</sup>,$millions,Civilian functions,2,78650
12588,r328,R&D and R&D plant budget authority -> 2009<sup>a</sup>,% distribution,Total,2,100.0
12588,r329,R&D and R&D plant budget authority -> 2009<sup>a</sup>,% distribution,National defense,2,52.1
12588,r330,R&D and R&D plant budget authority -> 2009<sup>a</sup>,% distribution,Civilian functions,2,47.9
12588,r331,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,$millions,Total,2,145553
12588,r332,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,$millions,National defense,2,85342
12588,r333,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,$millions,Civilian functions,2,60211
12588,r334,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,% distribution,Total,2,100.0
12588,r335,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,% distribution,National defense,2,58.6
12588,r336,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> Non-ARRA,% distribution,Civilian functions,2,41.4
12588,r337,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,$millions,Total,2,18739
12588,r338,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,$millions,National defense,2,300
12588,r339,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,$millions,Civilian functions,2,18439
12588,r340,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,% distribution,Total,2,100.0
12588,r341,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,% distribution,National defense,2,1.6
12588,r342,R&D and R&D plant budget authority -> 2009<sup>a</sup> -> ARRA,% distribution,Civilian functions,2,98.4
12588,r343,R&D and R&D plant budget authority -> 2010,$millions,Total,2,148962
12588,r344,R&D and R&D plant budget authority -> 2010,$millions,National defense,2,86789
12588,r345,R&D and R&D plant budget authority -> 2010,$millions,Civilian functions,2,62173
12588,r346,R&D and R&D plant budget authority -> 2010,% distribution,Total,2,100.0
12588,r347,R&D and R&D plant budget authority -> 2010,% distribution,National defense,2,58.3
12588,r348,R&D and R&D plant budget authority -> 2010,% distribution,Civilian functions,2,41.7
12588,r349,R&D and R&D plant budget authority -> 2011,$millions,Total,2,144379
12588,r350,R&D and R&D plant budget authority -> 2011,$millions,National defense,2,83226
12588,r351,R&D and R&D plant budget authority -> 2011,$millions,Civilian functions,2,61153
12588,r352,R&D and R&D plant budget authority -> 2011,% distribution,Total,2,100.0
12588,r353,R&D and R&D plant budget authority -> 2011,% distribution,National defense,2,57.6
12588,r354,R&D and R&D plant budget authority -> 2011,% distribution,Civilian functions,2,42.4
12588,r355,R&D and R&D plant budget authority -> 2012,$millions,Total,2,143737
12588,r356,R&D and R&D plant budget authority -> 2012,$millions,National defense,2,79875
12588,r357,R&D and R&D plant budget authority -> 2012,$millions,Civilian functions,2,63862
12588,r358,R&D and R&D plant budget authority -> 2012,% distribution,Total,2,100.0
12588,r359,R&D and R&D plant budget authority -> 2012,% distribution,National defense,2,55.6
12588,r360,R&D and R&D plant budget authority -> 2012,% distribution,Civilian functions,2,44.4
12588,r361,R&D and R&D plant budget authority -> 2013,$millions,Total,2,132477
12588,r362,R&D and R&D plant budget authority -> 2013,$millions,National defense,2,70781
12588,r363,R&D and R&D plant budget authority -> 2013,$millions,Civilian functions,2,61696
12588,r364,R&D and R&D plant budget authority -> 2013,% distribution,Total,2,100.0
12588,r365,R&D and R&D plant budget authority -> 2013,% distribution,National defense,2,53.4
12588,r366,R&D and R&D plant budget authority -> 2013,% distribution,Civilian functions,2,46.6
12588,r367,R&D and R&D plant budget authority -> 2014,$millions,Total,2,136159
12588,r368,R&D and R&D plant budget authority -> 2014,$millions,National defense,2,70992
12588,r369,R&D and R&D plant budget authority -> 2014,$millions,Civilian functions,2,65167
12588,r370,R&D and R&D plant budget authority -> 2014,% distribution,Total,2,100.0
12588,r371,R&D and R&D plant budget authority -> 2014,% distribution,National defense,2,52.1
12588,r372,R&D and R&D plant budget authority -> 2014,% distribution,Civilian functions,2,47.9
12588,r373,R&D and R&D plant budget authority -> 2015,$millions,Total,2,138544
12588,r374,R&D and R&D plant budget authority -> 2015,$millions,National defense,2,72950
12588,r375,R&D and R&D plant budget authority -> 2015,$millions,Civilian functions,2,65594
12588,r376,R&D and R&D plant budget authority -> 2015,% distribution,Total,2,100.0
12588,r377,R&D and R&D plant budget authority -> 2015,% distribution,National defense,2,52.7
12588,r378,R&D and R&D plant budget authority -> 2015,% distribution,Civilian functions,2,47.3
12588,r379,R&D and R&D plant budget authority -> 2016,$millions,Total,2,150393
12588,r380,R&D and R&D plant budget authority -> 2016,$millions,National defense,2,80202
12588,r381,R&D and R&D plant budget authority -> 2016,$millions,Civilian functions,2,70191
12588,r382,R&D and R&D plant budget authority -> 2016,% distribution,Total,2,100.0
12588,r383,R&D and R&D plant budget authority -> 2016,% distribution,National defense,2,53.3
12588,r384,R&D and R&D plant budget authority -> 2016,% distribution,Civilian functions,2,46.7
12588,r385,R&D and R&D plant budget authority -> 2017<sup>b</sup>,$millions,Total,2,127306
12588,r386,R&D and R&D plant budget authority -> 2017<sup>b</sup>,$millions,National defense,2,57530
12588,r387,R&D and R&D plant budget authority -> 2017<sup>b</sup>,$millions,Civilian functions,2,69776
12588,r388,R&D and R&D plant budget authority -> 2017<sup>b</sup>,% distribution,Total,2,100.0
