table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere
2377,r020,United States<sup>f</sup> -> Louisiana,United States<sup>f</sup>,Louisiana,2,35142,10974,24168,21247,2706,215
2377,r021,United States<sup>f</sup> -> Maine,United States<sup>f</sup>,Maine,2,32593,3051,29541,3209,23393,2940
2377,r022,United States<sup>f</sup> -> Maryland,United States<sup>f</sup>,Maryland,2,29108,989,28118,25175,1703,1241
2377,r023,United States<sup>f</sup> -> Massachusetts,United States<sup>f</sup>,Massachusetts,2,28425,8798,19627,8960,9123,1545
2377,r024,United States<sup>f</sup> -> Michigan,United States<sup>f</sup>,Michigan,2,8023,336,7687,4128,732,2826
2377,r025,United States<sup>f</sup> -> Minnesota,United States<sup>f</sup>,Minnesota,2,20151,2028,18123,11790,3284,3049
2377,r026,United States<sup>f</sup> -> Mississippi,United States<sup>f</sup>,Mississippi,2,12170,1756,10415,5478,2777,2160
2377,r027,United States<sup>f</sup> -> Missouri,United States<sup>f</sup>,Missouri,2,15056,8242,6813,5233,1430,151
2377,r028,United States<sup>f</sup> -> Montana,United States<sup>f</sup>,Montana,2,8794,2994,5801,4974,661,165
2377,r029,United States<sup>f</sup> -> Nebraska,United States<sup>f</sup>,Nebraska,2,28168,770,27398,25379,579,1439
2377,r030,United States<sup>f</sup> -> Nevada,United States<sup>f</sup>,Nevada,2,7872,185,7687,5577,200,1910
2377,r031,United States<sup>f</sup> -> New Hampshire,United States<sup>f</sup>,New Hampshire,2,8433,132,8301,760,7060,481
2377,r032,United States<sup>f</sup> -> New Jersey,United States<sup>f</sup>,New Jersey,2,23887,2796,21091,15454,819,4817
2377,r033,United States<sup>f</sup> -> New Mexico,United States<sup>f</sup>,New Mexico,2,3586,900,2686,1403,1033,249
2377,r034,United States<sup>f</sup> -> New York,United States<sup>f</sup>,New York,2,448502,276774,171728,109788,28123,33816
2377,r035,United States<sup>f</sup> -> North Carolina,United States<sup>f</sup>,North Carolina,2,32754,18400,14354,11217,1447,1690
2377,r036,United States<sup>f</sup> -> North Dakota,United States<sup>f</sup>,North Dakota,2,12140,422,11718,9154,1328,1236
2377,r037,United States<sup>f</sup> -> Ohio,United States<sup>f</sup>,Ohio,2,97758,18343,79415,30770,47835,810
2377,r038,United States<sup>f</sup> -> Oklahoma,United States<sup>f</sup>,Oklahoma,2,29608,1685,27922,20227,1261,6435
2377,r039,United States<sup>f</sup> -> Oregon,United States<sup>f</sup>,Oregon,2,44223,24762,19461,13099,5359,1002
2377,r040,United States<sup>f</sup> -> Pennsylvania,United States<sup>f</sup>,Pennsylvania,2,85051,8579,76472,56916,2330,17225
2377,r041,United States<sup>f</sup> -> Rhode Island,United States<sup>f</sup>,Rhode Island,2,5512,2767,2745,556,1623,567
2377,r042,United States<sup>f</sup> -> South Carolina,United States<sup>f</sup>,South Carolina,2,46983,28876,18107,4550,770,12787
2377,r043,United States<sup>f</sup> -> South Dakota,United States<sup>f</sup>,South Dakota,2,2953,361,2592,1635,600,356
2377,r044,United States<sup>f</sup> -> Tennessee,United States<sup>f</sup>,Tennessee,2,7439,1711,5729,5363,203,163
2377,r045,United States<sup>f</sup> -> Texas,United States<sup>f</sup>,Texas,2,233030,3856,229175,197243,30914,1018
2377,r046,United States<sup>f</sup> -> Utah,United States<sup>f</sup>,Utah,2,7986,5046,2939,1538,1402,0
2377,r047,United States<sup>f</sup> -> Vermont,United States<sup>f</sup>,Vermont,2,2731,681,2049,1723,323,3
2377,r048,United States<sup>f</sup> -> Virginia,United States<sup>f</sup>,Virginia,2,29951,10734,19218,15785,2540,893
2377,r049,United States<sup>f</sup> -> Washington,United States<sup>f</sup>,Washington,2,51963,19987,31976,18756,5057,8163
2377,r050,United States<sup>f</sup> -> West Virginia,United States<sup>f</sup>,West Virginia,2,11068,2868,8200,8048,0,153
2377,r051,United States<sup>f</sup> -> Wisconsin,United States<sup>f</sup>,Wisconsin,2,17474,5044,12430,3653,5317,3460
2377,r052,United States<sup>f</sup> -> Wyoming,United States<sup>f</sup>,Wyoming,2,6003,1286,4716,896,3666,3666
