table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_full_time_all_full_time_total_number,field_full_time_all_full_time_total_percent,field_full_time_all_full_time_master_s_number,field_full_time_all_full_time_master_s_percent,field_full_time_all_full_time_doctoral_number,field_full_time_all_full_time_doctoral_percent,field_full_time_first_time_full_time_all_first_time_full_time_number,field_full_time_first_time_full_time_all_first_time_full_time_percent,field_full_time_first_time_full_time_master_s_number,field_full_time_first_time_full_time_master_s_percent,field_full_time_first_time_full_time_doctoral_number,field_full_time_first_time_full_time_doctoral_percent,field_part_time_all_part_time_number,field_part_time_all_part_time_percent,field_part_time_master_s_number,field_part_time_master_s_percent,field_part_time_doctoral_number,field_part_time_doctoral_percent
3497,r029,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,20743,4.1,12965,5.1,7778,3.1,7349,4.5,5674,4.9,1675,3.6,9660,5.1,8434,5.5,1226,3.6
3497,r030,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
3497,r031,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,821,0.2,457,0.2,364,0.1,267,0.2,197,0.2,70,0.2,425,0.2,338,0.2,87,0.3
3497,r032,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,16410,3.3,8992,3.5,7418,3.0,6000,3.7,4498,3.9,1502,3.2,6981,3.7,5994,3.9,987,2.9
3497,r033,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,14194,2.8,9335,3.7,4859,2.0,5185,3.2,4167,3.6,1018,2.2,9129,4.9,7670,5.0,1459,4.3
3497,r034,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,248,0.05,160,0.1,88,0.05,88,0.1,78,0.1,10,0.05,152,0.1,128,0.1,24,0.1
3497,r035,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,96150,19.1,52200,20.5,43950,17.7,31401,19.3,22919,19.7,8482,18.2,42168,22.5,34603,22.5,7565,22.3
3497,r036,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,6059,1.2,3333,1.3,2726,1.1,2034,1.2,1481,1.3,553,1.2,2436,1.3,2047,1.3,389,1.1
3497,r037,All individuals -> Female -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,Female,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,4,7482,1.5,4557,1.8,2925,1.2,2379,1.5,1878,1.6,501,1.1,5109,2.7,4471,2.9,638,1.9
3497,r038,All individuals -> Female -> Temporary visa holders,All individuals,Female,Temporary visa holders,,,3,76394,15.2,39148,15.4,37246,15.0,26355,16.2,19042,16.3,7313,15.7,10561,5.6,7628,5.0,2933,8.6
