table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_female_number,field_female_median_salary_,field_male_number,field_male_median_salary_
1634,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Other natural sciences,4,7000,79000,2000,s,4000,91000
1634,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,278000,74000,83000,62000,195000,82000
1634,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,98000,65000,35000,65000,63000,65000
1634,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,61000,77000,14000,60000,48000,86000
1634,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,11000,88000,3000,70000,9000,99000
1634,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists",4,48000,75000,10000,58000,38000,82000
1634,r041,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Oceanographers,4,2000,97000,s,s,1000,s
1634,r042,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,34000,69000,7000,39000,28000,85000
1634,r043,S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,Astronomers,4,3000,s,s,s,2000,106000
1634,r044,"S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Physicists, except biophysicists",S&E occupations,Physical and related scientists,Physicists and astronomers,"Physicists, except biophysicists",4,32000,66000,6000,43000,26000,78000
1634,r045,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,40000,73000,19000,60000,21000,77000
1634,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,,3,44000,86000,9000,68000,35000,93000
1634,r047,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Chemistry,4,15000,88000,4000,71000,11000,89000
1634,r048,"S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,"Earth, environmental, and marine sciences",4,15000,78000,4000,59000,11000,94000
1634,r049,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Physics,4,14000,91000,s,s,12000,96000
1634,r050,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,316000,75000,172000,71000,144000,84000
1634,r051,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,39000,74000,6000,100000,32000,s
1634,r052,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,12000,104000,5000,89000,7000,s
1634,r053,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,128000,75000,85000,71000,43000,85000
1634,r054,S&E occupations -> Social and related scientists -> Sociologists and anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,,3,19000,41000,14000,39000,5000,61000
1634,r055,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Anthropologists,4,9000,44000,7000,43000,3000,55000
1634,r056,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Sociologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Sociologists,4,10000,34000,7000,30000,3000,75000
1634,r057,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,35000,82000,20000,75000,15000,92000
1634,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,,3,83000,75000,42000,71000,41000,81000
1634,r059,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Economics,4,12000,90000,3000,72000,10000,103000
1634,r060,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Political science,4,13000,83000,6000,78000,7000,84000
1634,r061,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Psychology,4,26000,70000,15000,69000,11000,69000
1634,r062,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Sociology,4,11000,67000,6000,73000,5000,66000
1634,r063,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Other social sciences,4,20000,73000,12000,70000,8000,91000
1634,r064,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1377000,96000,207000,90000,1170000,97000
1634,r065,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,106000,120000,19000,99000,86000,120000
1634,r066,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,80000,98000,19000,85000,62000,100000
1634,r067,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,222000,83000,35000,81000,187000,83000
1634,r068,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,313000,104000,37000,106000,276000,104000
1634,r069,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineer &#8212; hardware,S&E occupations,Engineers,Electrical or computer hardware engineers,Computer engineer &#8212; hardware,4,55000,110000,6000,129000,49000,108000
1634,r070,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,257000,103000,31000,98000,227000,103000
1634,r071,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,55000,87000,10000,95000,45000,83000
1634,r072,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,265000,90000,17000,81000,248000,92000
1634,r073,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,299000,95000,64000,82000,235000,100000
1634,r074,S&E occupations -> Engineers -> Other engineers -> Agricultural engineers,S&E occupations,Engineers,Other engineers,Agricultural engineers,4,3000,93000,s,s,3000,93000
1634,r075,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,21000,87000,7000,82000,13000,88000
1634,r076,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,47000,77000,16000,67000,31000,79000
1634,r077,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,7000,92000,s,s,6000,89000
1634,r078,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,28000,95000,5000,93000,23000,95000
1634,r079,S&E occupations -> Engineers -> Other engineers -> Mining and geological engineers,S&E occupations,Engineers,Other engineers,Mining and geological engineers,4,3000,92000,s,s,3000,95000
1634,r080,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,18000,89000,4000,98000,14000,84000
1634,r081,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,19000,117000,3000,121000,17000,110000
1634,r082,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,55000,114000,6000,83000,49000,115000
1634,r083,S&E occupations -> Engineers -> Other engineers -> Other engineers,S&E occupations,Engineers,Other engineers,Other engineers,4,99000,97000,21000,80000,78000,99000
1634,r084,S&E occupations -> Engineers -> Postsecondary teachers &#8212; engineering,S&E occupations,Engineers,Postsecondary teachers &#8212; engineering,,3,38000,101000,6000,93000,32000,108000
1634,r085,S&E-related occupations,S&E-related occupations,,,,1,1725000,80000,609000,60000,1117000,95000
1634,r086,S&E-related occupations -> Health-related occupations,S&E-related occupations,Health-related occupations,,,2,478000,56000,310000,56000,168000,53000
1634,r087,"S&E-related occupations -> Health-related occupations -> Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",S&E-related occupations,Health-related occupations,"Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",,3,63000,60000,26000,43000,37000,123000
1634,r088,"S&E-related occupations -> Health-related occupations -> Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",S&E-related occupations,Health-related occupations,"Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",,3,126000,67000,106000,65000,20000,81000
1634,r089,"S&E-related occupations -> Health-related occupations -> Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",S&E-related occupations,Health-related occupations,"Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",,3,155000,49000,99000,56000,56000,37000
1634,r090,S&E-related occupations -> Health-related occupations -> Other health occupations,S&E-related occupations,Health-related occupations,Other health occupations,,3,119000,48000,71000,47000,47000,48000
1634,r091,S&E-related occupations -> Health-related occupations -> Postsecondary teachers &#8212; health and related sciences,S&E-related occupations,Health-related occupations,Postsecondary teachers &#8212; health and related sciences,,3,15000,114000,8000,85000,8000,121000
1634,r092,S&E-related occupations -> S&E managers,S&E-related occupations,S&E managers,,,2,515000,129000,76000,115000,439000,130000
1634,r093,S&E-related occupations -> S&E managers -> Computer and information systems managers,S&E-related occupations,S&E managers,Computer and information systems managers,,3,149000,141000,18000,128000,131000,145000
1634,r094,S&E-related occupations -> S&E managers -> Engineering managers,S&E-related occupations,S&E managers,Engineering managers,,3,266000,124000,26000,120000,240000,124000
1634,r095,S&E-related occupations -> S&E managers -> Medical and health services managers,S&E-related occupations,S&E managers,Medical and health services managers,,3,50000,102000,13000,72000,37000,104000
1634,r096,S&E-related occupations -> S&E managers -> Natural sciences managers,S&E-related occupations,S&E managers,Natural sciences managers,,3,50000,103000,18000,87000,32000,108000
1634,r097,S&E-related occupations -> S&E precollege teachers,S&E-related occupations,S&E precollege teachers,,,2,198000,51000,111000,49000,87000,56000
1634,r098,"S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; computer, mathematics, or sciences",S&E-related occupations,S&E precollege teachers,"Secondary &#8212; computer, mathematics, or sciences",,3,170000,51000,99000,49000,70000,57000
1634,r099,S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; social sciences,S&E-related occupations,S&E precollege teachers,Secondary &#8212; social sciences,,3,29000,50000,12000,51000,17000,50000
1634,r100,S&E-related occupations -> S&E technicians and technologists,S&E-related occupations,S&E technicians and technologists,,,2,500000,76000,103000,67000,397000,79000
1634,r101,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the biological and life sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the biological and life sciences,,3,80000,57000,39000,54000,41000,59000
1634,r102,"S&E-related occupations -> S&E technicians and technologists -> Computer programmers (business, scientific, process control)",S&E-related occupations,S&E technicians and technologists,"Computer programmers (business, scientific, process control)",,3,116000,95000,23000,93000,93000,100000
1634,r103,"S&E-related occupations -> S&E technicians and technologists -> Electrical, electronic, industrial, and mechanical technicians",S&E-related occupations,S&E technicians and technologists,"Electrical, electronic, industrial, and mechanical technicians",,3,158000,79000,14000,58000,143000,80000
