table_id,row_id,industry_and_naics_code_full_path,industry_and_naics_code_level_1,industry_and_naics_code_level_2,industry_and_naics_code_level_3,industry_and_naics_code_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6296,r012,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['16,371', '&nbsp;']","['13,020', '&nbsp;']","['13,293', '&nbsp;']","['19,508', '&nbsp;']","['21,936', '&nbsp;']","['21,792', '&nbsp;']","['24,644', '  ']","['24,829', '  ']","['28,980', '  ']","['32,239', '  ']"
6296,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['10,667', '&nbsp;']","['8,738', '&nbsp;']","['9,119', '&nbsp;']","['15,186', '&nbsp;']","['17,822', '&nbsp;']","['16,756', '&nbsp;']","['18,882', '  ']","['18,624', '  ']","['20,873', '  ']","['22,701', '  ']"
6296,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['4,670', '&nbsp;']","['4,243', '&nbsp;']","['3,964', '&nbsp;']","['7,308', '&nbsp;']","['9,037', '&nbsp;']","['8,317', '&nbsp;']","['10,117', '  ']","['10,193', '  ']","['11,972', '  ']","['13,869', '  ']"
6296,r015,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['2,808', 'i']","['1,438', '&nbsp;']","['1,556', '&nbsp;']","['2,684', '&nbsp;']","['2,792', '&nbsp;']","['2,338', 'i']","['2,468', 'i ']","['2,543', 'i ']","['2,445', '  ']","['2,175', '  ']"
6296,r016,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['1,097', '&nbsp;']","['955', '&nbsp;']","['952', '&nbsp;']","['1,823', '&nbsp;']","['2,911', 'i']","['3,605', '&nbsp;']","['3,112', 'i ']","['2,824', '  ']","['3,062', 'i ']","['3,486', 'i ']"
6296,r017,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,2,"['5,704', '&nbsp;']","['4,282', '&nbsp;']","['4,174', '&nbsp;']","['4,321', '&nbsp;']","['4,114', '&nbsp;']","['5,036', '&nbsp;']","['5,762', '  ']","['6,205', '  ']","['8,108', '  ']","['9,538', '  ']"
6296,r018,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",3,"['2,101', '&nbsp;']","['1,518', 'i']","['1,868', '&nbsp;']","['2,178', '&nbsp;']","['2,105', '&nbsp;']","['1,627', '&nbsp;']","['2,028', '  ']","['2,243', '  ']","['3,250', '  ']","['3,816', '  ']"
6296,r019,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",3,"['2,663', '&nbsp;']","['2,030', '&nbsp;']","['1,966', '&nbsp;']","['1,630', '&nbsp;']","['1,572', 'i']","['2,240', 'i']","['2,671', 'i ']","['2,491', '  ']","['3,482', '  ']","['4,161', '  ']"
6296,r020,Applied research,Applied research,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r021,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['44,906', '&nbsp;']","['47,186', '&nbsp;']","['50,755', '&nbsp;']","['51,014', '&nbsp;']","['53,415', '&nbsp;']","['56,472', '&nbsp;']","['61,020', '  ']","['62,132', '  ']","['65,222', '  ']","['74,031', '  ']"
6296,r022,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['33,224', '&nbsp;']","['32,576', '&nbsp;']","['35,514', '&nbsp;']","['35,166', '&nbsp;']","['36,585', '&nbsp;']","['39,583', '&nbsp;']","['42,443', '  ']","['43,698', '  ']","['44,027', '  ']","['45,769', '  ']"
6296,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['15,006', '&nbsp;']","['15,121', '&nbsp;']","['16,640', '&nbsp;']","['13,894', '&nbsp;']","['13,837', '&nbsp;']","['16,047', '&nbsp;']","['15,771', '  ']","['17,021', '  ']","['18,531', '  ']","['19,120', '  ']"
6296,r024,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['8,426', '&nbsp;']","['7,069', '&nbsp;']","['7,120', '&nbsp;']","['8,485', '&nbsp;']","['8,740', 'i']","['8,973', '&nbsp;']","['10,298', '  ']","['11,194', '  ']","['9,947', '  ']","['11,587', '  ']"
6296,r025,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['3,597', '&nbsp;']","['3,563', '&nbsp;']","['4,295', '&nbsp;']","['6,022', '&nbsp;']","['7,141', '&nbsp;']","['7,165', '&nbsp;']","['7,859', '  ']","['7,490', '  ']","['7,440', '  ']","['7,332', 'i ']"
6296,r026,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,2,"['11,682', '&nbsp;']","['14,610', '&nbsp;']","['15,241', '&nbsp;']","['15,848', '&nbsp;']","['16,830', '&nbsp;']","['16,889', '&nbsp;']","['18,576', '  ']","['18,434', '  ']","['21,195', '  ']","['28,262', '  ']"
6296,r027,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",3,"['2,764', '&nbsp;']","['3,864', '&nbsp;']","['4,033', '&nbsp;']","['5,687', '&nbsp;']","['6,137', '&nbsp;']","['6,511', '&nbsp;']","['6,805', '  ']","['7,626', '  ']","['8,979', '  ']","['8,690', '  ']"
6296,r028,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",3,"['7,162', '&nbsp;']","['8,615', '&nbsp;']","['8,825', 'i']","['8,181', '&nbsp;']","['8,777', '&nbsp;']","['8,264', '&nbsp;']","['9,900', 'i ']","['8,584', '  ']","['9,384', '  ']","['11,731', '  ']"
6296,r029,Experimental development,Experimental development,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r030,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['217,699', '&nbsp;']","['233,887', '&nbsp;']","['238,202', '&nbsp;']","['252,007', '&nbsp;']","['265,377', '&nbsp;']","['277,558', '&#160;']","['289,021', ' ']","['313,139', '&nbsp;']","['346,834', '  ']","['386,686', '  ']"
6296,r031,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['152,821', '&nbsp;']","['160,047', '&nbsp;']","['163,781', '&nbsp;']","['171,124', '&nbsp;']","['178,408', '&nbsp;']","['179,793', '&#160;']","['189,228', ' ']","['194,904', '&nbsp;']","['209,175', '  ']","['217,203', '  ']"
6296,r032,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['38,362', '&nbsp;']","['35,961', '&nbsp;']","['36,621', '&nbsp;']","['40,462', '&nbsp;']","['43,427', '&nbsp;']","['43,833', '&#160;']","['47,687', ' ']","['47,763', '&nbsp;']","['53,635', '  ']","['64,075', '  ']"
6296,r033,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['48,640', '&nbsp;']","['54,197', '&nbsp;']","['56,392', '&nbsp;']","['56,036', '&nbsp;']","['62,358', 'i']","['60,799', '&#160;']","['64,619', ' ']","['64,837', '&nbsp;']","['71,305', '  ']","['72,967', '  ']"
6296,r034,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['38,219', '&nbsp;']","['36,361', '&nbsp;']","['37,058', '&nbsp;']","['38,126', '&nbsp;']","['36,693', '&nbsp;']","['38,504', '&#160;']","['40,305', ' ']","['42,978', '&nbsp;']","['42,128', '  ']","['34,557', 'i ']"
6296,r035,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,2,"['64,878', '&nbsp;']","['73,839', '&nbsp;']","['74,421', '&nbsp;']","['80,883', '&nbsp;']","['86,970', '&nbsp;']","['97,765', '&#160;']","['99,794', ' ']","['118,235', '&nbsp;']","['137,658', '  ']","['169,483', '  ']"
6296,r036,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",3,"['31,987', '&nbsp;']","['36,483', '&nbsp;']","['40,903', '&nbsp;']","['49,341', '&nbsp;']","['55,530', '&nbsp;']","['57,374', '&#160;']","['61,916', ' ']","['70,383', '&nbsp;']","['82,120', '  ']","['97,721', '  ']"
6296,r037,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",3,"['23,866', '&nbsp;']","['27,573', '&nbsp;']","['23,517', 'i']","['21,206', 'i']","['20,626', 'i']","['28,122', 'i']","['25,024', 'i']","['25,848', '&nbsp;']","['31,994', '  ']","['37,341', '  ']"
6296,r038,Industry share of each type of R&D (%),Industry share of each type of R&D (%),,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r039,All business R&D,All business R&D,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r040,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6296,r041,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['70.5', '&nbsp;']","['68.5', '&nbsp;']","['69.0', '&nbsp;']","['68.7', '&nbsp;']","['68.3', '&nbsp;']","['66.4', '&nbsp;']","['66.9', '&nbsp;']","['64.3', '&nbsp;']","['62.1', '&nbsp;']","['58.0', '&nbsp;']"
6296,r042,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['20.8', '&nbsp;']","['18.8', '&nbsp;']","['18.9', '&nbsp;']","['19.1', '&nbsp;']","['19.5', '&nbsp;']","['19.2', '&nbsp;']","['19.6', '&nbsp;']","['18.7', '&nbsp;']","['19.1', '&nbsp;']","['19.7', '&nbsp;']"
6296,r043,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['21.5', '&nbsp;']","['21.3', '&nbsp;']","['21.5', '&nbsp;']","['20.8', '&nbsp;']","['21.7', '&nbsp;']","['20.3', '&nbsp;']","['20.7', '&nbsp;']","['19.6', '&nbsp;']","['19.0', '&nbsp;']","['17.6', '&nbsp;']"
6296,r044,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['15.4', '&nbsp;']","['13.9', '&nbsp;']","['14.0', '&nbsp;']","['14.3', '&nbsp;']","['13.7', '&nbsp;']","['13.8', '&nbsp;']","['13.7', '&nbsp;']","['13.3', '&nbsp;']","['11.9', '&nbsp;']","['9.2', '&nbsp;']"
6296,r045,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,2,"['29.5', '&nbsp;']","['31.5', '&nbsp;']","['31.0', '&nbsp;']","['31.3', '&nbsp;']","['31.7', '&nbsp;']","['33.6', '&nbsp;']","['33.1', '&nbsp;']","['35.7', '&nbsp;']","['37.9', '&nbsp;']","['42.0', '&nbsp;']"
6296,r046,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",3,"['13.2', '&nbsp;']","['14.2', '&nbsp;']","['15.5', '&nbsp;']","['17.7', '&nbsp;']","['18.7', '&nbsp;']","['18.4', '&nbsp;']","['18.9', '&nbsp;']","['20.1', '&nbsp;']","['21.4', '&nbsp;']","['22.4', '&nbsp;']"
6296,r047,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",3,"['12.1', '&nbsp;']","['13.0', '&nbsp;']","['11.4', '&nbsp;']","['9.6', '&nbsp;']","['9.1', '&nbsp;']","['10.9', '&nbsp;']","['10.0', '&nbsp;']","['9.2', '&nbsp;']","['10.2', '&nbsp;']","['10.8', '&nbsp;']"
6296,r048,Basic research ,Basic research ,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r049,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6296,r050,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['65.2', '&nbsp;']","['67.1', '&nbsp;']","['68.6', '&nbsp;']","['77.8', '&nbsp;']","['81.2', '&nbsp;']","['76.9', '&nbsp;']","['76.6', '&nbsp;']","['75.0', '&nbsp;']","['72.0', '&nbsp;']","['70.4', '&nbsp;']"
6296,r051,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['28.5', '&nbsp;']","['32.6', '&nbsp;']","['29.8', '&nbsp;']","['37.5', '&nbsp;']","['41.2', '&nbsp;']","['38.2', '&nbsp;']","['41.1', '&nbsp;']","['41.1', '&nbsp;']","['41.3', '&nbsp;']","['43.0', '&nbsp;']"
6296,r052,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['17.2', '&nbsp;']","['11.0', '&nbsp;']","['11.7', '&nbsp;']","['13.8', '&nbsp;']","['12.7', '&nbsp;']","['10.7', '&nbsp;']","['10.0', '&nbsp;']","['10.2', '&nbsp;']","['8.4', '&nbsp;']","['6.7', '&nbsp;']"
6296,r053,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['6.7', '&nbsp;']","['7.3', '&nbsp;']","['7.2', '&nbsp;']","['9.3', '&nbsp;']","['13.3', '&nbsp;']","['16.5', '&nbsp;']","['12.6', '&nbsp;']","['11.4', '&nbsp;']","['10.6', '&nbsp;']","['10.8', '&nbsp;']"
6296,r054,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,2,"['34.8', '&nbsp;']","['32.9', '&nbsp;']","['31.4', '&nbsp;']","['22.1', '&nbsp;']","['18.8', '&nbsp;']","['23.1', '&nbsp;']","['23.4', '&nbsp;']","['25.0', '&nbsp;']","['28.0', '&nbsp;']","['29.6', '&nbsp;']"
6296,r055,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",3,"['12.8', '&nbsp;']","['11.7', '&nbsp;']","['14.1', '&nbsp;']","['11.2', '&nbsp;']","['9.6', '&nbsp;']","['7.5', '&nbsp;']","['8.2', '&nbsp;']","['9.0', '&nbsp;']","['11.2', '&nbsp;']","['11.8', '&nbsp;']"
6296,r056,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",3,"['16.3', '&nbsp;']","['15.6', '&nbsp;']","['14.8', '&nbsp;']","['8.4', '&nbsp;']","['7.2', '&nbsp;']","['10.3', '&nbsp;']","['10.8', '&nbsp;']","['10.0', '&nbsp;']","['12.0', '&nbsp;']","['12.9', '&nbsp;']"
6296,r057,Applied research,Applied research,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6296,r058,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,1,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6296,r059,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,2,"['74.0', '&nbsp;']","['69.0', '&nbsp;']","['70.0', '&nbsp;']","['68.9', '&nbsp;']","['68.5', '&nbsp;']","['70.1', '&nbsp;']","['69.6', '&nbsp;']","['70.3', '&nbsp;']","['67.5', '&nbsp;']","['61.8', '&nbsp;']"
6296,r060,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",3,"['33.4', '&nbsp;']","['32.0', '&nbsp;']","['32.8', '&nbsp;']","['27.2', '&nbsp;']","['25.9', '&nbsp;']","['28.4', '&nbsp;']","['25.8', '&nbsp;']","['27.4', '&nbsp;']","['28.4', '&nbsp;']","['25.8', '&nbsp;']"
6296,r061,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",3,"['18.8', '&nbsp;']","['15.0', '&nbsp;']","['14.0', '&nbsp;']","['16.6', '&nbsp;']","['16.4', '&nbsp;']","['15.9', '&nbsp;']","['16.9', '&nbsp;']","['18.0', '&nbsp;']","['15.3', '&nbsp;']","['15.7', '&nbsp;']"
6296,r062,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",3,"['8.0', '&nbsp;']","['7.6', '&nbsp;']","['8.5', '&nbsp;']","['11.8', '&nbsp;']","['13.4', '&nbsp;']","['12.7', '&nbsp;']","['12.9', '&nbsp;']","['12.1', '&nbsp;']","['11.4', '&nbsp;']","['9.9', '&nbsp;']"
