table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states,field_undistributeda
1416,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['151', '  ']","['71', '  ']","['2', '  ']","['25', '  ']","['*', '  ']","['*', '  ']","['15', '  ']","['8', '  ']","['3', '  ']","['26', 'i']"
1416,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['297', '  ']","['110', '  ']","['175', '  ']","['5', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['D', '&nbsp;']"
1416,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['36', 'i ']","['27', 'i ']","['6', 'i ']","['2', 'i ']","['D', '&nbsp;']","['*', 'i ']","['1', '  ']","['*', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['80', '  ']","['51', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['26', 'i']"
1416,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['435', '  ']","['345', '  ']","['9', '  ']","['26', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['4', '  ']","['3', '  ']","['48', 'i']"
1416,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['182', '  ']","['168', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['9', 'i']"
1416,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', 'i']"
1416,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['7', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['*', 'i']"
1416,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['246', '  ']","['174', '  ']","['9', '  ']","['23', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['39', 'i']"
1416,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,313', '  ']","['1,004', '  ']","['40', 'i ']","['198', 'i ']","['D', '&nbsp;']","['1', 'i ']","['4', '  ']","['4', '  ']","['7', '  ']","['D', '&nbsp;']"
1416,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['240', '  ']","['199', '  ']","['*', 'i ']","['25', '  ']","['D', '&nbsp;']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['D', '&nbsp;']"
1416,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['386', '  ']","['270', '  ']","['40', 'i ']","['63', 'i ']","['3', 'i ']","['0', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['7', 'i']"
1416,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['288', '  ']","['238', '  ']","['*', '  ']","['18', '  ']","['*', 'i ']","['0', '  ']","['2', '  ']","['4', '  ']","['*', '  ']","['25', 'i']"
1416,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['50', '  ']","['37', '  ']","['*', '  ']","['2', '  ']","['*', 'i ']","['0', '  ']","['1', '  ']","['3', '  ']","['*', 'i ']","['7', 'i']"
1416,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['126', '  ']","['116', '  ']","['0', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['2', 'i']"
1416,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['112', '  ']","['85', '  ']","['0', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['17', 'i']"
1416,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['399', '  ']","['297', '  ']","['0', '  ']","['92', 'i ']","['D', '&nbsp;']","['1', 'i ']","['*', '  ']","['*', 'i ']","['7', '  ']","['D', '&nbsp;']"
1416,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['149', '  ']","['117', '  ']","['13', '  ']","['3', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['3', 'i ']","['0', '  ']","['13', 'i']"
1416,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['2,749', '  ']","['2,119', '  ']","['318', '  ']","['99', '  ']","['D', '&nbsp;']","['2', '  ']","['10', '  ']","['52', '  ']","['4', '  ']","['D', '&nbsp;']"
1416,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['1,999', '  ']","['1,541', '  ']","['314', '  ']","['69', '  ']","['D', '  ']","['2', '  ']","['D', '  ']","['2', '  ']","['4', '  ']","['D', '&nbsp;']"
1416,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['708', '  ']","['545', '  ']","['4', 'i ']","['D', '  ']","['D', '&nbsp;']","['*', 'i ']","['D', '  ']","['50', '  ']","['*', '  ']","['D', '&nbsp;']"
1416,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['587', '  ']","['469', '  ']","['*', 'i ']","['D', '  ']","['D', '&nbsp;']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '&nbsp;']"
1416,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['121', '  ']","['76', '  ']","['4', 'i ']","['D', '&nbsp;']","['1', 'i ']","['*', 'i ']","['*', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1416,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['42', '  ']","['32', '  ']","['*', 'i ']","['D', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
1416,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['25', '  ']","['20', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', 'i']"
1416,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['904', '  ']","['775', '  ']","['14', '  ']","['30', '  ']","['D', '  ']","['*', '  ']","['21', '  ']","['21', '  ']","['1', '  ']","['D', '&nbsp;']"
1416,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,"['815', '  ']","['698', '  ']","['14', '  ']","['26', '  ']","['D', '  ']","['*', '  ']","['21', '  ']","['21', '  ']","['1', '  ']","['D', '&nbsp;']"
1416,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['89', 'i ']","['77', 'i ']","['0', '  ']","['4', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['8', 'i']"
1416,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['3,759', '  ']","['2,693', '  ']","['25', '  ']","['284', '  ']","['24', '  ']","['1', '  ']","['95', '  ']","['114', '  ']","['45', '  ']","['479', 'i']"
1416,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['273', '  ']","['116', '  ']","['0', '  ']","['39', '  ']","['9', '  ']","['0', '  ']","['34', '  ']","['69', '  ']","['6', '  ']","['*', 'i']"
1416,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['190', '  ']","['138', '  ']","['0', '  ']","['5', '  ']","['1', '  ']","['1', '  ']","['3', '  ']","['22', '  ']","['11', '  ']","['9', 'i']"
1416,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['77', 'i ']","['28', 'i ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', '  ']","['0', '  ']","['48', 'i']"
1416,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['13', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['11', 'i']"
1416,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['16', '  ']","['13', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', 'i']"
1416,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,999', '  ']","['1,681', '  ']","['1', '  ']","['150', '  ']","['2', '  ']","['0', '  ']","['3', '  ']","['15', '  ']","['24', '  ']","['122', 'i']"
1416,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,333', '  ']","['1,121', '  ']","['1', '  ']","['107', '  ']","['1', 'i ']","['0', '  ']","['3', '  ']","['11', '  ']","['23', '  ']","['66', 'i']"
1416,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['6', 'i ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', 'i']"
1416,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,327', '  ']","['1,118', '  ']","['1', '  ']","['107', '  ']","['1', 'i ']","['0', '  ']","['3', '  ']","['11', '  ']","['23', '  ']","['64', 'i']"
1416,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['181', '  ']","['134', '  ']","['0', '  ']","['9', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['36', 'i']"
1416,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['270', '  ']","['215', '  ']","['0', '  ']","['33', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['21', 'i']"
1416,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['215', '  ']","['211', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['*', '  ']","['*', 'i']"
1416,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['95', '  ']","['56', '  ']","['24', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['7', 'i']"
1416,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['3', '  ']","['*', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i']"
1416,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['3', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1416,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i']"
1416,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['993', '  ']","['587', '  ']","['*', '  ']","['77', '  ']","['12', '  ']","['*', '  ']","['52', '  ']","['7', '  ']","['2', '  ']","['254', 'i']"
1416,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['101', '  ']","['76', '  ']","['*', 'i ']","['2', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['22', 'i']"
1416,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['107', '  ']","['78', '  ']","['*', 'i ']","['10', 'i ']","['1', 'i ']","['*', 'i ']","['0', '  ']","['3', '  ']","['0', '  ']","['15', 'i']"
1416,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['766', 'i ']","['427', '  ']","['*', '  ']","['58', '  ']","['9', '  ']","['*', '  ']","['51', '  ']","['4', '  ']","['2', '  ']","['213', 'i']"
1416,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['377', 'i ']","['263', '  ']","['0', '  ']","['12', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['1', '  ']","['*', '  ']","['98', 'i']"
1416,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['389', '  ']","['164', '  ']","['*', '  ']","['46', '  ']","['9', '  ']","['*', '  ']","['48', '  ']","['4', '  ']","['2', '  ']","['116', 'i']"
1416,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1416,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['19', '  ']","['6', '  ']","['*', '  ']","['7', '  ']","['*', 'i ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['4', 'i']"
1416,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['23', 'i ']","['17', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['3', 'i']"
1416,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['79', '  ']","['57', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['21', 'i']"
1416,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['37,499', '  ']","['31,239', '  ']","['843', '  ']","['3,322', 'i ']","['116', 'i ']","['5', '  ']","['275', '  ']","['346', '  ']","['163', '  ']","['1,190', 'i']"
1416,r074,All companies (number of domestic employees) -> Micro companies<sup>b</sup>,All companies (number of domestic employees),Micro companies<sup>b</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1416,r075,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5&#8211;9,,,3,–,"['255', '  ']","['151', '  ']","['0', '  ']","['9', '  ']","['*', '  ']","['0', '  ']","['D', '  ']","['*', 'i ']","['1', 'i ']","['D', '&nbsp;']"
1416,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1416,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['569', '  ']","['355', '  ']","['*', '  ']","['25', '  ']","['1', '  ']","['*', '  ']","['5', '  ']","['5', '  ']","['3', '  ']","['175', 'i']"
1416,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['1,348', '  ']","['931', '  ']","['2', '  ']","['107', '  ']","['2', '  ']","['*', '  ']","['63', '  ']","['2', '  ']","['4', '  ']","['237', 'i']"
1416,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1416,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['1,523', '  ']","['1,141', '  ']","['10', 'i ']","['126', '  ']","['2', 'i ']","['*', 'i ']","['22', '  ']","['18', '  ']","['11', '  ']","['193', 'i']"
