table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributeda
12315,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['539', '  ']","['D', '  ']","['17', '  ']","['0', '  ']","['4', '  ']","['D', '  ']","['2', '  ']","['96', '  ']","['4', '  ']","['9', '  ']","['*', '  ']","['27', '  ']","['*', '  ']","['0', '  ']","['3', '  ']","['11', '  ']","['1', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['7', '  ']","['*', '  ']","['*', '  ']","['1', 'i ']"
12315,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['151', '  ']","['3', '  ']","['19', '  ']","['2', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['4', '  ']","['8', '  ']","['D', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['D', '&nbsp;']"
12315,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['22,266', '  ']","['151', '  ']","['285', '  ']","['139', 'i ']","['154', '  ']","['261', '  ']","['527', '  ']","['1,746', '  ']","['69', '  ']","['386', '  ']","['4', '  ']","['1,657', '  ']","['16', '  ']","['13', '  ']","['222', 'i ']","['240', '  ']","['169', 'i ']","['25', '  ']","['32', '  ']","['330', '  ']","['98', '  ']","['39', '  ']","['19', '  ']","['D', '&nbsp;']"
12315,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['917', '  ']","['3', '  ']","['26', '  ']","['1', '  ']","['6', '  ']","['19', '  ']","['3', '  ']","['154', '  ']","['1', '  ']","['10', 'i ']","['1', '  ']","['24', '  ']","['1', '  ']","['*', '  ']","['87', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['2', '  ']","['D', '&nbsp;']"
12315,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['232', '  ']","['D', '  ']","['2', '  ']","['1', '  ']","['10', '  ']","['D', '  ']","['1', '  ']","['51', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['D', '  ']","['2', '  ']","['3', '  ']","['1', '  ']","['11', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['682', '  ']","['D', '  ']","['14', '  ']","['1', '  ']","['17', '  ']","['D', '  ']","['5', '  ']","['139', 'i ']","['*', '  ']","['1', '  ']","['1', '  ']","['23', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['2', 'i ']","['*', '  ']","['6', '  ']","['0', '  ']","['17', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']"
12315,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['159', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['25', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['38', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['16', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']"
12315,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['19', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
12315,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['231', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['5', '  ']","['D', '  ']","['2', '  ']","['15', '  ']","['0', '  ']","['5', '  ']","['*', '  ']","['63', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['5,914', '  ']","['4', '  ']","['127', '  ']","['1', '  ']","['78', '  ']","['4', '  ']","['58', '  ']","['607', '  ']","['7', '  ']","['598', '  ']","['1', '  ']","['155', '  ']","['59', '  ']","['17', '  ']","['269', '  ']","['206', '  ']","['172', 'i ']","['9', '  ']","['10', '  ']","['452', '  ']","['18', '  ']","['D', '&nbsp;']","['D', '  ']","['D', '&nbsp;']"
12315,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['990', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['31', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
12315,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,636', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['140', 'i ']","['5', '  ']","['226', 'i ']","['0', '  ']","['35', 'i ']","['55', '  ']","['0', '  ']","['245', '  ']","['197', '  ']","['141', 'i ']","['0', '  ']","['1', '  ']","['399', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
12315,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,071', '  ']","['0', '  ']","['11', '  ']","['*', '  ']","['9', '  ']","['2', '  ']","['27', '  ']","['127', '  ']","['*', '  ']","['149', '  ']","['1', '  ']","['47', '  ']","['0', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['*', '  ']","['1', '  ']","['11', '  ']","['0', '  ']","['D', '  ']","['0', '  ']"
12315,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['2,217', '  ']","['D', '  ']","['D', '  ']","['1', 'i ']","['D', '  ']","['2', '  ']","['D', '  ']","['309', '  ']","['2', '  ']","['D', '  ']","['*', '  ']","['72', '  ']","['3', '  ']","['5', '  ']","['21', '  ']","['8', '  ']","['31', '  ']","['4', '  ']","['8', '  ']","['51', '  ']","['7', '  ']","['D', '&nbsp;']","['D', '  ']","['D', '&nbsp;']"
12315,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['35,536', '  ']","['D', '  ']","['D', '  ']","['1', '  ']","['198', '  ']","['1,068', 'i ']","['177', '  ']","['4,348', '  ']","['88', '  ']","['6,629', '  ']","['3', '  ']","['995', '  ']","['1,031', '  ']","['91', '  ']","['1,614', '  ']","['367', '  ']","['1,650', '  ']","['235', '  ']","['431', 'i ']","['4,497', '  ']","['41', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']"
12315,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,509', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['25', 'i ']","['0', '  ']","['60', '  ']","['355', '  ']","['13', '  ']","['971', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['13', '  ']","['19', 'i ']","['21', '  ']","['82', '  ']","['D', '&nbsp;']","['*', '  ']","['221', '  ']","['7', '  ']","['D', '  ']","['D', '  ']","['0', '  ']"
12315,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['21,784', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['151', '  ']","['D', '&nbsp;']","['25', 'i ']","['3,114', '  ']","['36', 'i ']","['4,882', '  ']","['1', '  ']","['614', '  ']","['740', '  ']","['D', '  ']","['1,105', '  ']","['228', '  ']","['1,030', '  ']","['D', '  ']","['361', 'i ']","['3,313', '  ']","['6', '  ']","['0', '  ']","['D', '  ']","['D', '&nbsp;']"
12315,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,668', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['9', '  ']","['D', '  ']","['48', '  ']","['289', '  ']","['14', '  ']","['110', '  ']","['2', '  ']","['50', '  ']","['56', '  ']","['29', '  ']","['106', '  ']","['9', '  ']","['18', '  ']","['1', 'i ']","['35', '  ']","['54', '  ']","['6', '  ']","['3', '  ']","['D', '  ']","['D', '&nbsp;']"
12315,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['429', '  ']","['*', '  ']","['*', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['10', '  ']","['9', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['70', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['15', '  ']","['6', '  ']","['*', '  ']","['D', '  ']","['*', 'i ']"
12315,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['327', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['5', '  ']","['2', '  ']","['0', '  ']","['30', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['28', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['6', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['3', 'i ']"
12315,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['1,912', '  ']","['*', '  ']","['D', '  ']","['D', '&nbsp;']","['D', '  ']","['D', '  ']","['33', '  ']","['278', '  ']","['14', '  ']","['78', '  ']","['2', '  ']","['48', '  ']","['54', '  ']","['*', '  ']","['28', '  ']","['8', '  ']","['17', '  ']","['*', 'i ']","['34', '  ']","['33', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['7,575', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['13', '  ']","['D', '&nbsp;']","['43', '  ']","['590', '  ']","['25', '  ']","['665', '  ']","['0', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['384', '  ']","['109', '  ']","['520', '  ']","['D', '  ']","['34', '  ']","['909', '  ']","['22', '  ']","['D', '  ']","['0', '  ']","['0', '  ']"
12315,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,575', '  ']","['0', '  ']","['49', '  ']","['*', '  ']","['64', '  ']","['1', '  ']","['3', '  ']","['272', '  ']","['3', '  ']","['75', '  ']","['*', '  ']","['41', '  ']","['*', '  ']","['1', '  ']","['32', '  ']","['*', '  ']","['20', '  ']","['10', '  ']","['2', '  ']","['25', '  ']","['1', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,035', '  ']","['3', '  ']","['249', '  ']","['*', '  ']","['445', '  ']","['4', '  ']","['344', '  ']","['976', '  ']","['D', '  ']","['313', '  ']","['0', '  ']","['72', '  ']","['*', '  ']","['0', '  ']","['168', '  ']","['381', '  ']","['26', '  ']","['21', '  ']","['D', '  ']","['5', '  ']","['6', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12315,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['6,035', '  ']","['3', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['D', '  ']","['288', '  ']","['886', '  ']","['D', '  ']","['171', '  ']","['0', '  ']","['65', '  ']","['*', '  ']","['0', '  ']","['110', 'i ']","['381', '  ']","['6', '  ']","['20', '  ']","['D', '  ']","['3', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12315,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,819', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['55', '  ']","['89', '  ']","['*', '  ']","['137', '  ']","['0', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['59', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['3', '  ']","['2', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['653', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,166', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['56', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['2', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12315,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12315,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['181', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['19', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['36', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12315,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['4,631', '  ']","['2', 'i ']","['22', 'i ']","['12', 'i ']","['28', '  ']","['D', '&nbsp;']","['131', '  ']","['464', '  ']","['D', '  ']","['308', '  ']","['1', 'i ']","['201', '  ']","['11', '  ']","['5', '  ']","['73', '  ']","['60', '  ']","['17', '  ']","['5', '  ']","['D', '&nbsp;']","['D', '  ']","['21', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
12315,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['4,234', '  ']","['2', 'i ']","['21', 'i ']","['12', 'i ']","['28', '  ']","['89', 'i ']","['105', '  ']","['454', '  ']","['2', 'i ']","['282', '  ']","['1', 'i ']","['178', '  ']","['6', 'i ']","['5', '  ']","['72', '  ']","['44', '  ']","['11', '  ']","['5', '  ']","['34', 'i ']","['384', '  ']","['21', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
12315,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['397', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['26', '  ']","['10', '  ']","['D', '  ']","['27', '  ']","['0', '  ']","['23', '  ']","['5', '  ']","['*', '  ']","['1', '  ']","['16', '  ']","['6', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['65,165', '  ']","['321', 'i ']","['574', 'i ']","['101', '  ']","['538', '  ']","['308', '  ']","['1,413', '  ']","['3,845', '  ']","['215', 'i ']","['9,846', '  ']","['17', '  ']","['1,994', 'i ']","['106', '  ']","['129', '  ']","['1,423', '  ']","['625', 'i ']","['1,205', '  ']","['48', 'i ']","['422', '  ']","['4,253', '  ']","['175', 'i ']","['269', 'i ']","['106', '  ']","['149', 'i ']"
12315,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '&nbsp;']"
12315,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['D', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']"
