table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
9590,r012,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['390', '1.4']","['481', '2.0']","['753', '2.3']","['111', '0.6']","['87', '2.7']","['D', 'D']","['37', '1.1']","['72', '2.9']","['508', '2.3']","['D', 'D']","['5', '1.7']","['5', '2.8']"
9590,r013,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['310', '1.1']","['383', '1.6']","['615', '1.8']","['75', '0.4']","['69', '2.2']","['D', 'D']","['24', '0.7']","['75', '3.0']","['411', '1.8']","['D', 'D']","['6', '2.0']","['5', '2.8']"
9590,r014,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['324', '1.2']","['396', '1.6']","['662', '2.0']","['55', '0.3']","['89', '2.8']","['0', '0.0']","['34', '1.0']","['100', '4.0']","['410', '1.8']","['22', '1.9']","['5', '1.7']","['2', '1.1']"
9590,r015,"Cumulative debt -> $90,001&#8211;$100,000",Cumulative debt,"$90,001&#8211;$100,000",,2,"['354', '1.3']","['448', '1.8']","['719', '2.2']","['82', '0.4']","['90', '2.8']","['D', 'D']","['39', '1.1']","['88', '3.5']","['470', '2.1']","['D', 'D']","['4', '1.4']","['3', '1.7']"
9590,r016,"Cumulative debt -> $100,001&#8211;$120,000",Cumulative debt,"$100,001&#8211;$120,000",,2,"['385', '1.4']","['537', '2.2']","['826', '2.5']","['92', '0.5']","['107', '3.3']","['9', '10.8']","['25', '0.7']","['141', '5.6']","['500', '2.2']","['29', '2.4']","['9', '3.0']","['6', '3.4']"
9590,r017,"Cumulative debt -> $120,001&#8211;$140,000",Cumulative debt,"$120,001&#8211;$140,000",,2,"['249', '0.9']","['377', '1.5']","['582', '1.7']","['44', '0.2']","['73', '2.3']","['D', 'D']","['20', '0.6']","['116', '4.6']","['336', '1.5']","['D', 'D']","['8', '2.7']","['3', '1.7']"
9590,r018,"Cumulative debt -> $140,001&#8211;$160,000",Cumulative debt,"$140,001&#8211;$160,000",,2,"['286', '1.0']","['337', '1.4']","['562', '1.7']","['58', '0.3']","['63', '2.0']","['D', 'D']","['26', '0.8']","['127', '5.1']","['318', '1.4']","['D', 'D']","['7', '2.4']","['5', '2.8']"
9590,r019,"Cumulative debt -> $160,001 or more",Cumulative debt,"$160,001 or more",,2,"['787', '2.8']","['1,291', '5.3']","['1,924', '5.8']","['144', '0.8']","['216', '6.8']","['8', '9.6']","['75', '2.2']","['565', '22.5']","['968', '4.3']","['63', '5.3']","['16', '5.4']","['13', '7.3']"
9590,r020,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
9590,r021,Cumulative debt -> Graduate debt -> All reporting graduate debt (number),Cumulative debt,Graduate debt,All reporting graduate debt (number),3,"['27,707', '']","['24,359', '']","['33,355', '']","['18,453', '']","['3,192', '']","['83', '']","['3,410', '']","['2,506', '']","['22,507', '']","['1,188', '']","['294', '']","['175', '']"
9590,r022,Cumulative debt -> Graduate debt -> Median debt (dollars),Cumulative debt,Graduate debt,Median debt (dollars),3,"['35,000', '']","['45,000', '']","['45,000', '']","['15,000', '']","['45,000', '']","['55,000', '']","['35,000', '']","['85,000', '']","['45,000', '']","['45,000', '']","['55,000', '']","['65,000', '']"
9590,r023,Cumulative debt -> Graduate debt -> ,Cumulative debt,Graduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
9590,r024,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,3,"['21,230', '76.6']","['17,007', '69.8']","['22,471', '67.4']","['15,574', '84.4']","['1,858', '58.2']","['32', '38.6']","['2,789', '81.8']","['846', '33.8']","['15,804', '70.2']","['830', '69.9']","['194', '66.0']","['118', '67.4']"
9590,r025,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",3,"['1,572', '5.7']","['1,291', '5.3']","['1,729', '5.2']","['1,122', '6.1']","['226', '7.1']","['7', '8.4']","['156', '4.6']","['122', '4.9']","['1,139', '5.1']","['55', '4.6']","['16', '5.4']","['8', '4.6']"
9590,r026,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",3,"['919', '3.3']","['882', '3.6']","['1,287', '3.9']","['504', '2.7']","['173', '5.4']","['7', '8.4']","['85', '2.5']","['128', '5.1']","['832', '3.7']","['44', '3.7']","['9', '3.1']","['9', '5.1']"
9590,r027,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",3,"['732', '2.6']","['707', '2.9']","['1,104', '3.3']","['327', '1.8']","['137', '4.3']","['6', '7.2']","['59', '1.7']","['106', '4.2']","['755', '3.4']","['30', '2.5']","['6', '2.0']","['5', '2.9']"
9590,r028,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",3,"['466', '1.7']","['529', '2.2']","['807', '2.4']","['183', '1.0']","['98', '3.1']","['D', 'D']","['55', '1.6']","['88', '3.5']","['524', '2.3']","['31', '2.6']","['D', 'D']","['3', '1.7']"
9590,r029,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",3,"['376', '1.4']","['445', '1.8']","['668', '2.0']","['148', '0.8']","['78', '2.4']","['D', 'D']","['36', '1.1']","['85', '3.4']","['429', '1.9']","['29', '2.4']","['D', 'D']","['1', '0.6']"
9590,r030,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",3,"['353', '1.3']","['410', '1.7']","['647', '1.9']","['111', '0.6']","['73', '2.3']","['D', 'D']","['29', '0.9']","['93', '3.7']","['418', '1.9']","['22', '1.9']","['D', 'D']","['1', '0.6']"
9590,r031,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",3,"['249', '0.9']","['395', '1.6']","['559', '1.7']","['82', '0.4']","['61', '1.9']","['D', 'D']","['34', '1.0']","['76', '3.0']","['356', '1.6']","['21', '1.8']","['D', 'D']","['4', '2.3']"
9590,r032,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",3,"['210', '0.8']","['282', '1.2']","['434', '1.3']","['55', '0.3']","['39', '1.2']","['D', 'D']","['21', '0.6']","['72', '2.9']","['274', '1.2']","['D', 'D']","['7', '2.4']","['3', '1.7']"
9590,r033,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",3,"['204', '0.7']","['258', '1.1']","['431', '1.3']","['30', '0.2']","['53', '1.7']","['D', 'D']","['16', '0.5']","['89', '3.6']","['255', '1.1']","['D', 'D']","['3', '1.0']","['4', '2.3']"
9590,r034,"Cumulative debt -> Graduate debt -> $90,001&#8211;$100,000",Cumulative debt,Graduate debt,"$90,001&#8211;$100,000",3,"['203', '0.7']","['279', '1.1']","['424', '1.3']","['57', '0.3']","['53', '1.7']","['D', 'D']","['19', '0.6']","['89', '3.6']","['244', '1.1']","['D', 'D']","['3', '1.0']","['3', '1.7']"
9590,r035,"Cumulative debt -> Graduate debt -> $100,001&#8211;$120,000",Cumulative debt,Graduate debt,"$100,001&#8211;$120,000",3,"['286', '1.0']","['450', '1.8']","['661', '2.0']","['71', '0.4']","['85', '2.7']","['D', 'D']","['25', '0.7']","['131', '5.2']","['381', '1.7']","['D', 'D']","['8', '2.7']","['3', '1.7']"
9590,r036,"Cumulative debt -> Graduate debt -> $120,001&#8211;$140,000",Cumulative debt,Graduate debt,"$120,001&#8211;$140,000",3,"['202', '0.7']","['295', '1.2']","['459', '1.4']","['36', '0.2']","['65', '2.0']","['D', 'D']","['14', '0.4']","['108', '4.3']","['242', '1.1']","['D', 'D']","['8', '2.7']","['4', '2.3']"
9590,r037,"Cumulative debt -> Graduate debt -> $140,001&#8211;$160,000",Cumulative debt,Graduate debt,"$140,001&#8211;$160,000",3,"['226', '0.8']","['321', '1.3']","['493', '1.5']","['53', '0.3']","['54', '1.7']","['D', 'D']","['21', '0.6']","['128', '5.1']","['265', '1.2']","['D', 'D']","['2', '0.7']","['3', '1.7']"
9590,r038,"Cumulative debt -> Graduate debt -> $160,001 or more",Cumulative debt,Graduate debt,"$160,001 or more",3,"['479', '1.7']","['808', '3.3']","['1,181', '3.5']","['100', '0.5']","['139', '4.4']","['5', '6.0']","['51', '1.5']","['345', '13.8']","['589', '2.6']","['33', '2.8']","['13', '4.4']","['6', '3.4']"
9590,r039,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
9590,r040,Cumulative debt -> Undergraduate debt -> All reporting undergraduate debt (number),Cumulative debt,Undergraduate debt,All reporting undergraduate debt (number),3,"['27,717', '']","['24,374', '']","['33,355', '']","['18,477', '']","['3,193', '']","['83', '']","['3,405', '']","['2,505', '']","['22,511', '']","['1,185', '']","['295', '']","['178', '']"
9590,r041,Cumulative debt -> Undergraduate debt -> Median debt (dollars),Cumulative debt,Undergraduate debt,Median debt (dollars),3,"['25,000', '']","['25,000', '']","['25,000', '']","['15,000', '']","['25,000', '']","['35,000', '']","['15,000', '']","['35,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['35,000', '']"
9590,r042,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,3,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
9590,r043,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['20,868', '75.3']","['17,334', '71.1']","['21,197', '63.5']","['16,806', '91.0']","['1,760', '55.1']","['38', '45.8']","['2,695', '79.1']","['975', '38.9']","['14,654', '65.1']","['760', '64.1']","['206', '69.8']","['109', '61.2']"
9590,r044,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['1,653', '6.0']","['1,439', '5.9']","['2,339', '7.0']","['746', '4.0']","['343', '10.7']","['9', '10.8']","['196', '5.8']","['225', '9.0']","['1,456', '6.5']","['78', '6.6']","['18', '6.1']","['14', '7.9']"
9590,r045,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['1,315', '4.7']","['1,304', '5.3']","['2,281', '6.8']","['324', '1.8']","['261', '8.2']","['9', '10.8']","['169', '5.0']","['210', '8.4']","['1,528', '6.8']","['73', '6.2']","['22', '7.5']","['9', '5.1']"
9590,r046,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['1,113', '4.0']","['1,205', '4.9']","['2,097', '6.3']","['209', '1.1']","['234', '7.3']","['D', 'D']","['D', 'D']","['210', '8.4']","['1,398', '6.2']","['70', '5.9']","['17', '5.8']","['11', '6.2']"
9590,r047,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['905', '3.3']","['847', '3.5']","['1,622', '4.9']","['120', '0.6']","['170', '5.3']","['6', '7.2']","['58', '1.7']","['185', '7.4']","['1,119', '5.0']","['70', '5.9']","['7', '2.4']","['7', '3.9']"
9590,r048,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['533', '1.9']","['567', '2.3']","['1,012', '3.0']","['80', '0.4']","['127', '4.0']","['D', 'D']","['D', 'D']","['143', '5.7']","['655', '2.9']","['32', '2.7']","['8', '2.7']","['6', '3.4']"
9590,r049,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['417', '1.5']","['400', '1.6']","['760', '2.3']","['57', '0.3']","['91', '2.8']","['D', 'D']","['D', 'D']","['133', '5.3']","['489', '2.2']","['22', '1.9']","['2', '0.7']","['2', '1.1']"
9590,r050,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['237', '0.9']","['286', '1.2']","['481', '1.4']","['41', '0.2']","['37', '1.2']","['D', 'D']","['D', 'D']","['70', '2.8']","['325', '1.4']","['21', '1.8']","['3', '1.0']","['4', '2.2']"
9590,r051,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['151', '0.5']","['215', '0.9']","['351', '1.1']","['15', '0.1']","['32', '1.0']","['D', 'D']","['D', 'D']","['63', '2.5']","['229', '1.0']","['11', '0.9']","['0', '0.0']","['2', '1.1']"
9590,r052,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['180', '0.6']","['224', '0.9']","['371', '1.1']","['31', '0.2']","['42', '1.3']","['0', '0.0']","['17', '0.5']","['76', '3.0']","['219', '1.0']","['12', '1.0']","['1', '0.3']","['4', '2.2']"
9590,r053,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['345', '1.2']","['553', '2.3']","['844', '2.5']","['48', '0.3']","['96', '3.0']","['D', 'D']","['D', 'D']","['215', '8.6']","['439', '2.0']","['36', '3.0']","['11', '3.7']","['10', '5.6']"
