table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companies_number_a,field_domestic_r_d_amount,field_nanotechnology_r_d_total_companies_number_b,field_nanotechnology_r_d_total_amount,field_nanotechnology_r_d_paid_for_by_company_companies_number_b,field_nanotechnology_r_d_paid_for_by_company_amount,field_nanotechnology_r_d_paid_for_by_others_companies_number_b,field_nanotechnology_r_d_paid_for_by_others_amount
744,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,73,"['480', '&nbsp;']","['D', '&nbsp;']","['1', 'i']","['D', '&nbsp;']","['1', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
744,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,6115,"['1,768', 'i']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
744,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,3369,"['65,513', '&nbsp;']","['34', 'i']","['518', '&nbsp;']","['31', 'i']","['503', '&nbsp;']","['5', 'i']","['15', '&nbsp;']"
744,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,1397,"['33,346', '&nbsp;']","['30', 'i']","['511', '&nbsp;']","['27', 'i']","['496', '&nbsp;']","['D', ' ']","['15', '&nbsp;']"
744,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,467,"['3,607', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
744,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,1168,"['9,416', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
744,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,337,"['19,144', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
744,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,14711,"['38,626', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['308', 'i']","['339', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
744,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,3181,"['4,128', 'i']","['71', 'i']","['64', 'i']","['70', 'i']","['64', 'i']","['D', '&nbsp;']","['1', 'i']"
744,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,2599,"['16,329', '&nbsp;']","['229', 'i']","['450', 'i']","['152', 'i']","['146', 'i']","['137', 'i']","['304', 'i']"
744,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,715,"['5,693', 'i']","['54', 'i']","['243', 'i']","['37', 'i']","['32', 'i']","['32', 'i']","['211', 'i']"
744,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,1884,"['10,636', '&nbsp;']","['175', 'i']","['207', 'i']","['115', 'i']","['114', 'i']","['105', 'i']","['94', '&nbsp;']"
744,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,8931,"['18,168', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['86', 'i']","['130', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
744,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,754,"['758', 'i']","['D', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
744,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81",1526,"['8,533', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']","['2', 'i']","['D', '&nbsp;']","['*', '&nbsp;']"
744,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,54759,"['355,821', '&nbsp;']","['1,689', 'i']","['21,617', 'i']","['1,501', 'i']","['20,123', 'i']","['364', 'i']","['1,494', 'i']"
744,r043,All companies (number of domestic employees) -> Micro companies<sup>c</sup>,All companies (number of domestic employees),Micro companies<sup>c</sup>,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
744,r044,All companies (number of domestic employees) -> Micro companies<sup>c</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>c</sup>,5&#8211;9,,,3,–,11869,"['2,988', 'i']","['332', 'i']","['97', 'i']","['259', 'i']","['59', 'i']","['105', 'i']","['38', 'i']"
744,r045,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
744,r046,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,13460,"['5,680', 'i']","['375', 'i']","['153', 'i']","['332', 'i']","['115', 'i']","['76', 'i']","['37', 'i']"
744,r047,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,13821,"['10,249', 'i']","['393', 'i']","['321', 'i']","['362', 'i']","['239', 'i']","['81', 'i']","['81', 'i']"
744,r048,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
744,r049,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,6910,"['11,509', '&nbsp;']","['241', 'i']","['345', 'i']","['220', 'i']","['251', 'i']","['39', 'i']","['95', '&nbsp;']"
744,r050,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,4420,"['13,602', '&nbsp;']","['124', 'i']","['498', 'i']","['115', 'i']","['374', 'i']","['20', '&nbsp;']","['124', 'i']"
744,r051,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
744,r052,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,1857,"['13,553', '&nbsp;']","['67', '&nbsp;']","['523', '&nbsp;']","['63', '&nbsp;']","['477', '&nbsp;']","['14', '&nbsp;']","['46', 'i']"
744,r053,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,951,"['15,217', '&nbsp;']","['43', '&nbsp;']","['629', 'i']","['41', '&nbsp;']","['458', 'i']","['5', '&nbsp;']","['171', '&nbsp;']"
744,r054,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,1008,"['58,094', '&nbsp;']","['66', '&nbsp;']","['4,573', 'i']","['63', '&nbsp;']","['4,227', 'i']","['14', '&nbsp;']","['346', 'i']"
744,r055,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,206,"['38,838', '&nbsp;']","['19', '&nbsp;']","['3,105', '&nbsp;']","['19', '&nbsp;']","['2,972', '&nbsp;']","['3', 'i']","['133', 'i']"
744,r056,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,155,"['59,328', '&nbsp;']","['20', '&nbsp;']","['5,717', 'i']","['19', '&nbsp;']","['5,480', 'i']","['5', '&nbsp;']","['236', '&nbsp;']"
744,r057,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,101,"['126,763', '&nbsp;']","['9', '&nbsp;']","['5,656', 'i']","['8', '&nbsp;']","['5,471', 'i']","['3', '&nbsp;']","['184', 'i']"
