table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
5395,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,384795,232322,24230,10051,20998,42808,1580,52806
5395,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,1160117,573744,151385,65710,84575,200183,3473,81047
5395,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,504528,209610,114375,24568,13195,101793,1316,39671
5395,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,935837,313741,153629,59073,52767,196882,26879,132866
5395,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,1244035,56968,5939,283333,7315,298934,38852,552694
5395,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,74126,9711,1440,6212,168,16337,1106,39152
5395,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,40830,5457,601,14954,669,10725,485,7939
5395,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,667043,10760,1126,79342,5699,211930,5154,353032
5395,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,54155,5926,512,9754,226,10696,333,26708
5395,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,26697,585,37,6912,1,831,283,18048
5395,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,140836,2751,0,125238,0,602,716,11529
5395,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,15140,899,126,3909,34,2414,75,7683
5395,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,225208,20879,2097,37012,518,45399,30700,88603
