table_id,row_id,organization_and_program_by_fy_2018_rank_order_full_path,organization_and_program_by_fy_2018_rank_order_level_1,organization_and_program_by_fy_2018_rank_order_level_2,organization_and_program_by_fy_2018_rank_order_level_3,organization_and_program_by_fy_2018_rank_order_hierarchy_depth,field_2018_actual,field_2019_preliminary,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1701,r021,R&D and R&D plant -> National Library of Medicine,R&D and R&D plant,National Library of Medicine,,2,427,442,380,3.4,-13.9
1701,r022,R&D and R&D plant -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,National Institute of Biomedical Imaging and Bioengineering,,2,340,348,300,2.5,-13.7
1701,r023,R&D and R&D plant -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,National Institute on Minority Health and Health Disparities,,2,304,314,270,3.4,-13.9
1701,r024,R&D and R&D plant -> National Institute of Nursing Research,R&D and R&D plant,National Institute of Nursing Research,,2,149,154,132,3.6,-14.5
1701,r025,R&D and R&D plant -> National Center for Complementary and Integrative Health,R&D and R&D plant,National Center for Complementary and Integrative Health,,2,139,142,123,2.5,-13.8
1701,r026,R&D and R&D plant -> John E. Fogarty International Center,R&D and R&D plant,John E. Fogarty International Center,,2,76,78,67,3.4,-13.9
1701,r027,R&D and R&D plant -> National Institute for Research on Safety and Quality<sup>b</sup>,R&D and R&D plant,National Institute for Research on Safety and Quality<sup>b</sup>,,2,na,na,197,--,--
1701,r028,R&D and R&D plant -> Buildings and facilities,R&D and R&D plant,Buildings and facilities,,2,129,200,200,55.2,0.0
1701,r029,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,35232,36980,32544,5.0,-12.0
1701,r030,R&D and R&D plant -> R&D -> National Cancer Institute,R&D and R&D plant,R&D,National Cancer Institute,3,5843,6037,5148,3.3,-14.7
1701,r031,R&D and R&D plant -> R&D -> National Institute of Allergy and Infectious Diseases,R&D and R&D plant,R&D,National Institute of Allergy and Infectious Diseases,3,5204,5457,4745,4.9,-13.0
1701,r032,"R&D and R&D plant -> R&D -> National Heart, Lung, and Blood Institute",R&D and R&D plant,R&D,"National Heart, Lung, and Blood Institute",3,3257,3371,2909,3.5,-13.7
1701,r033,R&D and R&D plant -> R&D -> National Institute on Aging,R&D and R&D plant,R&D,National Institute on Aging,3,2543,3049,2626,19.9,-13.9
1701,r034,R&D and R&D plant -> R&D -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,R&D,National Institute of Diabetes and Digestive and Kidney Diseases,3,2048,2113,1840,3.2,-12.9
1701,r035,R&D and R&D plant -> R&D -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,R&D,National Institute of Neurological Disorders and Stroke,3,2113,2241,1992,6.1,-11.1
1701,r036,R&D and R&D plant -> R&D -> Office of the Director,R&D and R&D plant,R&D,Office of the Director,3,1881,2079,1899,10.5,-8.7
1701,r037,R&D and R&D plant -> R&D -> National Institute of Mental Health,R&D and R&D plant,R&D,National Institute of Mental Health,3,1713,1828,1588,6.7,-13.1
1701,r038,R&D and R&D plant -> R&D -> National Institute of General Medical Sciences,R&D and R&D plant,R&D,National Institute of General Medical Sciences,3,1644,1505,1527,-8.4,1.4
1701,r039,R&D and R&D plant -> R&D -> National Institute of Child Health and Human Development,R&D and R&D plant,R&D,National Institute of Child Health and Human Development,3,1422,1465,1261,3.0,-13.9
1701,r040,R&D and R&D plant -> R&D -> National Institute on Drug Abuse,R&D and R&D plant,R&D,National Institute on Drug Abuse,3,1349,1394,1273,3.3,-8.7
1701,r041,R&D and R&D plant -> R&D -> National Institute of Environmental Health Sciences<sup>a</sup>,R&D and R&D plant,R&D,National Institute of Environmental Health Sciences<sup>a</sup>,3,806,833,717,3.4,-13.9
1701,r042,R&D and R&D plant -> R&D -> National Eye Institute,R&D and R&D plant,R&D,National Eye Institute,3,759,784,674,3.4,-14.1
1701,r043,R&D and R&D plant -> R&D -> National Center for Advancing Translational Sciences,R&D and R&D plant,R&D,National Center for Advancing Translational Sciences,3,729,774,667,6.2,-13.9
1701,r044,R&D and R&D plant -> R&D -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,R&D,National Institute of Arthritis and Musculoskeletal and Skin Diseases,3,569,587,504,3.1,-14.2
1701,r045,R&D and R&D plant -> R&D -> National Human Genome Research Institute,R&D and R&D plant,R&D,National Human Genome Research Institute,3,547,565,486,3.3,-13.9
1701,r046,R&D and R&D plant -> R&D -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,R&D,National Institute on Alcohol Abuse and Alcoholism,3,492,509,439,3.5,-13.9
1701,r047,R&D and R&D plant -> R&D -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,R&D,National Institute on Deafness and Other Communication Disorders,3,444,459,394,3.4,-14.2
1701,r048,R&D and R&D plant -> R&D -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,R&D,National Institute of Dental and Craniofacial Research,3,434,449,386,3.4,-13.9
1701,r049,R&D and R&D plant -> R&D -> National Library of Medicine,R&D and R&D plant,R&D,National Library of Medicine,3,427,442,380,3.4,-13.9
1701,r050,R&D and R&D plant -> R&D -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,R&D,National Institute of Biomedical Imaging and Bioengineering,3,340,348,300,2.5,-13.7
1701,r051,R&D and R&D plant -> R&D -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,R&D,National Institute on Minority Health and Health Disparities,3,304,314,270,3.4,-13.9
1701,r052,R&D and R&D plant -> R&D -> National Institute of Nursing Research,R&D and R&D plant,R&D,National Institute of Nursing Research,3,149,154,132,3.6,-14.5
1701,r053,R&D and R&D plant -> R&D -> National Center for Complementary and Integrative Health,R&D and R&D plant,R&D,National Center for Complementary and Integrative Health,3,139,142,123,2.5,-13.8
1701,r054,R&D and R&D plant -> R&D -> John E. Fogarty International Center,R&D and R&D plant,R&D,John E. Fogarty International Center,3,76,78,67,3.4,-13.9
1701,r055,R&D and R&D plant -> R&D -> National Institute for Research on Safety and Quality<sup>b</sup>,R&D and R&D plant,R&D,National Institute for Research on Safety and Quality<sup>b</sup>,3,na,na,197,--,--
1701,r056,R&D and R&D plant -> R&D -> Buildings and facilities,R&D and R&D plant,R&D,Buildings and facilities,3,0,0,0,--,--
