table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
720,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['1,531', '&nbsp;']","['753', '&nbsp;']","['*', 'i']","['123', '&nbsp;']","['6', '&nbsp;']","['319', '&nbsp;']","['5', '&nbsp;']","['53', '&nbsp;']","['2', 'i']","['270', '&nbsp;']"
720,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['3,214', '&nbsp;']","['1,610', '&nbsp;']","['39', '&nbsp;']","['134', '&nbsp;']","['16', '&nbsp;']","['428', '&nbsp;']","['12', 'i']","['203', '&nbsp;']","['14', '&nbsp;']","['757', '&nbsp;']"
720,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['2,535', '&nbsp;']","['1,507', '&nbsp;']","['3', 'i']","['345', '&nbsp;']","['4', '&nbsp;']","['299', 'i']","['3', 'i']","['107', '&nbsp;']","['17', '&nbsp;']","['250', 'i']"
720,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['6,146', '&nbsp;']","['4,087', '&nbsp;']","['51', '&nbsp;']","['218', '&nbsp;']","['73', '&nbsp;']","['818', '&nbsp;']","['58', '&nbsp;']","['129', '&nbsp;']","['113', '&nbsp;']","['599', '&nbsp;']"
720,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['72,110', '&nbsp;']","['43,057', '&nbsp;']","['5,087', '&nbsp;']","['1,655', '&nbsp;']","['1,437', '&nbsp;']","['4,879', '&nbsp;']","['1,297', '&nbsp;']","['3,534', '&nbsp;']","['1,936', '&nbsp;']","['9,227', '&nbsp;']"
720,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['19,424', '&nbsp;']","['9,652', '&nbsp;']","['2,331', '&nbsp;']","['349', '&nbsp;']","['847', '&nbsp;']","['1,205', '&nbsp;']","['706', '&nbsp;']","['1,056', '&nbsp;']","['914', '&nbsp;']","['2,364', '&nbsp;']"
720,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['30,451', '&nbsp;']","['19,406', '&nbsp;']","['2,168', '&nbsp;']","['516', '&nbsp;']","['268', '&nbsp;']","['1,646', '&nbsp;']","['419', '&nbsp;']","['1,635', '&nbsp;']","['722', '&nbsp;']","['3,672', '&nbsp;']"
720,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['14,128', '&nbsp;']","['9,034', '&nbsp;']","['216', '&nbsp;']","['533', '&nbsp;']","['146', '&nbsp;']","['1,581', '&nbsp;']","['125', '&nbsp;']","['316', '&nbsp;']","['185', '&nbsp;']","['1,992', '&nbsp;']"
720,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['2,758', '&nbsp;']","['1,514', '&nbsp;']","['146', '&nbsp;']","['142', '&nbsp;']","['29', '&nbsp;']","['334', '&nbsp;']","['48', 'i']","['76', '&nbsp;']","['32', '&nbsp;']","['436', '&nbsp;']"
720,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['7,360', '&nbsp;']","['4,881', '&nbsp;']","['28', '&nbsp;']","['270', '&nbsp;']","['D', '&nbsp;']","['884', '&nbsp;']","['28', '&nbsp;']","['137', '&nbsp;']","['43', '&nbsp;']","['D', '&nbsp;']"
