table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d,field_funding_agency_dhs,field_funding_agency_dod,field_funding_agency_doe,field_funding_agency_nasa,field_funding_agency_nsf
10816,r013,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Lawrence Livermore National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Lawrence Livermore National Laboratory,4,216367,0,0,216367,0,0
10816,r014,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Los Alamos National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Los Alamos National Laboratory,4,77458,0,0,77458,0,0
10816,r015,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> National Renewable Energy Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,National Renewable Energy Laboratory,4,48601,0,0,48601,0,0
10816,r016,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Oak Ridge National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Oak Ridge National Laboratory,4,812805,0,0,812805,0,0
10816,r017,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Pacific Northwest National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Pacific Northwest National Laboratory,4,28958,0,0,28958,0,0
10816,r018,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Princeton Plasma Physics Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Princeton Plasma Physics Laboratory,4,51074,0,0,51074,0,0
10816,r019,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> SLAC National Accelerator Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,SLAC National Accelerator Laboratory,4,271209,0,0,271209,0,0
10816,r020,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Sandia National Laboratories,All agencies sponsoring FFRDCs,Departments,Department of Energy,Sandia National Laboratories,4,39081,0,0,39081,0,0
10816,r021,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Savannah River National Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Energy,Savannah River National Laboratory,4,4977,0,0,4977,0,0
10816,r022,All agencies sponsoring FFRDCs -> Departments -> Department of Energy -> Thomas Jefferson National Accelerator Facility,All agencies sponsoring FFRDCs,Departments,Department of Energy,Thomas Jefferson National Accelerator Facility,4,103988,0,0,103988,0,0
10816,r023,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,,3,10096,10096,0,0,0,0
10816,r024,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Operational Analysis Center,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Operational Analysis Center,4,5076,5076,0,0,0,0
10816,r025,All agencies sponsoring FFRDCs -> Departments -> Department of Homeland Security -> Homeland Security Systems Engineering and Development Institute,All agencies sponsoring FFRDCs,Departments,Department of Homeland Security,Homeland Security Systems Engineering and Development Institute,4,5019,5019,0,0,0,0
10816,r026,All agencies sponsoring FFRDCs -> Other agencies,All agencies sponsoring FFRDCs,Other agencies,,,2,,,,,,
10816,r027,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,,3,8000,0,0,0,8000,0
10816,r028,All agencies sponsoring FFRDCs -> Other agencies -> National Aeronautics and Space Administration -> Jet Propulsion Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Aeronautics and Space Administration,Jet Propulsion Laboratory,4,8000,0,0,0,8000,0
10816,r029,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,,3,0.05,0,0,0,0,0.05
10816,r030,All agencies sponsoring FFRDCs -> Other agencies -> National Science Foundation -> NSF's National Optical-Infrared Astronomy Research Laboratory,All agencies sponsoring FFRDCs,Other agencies,National Science Foundation,NSF's National Optical-Infrared Astronomy Research Laboratory,4,0.05,0,0,0,0,0.05
