table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_doctoral_institution_type_u_s_institution_very_high_research_activity_university,field_doctoral_institution_type_u_s_institution_high_research_activity_university,field_doctoral_institution_type_u_s_institution_special_focus_institution,field_doctoral_institution_type_u_s_institution_other_u_s_college_or_university,field_doctoral_institution_type_non_u_s_college_or_university,field_doctoral_degree_type_professional_degree_or_doctoral_equivalenta,field_doctoral_degree_type_research_degree
3804,r014,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,69.2,15.1,2.2,8.6,4.9,13.6,86.4
3804,r015,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,73.9,12.3,1.1,5.8,6.9,5.6,94.4
3804,r016,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,39.5,7.0,0.3,1.7,51.5,1.6,98.4
3804,r017,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,38.9,8.4,0.8,1.4,50.5,1.4,98.6
3804,r018,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,39.7,6.4,,1.9,52.0,1.7,98.3
3804,r019,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,
3804,r020,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,13600,64.3,10.7,0.9,4.3,19.9,6.7,93.3
3804,r021,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,
3804,r022,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,37600,62.4,10.0,1.2,2.2,24.2,3.3,96.7
3804,r023,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,10100,57.7,22.9,S,15.3,2.9,12.7,87.3
3804,r024,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,120800,67.9,13.0,1.6,7.1,10.4,9.9,90.1
3804,r025,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,4700,79.1,7.6,,6.6,5.5,4.8,95.2
3804,r026,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,
3804,r027,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,38400,65.3,9.0,0.9,2.2,22.6,4.0,96.0
3804,r028,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,51100,69.8,10.2,1.2,2.4,16.3,3.8,96.2
3804,r029,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,41900,72.4,11.6,1.6,3.4,11.0,4.4,95.6
3804,r030,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,55300,59.0,18.0,1.9,15.1,6.0,18.7,81.3
3804,r031,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,
3804,r032,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,51700,67.6,15.0,1.4,6.6,9.4,9.2,90.8
3804,r033,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,135000,65.7,11.7,1.5,6.3,14.9,8.1,91.9
