table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
12653,r019,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,,3,"['25,625', '']"
12653,r020,Alaska,Alaska,,,,1,"['241,536', '']"
12653,r021,Alaska -> Public (U. Alaska System),Alaska,Public (U. Alaska System),,,2,"['239,713', '']"
12653,r022,"Alaska -> Public (U. Alaska System) -> U. Alaska, Anchorage",Alaska,Public (U. Alaska System),"U. Alaska, Anchorage",,3,"['19,850', '']"
12653,r023,"Alaska -> Public (U. Alaska System) -> U. Alaska, Fairbanks",Alaska,Public (U. Alaska System),"U. Alaska, Fairbanks",,3,"['218,041', '']"
12653,r024,"Alaska -> Public (U. Alaska System) -> U. Alaska, Southeast",Alaska,Public (U. Alaska System),"U. Alaska, Southeast",,3,"['1,822', '']"
12653,r025,Alaska -> Private,Alaska,Private,,,2,"['1,823', '']"
12653,r026,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,,3,"['1,823', '']"
12653,r027,Arizona,Arizona,,,,1,"['1,940,390', '']"
12653,r028,Arizona -> Public,Arizona,Public,,,2,"['1,939,790', '']"
12653,r029,Arizona -> Public -> Arizona Board of Regents,Arizona,Public,Arizona Board of Regents,,3,"['1,936,736', '']"
12653,r030,Arizona -> Public -> Arizona Board of Regents -> Arizona State U.,Arizona,Public,Arizona Board of Regents,Arizona State U.,4,"['903,779', '']"
12653,r031,Arizona -> Public -> Arizona Board of Regents -> Northern Arizona U.,Arizona,Public,Arizona Board of Regents,Northern Arizona U.,4,"['77,533', '']"
12653,r032,Arizona -> Public -> Arizona Board of Regents -> U. Arizona,Arizona,Public,Arizona Board of Regents,U. Arizona,4,"['955,424', '']"
12653,r033,Arizona -> Public -> Dine C.,Arizona,Public,Dine C.,,3,"['3,054', '']"
12653,r034,Arizona -> Private,Arizona,Private,,,2,"['600', '']"
12653,r035,Arizona -> Private -> Sonoran U. Health Sciences,Arizona,Private,Sonoran U. Health Sciences,,3,"['600', '']"
12653,r036,Arkansas,Arkansas,,,,1,"['460,137', '']"
12653,r037,Arkansas -> Public,Arkansas,Public,,,2,"['458,895', '']"
12653,r038,Arkansas -> Public -> Arkansas State U. System,Arkansas,Public,Arkansas State U. System,,3,"['7,323', '']"
12653,r039,"Arkansas -> Public -> Arkansas State U. System -> Arkansas State U., Jonesboro",Arkansas,Public,Arkansas State U. System,"Arkansas State U., Jonesboro",4,"['7,323', '']"
12653,r040,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,,3,"['668', '']"
12653,r041,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,,3,"['427', '']"
12653,r042,Arkansas -> Public -> U. Arkansas System,Arkansas,Public,U. Arkansas System,,3,"['447,385', '']"
12653,r043,Arkansas -> Public -> U. Arkansas System -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas System,U. Arkansas for Medical Sciences,4,"['209,409', '']"
12653,r044,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Fayetteville",Arkansas,Public,U. Arkansas System,"U. Arkansas, Fayetteville",4,"['221,525', '']"
12653,r045,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Little Rock",Arkansas,Public,U. Arkansas System,"U. Arkansas, Little Rock",4,"['8,685', '']"
12653,r046,"Arkansas -> Public -> U. Arkansas System -> U. Arkansas, Pine Bluff",Arkansas,Public,U. Arkansas System,"U. Arkansas, Pine Bluff",4,"['7,766', '']"
12653,r047,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,,3,"['3,092', '']"
12653,r048,Arkansas -> Private,Arkansas,Private,,,2,"['1,242', '']"
12653,r049,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,,3,"['277', '']"
12653,r050,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,,3,"['587', '']"
12653,r051,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,,3,"['378', '']"
12653,r052,California,California,,,,1,"['13,479,680', '']"
12653,r053,California -> Public,California,Public,,,2,"['9,596,807', '']"
12653,r054,California -> Public -> California State U. System,California,Public,California State U. System,,3,"['546,986', '']"
12653,r055,"California -> Public -> California State U. System -> California Polytechnic State U., San Luis Obispo",California,Public,California State U. System,"California Polytechnic State U., San Luis Obispo",4,"['35,830', '']"
12653,r056,"California -> Public -> California State U. System -> California State Polytechnic U., Humboldt",California,Public,California State U. System,"California State Polytechnic U., Humboldt",4,"['18,800', '']"
12653,r057,"California -> Public -> California State U. System -> California State Polytechnic U., Pomona",California,Public,California State U. System,"California State Polytechnic U., Pomona",4,"['10,722', '']"
12653,r058,"California -> Public -> California State U. System -> California State U., Bakersfield",California,Public,California State U. System,"California State U., Bakersfield",4,"['6,409', '']"
12653,r059,"California -> Public -> California State U. System -> California State U., Channel Islands",California,Public,California State U. System,"California State U., Channel Islands",4,"['3,992', '']"
12653,r060,"California -> Public -> California State U. System -> California State U., Chico",California,Public,California State U. System,"California State U., Chico",4,"['5,984', '']"
12653,r061,"California -> Public -> California State U. System -> California State U., Dominguez Hills",California,Public,California State U. System,"California State U., Dominguez Hills",4,"['5,558', '']"
12653,r062,"California -> Public -> California State U. System -> California State U., East Bay",California,Public,California State U. System,"California State U., East Bay",4,"['21,312', '']"
12653,r063,"California -> Public -> California State U. System -> California State U., Fresno",California,Public,California State U. System,"California State U., Fresno",4,"['11,411', '']"
12653,r064,"California -> Public -> California State U. System -> California State U., Fullerton",California,Public,California State U. System,"California State U., Fullerton",4,"['25,811', '']"
12653,r065,"California -> Public -> California State U. System -> California State U., Long Beach",California,Public,California State U. System,"California State U., Long Beach",4,"['21,458', '']"
12653,r066,"California -> Public -> California State U. System -> California State U., Los Angeles",California,Public,California State U. System,"California State U., Los Angeles",4,"['10,186', '']"
12653,r067,"California -> Public -> California State U. System -> California State U., Maritime Academy",California,Public,California State U. System,"California State U., Maritime Academy",4,"['305', '']"
12653,r068,"California -> Public -> California State U. System -> California State U., Monterey Bay",California,Public,California State U. System,"California State U., Monterey Bay",4,"['10,678', '']"
12653,r069,"California -> Public -> California State U. System -> California State U., Northridge",California,Public,California State U. System,"California State U., Northridge",4,"['23,093', '']"
12653,r070,"California -> Public -> California State U. System -> California State U., Sacramento",California,Public,California State U. System,"California State U., Sacramento",4,"['28,027', '']"
12653,r071,"California -> Public -> California State U. System -> California State U., San Bernardino",California,Public,California State U. System,"California State U., San Bernardino",4,"['13,152', '']"
12653,r072,"California -> Public -> California State U. System -> California State U., San Marcos",California,Public,California State U. System,"California State U., San Marcos",4,"['11,443', '']"
12653,r073,"California -> Public -> California State U. System -> California State U., Stanislaus",California,Public,California State U. System,"California State U., Stanislaus",4,"['2,305', '']"
12653,r074,California -> Public -> California State U. System -> San Diego State U.,California,Public,California State U. System,San Diego State U.,4,"['158,013', '']"
12653,r075,California -> Public -> California State U. System -> San Francisco State U.,California,Public,California State U. System,San Francisco State U.,4,"['34,466', '']"
12653,r076,California -> Public -> California State U. System -> San Jose State U.,California,Public,California State U. System,San Jose State U.,4,"['83,406', '']"
12653,r077,California -> Public -> California State U. System -> Sonoma State U.,California,Public,California State U. System,Sonoma State U.,4,"['4,625', '']"
12653,r078,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,,3,"['77,364', '']"
12653,r079,California -> Public -> U. California System,California,Public,U. California System,,3,"['8,972,457', '']"
12653,r080,"California -> Public -> U. California System -> U. California, Berkeley",California,Public,U. California System,"U. California, Berkeley",4,"['1,076,754', '']"
12653,r081,"California -> Public -> U. California System -> U. California, Davis",California,Public,U. California System,"U. California, Davis",4,"['962,399', '']"
12653,r082,"California -> Public -> U. California System -> U. California, Irvine",California,Public,U. California System,"U. California, Irvine",4,"['609,614', '']"
12653,r083,"California -> Public -> U. California System -> U. California, Los Angeles",California,Public,U. California System,"U. California, Los Angeles",4,"['1,721,665', '']"
12653,r084,"California -> Public -> U. California System -> U. California, Merced",California,Public,U. California System,"U. California, Merced",4,"['62,279', '']"
12653,r085,"California -> Public -> U. California System -> U. California, Office of the President",California,Public,U. California System,"U. California, Office of the President",4,"['63,629', '']"
12653,r086,"California -> Public -> U. California System -> U. California, Riverside",California,Public,U. California System,"U. California, Riverside",4,"['214,802', '']"
12653,r087,"California -> Public -> U. California System -> U. California, San Diego",California,Public,U. California System,"U. California, San Diego",4,"['1,705,410', '']"
12653,r088,"California -> Public -> U. California System -> U. California, San Francisco",California,Public,U. California System,"U. California, San Francisco",4,"['2,046,539', '']"
12653,r089,"California -> Public -> U. California System -> U. California, Santa Barbara",California,Public,U. California System,"U. California, Santa Barbara",4,"['305,483', '']"
12653,r090,"California -> Public -> U. California System -> U. California, Santa Cruz",California,Public,U. California System,"U. California, Santa Cruz",4,"['203,883', '']"
12653,r091,California -> Private,California,Private,,,2,"['3,882,873', '']"
12653,r092,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,,3,"['6,097', '']"
12653,r093,California -> Private -> Biola U.,California,Private,Biola U.,,3,"['1,461', '']"
12653,r094,California -> Private -> California Baptist U.,California,Private,California Baptist U.,,3,"['554', '']"
12653,r095,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,,3,"['490,672', '']"
12653,r096,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,,3,"['1,279', '']"
12653,r097,California -> Private -> Chapman U.,California,Private,Chapman U.,,3,"['41,791', '']"
12653,r098,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,,3,"['19,551', '']"
12653,r099,California -> Private -> Dominican U. California,California,Private,Dominican U. California,,3,"['1,001', 'i']"
12653,r100,California -> Private -> Fuller Theological Seminary,California,Private,Fuller Theological Seminary,,3,"['271', '']"
12653,r101,California -> Private -> High Tech High Graduate School of Ed.,California,Private,High Tech High Graduate School of Ed.,,3,"['5,939', '']"
12653,r102,California -> Private -> La Sierra U.,California,Private,La Sierra U.,,3,"['2,496', 'i']"
12653,r103,California -> Private -> Life Chiropractic C.-West,California,Private,Life Chiropractic C.-West,,3,"['350', '']"
12653,r104,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,,3,"['22,262', '']"
12653,r105,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,,3,"['14,086', '']"
12653,r106,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,,3,"['1,777', 'i']"
12653,r107,California -> Private -> Occidental C.,California,Private,Occidental C.,,3,"['4,718', 'i']"
12653,r108,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,,3,"['473', 'i']"
12653,r109,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,,3,"['10,632', '']"
12653,r110,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,,3,"['482', '']"
12653,r111,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,,3,"['5,679', '']"
12653,r112,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,,3,"['494,946', '']"
12653,r113,California -> Private -> Southern California U. of Health Sciences,California,Private,Southern California U. of Health Sciences,,3,"['378', '']"
12653,r114,California -> Private -> Stanford U.,California,Private,Stanford U.,,3,"['1,537,846', '']"
12653,r115,California -> Private -> The Claremont Colleges,California,Private,The Claremont Colleges,,3,"['26,407', '']"
12653,r116,California -> Private -> The Claremont Colleges -> Claremont Graduate U.,California,Private,The Claremont Colleges,Claremont Graduate U.,4,"['7,262', '']"
12653,r117,California -> Private -> The Claremont Colleges -> Claremont McKenna C.,California,Private,The Claremont Colleges,Claremont McKenna C.,4,"['6,925', '']"
12653,r118,California -> Private -> The Claremont Colleges -> Harvey Mudd C.,California,Private,The Claremont Colleges,Harvey Mudd C.,4,"['3,682', '']"
12653,r119,California -> Private -> The Claremont Colleges -> Keck Graduate Institute,California,Private,The Claremont Colleges,Keck Graduate Institute,4,"['4,059', '']"
12653,r120,California -> Private -> The Claremont Colleges -> Pitzer C.,California,Private,The Claremont Colleges,Pitzer C.,4,"['330', '']"
12653,r121,California -> Private -> The Claremont Colleges -> Pomona C.,California,Private,The Claremont Colleges,Pomona C.,4,"['4,149', '']"
12653,r122,California -> Private -> Touro C. and U. System<sup>a</sup>,California,Private,Touro C. and U. System<sup>a</sup>,,3,"['2,877', '']"
12653,r123,"California -> Private -> Touro C. and U. System<sup>a</sup> -> Touro U., California",California,Private,Touro C. and U. System<sup>a</sup>,"Touro U., California",4,"['2,877', '']"
12653,r124,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,,3,"['1,972', '']"
12653,r125,California -> Private -> U. San Diego,California,Private,U. San Diego,,3,"['12,902', '']"
12653,r126,California -> Private -> U. San Francisco,California,Private,U. San Francisco,,3,"['9,633', '']"
12653,r127,California -> Private -> U. Southern California,California,Private,U. Southern California,,3,"['1,154,804', '']"
12653,r128,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,,3,"['8,929', '']"
12653,r129,California -> Private -> Westmont C.,California,Private,Westmont C.,,3,"['388', 'i']"
12653,r130,California -> Private -> Whittier C.,California,Private,Whittier C.,,3,"['220', '']"
12653,r131,Colorado,Colorado,,,,1,"['2,087,823', '']"
12653,r132,Colorado -> Public,Colorado,Public,,,2,"['2,031,062', '']"
12653,r133,Colorado -> Public -> Colorado Mesa U.,Colorado,Public,Colorado Mesa U.,,3,"['443', '']"
12653,r134,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,,3,"['104,297', '']"
12653,r135,Colorado -> Public -> Colorado State U. System,Colorado,Public,Colorado State U. System,,3,"['499,697', '']"
12653,r136,"Colorado -> Public -> Colorado State U. System -> Colorado State U., Fort Collins",Colorado,Public,Colorado State U. System,"Colorado State U., Fort Collins",4,"['498,073', '']"
12653,r137,"Colorado -> Public -> Colorado State U. System -> Colorado State U., Pueblo",Colorado,Public,Colorado State U. System,"Colorado State U., Pueblo",4,"['1,624', '']"
12653,r138,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,,3,"['3,372', '']"
12653,r139,Colorado -> Public -> Metropolitan State U. of Denver,Colorado,Public,Metropolitan State U. of Denver,,3,"['651', '']"
12653,r140,Colorado -> Public -> U. Colorado System,Colorado,Public,U. Colorado System,,3,"['1,367,492', '']"
12653,r141,Colorado -> Public -> U. Colorado System -> U. Colorado Anschutz Medical Campus,Colorado,Public,U. Colorado System,U. Colorado Anschutz Medical Campus,4,"['686,026', '']"
12653,r142,Colorado -> Public -> U. Colorado System -> U. Colorado Boulder,Colorado,Public,U. Colorado System,U. Colorado Boulder,4,"['651,924', '']"
12653,r143,Colorado -> Public -> U. Colorado System -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado System,U. Colorado Colorado Springs,4,"['7,012', '']"
12653,r144,Colorado -> Public -> U. Colorado System -> U. Colorado Denver,Colorado,Public,U. Colorado System,U. Colorado Denver,4,"['22,530', '']"
12653,r145,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,,3,"['9,064', '']"
12653,r146,Colorado -> Public -> U.S. Air Force Academy,Colorado,Public,U.S. Air Force Academy,,3,"['44,880', '']"
12653,r147,Colorado -> Public -> Western Colorado U.,Colorado,Public,Western Colorado U.,,3,"['1,166', '']"
12653,r148,Colorado -> Private,Colorado,Private,,,2,"['56,761', '']"
12653,r149,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,,3,"['2,498', '']"
12653,r150,Colorado -> Private -> Regis U.,Colorado,Private,Regis U.,,3,"['779', '']"
12653,r151,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,,3,"['53,484', '']"
12653,r152,Connecticut,Connecticut,,,,1,"['1,759,439', '']"
12653,r153,Connecticut -> Public,Connecticut,Public,,,2,"['401,668', '']"
12653,r154,Connecticut -> Public -> Connecticut State U. System,Connecticut,Public,Connecticut State U. System,,3,"['10,814', '']"
12653,r155,Connecticut -> Public -> Connecticut State U. System -> Central Connecticut State U.,Connecticut,Public,Connecticut State U. System,Central Connecticut State U.,4,"['934', '']"
12653,r156,Connecticut -> Public -> Connecticut State U. System -> Eastern Connecticut State U.,Connecticut,Public,Connecticut State U. System,Eastern Connecticut State U.,4,"['1,449', '']"
12653,r157,Connecticut -> Public -> Connecticut State U. System -> Southern Connecticut State U.,Connecticut,Public,Connecticut State U. System,Southern Connecticut State U.,4,"['8,007', '']"
12653,r158,Connecticut -> Public -> Connecticut State U. System -> Western Connecticut State U.,Connecticut,Public,Connecticut State U. System,Western Connecticut State U.,4,"['424', '']"
12653,r159,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,,3,"['390,165', '']"
12653,r160,Connecticut -> Public -> U.S. Coast Guard Academy,Connecticut,Public,U.S. Coast Guard Academy,,3,"['689', '']"
12653,r161,Connecticut -> Private,Connecticut,Private,,,2,"['1,357,771', '']"
12653,r162,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,,3,"['1,440', '']"
12653,r163,Connecticut -> Private -> Fairfield U.,Connecticut,Private,Fairfield U.,,3,"['1,484', '']"
12653,r164,Connecticut -> Private -> Hartford International U. for Religion and Peace,Connecticut,Private,Hartford International U. for Religion and Peace,,3,"['1,485', '']"
12653,r165,Connecticut -> Private -> Quinnipiac U.,Connecticut,Private,Quinnipiac U.,,3,"['1,218', 'i']"
12653,r166,Connecticut -> Private -> Sacred Heart U.,Connecticut,Private,Sacred Heart U.,,3,"['4,733', '']"
12653,r167,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",,3,"['4,099', '']"
12653,r168,Connecticut -> Private -> U. Bridgeport,Connecticut,Private,U. Bridgeport,,3,"['542', '']"
12653,r169,Connecticut -> Private -> U. Hartford,Connecticut,Private,U. Hartford,,3,"['1,533', '']"
12653,r170,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,,3,"['3,602', '']"
12653,r171,Connecticut -> Private -> Wesleyan U.,Connecticut,Private,Wesleyan U.,,3,"['10,828', '']"
12653,r172,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,,3,"['1,326,807', '']"
12653,r173,Delaware,Delaware,,,,1,"['461,627', '']"
12653,r174,Delaware -> Public,Delaware,Public,,,2,"['461,627', '']"
12653,r175,Delaware -> Public -> Delaware State U.,Delaware,Public,Delaware State U.,,3,"['33,499', '']"
12653,r176,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,,3,"['428,128', '']"
12653,r177,District of Columbia,District of Columbia,,,,1,"['925,418', '']"
12653,r178,District of Columbia -> Public,District of Columbia,Public,,,2,"['10,439', '']"
12653,r179,District of Columbia -> Public -> National Defense U.,District of Columbia,Public,National Defense U.,,3,"['2,494', '']"
12653,r180,District of Columbia -> Public -> National Defense U. -> U. of the District of Columbia,District of Columbia,Public,National Defense U.,U. of the District of Columbia,4,"['7,945', '']"
12653,r181,District of Columbia -> Private,District of Columbia,Private,,,2,"['914,979', '']"
12653,r182,District of Columbia -> Private -> American U.,District of Columbia,Private,American U.,,3,"['76,041', '']"
12653,r183,District of Columbia -> Private -> Catholic U. of America,District of Columbia,Private,Catholic U. of America,,3,"['47,022', '']"
12653,r184,District of Columbia -> Private -> Gallaudet U.,District of Columbia,Private,Gallaudet U.,,3,"['9,894', '']"
12653,r185,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,,3,"['360,260', '']"
12653,r186,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,,3,"['337,006', '']"
12653,r187,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,,3,"['84,756', '']"
12653,r188,Florida,Florida,,,,1,"['3,524,775', '']"
12653,r189,Florida -> Public (State U. Florida Board of Governors),Florida,Public (State U. Florida Board of Governors),,,2,"['2,914,461', '']"
12653,r190,Florida -> Public (State U. Florida Board of Governors) -> Florida A&M U.,Florida,Public (State U. Florida Board of Governors),Florida A&M U.,,3,"['65,159', '']"
12653,r191,Florida -> Public (State U. Florida Board of Governors) -> Florida Atlantic U.,Florida,Public (State U. Florida Board of Governors),Florida Atlantic U.,,3,"['77,593', '']"
12653,r192,Florida -> Public (State U. Florida Board of Governors) -> Florida Gulf Coast U.,Florida,Public (State U. Florida Board of Governors),Florida Gulf Coast U.,,3,"['24,899', '']"
12653,r193,Florida -> Public (State U. Florida Board of Governors) -> Florida International U.,Florida,Public (State U. Florida Board of Governors),Florida International U.,,3,"['306,434', '']"
12653,r194,Florida -> Public (State U. Florida Board of Governors) -> Florida Polytechnic U.,Florida,Public (State U. Florida Board of Governors),Florida Polytechnic U.,,3,"['2,260', '']"
12653,r195,Florida -> Public (State U. Florida Board of Governors) -> Florida State U.,Florida,Public (State U. Florida Board of Governors),Florida State U.,,3,"['414,463', '']"
12653,r196,Florida -> Public (State U. Florida Board of Governors) -> New C. Florida,Florida,Public (State U. Florida Board of Governors),New C. Florida,,3,"['1,080', '']"
12653,r197,Florida -> Public (State U. Florida Board of Governors) -> U. Central Florida,Florida,Public (State U. Florida Board of Governors),U. Central Florida,,3,"['247,259', '']"
12653,r198,Florida -> Public (State U. Florida Board of Governors) -> U. Florida,Florida,Public (State U. Florida Board of Governors),U. Florida,,3,"['1,250,201', '']"
12653,r199,Florida -> Public (State U. Florida Board of Governors) -> U. North Florida,Florida,Public (State U. Florida Board of Governors),U. North Florida,,3,"['23,269', '']"
12653,r200,Florida -> Public (State U. Florida Board of Governors) -> U. North Florida -> U. South Florida,Florida,Public (State U. Florida Board of Governors),U. North Florida,U. South Florida,4,"['461,390', '']"
12653,r201,Florida -> Public (State U. Florida Board of Governors) -> U. West Florida,Florida,Public (State U. Florida Board of Governors),U. West Florida,,3,"['40,454', '']"
12653,r202,Florida -> Private,Florida,Private,,,2,"['610,314', '']"
12653,r203,Florida -> Private -> Barry U.,Florida,Private,Barry U.,,3,"['469', '']"
12653,r204,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,,3,"['682', '']"
12653,r205,Florida -> Private -> Eckerd C.,Florida,Private,Eckerd C.,,3,"['1,599', '']"
12653,r206,Florida -> Private -> Embry-Riddle Aeronautical U.,Florida,Private,Embry-Riddle Aeronautical U.,,3,"['27,451', '']"
12653,r207,Florida -> Private -> Florida Institute of Technology,Florida,Private,Florida Institute of Technology,,3,"['16,859', '']"
12653,r208,Florida -> Private -> Jacksonville U.,Florida,Private,Jacksonville U.,,3,"['200', '']"
12653,r209,Florida -> Private -> Keiser U.,Florida,Private,Keiser U.,,3,"['539', 'i']"
12653,r210,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,,3,"['50,173', '']"
12653,r211,Florida -> Private -> Rollins C.,Florida,Private,Rollins C.,,3,"['995', '']"
12653,r212,Florida -> Private -> Stetson U.,Florida,Private,Stetson U.,,3,"['513', '']"
12653,r213,Florida -> Private -> U. Miami,Florida,Private,U. Miami,,3,"['509,951', '']"
12653,r214,Florida -> Private -> U. Tampa,Florida,Private,U. Tampa,,3,"['883', '']"
12653,r215,Georgia,Georgia,,,,1,"['3,667,775', '']"
12653,r216,Georgia -> Public (U. System Georgia Board of Regents),Georgia,Public (U. System Georgia Board of Regents),,,2,"['2,448,340', '']"
12653,r217,Georgia -> Public (U. System Georgia Board of Regents) -> Albany State U.,Georgia,Public (U. System Georgia Board of Regents),Albany State U.,,3,"['1,932', '']"
12653,r218,Georgia -> Public (U. System Georgia Board of Regents) -> Augusta U.,Georgia,Public (U. System Georgia Board of Regents),Augusta U.,,3,"['139,121', '']"
12653,r219,Georgia -> Public (U. System Georgia Board of Regents) -> Clayton State U.,Georgia,Public (U. System Georgia Board of Regents),Clayton State U.,,3,"['732', '']"
12653,r220,Georgia -> Public (U. System Georgia Board of Regents) -> Columbus State U.,Georgia,Public (U. System Georgia Board of Regents),Columbus State U.,,3,"['276', '']"
12653,r221,Georgia -> Public (U. System Georgia Board of Regents) -> Fort Valley State U.,Georgia,Public (U. System Georgia Board of Regents),Fort Valley State U.,,3,"['15,536', '']"
12653,r222,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia C. and State U.,Georgia,Public (U. System Georgia Board of Regents),Georgia C. and State U.,,3,"['294', '']"
12653,r223,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia Gwinnett C.,Georgia,Public (U. System Georgia Board of Regents),Georgia Gwinnett C.,,3,"['249', '']"
12653,r224,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia Institute of Technology,Georgia,Public (U. System Georgia Board of Regents),Georgia Institute of Technology,,3,"['1,405,080', '']"
12653,r225,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia Southern U.,Georgia,Public (U. System Georgia Board of Regents),Georgia Southern U.,,3,"['40,026', '']"
12653,r226,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia State U.,Georgia,Public (U. System Georgia Board of Regents),Georgia State U.,,3,"['237,493', '']"
