table_id,row_id,time_period,value_added_by_industry_level_1,value_added_by_industry_level_2,value_added_by_industry_hierarchy_depth,value
6252,r013_5,,"ISIC, Rev.4",Industry title,2,Manufacture of electrical equipment 
6252,r014_1,,"Value added, by industry",Industry title,2,Agricultural implement manufacturing
6252,r014_2,,Related 2012 NAICS,Industry code,2,3331
6252,r014_3,,Related 2012 NAICS,Industry title,2," Agriculture, construction, and mining machinery manufacturing"
6252,r014_4,,"ISIC, Rev.4",Industry code,2,28
6252,r014_5,,"ISIC, Rev.4",Industry title,2,Manufacture of machinery and equipment nec
6252,r015_1,,"Value added, by industry",Industry title,2,Construction machinery manufacturing
6252,r016_1,,"Value added, by industry",Industry title,2,Mining and oil and gas field machinery manufacturing
6252,r017_1,,"Value added, by industry",Industry title,2,Other machineryb
6252,r017_2,,Related 2012 NAICS,Industry code,2,3332
6252,r017_3,,Related 2012 NAICS,Industry title,2, Industrial machinery manufacturing
6252,r018_2,,Related 2012 NAICS,Industry code,2,333316
6252,r018_3,,Related 2012 NAICS,Industry title,2,Photographic and photocopying equipment manufacturing
6252,r019_2,,Related 2012 NAICS,Industry code,2,333318
6252,r019_3,,Related 2012 NAICS,Industry title,2,Other commercial and service industry machinery manufacturing
6252,r020_2,,Related 2012 NAICS,Industry code,2,3334
6252,r020_3,,Related 2012 NAICS,Industry title,2,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
6252,r021_2,,Related 2012 NAICS,Industry code,2,333517
6252,r021_3,,Related 2012 NAICS,Industry title,2,Machine tool manufacturing
6252,r022_2,,Related 2012 NAICS,Industry code,2,333514
6252,r022_3,,Related 2012 NAICS,Industry title,2,"Special tool, die, jig, and fixture manufacturing"
6252,r023_2,,Related 2012 NAICS,Industry code,2,333515
6252,r023_3,,Related 2012 NAICS,Industry title,2,Cutting tool and machine tool accessory manufacturing
6252,r024_2,,Related 2012 NAICS,Industry code,2,333519
6252,r024_3,,Related 2012 NAICS,Industry title,2,Rolling mill and other metalworking machinery manufacturing
6252,r025_2,,Related 2012 NAICS,Industry code,2,3336
6252,r025_3,,Related 2012 NAICS,Industry title,2,"Engine, turbine, and power transmission equipment manufacturing"
6252,r026_2,,Related 2012 NAICS,Industry code,2,3339
6252,r026_3,,Related 2012 NAICS,Industry title,2,Other general purpose machinery manufacturing
6252,r027_1,,"Value added, by industry",Industry title,2,Plumbing fixture fitting and trim manufacturinga
6252,r027_2,,Related 2012 NAICS,Industry code,2,332913
6252,r027_3,,Related 2012 NAICS,Industry title,2,Plumbing fixture fitting and trim manufacturing
6252,r028_1,,"Value added, by industry",Industry title,2,Ball and roller bearing manufacturinga
6252,r028_2,,Related 2012 NAICS,Industry code,2,332991
6252,r028_3,,Related 2012 NAICS,Industry title,2,Ball and roller bearing manufacturing
6252,r029_1,,"Value added, by industry",Industry title,2,Motor vehicle manufacturing
6252,r029_2,,Related 2012 NAICS,Industry code,2,3361
6252,r029_3,,Related 2012 NAICS,Industry title,2,Motor vehicle manufacturing
6252,r029_4,,"ISIC, Rev.4",Industry code,2,29
6252,r029_5,,"ISIC, Rev.4",Industry title,2,"Manufacture of motor vehicles, trailers and semi-trailers"
6252,r030_1,,"Value added, by industry",Industry title,2,Light truck and utility vehicle manufacturing
6252,r031_1,,"Value added, by industry",Industry title,2,Heavy duty truck manufacturing
6252,r032_1,,"Value added, by industry",Industry title,2,"Motor vehicle body, trailer, and parts manufacturingc"
6252,r032_2,,Related 2012 NAICS,Industry code,2,3362
6252,r032_3,,Related 2012 NAICS,Industry title,2,Motor vehicle body and trailer manufacturing
6252,r033_2,,Related 2012 NAICS,Industry code,2,33631
6252,r033_3,,Related 2012 NAICS,Industry title,2,Motor vehicle gasoline engine and engine parts manufacturing
6252,r034_2,,Related 2012 NAICS,Industry code,2,33632
6252,r034_3,,Related 2012 NAICS,Industry title,2,Motor vehicle electrical and electronic equipment manufacturing
6252,r035_2,,Related 2012 NAICS,Industry code,2,33633
6252,r035_3,,Related 2012 NAICS,Industry title,2,Motor vehicle steering and suspension component (except spring) manufacturing
6252,r036_2,,Related 2012 NAICS,Industry code,2,33634
6252,r036_3,,Related 2012 NAICS,Industry title,2,Motor vehicle brake system manufacturing
6252,r037_2,,Related 2012 NAICS,Industry code,2,33635
6252,r037_3,,Related 2012 NAICS,Industry title,2,Motor vehicle transmission and power train parts manufacturing
6252,r038_2,,Related 2012 NAICS,Industry code,2,33636
6252,r038_3,,Related 2012 NAICS,Industry title,2,Motor vehicle seating and interior trim manufacturing
6252,r039_2,,Related 2012 NAICS,Industry code,2,33639
6252,r039_3,,Related 2012 NAICS,Industry title,2,Other motor vehicle parts manufacturing
6252,r040_1,,"Value added, by industry",Industry title,2,All other transportation equipment manufacturingd
6252,r040_2,,Related 2012 NAICS,Industry code,2,3365
6252,r040_3,,Related 2012 NAICS,Industry title,2,Railroad rolling stock manufacturing
6252,r040_4,,"ISIC, Rev.4",Industry code,2,30X
6252,r040_5,,"ISIC, Rev.4",Industry title,2,"Manufacture of railroad, military vehicles and transport nec (ISIC 302, 304, and 309)"
6252,r041_2,,Related 2012 NAICS,Industry code,2,3369
6252,r041_3,,Related 2012 NAICS,Industry title,2,Other transportation equipment manufacturing
6252,r042_1,,"Value added, by industry",Industry title,2,Medical equipment and supplies manufacturing
6252,r042_2,,Related 2012 NAICS,Industry code,2,3391
6252,r042_3,,Related 2012 NAICS,Industry title,2,Medical equipment and supplies manufacturing
6252,r042_4,,"ISIC, Rev.4",Industry code,2,325
6252,r042_5,,"ISIC, Rev.4",Industry title,2,Manufacture of medical and dental instruments and supplies 
6252,r043_1,,"Value added, by industry",Industry title,2,Computer systems design and related services
6252,r043_2,,Related 2012 NAICS,Industry code,2,5415
6252,r043_3,,Related 2012 NAICS,Industry title,2,Computer systems design and related services
6252,r043_4,,"ISIC, Rev.4",Industry code,2,J62 - J63
6252,r043_5,,"ISIC, Rev.4",Industry title,2,IT and other information services
6252,r044_1,,"Value added, by industry",Industry title,2,"Data processing, internet publishing, and other information services"
6252,r044_2,,Related 2012 NAICS,Industry code,2,518
6252,r044_3,,Related 2012 NAICS,Industry title,2,"Data processing, hosting, and related services"
6252,r045_2,,Related 2012 NAICS,Industry code,2,519
6252,r045_3,,Related 2012 NAICS,Industry title,2,Other information services
