table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_1992_number,field_1992_percent,field_1997_number,field_1997_percent,field_2002_number,field_2002_percent,field_2007_number,field_2007_percent,field_2012_number,field_2012_percent,field_2017_number,field_2017_percent,field_2022_number,field_2022_percent
9462,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,407,1.0,291,0.7,262,0.7,297,0.6,156,0.3,114,0.2,110,0.2
9462,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,1008,2.6,919,2.2,686,1.7,873,1.8,757,1.5,925,1.7,890,1.5
9462,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,775,2.0,622,1.5,433,1.1,446,0.9,316,0.6,492,0.9,486,0.8
9462,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4387,11.3,5285,12.4,5297,13.2,5085,10.6,5561,10.9,5286,9.7,4464,7.8
9462,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,562,1.4,652,1.5,627,1.6,607,1.3,684,1.3,618,1.1,442,0.8
9462,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,724,1.9,965,2.3,1031,2.6,937,1.9,1086,2.1,1058,1.9,750,1.3
9462,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1278,3.3,1550,3.6,1455,3.6,1340,2.8,1638,3.2,1462,2.7,1292,2.2
9462,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1823,4.7,2118,5.0,2184,5.5,2201,4.6,2153,4.2,2148,3.9,1980,3.4
9462,r041,All fields -> Other,All fields,Other,,2,2206,5.7,2191,5.2,2138,5.3,2841,5.9,2734,5.4,3152,5.8,3144,5.5
9462,r042,All fields -> Other -> Business management and administration,All fields,Other,Business management and administration,3,1248,3.2,1245,2.9,1113,2.8,1506,3.1,1404,2.8,1565,2.9,1450,2.5
9462,r043,All fields -> Other -> Communication,All fields,Other,Communication,3,330,0.8,331,0.8,397,1.0,560,1.2,595,1.2,622,1.1,580,1.0
9462,r044,All fields -> Other -> Non-science and engineering fields nec,All fields,Other,Non-science and engineering fields nec,3,628,1.6,615,1.4,628,1.6,775,1.6,735,1.4,965,1.8,1114,1.9
