table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5398,r031,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software,All institutions,Nondoctorate,All R&D,Direct costs,Software,,5,7851,6137,7829,5162,5181,5366,4887,2424,1894,1740,2371
5398,r032,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Noncapitalized software,6,7516,5630,7135,4994,4642,5128,4596,2043,1753,1586,2044
5398,r033,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Capitalized software,6,335,507,694,168,539,238,291,381,141,154,327
5398,r034,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Nondoctorate,All R&D,Direct costs,Capitalized equipment,,5,61465,63729,45189,34880,25387,24222,130203,27261,23908,21538,23093
5398,r035,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Nondoctorate,All R&D,Direct costs,Passed through to subrecipients,,5,55517,65672,61794,41154,39477,24620,37578,31326,29502,28146,28152
5398,r036,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Nondoctorate,All R&D,Direct costs,Other direct costs,,5,333582,390565,328035,269629,246049,226180,395475,243180,214900,230811,228005
5398,r037,All institutions -> Nondoctorate -> All R&D -> Indirect costs,All institutions,Nondoctorate,All R&D,Indirect costs,,,4,126426,181192,153799,104575,102062,88536,131739,84574,87389,93320,96051
5398,r038,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Nondoctorate,All R&D,Indirect costs,Recovered,,5,83430,116226,96458,72352,64977,59935,68671,55825,59630,60838,62496
5398,r039,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Nondoctorate,All R&D,Indirect costs,Unrecovered,,5,42996,64966,57341,32223,37085,28601,63068,28749,27759,32482,33555
5398,r040,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,
5398,r041,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,,,3,41266626,43915960,44162595,44849697,44678272,45412330,47107025,49257693,51891065,54676833,56663756
5398,r042,All institutions -> Public -> All R&D -> Direct costs,All institutions,Public,All R&D,Direct costs,,,4,31705979,33922562,34339324,35005995,35020267,35641244,36969260,38696285,40643885,42903776,44494080
5398,r043,"All institutions -> Public -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Public,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,18317189,19636095,19949722,20231506,20439977,20800559,21747650,22901344,23752500,25086682,26472556
5398,r044,All institutions -> Public -> All R&D -> Direct costs -> Software,All institutions,Public,All R&D,Direct costs,Software,,5,82340,96499,83509,85149,74464,92881,89420,81626,94272,103482,120556
5398,r045,All institutions -> Public -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Public,All R&D,Direct costs,Software,Noncapitalized software,6,69454,80693,74897,76518,65044,74448,74083,73839,85062,92402,111598
5398,r046,All institutions -> Public -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Public,All R&D,Direct costs,Software,Capitalized software,6,12886,15806,8612,8631,9420,18433,15337,7787,9210,11080,8958
5398,r047,All institutions -> Public -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Public,All R&D,Direct costs,Capitalized equipment,,5,1457694,1555049,1476328,1655640,1468645,1508981,1578490,1554168,1522182,1744741,1924396
5398,r048,All institutions -> Public -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Public,All R&D,Direct costs,Passed through to subrecipients,,5,3065688,3418705,3502384,3608137,3558954,3541678,3520318,3662415,3917082,4149970,4388534
5398,r049,All institutions -> Public -> All R&D -> Direct costs -> Other direct costs,All institutions,Public,All R&D,Direct costs,Other direct costs,,5,8783068,9216214,9327381,9425563,9478227,9697145,10033382,10496732,11357849,11818901,11588038
5398,r050,All institutions -> Public -> All R&D -> Indirect costs,All institutions,Public,All R&D,Indirect costs,,,4,9560647,9993398,9823271,9843702,9658005,9771086,10137765,10561408,11247180,11773057,12169676
5398,r051,All institutions -> Public -> All R&D -> Indirect costs -> Recovered,All institutions,Public,All R&D,Indirect costs,Recovered,,5,6175654,6585483,6554816,6539581,6339721,6409899,6622242,6946587,7365388,7916771,8108186
5398,r052,All institutions -> Public -> All R&D -> Indirect costs -> Unrecovered,All institutions,Public,All R&D,Indirect costs,Unrecovered,,5,3384993,3407915,3268455,3304121,3318284,3361187,3515523,3614821,3881792,3856286,4061490
5398,r053,All institutions -> Private,All institutions,Private,,,,,2,,,,,,,,,,,
5398,r054,All institutions -> Private -> All R&D,All institutions,Private,All R&D,,,,3,20019984,21358433,21566412,22163441,22520818,23137552,24660824,25889451,27135204,28857315,29632422
5398,r055,All institutions -> Private -> All R&D -> Direct costs,All institutions,Private,All R&D,Direct costs,,,4,14453670,15389005,15558530,16083468,16544406,16970924,18312151,19239019,20133694,21484429,22020724
5398,r056,"All institutions -> Private -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Private,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,7612610,8224515,8389348,8570675,8678485,9094253,9707797,10328629,10925793,11512054,12231311
5398,r057,All institutions -> Private -> All R&D -> Direct costs -> Software,All institutions,Private,All R&D,Direct costs,Software,,5,23630,19923,19947,22536,22058,24130,24104,28009,27595,33086,37589
5398,r058,All institutions -> Private -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Private,All R&D,Direct costs,Software,Noncapitalized software,6,19002,17745,18353,19134,19235,18759,21053,24771,25742,28612,32425
5398,r059,All institutions -> Private -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Private,All R&D,Direct costs,Software,Capitalized software,6,4628,2178,1594,3402,2823,5371,3051,3238,1853,4474,5164
5398,r060,All institutions -> Private -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Private,All R&D,Direct costs,Capitalized equipment,,5,690727,700976,564206,598789,567748,610879,590975,639743,626477,695304,664228
5398,r061,All institutions -> Private -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Private,All R&D,Direct costs,Passed through to subrecipients,,5,1891241,2018145,2029037,2080950,2143962,2092152,2176729,2252993,2398442,2566768,2665078
5398,r062,All institutions -> Private -> All R&D -> Direct costs -> Other direct costs,All institutions,Private,All R&D,Direct costs,Other direct costs,,5,4235462,4425446,4555992,4810518,5132153,5149510,5812546,5989645,6155387,6677217,6422518
5398,r063,All institutions -> Private -> All R&D -> Indirect costs,All institutions,Private,All R&D,Indirect costs,,,4,5566314,5969428,6007882,6079973,5976412,6166628,6348673,6650432,7001510,7372886,7611698
5398,r064,All institutions -> Private -> All R&D -> Indirect costs -> Recovered,All institutions,Private,All R&D,Indirect costs,Recovered,,5,4290239,4766856,4666808,4680596,4534158,4691108,4830052,5075050,5380907,5694743,5930092
5398,r065,All institutions -> Private -> All R&D -> Indirect costs -> Unrecovered,All institutions,Private,All R&D,Indirect costs,Unrecovered,,5,1276075,1202572,1341074,1399377,1442254,1475520,1518621,1575382,1620603,1678143,1681606
