table_id,row_id,industry_naics_code_and_company_size_full_path,industry_naics_code_and_company_size_level_1,industry_naics_code_and_company_size_level_2,industry_naics_code_and_company_size_level_3,industry_naics_code_and_company_size_level_4,industry_naics_code_and_company_size_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
2356,r027,Size of company (number of domestic employees) -> Small companies<sup>e</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>e</sup>,20&#8211;49,,3,11252,9556,"['1,695', '  ']","['759', '  ']","['496', '  ']","['371', 'i ']","['69', 'i ']"
2356,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2356,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,12321,10446,"['1,875', '  ']","['561', '  ']","['550', '  ']","['643', '  ']","['121', '  ']"
2356,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,18547,14626,"['3,921', '  ']","['1,378', '  ']","['920', '  ']","['1,515', '  ']","['108', '  ']"
2356,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2356,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,19645,16604,"['3,041', '  ']","['1,016', '  ']","['622', '  ']","['1,317', 'i ']","['86', 'i ']"
2356,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,17657,15561,"['2,096', '  ']","['128', '  ']","['467', '  ']","['1,291', 'i ']","['210', 'i ']"
2356,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,68578,58509,"['10,068', '  ']","['1,462', '  ']","['1,202', '  ']","['7,335', '  ']","['69', '  ']"
2356,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,45337,36274,"['9,063', '  ']","['1,175', '  ']","['7,064', 'i ']","['802', '  ']","['22', '  ']"
2356,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,84420,74423,"['9,997', '  ']","['2,161', '  ']","['3,259', '  ']","['4,558', '  ']","['19', '  ']"
2356,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,158889,138465,"['20,423', '  ']","['15,583', '  ']","['4,161', '  ']","['319', '  ']","['360', '  ']"
