table_id,row_id,field_and_institution_full_path,field_and_institution_level_1,field_and_institution_level_2,field_and_institution_level_3,field_and_institution_hierarchy_depth,field_rank,field_doctorate_recipients
1740,r123,"Education -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",Education,From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,9,66
1740,r124,Education -> From top 20 institutions -> George Washington U.,Education,From top 20 institutions,George Washington U.,3,10,64
1740,r125,"Education -> From top 20 institutions -> Indiana U., Bloomington",Education,From top 20 institutions,"Indiana U., Bloomington",3,11,61
1740,r126,"Education -> From top 20 institutions -> Oklahoma State U., Stillwater",Education,From top 20 institutions,"Oklahoma State U., Stillwater",3,12,59
1740,r127,"Education -> From top 20 institutions -> U. South Florida, Tampa",Education,From top 20 institutions,"U. South Florida, Tampa",3,12,59
1740,r128,Education -> From top 20 institutions -> Florida State U.,Education,From top 20 institutions,Florida State U.,3,14,58
1740,r129,Education -> From top 20 institutions -> Temple U.,Education,From top 20 institutions,Temple U.,3,14,58
1740,r130,"Education -> From top 20 institutions -> U. Minnesota, Twin Cities",Education,From top 20 institutions,"U. Minnesota, Twin Cities",3,14,58
1740,r131,Education -> From top 20 institutions -> Indiana State U.,Education,From top 20 institutions,Indiana State U.,3,17,56
1740,r132,Education -> From top 20 institutions -> U. Memphis,Education,From top 20 institutions,U. Memphis,3,18,55
1740,r133,Education -> From top 20 institutions -> U. Northern Colorado,Education,From top 20 institutions,U. Northern Colorado,3,18,55
1740,r134,Education -> From top 20 institutions -> U. Wisconsin-Madison,Education,From top 20 institutions,U. Wisconsin-Madison,3,20,54
1740,r135,Humanities and arts ,Humanities and arts ,,,1,-,5145
1740,r136,Humanities and arts  -> From top 20 institutions,Humanities and arts ,From top 20 institutions,,2,-,1718
1740,r137,"Humanities and arts  -> From top 20 institutions -> CUNY, Graduate Center",Humanities and arts ,From top 20 institutions,"CUNY, Graduate Center",3,1,118
1740,r138,Humanities and arts  -> From top 20 institutions -> U. Chicago,Humanities and arts ,From top 20 institutions,U. Chicago,3,2,111
1740,r139,"Humanities and arts  -> From top 20 institutions -> U. California, Berkeley",Humanities and arts ,From top 20 institutions,"U. California, Berkeley",3,3,108
1740,r140,Humanities and arts  -> From top 20 institutions -> Harvard U.,Humanities and arts ,From top 20 institutions,Harvard U.,3,4,106
1740,r141,Humanities and arts  -> From top 20 institutions -> Princeton U.,Humanities and arts ,From top 20 institutions,Princeton U.,3,5,104
1740,r142,Humanities and arts  -> From top 20 institutions -> New York U.,Humanities and arts ,From top 20 institutions,New York U.,3,6,100
1740,r143,Humanities and arts  -> From top 20 institutions -> Columbia U. in the City of New York,Humanities and arts ,From top 20 institutions,Columbia U. in the City of New York,3,7,98
1740,r144,"Humanities and arts  -> From top 20 institutions -> U. California, Los Angeles",Humanities and arts ,From top 20 institutions,"U. California, Los Angeles",3,8,97
1740,r145,"Humanities and arts  -> From top 20 institutions -> U. Texas, Austin",Humanities and arts ,From top 20 institutions,"U. Texas, Austin",3,9,91
1740,r146,Humanities and arts  -> From top 20 institutions -> Yale U.,Humanities and arts ,From top 20 institutions,Yale U.,3,9,91
1740,r147,"Humanities and arts  -> From top 20 institutions -> Ohio State U., Columbus",Humanities and arts ,From top 20 institutions,"Ohio State U., Columbus",3,11,83
1740,r148,Humanities and arts  -> From top 20 institutions -> U. Wisconsin-Madison,Humanities and arts ,From top 20 institutions,U. Wisconsin-Madison,3,11,83
1740,r149,"Humanities and arts  -> From top 20 institutions -> U. Michigan, Ann Arbor",Humanities and arts ,From top 20 institutions,"U. Michigan, Ann Arbor",3,13,75
1740,r150,Humanities and arts  -> From top 20 institutions -> U. Pennsylvania,Humanities and arts ,From top 20 institutions,U. Pennsylvania,3,13,75
1740,r151,"Humanities and arts  -> From top 20 institutions -> Indiana U., Bloomington",Humanities and arts ,From top 20 institutions,"Indiana U., Bloomington",3,15,70
1740,r152,Humanities and arts  -> From top 20 institutions -> Florida State U.,Humanities and arts ,From top 20 institutions,Florida State U.,3,16,65
1740,r153,Humanities and arts  -> From top 20 institutions -> U. Notre Dame,Humanities and arts ,From top 20 institutions,U. Notre Dame,3,17,63
1740,r154,"Humanities and arts  -> From top 20 institutions -> U. Virginia, Charlottesville",Humanities and arts ,From top 20 institutions,"U. Virginia, Charlottesville",3,17,63
1740,r155,Humanities and arts  -> From top 20 institutions -> Cornell U.,Humanities and arts ,From top 20 institutions,Cornell U.,3,19,60
1740,r156,Humanities and arts  -> From top 20 institutions -> Duke U.,Humanities and arts ,From top 20 institutions,Duke U.,3,20,57
1740,r157,Other<sup>b</sup>,Other<sup>b</sup>,,,1,-,2989
1740,r158,Other<sup>b</sup> -> From top 21 institutions,Other<sup>b</sup>,From top 21 institutions,,2,-,930
1740,r159,Other<sup>b</sup> -> From top 21 institutions -> Walden U.,Other<sup>b</sup>,From top 21 institutions,Walden U.,3,1,169
1740,r160,"Other<sup>b</sup> -> From top 21 institutions -> U. Texas, Austin",Other<sup>b</sup>,From top 21 institutions,"U. Texas, Austin",3,2,68
1740,r161,"Other<sup>b</sup> -> From top 21 institutions -> Indiana U., Bloomington",Other<sup>b</sup>,From top 21 institutions,"Indiana U., Bloomington",3,3,49
1740,r162,Other<sup>b</sup> -> From top 21 institutions -> U. Pennsylvania,Other<sup>b</sup>,From top 21 institutions,U. Pennsylvania,3,3,49
1740,r163,"Other<sup>b</sup> -> From top 21 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",Other<sup>b</sup>,From top 21 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,5,45
1740,r164,"Other<sup>b</sup> -> From top 21 institutions -> U. Illinois, Urbana-Champaign",Other<sup>b</sup>,From top 21 institutions,"U. Illinois, Urbana-Champaign",3,6,44
1740,r165,"Other<sup>b</sup> -> From top 21 institutions -> U. Missouri, Columbia",Other<sup>b</sup>,From top 21 institutions,"U. Missouri, Columbia",3,6,44
1740,r166,"Other<sup>b</sup> -> From top 21 institutions -> Rutgers, State U. New Jersey, Newark",Other<sup>b</sup>,From top 21 institutions,"Rutgers, State U. New Jersey, Newark",3,8,42
1740,r167,Other<sup>b</sup> -> From top 21 institutions -> U. Southern California,Other<sup>b</sup>,From top 21 institutions,U. Southern California,3,8,42
1740,r168,"Other<sup>b</sup> -> From top 21 institutions -> U. Minnesota, Twin Cities",Other<sup>b</sup>,From top 21 institutions,"U. Minnesota, Twin Cities",3,10,39
1740,r169,Other<sup>b</sup> -> From top 21 institutions -> New York U.,Other<sup>b</sup>,From top 21 institutions,New York U.,3,11,38
1740,r170,Other<sup>b</sup> -> From top 21 institutions -> Stanford U.,Other<sup>b</sup>,From top 21 institutions,Stanford U.,3,12,36
1740,r171,Other<sup>b</sup> -> From top 21 institutions -> U. Florida,Other<sup>b</sup>,From top 21 institutions,U. Florida,3,13,35
1740,r172,Other<sup>b</sup> -> From top 21 institutions -> U. Georgia,Other<sup>b</sup>,From top 21 institutions,U. Georgia,3,13,35
1740,r173,"Other<sup>b</sup> -> From top 21 institutions -> Ohio State U., Columbus",Other<sup>b</sup>,From top 21 institutions,"Ohio State U., Columbus",3,15,33
1740,r174,"Other<sup>b</sup> -> From top 21 institutions -> U. North Carolina, Chapel Hill",Other<sup>b</sup>,From top 21 institutions,"U. North Carolina, Chapel Hill",3,15,33
1740,r175,"Other<sup>b</sup> -> From top 21 institutions -> U. South Carolina, Columbia",Other<sup>b</sup>,From top 21 institutions,"U. South Carolina, Columbia",3,15,33
1740,r176,Other<sup>b</sup> -> From top 21 institutions -> Harvard U.,Other<sup>b</sup>,From top 21 institutions,Harvard U.,3,18,32
1740,r177,"Other<sup>b</sup> -> From top 21 institutions -> Texas A&M U., College Station and Health Science Center",Other<sup>b</sup>,From top 21 institutions,"Texas A&M U., College Station and Health Science Center",3,18,32
1740,r178,Other<sup>b</sup> -> From top 21 institutions -> U. Wisconsin-Madison,Other<sup>b</sup>,From top 21 institutions,U. Wisconsin-Madison,3,18,32
