table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1138,r021,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,,5,6499,5890,6064,6597,7816,9541,10156,10564,10899,11101,9593
1138,r022,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,5,na,na,na,na,na,496,506,533,428,435,389
1138,r023,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,,5,29621,28050,28652,31177,34712,41359,43665,44789,44307,44059,40883
1138,r024,All degrees -> All S&E -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,5,na,na,na,na,na,726,1110,1800,2154,2549,3087
1138,r025,All degrees -> All S&E -> U.S. citizen and permanent resident -> Other or unknown race and ethnicity,All degrees,All S&E,U.S. citizen and permanent resident,Other or unknown race and ethnicity,,,,4,3055,2966,3373,4048,5356,7530,9853,5668,4927,4180,3679
1138,r026,All degrees -> All S&E -> Temporary resident,All degrees,All S&E,Temporary resident,,,,,3,1099,895,954,1156,1300,1521,1598,1587,1715,1936,2171
1138,r027,All degrees -> All S&E -> Science,All degrees,All S&E,Science,,,,,3,47559,45213,46763,51955,59546,73027,81248,81927,83567,85585,83418
1138,r028,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident,All degrees,All S&E,Science,U.S. citizen and permanent resident,,,,4,46547,44411,45898,50948,58397,71690,79889,80514,82048,83877,81484
1138,r029,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,5,5661,5774,6026,6831,8064,9436,11922,13947,16254,18231,20354
1138,r030,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,5,40886,38637,39872,44117,50333,62254,67967,66567,65794,65646,61130
1138,r031,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,6,775,817,841,815,888,1009,1019,1051,1079,1041,928
1138,r032,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,6,na,na,na,na,na,3753,4202,4944,5109,5801,6293
1138,r033,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,6,2637,2540,2737,3137,3490,na,na,na,na,na,na
1138,r034,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,6,6284,5700,5837,6428,7651,9358,9920,10320,10591,10779,9185
1138,r035,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,6,na,na,na,na,na,475,483,513,407,419,372
1138,r036,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,6,28267,26734,27199,29793,33091,39562,41597,42523,41800,41197,37969
1138,r037,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,6,na,na,na,na,na,701,1084,1742,2064,2448,2938
1138,r038,All degrees -> All S&E -> Science -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,,6,2923,2846,3258,3944,5213,7396,9662,5474,4744,3961,3445
1138,r039,All degrees -> All S&E -> Science -> Temporary resident,All degrees,All S&E,Science,Temporary resident,,,,4,1012,802,865,1007,1149,1337,1359,1413,1519,1708,1934
1138,r040,All degrees -> All S&E -> Science -> Agricultural sciences,All degrees,All S&E,Science,Agricultural sciences,,,,4,1934,1790,1762,1811,1952,2138,2526,2392,2484,2678,2673
1138,r041,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,,,5,1892,1782,1746,1799,1939,2128,2514,2376,2462,2586,2645
1138,r042,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,6,58,59,47,44,63,67,91,108,115,158,180
1138,r043,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,6,1834,1723,1699,1755,1876,2061,2423,2268,2347,2428,2465
1138,r044,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,7,72,56,64,64,125,66,75,75,98,96,76
1138,r045,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,7,na,na,na,na,na,13,18,23,22,26,17
1138,r046,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,7,10,21,20,24,24,na,na,na,na,na,na
1138,r047,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,7,18,28,18,17,25,12,25,20,34,30,28
1138,r048,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,7,na,na,na,na,na,15,23,27,25,27,31
1138,r049,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,7,1686,1556,1557,1571,1618,1838,2157,1995,2051,2113,2163
1138,r050,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,7,na,na,na,na,na,21,26,34,40,48,68
1138,r051,All degrees -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,7,48,62,40,79,84,96,99,94,77,88,82
1138,r052,All degrees -> All S&E -> Science -> Agricultural sciences -> Temporary resident,All degrees,All S&E,Science,Agricultural sciences,Temporary resident,,,5,42,8,16,12,13,10,12,16,22,92,28
1138,r053,All degrees -> All S&E -> Science -> Biological sciences,All degrees,All S&E,Science,Biological sciences,,,,4,2028,2224,2379,2546,2881,3440,4028,4340,4689,5071,5461
1138,r054,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,,,5,1964,2163,2296,2474,2773,3348,3935,4226,4577,4979,5346
1138,r055,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,6,279,352,377,438,522,649,947,1072,1258,1463,1619
1138,r056,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,6,1685,1811,1919,2036,2251,2699,2988,3154,3319,3516,3727
1138,r057,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,7,65,55,59,52,54,46,67,79,69,64,61
1138,r058,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,7,na,na,na,na,na,405,471,499,522,542,591
1138,r059,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,7,224,257,319,337,340,na,na,na,na,na,na
1138,r060,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,7,185,207,172,183,243,272,327,363,376,431,458
1138,r061,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,7,na,na,na,na,na,52,25,31,29,34,29
