table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_published_papers_in_conference_proceedings,field_authored_or_co_authored_conference_papers,field_submitted_articles_for_publication_in_a_peer_reviewed_journal,field_published_books_or_book_chapters,field_mentored_or_supervised_students,field_taught_courses,field_named_as_an_inventor_on_a_patent_application,field_provided_service_to_department_institution_or_professional_society
3827,r019,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,5900,92.8,78.9,83.6,38.7,84.0,76.9,24.0,93.0
3827,r020,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,All early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,6200,43.0,67.1,93.0,19.6,77.1,89.5,1.7,90.7
3827,r021,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,All early career doctorates,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,2600,74.2,86.0,92.1,52.6,87.7,79.8,6.7,87.6
3827,r022,"All early career doctorates -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All early career doctorates,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,20600,58.1,78.5,92.0,18.7,84.7,61.5,15.9,83.8
3827,r023,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,31200,45.2,90.9,89.8,55.3,90.8,91.7,0.3,94.1
3827,r024,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,8700,48.0,85.7,86.9,52.9,92.8,83.8,,91.6
3827,r025,All early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,All early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,22400,44.1,92.9,90.9,56.3,90.0,94.8,,95.1
3827,r026,All early career doctorates -> Field of doctoral degree -> Health,All early career doctorates,Field of doctoral degree,Health,,,3,13400,61.0,81.9,86.0,33.2,93.9,91.1,3.1,90.9
3827,r027,All early career doctorates -> Field of doctoral degree -> Non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,,,3,60700,52.3,83.3,79.5,49.9,91.0,95.2,0.8,94.1
3827,r028,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Education,All early career doctorates,Field of doctoral degree,Non-science and engineering,Education,,4,21100,51.8,71.7,68.2,42.6,91.8,91.7,0.6,91.5
3827,r029,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Humanities,All early career doctorates,Field of doctoral degree,Non-science and engineering,Humanities,,4,15700,39.9,89.1,84.2,62.5,90.2,97.4,,95.3
3827,r030,All early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,All early career doctorates,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,23900,61.0,89.8,86.3,47.9,90.8,96.9,1.5,95.5
